S11,S21,freq
(0.0522573933300929+0.1670203175663559j),(1.0013524675953893+0.0016575082390395826j),1400000000
(0.052271508989502384+0.16610780902917768j),(1.000659618521657-0.00230930500620382j),1400150000
(0.05237848248787061+0.16621821828125838j),(1.0006377864010623-7.762206312729528e-05j),1400300000
(0.05187779361545196+0.16616562356467374j),(1.0007296757105693+0.00023368778219952515j),1400450000
(0.05257816983134062+0.16611578556597079j),(0.9998643663167994-0.00045966987185437386j),1400600000
(0.052740953073987046+0.16578565741219517j),(1.0010646487642019-0.0019384076499098972j),1400750000
(0.052880409803963184+0.16623153899492624j),(1.000480589655901+0.0018180829438441829j),1400900000
(0.052227790743854+0.16618675088814483j),(1.0003920035440816+0.002627937335292645j),1401050000
(0.05388664092168535+0.1660593926423707j),(1.0005007913300183-0.001111805951948223j),1401200000
(0.05303418813397646+0.16635124735682716j),(1.0003663098469633-0.0013636110531867192j),1401350000
(0.053012474874364474+0.16603137047544383j),(1.0001540951509609+0.0019694778940518407j),1401500000
(0.0536061469196228+0.165873710265941j),(0.9999770003265325-0.0011068241924554385j),1401650000
(0.05348381909686092+0.16592464315590127j),(1.000360923050667+0.00504579195045781j),1401800000
(0.05325666732562163+0.16606996553587292j),(1.000109731097567-0.000298441810641741j),1401950000
(0.05363530970704934+0.1660159670942824j),(1.0006213760871432+0.0009747584432768185j),1402100000
(0.05431294030571906+0.16598421409407835j),(1.0008718261270684-0.0016519154242435178j),1402250000
(0.05396462628016851+0.16573930820537358j),(1.0004835852930989+0.002633164052122075j),1402400000
(0.05476576643387116+0.16575739251890503j),(1.0003118061535674-0.0004828320112633286j),1402550000
(0.054529569329112834+0.1653323574911524j),(1.0004048584534155-0.003179663632717652j),1402700000
(0.054116829890469814+0.16554633631764254j),(1.0002222508541958+0.001057776210014065j),1402850000
(0.05449724281600898+0.16573170811632063j),(1.0003743746633378+0.0004715346451347577j),1403000000
(0.05494915574563512+0.16504297563512166j),(1.0004190608495274-0.00010872329100720105j),1403150000
(0.05469765282062208+0.1655347139428352j),(1.0004919090185993+0.0009334124513522046j),1403300000
(0.055889441558623715+0.16513423410001649j),(1.0007897388446048-0.000995497806711396j),1403450000
(0.05445289716163511+0.16588608507751215j),(1.000320315128721+0.003212641343198375j),1403600000
(0.055808281258678+0.16511616608283647j),(1.0003077538097036-0.0025343888379854803j),1403750000
(0.05518116884897518+0.16573946947711685j),(1.0007120679726544+0.003541463819060514j),1403900000
(0.05564304689972063+0.1651527675288729j),(1.0002553552125506+0.00010840558594421101j),1404050000
(0.055892465148327415+0.1652434723627231j),(1.0000083581642352+0.0014125722133412572j),1404200000
(0.05629574486673541+0.1648580397960456j),(0.9996906665442051-0.00047109842244298184j),1404350000
(0.05608956868495519+0.16537078055832793j),(1.0010488372533881-0.0009622803563989548j),1404500000
(0.05609565971174738+0.16556223207286755j),(1.0004840441378697+0.0013934766108909327j),1404650000
(0.056429007909058346+0.16519425971213358j),(1.000598658028734-0.0009638952999083834j),1404800000
(0.05617134869466855+0.16508948011618108j),(1.0002822293814355+0.001499512442769349j),1404950000
(0.056550344726664786+0.16539974059501866j),(1.0003681846382766+0.000910381112169755j),1405100000
(0.0567971765028803+0.1650546547877638j),(1.000193802210165+0.0010777136555076912j),1405250000
(0.05698577157993447+0.16491704026408863j),(1.0002952654210027-0.0004938549925617426j),1405400000
(0.05693683851141615+0.16484862933617092j),(1.000183318171137+0.0017595866942233132j),1405550000
(0.05749807122659404+0.16475350290625573j),(1.0008362093716432+0.0005582277285182056j),1405700000
(0.05763192024720107+0.16443976807347993j),(1.0005285568293576-0.0012716260466915832j),1405850000
(0.0577011012804148+0.16491084273263187j),(1.0003970680843546-0.00019206681071339771j),1406000000
(0.05774132411642345+0.1648046111144769j),(1.0005591552827855+0.0005191800135378822j),1406150000
(0.05778810234710362+0.16474824628557952j),(1.0001016961034226-0.00034510697777981515j),1406300000
(0.05790472997862083+0.1647319036553565j),(1.0000621604940676-4.307509608794126e-06j),1406450000
(0.05790828733188445+0.16443895718546567j),(1.0001682895737345-0.0010005777262707602j),1406600000
(0.057724161837076834+0.16516435431280474j),(1.0007667829242393+0.0011811636126302645j),1406750000
(0.05836096253969876+0.16447695399273737j),(1.0006273349333767+0.00048474010242663087j),1406900000
(0.05839187791213788+0.16467412692277802j),(1.000160979446677-0.00039584296177662165j),1407050000
(0.05858335855019072+0.16434269890615166j),(1.0003274384843688+0.0005205482393161273j),1407200000
(0.05878739104483784+0.1646506856565118j),(1.0003802059091333+0.0003202240402641476j),1407350000
(0.05852804038570378+0.1643732822660242j),(1.0006645603411173+0.002226594169778554j),1407500000
(0.05889245016502934+0.1643148887442736j),(1.0002122347266411-0.0009186938776011891j),1407650000
(0.05912366038135145+0.16438559623908455j),(1.0004262087321878+0.0006200252816520682j),1407800000
(0.05909545415587871+0.1644333496964107j),(1.0004157919092602-0.00039610818937152166j),1407950000
(0.05948930260479628+0.1642497686088224j),(1.0003941583558407+0.0002260351582852879j),1408100000
(0.059681096695862246+0.16387375436098753j),(1.0005604533800783-0.0004441179604171234j),1408250000
(0.059721409626669705+0.16416763589568184j),(0.9997247979083237+0.0007426100239465819j),1408400000
(0.05983951444717897+0.16420052132788798j),(0.9999677194526989+0.0006470641799289752j),1408550000
(0.0601202238454567+0.16401603777690688j),(1.0004256320081764+0.0012697174411420477j),1408700000
(0.06023147891533343+0.16394539402077687j),(1.0004700426222413-0.0014825014628428996j),1408850000
(0.06011853936561902+0.1641787251780786j),(1.0005625519565349+0.000658413743454708j),1409000000
(0.06060407480495398+0.16460802554600995j),(1.0006131035460428-0.000480007754193009j),1409150000
(0.06036175900005693+0.16386240470735433j),(1.000476782395704+0.001652057590823988j),1409300000
(0.06071118854650997+0.16383776165525663j),(1.0007375526375184+3.197716370630709e-05j),1409450000
(0.06061215474335943+0.16362887787277972j),(1.000296150280232+0.0015299609396398398j),1409600000
(0.06056830843664276+0.1640784487920136j),(1.0009523330787737+0.0006588015514537247j),1409750000
(0.0611801242342994+0.1635166955778951j),(1.0002009523135111+0.002051690493999973j),1409900000
(0.061119141270922675+0.16444806868642228j),(1.000925339498053-0.0016516183899648758j),1410050000
(0.061090011962029955+0.16391137949957463j),(1.0007026080601622+0.002540138095844201j),1410200000
(0.061684196186050574+0.16378317384971383j),(1.0005660782370644-0.0019923826516371995j),1410350000
(0.06105247725175414+0.1636946669344205j),(1.0004485936625478+0.0005802997092334424j),1410500000
(0.06080793251171293+0.16374177636811965j),(1.0009501341729818+0.0001101836912312916j),1410650000
(0.061819552566446084+0.16334321798299967j),(1.0002795613986974+0.0013132147009494784j),1410800000
(0.061896107493025036+0.16339382814138706j),(1.0000957389460408-0.00034534921720134594j),1410950000
(0.0620266776262371+0.16353983233229621j),(1.0005969981799199+0.0017764355107427689j),1411100000
(0.06186857496564133+0.1632553281987305j),(0.9996141790384766-0.0025914754953971567j),1411250000
(0.06262525699300647+0.163219912365689j),(1.0010536049971912+0.0003467031465916127j),1411400000
