S11,S21,freq
(-0.03986827580742636+0.3006560085524642j),(0.39475381612135013+0.15981004968223642j),1400000000
(-0.030484763541033962+0.30473403791919323j),(0.39777024711491127+0.14765769996470968j),1400150000
(-0.023021091969953535+0.30930320932009664j),(0.4003706681504166+0.13848487240921342j),1400300000
(-0.01462320176913324+0.31297493342085j),(0.4022755185330814+0.12786130061285442j),1400450000
(-0.004228925059961496+0.3165449106968765j),(0.4048511994865521+0.11497863099780124j),1400600000
(0.005331116366299942+0.31987443626527445j),(0.4059175829487033+0.10561789295433757j),1400750000
(0.014098845784302804+0.32341436692207354j),(0.40692551772502344+0.09598368822113246j),1400900000
(0.024501606149657545+0.32508229679242057j),(0.4074309267734135+0.08535949201949189j),1401050000
(0.03432342860281765+0.32726865825674306j),(0.40864513314872264+0.0743280112976257j),1401200000
(0.04382753827706904+0.32887973191837805j),(0.40841475622903783+0.06407372798482061j),1401350000
(0.05304549523658464+0.3303006317191403j),(0.40895146603473576+0.054699372751818263j),1401500000
(0.06532234547996545+0.3305211360436709j),(0.4084906821086218+0.042631138280636846j),1401650000
(0.07456061832269767+0.330807705584861j),(0.4084449092355757+0.03363468720900105j),1401800000
(0.08350382861030886+0.33133997612874916j),(0.4073940045152936+0.024002410838943257j),1401950000
(0.09543983269571624+0.3309691069203666j),(0.40704588795073476+0.012410133175546083j),1402100000
(0.10482378489592672+0.330194119439361j),(0.4027616016385493+0.012393099423988103j),1402250000
(0.11500456428154154+0.32837734205007413j),(0.40162832115825103+0.003259867324536349j),1402400000
(0.12585425933035504+0.3279278330234927j),(0.4006810338057378-0.00776381850407175j),1402550000
(0.13470156912536388+0.32558355328741895j),(0.39896904653808674-0.017128868989335445j),1402700000
(0.14492431483470833+0.3233627672012104j),(0.3972951431835014-0.026523650921682206j),1402850000
(0.15530896094532673+0.3208662578547611j),(0.3951908349297437-0.03660427116833745j),1403000000
(0.1642669097527959+0.3180593001076926j),(0.39311663483859205-0.04481666962122555j),1403150000
(0.17467068952421366+0.3140731868805687j),(0.3907551515906249-0.05463145779896607j),1403300000
(0.18477448010675107+0.31036314406553667j),(0.38841530336015495-0.06359688733676487j),1403450000
(0.1937295253621821+0.3072672433409729j),(0.3857989748542125-0.07225523779192547j),1403600000
(0.20320941497907874+0.30319094783302475j),(0.3827612802814631-0.08242201213886789j),1403750000
(0.2132694392890077+0.2970782247234165j),(0.3794055107601329-0.09114226603800189j),1403900000
(0.22177761412669922+0.293083661713088j),(0.37655664297640085-0.09925770426781616j),1404050000
(0.2306791406868912+0.28694401032645434j),(0.3726241439033952-0.10771076047067799j),1404200000
(0.23942476112030778+0.282529572855295j),(0.3692243477219808-0.11735143615998496j),1404350000
(0.2483281435008061+0.27570391219875545j),(0.3650673346249289-0.1260111590126229j),1404500000
(0.2560831657062231+0.2701288298996544j),(0.3613690790865395-0.13326541721111487j),1404650000
(0.26538237163309525+0.26281354942662144j),(0.35685093152036856-0.14274376305403172j),1404800000
(0.2728321670969661+0.25570616697920434j),(0.3523430957952333-0.15055432744304784j),1404950000
(0.2815327854338615+0.248353771655071j),(0.3475038830201816-0.15888768984122248j),1405100000
