S11,S21,freq
(0.323657076435479-0.5671311705473878j),(-0.279349967549819+0.12527512858739492j),1400000000
(0.32702124963132756-0.572008763448892j),(-0.2731577604448455+0.13144822502708758j),1400150000
(0.32974352877114216-0.5753272071932024j),(-0.2676960458691714+0.13699578881333463j),1400300000
(0.33012883552366373-0.5812358515545833j),(-0.2609278826974878+0.14442245539675302j),1400450000
(0.33212041996536035-0.5848885893638185j),(-0.25463458537109496+0.14925978589006111j),1400600000
(0.33247895262352944-0.5919766869180472j),(-0.24803843191783218+0.15468307043024204j),1400750000
(0.3323157027681239-0.5964074919721805j),(-0.24110021393011474+0.15936816959302513j),1400900000
(0.33599814118419447-0.5989583685507144j),(-0.23590325149721186+0.16262253014449982j),1401050000
(0.33346121385282684-0.6065912610307643j),(-0.22840983752788493+0.1681440168304077j),1401200000
(0.33501291848986925-0.610903520055979j),(-0.22238690636415506+0.1719433935528269j),1401350000
(0.3345476695486853-0.6160834292879668j),(-0.21602630592008545+0.17551039212803982j),1401500000
(0.3330154120138048-0.6204458287670513j),(-0.20906410311593246+0.17882272525797374j),1401650000
(0.331055938847904-0.6281339767953649j),(-0.2033149680649512+0.18223554711198453j),1401800000
(0.3319591631105093-0.6310199475980633j),(-0.1966123025200017+0.18544365357007372j),1401950000
(0.33143324597427837-0.6350545142040646j),(-0.19100733362488265+0.18794413688998707j),1402100000
(0.3308419366035549-0.6392984366243035j),(-0.18479578046574172+0.19045732238266344j),1402250000
(0.3306366322577934-0.6449896368059563j),(-0.179506874729169+0.19314945535160502j),1402400000
(0.32638461944308-0.6500875652162871j),(-0.17172638575423937+0.19578466620167j),1402550000
(0.3266777621094052-0.6536870429575935j),(-0.16697173062857115+0.19738985491228764j),1402700000
(0.3244701297134359-0.6583365818769573j),(-0.16133449495704377+0.19933691381390561j),1402850000
(0.3210687702079861-0.6633547789535751j),(-0.15491093422467297+0.2012311495061664j),1403000000
(0.32221513612250813-0.6677679161688146j),(-0.14975136544950896+0.20323092531955492j),1403150000
(0.31930391791551377-0.6716088756733373j),(-0.14423609324950712+0.20452541889428688j),1403300000
