S11,S21,freq
(-0.11144631840619659+0.2741471995262266j),(0.4016373466630941+0.1961539576413411j),1400000000
(-0.10310534035682169+0.28089907550819243j),(0.40611540252896133+0.1825265083074407j),1400150000
(-0.09637530437917845+0.28783864634786704j),(0.40950166603235666+0.1721143014033973j),1400300000
(-0.08939918643631681+0.2937928042882195j),(0.4117657726133379+0.16165670545068014j),1400450000
(-0.08002333944510814+0.2999370152396584j),(0.4146150975339119+0.14994462557586977j),1400600000
(-0.07165677051028942+0.30581576686646345j),(0.4168874283453622+0.13937875362131474j),1400750000
(-0.06299480335683334+0.3117873240521828j),(0.4186734195180001+0.12799293423582286j),1400900000
(-0.054496764915075956+0.3163492312863469j),(0.41993117768028027+0.11745627853437322j),1401050000
(-0.044499265374087486+0.321299417009983j),(0.42159313186109715+0.10632730741761748j),1401200000
(-0.03418547923428617+0.3256795595167244j),(0.42273379210431605+0.09364977687898458j),1401350000
(-0.025650218356257724+0.3295059476728164j),(0.4231734736872461+0.08420572546246165j),1401500000
(-0.01563099889739237+0.33310407373664097j),(0.42373233727938064+0.07226682718036483j),1401650000
(-0.005708876435830701+0.33629064799987063j),(0.42355559638597357+0.06334290500153963j),1401800000
(0.004236076482643325+0.3394366861968483j),(0.4238943746494139+0.05106678899357809j),1401950000
(0.015783917390568784+0.3421086379895543j),(0.4238747840460442+0.03885727688553324j),1402100000
(0.0243474989812821+0.34446005629190857j),(0.4229340937882977+0.030502118400439072j),1402250000
(0.03579550032288097+0.3449727585428584j),(0.42188853304916707+0.018832961346309064j),1402400000
(0.04629024250037529+0.3477390054662539j),(0.42077192317250356+0.008928116274244882j),1402550000
(0.05703306175754043+0.34822474078496174j),(0.41943250369287033-0.003372825484870044j),1402700000
(0.0664383193936673+0.3488113017973125j),(0.41774086470910454-0.010502110198703047j),1402850000
(0.07803064774463407+0.3492428263818887j),(0.4158515498635721-0.02156458631808438j),1403000000
(0.08944500930488718+0.3478855091634973j),(0.41317055468148556-0.032878016551968196j),1403150000
(0.09962765995795657+0.3479733556527571j),(0.41153712062816705-0.042248847959072466j),1403300000
(0.11104794371210497+0.3468393899917325j),(0.40944189634793443-0.05179717057803822j),1403450000
(0.12068613318214148+0.3456895604262916j),(0.40655055717414235-0.06090024645656441j),1403600000
(0.13224148517306628+0.34337509399968147j),(0.40308484668616495-0.07166420300707575j),1403750000
(0.1424793928786535+0.34200259397268457j),(0.40012962651606165-0.08057726548970089j),1403900000
(0.15268789226175863+0.3393926981078674j),(0.3968802129374862-0.08952980350577859j),1404050000
(0.16303157931213613+0.3365253620903449j),(0.3934535771647003-0.09802436108743919j),1404200000
(0.17443249375413242+0.3325002396209926j),(0.3882486200912805-0.09972600013550385j),1404350000
(0.18385599769653133+0.32917747240167256j),(0.3845131230177372-0.10804355893016035j),1404500000
(0.19455020857711508+0.3251581944507775j),(0.3807681151582584-0.116707668392677j),1404650000
(0.20495519450281852+0.3208270124993655j),(0.37674250657619973-0.1255079142576838j),1404800000
(0.21455986954325984+0.31564155626780055j),(0.3725346860181832-0.13413747001957943j),1404950000
(0.22423896866424173+0.31065550101499034j),(0.36807981285451236-0.14184033965549223j),1405100000
(0.23396786841265507+0.30539744791143975j),(0.363089324681426-0.15125668410411577j),1405250000
(0.24384855091520166+0.2994711159586589j),(0.35873651117290317-0.1590790497168108j),1405400000
(0.2529317235730054+0.2936994841635491j),(0.3539979538237624-0.166477045863881j),1405550000
(0.26151286945176383+0.2858647370346677j),(0.34829796753720466-0.1749786766438131j),1405700000
(0.270376291122984+0.27960160961117836j),(0.3431659274872425-0.1825428775138171j),1405850000
(0.27876283735011465+0.2724865078295353j),(0.3373647336590162-0.1902429797107584j),1406000000
(0.2867348587328557+0.2655212089183255j),(0.332650809626279-0.19706432391702686j),1406150000
(0.2948538657096666+0.25658598511682223j),(0.3257963153750471-0.20484661640999072j),1406300000
(0.30324726905512794+0.24896649156074077j),(0.3202254503834827-0.21219502242489294j),1406450000
(0.30926476414476395+0.2405916947618761j),(0.31474570897452114-0.2181949790685146j),1406600000
(0.31719612173718176+0.23152839938659137j),(0.3079188553184246-0.22561546505895705j),1406750000
(0.32446703195795046+0.22240932859038534j),(0.3017513961167296-0.23174533121393642j),1406900000
(0.33189882446036206+0.21414005903052427j),(0.29521350949820535-0.23928039789612776j),1407050000
(0.33830999336626405+0.20452680619540536j),(0.2889783267977556-0.24491404825289986j),1407200000
(0.3450803596529342+0.19523742669752647j),(0.2824968277606269-0.25162127702465764j),1407350000
(0.3495259311910351+0.18459772461270774j),(0.2752734756449451-0.25660221377738285j),1407500000
(0.3552844204214819+0.17525444360964565j),(0.2679701376717801-0.2634294845283401j),1407650000
(0.3599497811524688+0.16513109789442876j),(0.26178447166360075-0.2677411142451366j),1407800000
(0.36505812440810925+0.15424925763065958j),(0.2542458106761775-0.27353051942208884j),1407950000
(0.36949918463896464+0.14357819035598848j),(0.24688178986264497-0.2793547315190927j),1408100000
(0.37357584498256025+0.1319624964135263j),(0.2394693416929497-0.2840121532004669j),1408250000
(0.3774562318352656+0.12164232652268735j),(0.23234554011042502-0.28898876479735897j),1408400000
(0.38132168733460414+0.1099495756467185j),(0.2244186591225646-0.2939952090561223j),1408550000
(0.38337840525245287+0.09888445894211025j),(0.21712860869764547-0.2973853388939563j),1408700000
(0.38706432595414203+0.08695310063677349j),(0.2089357645204253-0.3023434322879351j),1408850000
(0.3883685781952592+0.07488642102586239j),(0.20140408595730647-0.3056263491898594j),1409000000
(0.3905264106032606+0.062150380633316266j),(0.19228145224873705-0.31027308280049615j),1409150000
(0.3917486031265304+0.05208384109359743j),(0.1869019669211627-0.31352767701108986j),1409300000
(0.39269008429974456+0.040952266881037196j),(0.17852496456865544-0.31732925624237535j),1409450000
(0.39311123667933545+0.029319565198459505j),(0.17126809364183015-0.3206289001955871j),1409600000
(0.3935698568887492+0.018193200563107047j),(0.16382567528783698-0.32388969346131086j),1409750000
(0.3933746506339545+0.004829480136792408j),(0.15513844352030245-0.3267699156842204j),1409900000
(0.3935993515950101-0.005447876766177295j),(0.1462076490288951-0.33020872856264505j),1410050000
(0.391298998361974-0.019618741135025486j),(0.13767293029031896-0.33212947102206913j),1410200000
(0.39034018288174005-0.031105416865662802j),(0.12979104072654865-0.33463072308625097j),1410350000
(0.3889312525058344-0.041603242536082975j),(0.12180671453684881-0.3372596091211823j),1410500000
(0.3859541268632335-0.054053345147017796j),(0.11352722561274343-0.33898073690224756j),1410650000
(0.3837987762629724-0.06579411739681339j),(0.10480158438147281-0.34124295571216895j),1410800000
(0.3811904433919912-0.07738929140678273j),(0.09654880291431386-0.3426098992011756j),1410950000
(0.37725386934829075-0.08916416415460057j),(0.0889364888003937-0.3439213970713813j),1411100000
(0.37359993901999733-0.10140414375441005j),(0.07900337426940646-0.3453673505911964j),1411250000
(0.3694297402183918-0.11181662302131537j),(0.07212375336977431-0.3462940525292166j),1411400000
(0.36481597540787597-0.1237448507463119j),(0.06303184443745552-0.3470988512696855j),1411550000
(0.36023147307780606-0.13340484831709082j),(0.056277262364872335-0.347471725499765j),1411700000
(0.35418515397056805-0.14684942192512154j),(0.04636658835353022-0.3481284191731852j),1411850000
(0.34967441777034425-0.15704696685657396j),(0.038471646931359516-0.3488059014155776j),1412000000
(0.3437163456206236-0.1671088023407477j),(0.030113676872803006-0.34869313733548835j),1412150000
(0.3370460862485829-0.17700823284664033j),(0.022514788434803604-0.34868546349519663j),1412300000
(0.32987954297517547-0.18885730528948666j),(0.013188085604078473-0.34845073004061455j),1412450000
(0.3219202597265455-0.19889667610037137j),(0.004619508969514614-0.34772379997981634j),1412600000
(0.31540530490004953-0.20767191236561552j),(-0.002427744185160805-0.3471728374055894j),1412750000
(0.30697067245761606-0.21860335467919295j),(-0.01153838004688306-0.3459344618962932j),1412900000
(0.2988728972393817-0.22752234775515415j),(-0.019283189835126766-0.3450253737337303j),1413050000
(0.29121076836808213-0.23616552504506355j),(-0.028506444821024317-0.34438203940430395j),1413200000
(0.28226135825304843-0.2453765556824387j),(-0.03564776759482717-0.34273590156501366j),1413350000
(0.27265157557119546-0.25361327652441007j),(-0.042850385584146444-0.3409066531657588j),1413500000
(0.26254725608218965-0.2627794825112981j),(-0.052506495717195026-0.3391630209294327j),1413650000
(0.2534907407663601-0.2704834117961488j),(-0.05968174852503104-0.33722716851923984j),1413800000
(0.24356095830469085-0.27801501677004953j),(-0.06779359013869463-0.33546333336781736j),1413950000
(0.23425375237520343-0.28545541627462895j),(-0.07473767778194991-0.33368244326200874j),1414100000
(0.22346583198886003-0.2926875142152108j),(-0.08228515182806653-0.3313724118255899j),1414250000
(0.2113674488811869-0.300491045589525j),(-0.09289211651557779-0.3280958036621173j),1414400000
(0.2020177994164397-0.3045385418514928j),(-0.09665617651042879-0.32625425673237j),1414550000
(0.18923667769313904-0.3124636093943989j),(-0.10721593677277846-0.32147158113176544j),1414700000
(0.17880970939343352-0.31716967068736646j),(-0.11381166704046822-0.3197245384661981j),1414850000
(0.1663744078507305-0.3231040253251463j),(-0.12179110696802725-0.31589848052853253j),1415000000
(0.16647091803734498-0.3229714337094397j),(-0.12158618687777681-0.31615523388791683j),1415000000
(0.15424545149965835-0.32721184911950435j),(-0.12807054149463473-0.3120339545366651j),1415150000
(0.14308158869029178-0.3316635140986593j),(-0.1351899072336254-0.3091099245989498j),1415300000
(0.13054433920688682-0.3361322750328435j),(-0.14353209847177278-0.30517351818215027j),1415450000
(0.11734802887953075-0.3400320715124793j),(-0.1513711742013585-0.3007089633904238j),1415600000
(0.1058967426784616-0.3423163438616912j),(-0.15584833978069665-0.2969171340492197j),1415750000
(0.09319352935746793-0.34613469460521185j),(-0.16506294194778565-0.2920822467665748j),1415900000
(0.08101245467148409-0.3482329927568135j),(-0.1711474494272916-0.28761850310252496j),1416050000
(0.06803611408858526-0.3502666061217585j),(-0.17803922991358126-0.28302281931332385j),1416200000
(0.05432491540299396-0.3526478642534303j),(-0.18552714806497678-0.2780910596784389j),1416350000
(0.04208035395532724-0.35277331725283945j),(-0.1907492508213441-0.2733431707896179j),1416500000
(0.029153794094871385-0.3537073176184915j),(-0.1980072732295374-0.2672824753352921j),1416650000
(0.015693478093901307-0.3547606804369761j),(-0.2038798570653433-0.2622824982590392j),1416800000
(0.0012065642883597677-0.35495050306431347j),(-0.21133525515945045-0.25524373746234186j),1416950000
(-0.010009808189662779-0.3547108348608765j),(-0.21604626621197315-0.2510235045880463j),1417100000
(-0.024438154869034282-0.3534963825836989j),(-0.22297003823252562-0.24345660449656503j),1417250000
(-0.0376848658984889-0.3524296263334577j),(-0.22787596834326376-0.23810723540615855j),1417400000
(-0.05011657274293258-0.35090668563593563j),(-0.23383570273600401-0.23045355229595033j),1417550000
(-0.06384747295376747-0.34839573268831214j),(-0.23848020648010848-0.2249121535016192j),1417700000
(-0.07719832199437386-0.34526159106544985j),(-0.24297838750210332-0.21869084746242262j),1417850000
(-0.09055984752586024-0.3422803456794662j),(-0.24816817076219663-0.2115721459885957j),1418000000
(-0.10321698236042719-0.338327931948171j),(-0.25219857300226245-0.20551157128489406j),1418150000
(-0.11623068834288382-0.33357633426228206j),(-0.2560308722186353-0.19824030325292832j),1418300000
(-0.12839725399295848-0.32923909163649273j),(-0.2608784085649162-0.19159232301861834j),1418450000
(-0.14108215615353709-0.3241710788951115j),(-0.2648299125144939-0.1850371301032162j),1418600000
(-0.15381931787384062-0.3184226075706019j),(-0.26876426191993097-0.17803641118069888j),1418750000
(-0.16601583819704488-0.3130728281837944j),(-0.27264177772575093-0.17044394903231186j),1418900000
(-0.17772352624095963-0.3063243228855599j),(-0.2764388600389363-0.16323893189656782j),1419050000
(-0.18998559082686162-0.29922970175472857j),(-0.27972921476584556-0.1555610780157536j),1419200000
(-0.2016060559134883-0.2923174249832255j),(-0.2821041247522041-0.1489303529838479j),1419350000
(-0.21248709471661534-0.28449091762109363j),(-0.28563879242070034-0.14095528932267043j),1419500000
(-0.2233845079989829-0.27677800739929403j),(-0.28887686568604515-0.13323134964829084j),1419650000
(-0.2340452021701628-0.2684439451120419j),(-0.29085756199706236-0.1262450917308753j),1419800000
(-0.24495341270783189-0.25908050121365284j),(-0.29350591379680957-0.11801809577364296j),1419950000
