S11,S21,freq
(0.36663094346336494-0.3417284686049326j),(-0.6772840382745776-0.3495261834884942j),1350000000
(0.3557531047009778-0.35403480245527646j),(-0.687247925330306-0.3330098771432874j),1350350000
(0.3406134404229323-0.36647345336551024j),(-0.6981422588048846-0.3119277611525484j),1350700000
(0.3256572687601444-0.3772910038731864j),(-0.7065198076033323-0.2946023755460882j),1351050000
(0.3107132793256213-0.38855669044401037j),(-0.7156768195962231-0.2762144467615627j),1351400000
(0.2952228210836696-0.3983601578697939j),(-0.7236509144019264-0.25799085859762544j),1351750000
(0.2781674347754451-0.4079514307984009j),(-0.7308667034809173-0.23852967385687424j),1352100000
(0.2623333323280308-0.41558258832888045j),(-0.7377698316899025-0.217822310074269j),1352450000
(0.24585583882368636-0.4226974328095181j),(-0.7428282017680214-0.19890520465793812j),1352800000
(0.22838205892443864-0.42939426762287475j),(-0.7478039650588946-0.17966257736093733j),1353150000
(0.21072486930368045-0.43436420706421236j),(-0.754330148329152-0.1609608950797771j),1353500000
(0.1924778927825844-0.4377955184261866j),(-0.7608538963084892-0.14367941579867366j),1353850000
(0.1801313572715793-0.44393309288757377j),(-0.7685721217269824-0.11933881918151365j),1354200000
(0.16391889802838944-0.4500522867155542j),(-0.7722122385334667-0.09914475268308001j),1354550000
(0.14469239839677195-0.454893017483179j),(-0.774052215684501-0.07286559122640218j),1354900000
(0.1259377717219369-0.4587656179905031j),(-0.7736694235928505-0.05251688225947311j),1355250000
(0.10609883900934358-0.46057435324410706j),(-0.7736007190597167-0.03052369464502847j),1355600000
(0.0880372460509977-0.46182860256644614j),(-0.7740239558299074-0.011843844275516793j),1355950000
(0.07063651553185316-0.4615998643906276j),(-0.7745914633086108+0.005036774797047212j),1356300000
(0.05151743607129147-0.4608036382022523j),(-0.771963966353721+0.026038937703933056j),1356650000
(0.03268315739190022-0.4597467137908762j),(-0.7706294412986127+0.04263840893197229j),1357000000
(0.014088780224035462-0.4566479156315954j),(-0.7682657646792059+0.06668442747153894j),1357350000
(-0.002234369865890838-0.4546048359517695j),(-0.7661315650606437+0.08348087965899996j),1357700000
(-0.01954356970976593-0.45090940933686036j),(-0.7624345995348127+0.10746162022983774j),1358050000
(-0.03771035288700471-0.4451588799832503j),(-0.7606712239554799+0.12178888288398923j),1358400000
(-0.05284014992066809-0.44035640274673216j),(-0.7546907292457222+0.1427624497793322j),1358750000
(-0.07257774126666046-0.433227253232534j),(-0.7509231603838861+0.1679890179516162j),1359100000
(-0.08496188571257236-0.4308887658088018j),(-0.748881116184893+0.17504666368316932j),1359450000
(-0.10110737415176524-0.42063416510304885j),(-0.738590257095227+0.20500151044776324j),1359800000
(-0.1212826629017933-0.4110015099304956j),(-0.7339517778127997+0.2211939739291736j),1360150000
(-0.13145533239097243-0.4062034060319229j),(-0.7263786952234753+0.24070176038883856j),1360500000
(-0.1482827916234465-0.3951086542211915j),(-0.718502403736748+0.2589029540148024j),1360850000
(-0.1591664970792143-0.3871727343050872j),(-0.7136718545208953+0.27403165450386485j),1361200000
(-0.1770901972245099-0.3733616164414188j),(-0.7036678436006009+0.29740103585139915j),1361550000
(-0.18749093882935544-0.36589522548462733j),(-0.7023144934339747+0.31291248133653304j),1361900000
(-0.1990614057631742-0.3528659317274968j),(-0.6901636934576452+0.3306559639689024j),1362250000
(-0.21047029789736732-0.3405096871999204j),(-0.6818893420113503+0.3452340597765349j),1362600000
(-0.220756169982835-0.329139507680748j),(-0.6720421152232912+0.3640559736013001j),1362950000
(-0.23045211479224784-0.3179282555043548j),(-0.6634104148286843+0.37853573961960785j),1363300000
(-0.24100658199566263-0.30166988688384067j),(-0.6515848006167027+0.3949908040657717j),1363650000
(-0.25053863878519106-0.2898190318561395j),(-0.6394801118086177+0.4129642149313971j),1364000000
(-0.2568439823970805-0.27675926369767706j),(-0.6280563509132936+0.42633250274871504j),1364350000
(-0.2653187687093998-0.2638183289744908j),(-0.6170625538784148+0.4413581793025799j),1364700000
(-0.2718699295512372-0.25028439520824675j),(-0.6041573069033097+0.45595465158360593j),1365050000
(-0.27735880968515864-0.23667499929279956j),(-0.5935667315682858+0.4685963899947513j),1365400000
(-0.2823068588166276-0.22209757717234827j),(-0.5801062576430012+0.48404996649060195j),1365750000
(-0.2878566185072911-0.2100481266770122j),(-0.5689462850342234+0.49631256826385695j),1366100000
(-0.29158796630725303-0.19522968463896856j),(-0.5533881416622788+0.5103131698172482j),1366450000
(-0.29490449373955535-0.1803406172626515j),(-0.540979174961993+0.5209969998134097j),1366800000
(-0.29863252145663255-0.16643105186917576j),(-0.5274235181673972+0.5367593227207548j),1367150000
(-0.29999647724420747-0.153933182805529j),(-0.5157792823890248+0.5473052595718054j),1367500000
(-0.3020103020687675-0.14019460595760583j),(-0.5058013096596767+0.5596421178385435j),1367850000
(-0.30219946734543235-0.12790696217144637j),(-0.49245213286272194+0.571668130651251j),1368200000
(-0.30314938222311183-0.11487334327846813j),(-0.47991081349994036+0.5817100111658727j),1368550000
(-0.3024143836636705-0.102578215636551j),(-0.4697939290548128+0.5910552145883239j),1368900000
(-0.30345460243111516-0.0883304585379268j),(-0.45459401358909957+0.6023268335867478j),1369250000
(-0.30298955961395807-0.07632205565774017j),(-0.4435643239776466+0.6109641701608735j),1369600000
(-0.30261495471548266-0.063284091129319j),(-0.4321748035357606+0.6188595884085187j),1369950000
(-0.3008815513140556-0.05217423313030039j),(-0.42153341035503294+0.6244089619520998j),1370300000
(-0.29838142980054544-0.04012116608983087j),(-0.4066682483971978+0.6332016980459124j),1370650000
(-0.2955448674961725-0.027848083900359328j),(-0.3921920763312317+0.6394355210727478j),1371000000
