S11,S21,freq
(-0.24461762917868726-0.2266630984508332j),(0.7403186450275049-0.1728586985724207j),1400000000
(-0.25240224029260055-0.22246446474966844j),(0.7359223948064036-0.1835959333015095j),1400100000
(-0.2550230748755321-0.22129255632779854j),(0.7340219837565893-0.18760459713866784j),1400200000
(-0.2595481976422369-0.21952590584302933j),(0.7313054504452281-0.19518438099274513j),1400300000
(-0.2649531375170142-0.2159662482566464j),(0.7271297423921536-0.20272802366660755j),1400400000
(-0.2695511378709633-0.2143704722617435j),(0.7251123451390451-0.2084854764819891j),1400500000
(-0.27513838089878817-0.20990608629578023j),(0.7203024645424524-0.21653630921011213j),1400600000
(-0.2798965149320151-0.2071816346625466j),(0.7167920185101511-0.22211537007310153j),1400700000
(-0.28464796954751903-0.20456013592279848j),(0.7127534416504301-0.22741998609186925j),1400800000
(-0.2889605351877787-0.20053392191572578j),(0.7081273490091812-0.23271957828743428j),1400900000
(-0.2938721246695318-0.1985042376014766j),(0.7044466118794267-0.23866692949073598j),1401000000
(-0.2986412009530102-0.19423842796017607j),(0.6997193539422915-0.2447145053325176j),1401100000
(-0.3015718833646166-0.19226021632447834j),(0.6964029908603018-0.2482475972562142j),1401200000
(-0.30843152303249405-0.1872405354145394j),(0.6910079767177547-0.2567779978074003j),1401300000
(-0.3119762036604603-0.18385582805871303j),(0.6860715945435555-0.26344589218829195j),1401400000
(-0.3157401033551356-0.18119211308253963j),(0.6825717026659636-0.2687463731384541j),1401500000
(-0.3210238930174369-0.17571438100285136j),(0.6772680069358028-0.2749259683881016j),1401600000
(-0.32403200754953937-0.17257597288179471j),(0.674072127062519-0.27945474673113935j),1401700000
(-0.32942402264297216-0.1678365028106038j),(0.66920619339388-0.2875896190353469j),1401800000
(-0.33428186166500007-0.16305851147759404j),(0.665014010300473-0.2924142732242604j),1401900000
(-0.3370083173145322-0.16007001271140583j),(0.6606812577716343-0.2956536272930518j),1402000000
(-0.34040845982100915-0.15507280451622552j),(0.6545143523055126-0.3006946371154443j),1402100000
(-0.3451907961396793-0.15148496918913687j),(0.6507388404549257-0.30575615260331246j),1402200000
(-0.3479977473407011-0.14708018977464726j),(0.6458675572012831-0.30870945271585415j),1402300000
(-0.35157741309847523-0.14276872405761948j),(0.6407396078015397-0.3137657725485742j),1402400000
(-0.35550508299977457-0.138093643713785j),(0.635835502227583-0.31853940736175185j),1402500000
(-0.3602270309257585-0.1324128255721417j),(0.6303388671204757-0.32455299215727607j),1402600000
(-0.36354361779283373-0.1285369581694076j),(0.6254746650294462-0.32844263729357326j),1402700000
(-0.36599698571071826-0.12405242942951873j),(0.6204163920594548-0.33267789147862065j),1402800000
(-0.36958157114612056-0.11916093818393995j),(0.6156580283232792-0.3364741001826609j),1402900000
(-0.3723887527667631-0.11381561113154581j),(0.6098571516351855-0.3409092349309842j),1403000000
(-0.37602005169397057-0.10815992100504883j),(0.6054219739608011-0.3446103841197598j),1403100000
(-0.37893743628918547-0.10309114977295307j),(0.5999116603627027-0.34736039777885597j),1403200000
(-0.3817130954204813-0.0986147415988276j),(0.5955717726740012-0.3505792523906202j),1403300000
(-0.3845609960758346-0.09384561656452695j),(0.590094928242431-0.35542496050985883j),1403400000
(-0.38649260217636616-0.09075971662257805j),(0.5876850275905154-0.35642663633887417j),1403500000
(-0.3898327153338413-0.08442781232026184j),(0.5811802573854976-0.3626266963765706j),1403600000
(-0.3921284878012642-0.07979249502322393j),(0.5772721040306148-0.3650938649477364j),1403700000
(-0.3953584232014962-0.07384380005328842j),(0.5712354847837108-0.37089689837159945j),1403800000
(-0.3972508270219551-0.06941733563763992j),(0.5666426940346299-0.3739364175200459j),1403900000
(-0.39885854048411234-0.0652370798496361j),(0.5624441232119802-0.37639653416371627j),1404000000
(-0.4020205555504048-0.05819436619352675j),(0.5562320781223937-0.380924063380892j),1404100000
(-0.40358085175471575-0.05368357594051786j),(0.5520315242617759-0.3834711435440847j),1404200000
(-0.4062554093429129-0.047554657180691594j),(0.5462962725412248-0.3878360595566691j),1404300000
(-0.4079022388821014-0.04252425333558618j),(0.5414817078470564-0.39047594963676635j),1404400000
(-0.4109166167268337-0.037341486511782956j),(0.5374044710720672-0.3940851898546749j),1404500000
(-0.41161639234312003-0.031477474209937385j),(0.5313695222709638-0.3971013116125533j),1404600000
(-0.41307816410846426-0.027384609916597982j),(0.5275345357019203-0.39970992176189374j),1404700000
(-0.4148775485854281-0.02131384815044398j),(0.5223337409252531-0.40392725553917064j),1404800000
(-0.4155125707335311-0.016591646211729306j),(0.5186181968960519-0.4051726961281566j),1404900000
(-0.41852231785311084-0.00962638260636172j),(0.5133674794746558-0.4092105109691562j),1405000000
(-0.41991850083191784-0.0045121282546801604j),(0.5078358217248308-0.4122850573077869j),1405100000
(-0.42055410857889897+0.00013688175287386906j),(0.5027600240827133-0.41392437720577063j),1405200000
(-0.422108839961603+0.005738399271521449j),(0.4979093736180545-0.41621817382564946j),1405300000
(-0.4234887321194861+0.011298261620119602j),(0.49260772180880524-0.4191020655775342j),1405400000
(-0.42574619688376086+0.016741830491619567j),(0.4871582113615498-0.4224102232752554j),1405500000
(-0.42544466919469387+0.02289501008978275j),(0.4826130560155188-0.4238330292930526j),1405600000
(-0.4266881094082476+0.02811306942658627j),(0.47817229100198005-0.4264474123648848j),1405700000
(-0.42282951624924975+0.025480326821349514j),(0.47507001370024393-0.42942764957471136j),1405800000
(-0.4237733233878286+0.031303756996727466j),(0.4695189749605759-0.4326259740574286j),1405900000
(-0.4246145945703397+0.0364384817146813j),(0.4647101585969044-0.4348288790029874j),1406000000
(-0.4246919143003795+0.042732073691992715j),(0.45949976413282556-0.436762159798689j),1406100000
(-0.4260831471994195+0.04798785637856703j),(0.45496772031724836-0.4386512332802367j),1406200000
(-0.4263789669498055+0.0534638635395345j),(0.45059793741015514-0.4398896987848725j),1406300000
(-0.42610412932847463+0.058756596207877314j),(0.4465838016406768-0.4400094453520624j),1406400000
(-0.427423661828385+0.0645111288534748j),(0.44132903887310565-0.44320072595150173j),1406500000
(-0.42775289433037567+0.07137894419401082j),(0.4353170561221898-0.4461075981499568j),1406600000
(-0.42826930178795103+0.07605084455748547j),(0.43077944718403194-0.4480433831099836j),1406700000
(-0.42789861260805173+0.0810547553689605j),(0.4254639326589855-0.45009967170224574j),1406800000
(-0.42843482009218375+0.08607830956553342j),(0.4218069871907107-0.45062317669280305j),1406900000
(-0.4289837719512771+0.09185269519982756j),(0.4163029199035668-0.45259804160318096j),1407000000
(-0.42836728573096516+0.09767010611425585j),(0.41060276902878046-0.45343480616258774j),1407100000
(-0.4282798555909113+0.10264944926720203j),(0.4069961901544238-0.45442398807932616j),1407200000
(-0.4276994811026141+0.10845254068386856j),(0.4018240857546931-0.4559315404628185j),1407300000
(-0.42757534611339165+0.11402048604076917j),(0.3981481958742952-0.45681510715245405j),1407400000
(-0.4270952218092834+0.11971530001161836j),(0.39231762504838774-0.45913096211797255j),1407500000
(-0.427183679734592+0.12477854844616676j),(0.38830214293806387-0.4599375640277912j),1407600000
(-0.42619157941990854+0.13067121429296585j),(0.382986442116584-0.46179349563732053j),1407700000
(-0.4261888430281978+0.13601083653259716j),(0.3783949846350268-0.46298160694349455j),1407800000
(-0.425091135128611+0.14196437165504075j),(0.3734656455616924-0.46389660331769106j),1407900000
(-0.42563341484222605+0.14745298463642448j),(0.3694013033157908-0.46535764162253107j),1408000000
(-0.4243510075293953+0.15317094509104112j),(0.3648860136795804-0.46570961277704526j),1408100000
(-0.42363021616978913+0.1582104471917347j),(0.3607619181382138-0.4667792419275346j),1408200000
(-0.42274791333820777+0.1643997109078212j),(0.354472277690111-0.4691062565385429j),1408300000
(-0.42173011944021127+0.1694236473492965j),(0.3499175018996091-0.4703675553078515j),1408400000
(-0.42094812266239007+0.1749749612032971j),(0.34476176812867826-0.4719185725388123j),1408500000
(-0.4194204512205115+0.180916269963932j),(0.3405430487457979-0.4722164769375747j),1408600000
(-0.41745573627664884+0.18719189986054946j),(0.33535388610188077-0.4730589652666296j),1408700000
(-0.4159816295638158+0.19220987186615723j),(0.3309882315536966-0.47367460907330927j),1408800000
(-0.4144546427584103+0.19752421478603358j),(0.3272931996401145-0.4738404902530672j),1408900000
(-0.41349724555586187+0.2027971245126682j),(0.3231308398250227-0.4742176191506403j),1409000000
(-0.41234027429829045+0.2081302340565968j),(0.3192526080491507-0.4746508909324552j),1409100000
(-0.41039278587894407+0.21295421794484423j),(0.31510629309660615-0.47555665007265596j),1409200000
(-0.40874544545935015+0.2183398177707321j),(0.31115787687111895-0.4756634945790539j),1409300000
(-0.40735516088864704+0.2228528454805504j),(0.30825354531293797-0.4753246014608251j),1409400000
(-0.40540628258925016+0.22834216519212816j),(0.30332633987593927-0.4762055245366651j),1409500000
(-0.40339872796986065+0.233309871557751j),(0.29966549165661527-0.47619179446464j),1409600000
(-0.4015406435905019+0.2382343960064137j),(0.29530006790959495-0.4770305410992425j),1409700000
(-0.3996001405916153+0.24314308174920368j),(0.29146320706090917-0.47726819297574846j),1409800000
(-0.3973219708154854+0.24886160482743497j),(0.2868667929156293-0.4781393773587807j),1409900000
(-0.39530831351760415+0.2545349008677272j),(0.2814915912019602-0.47864527072225105j),1410000000
(-0.3957604713330879+0.2536005576642169j),(0.2813709651440591-0.4792734052159903j),1410000000
(-0.39336818154043424+0.2585406500919797j),(0.2781154067387288-0.47872432273492727j),1410100000
(-0.39163006348088136+0.26316688507928127j),(0.27395570230103106-0.47972009049630565j),1410200000
(-0.38916563579310426+0.2676373379018282j),(0.2704953688914346-0.47987879199255407j),1410300000
(-0.38719619367475117+0.2729424899155462j),(0.26673073138461734-0.48077220699442563j),1410400000
(-0.38499823193917354+0.27810667673768336j),(0.26267724393136244-0.48161780264464243j),1410500000
(-0.3830765527216414+0.2824317442053901j),(0.2607162760151546-0.4817743762224053j),1410600000
(-0.38018019789668805+0.28788895754993193j),(0.25545764821147565-0.4827364501362694j),1410700000
(-0.37744295947867246+0.29299535079968064j),(0.25170411676212995-0.482872447547902j),1410800000
(-0.3741938394304654+0.29806801694114077j),(0.24728045567398105-0.4835486343109602j),1410900000
(-0.37187057134999346+0.30309276550661557j),(0.24331544102285985-0.4838162545131531j),1411000000
(-0.3693430706451358+0.3081259160976687j),(0.24037706112879578-0.4830438117847613j),1411100000
(-0.36622110785609696+0.31300845431089575j),(0.23554892569245087-0.4833191847566526j),1411200000
(-0.3633249983915219+0.3173137980865075j),(0.23251483078330804-0.48247511916482694j),1411300000
(-0.3605701314185996+0.3220119627451731j),(0.2283164897140937-0.4825500709856825j),1411400000
(-0.3570018755774619+0.32648751878367926j),(0.22458671363951696-0.4818133908085614j),1411500000
(-0.35416817110533155+0.33059802364767443j),(0.22018947396956615-0.4821306999372051j),1411600000
(-0.3513802585190394+0.33498972474764865j),(0.2174435685678256-0.48114096585804655j),1411700000
(-0.3486133536026961+0.3398067656248736j),(0.21381859925746335-0.4813554275488002j),1411800000
(-0.34620958035838184+0.34343511989038605j),(0.21136389294316-0.4812744044876165j),1411900000
(-0.34332866248817595+0.34812125673605815j),(0.2080945504604187-0.48052731165723434j),1412000000
(-0.339491898252779+0.35291889382143854j),(0.2032395305812757-0.48122718907784784j),1412100000
(-0.3358179460187095+0.35671595922252847j),(0.20014460617987784-0.4808770549959963j),1412200000
(-0.3318868947347272+0.36137599836734413j),(0.19601807456359463-0.4810224330292558j),1412300000
(-0.32818802823120474+0.3659799745699601j),(0.19258342997044714-0.48075565398728654j),1412400000
(-0.3253133543968124+0.3696652566837408j),(0.18956795331274245-0.48036669705254653j),1412500000
(-0.32207059858554743+0.3735809292922938j),(0.1869529765381895-0.4795423498104299j),1412600000
(-0.3181188270924162+0.37876110140804076j),(0.18338897701459153-0.47874216322579843j),1412700000
(-0.31511023981471253+0.38202774385205585j),(0.18037517586448942-0.4790253946552001j),1412800000
(-0.3110846928338965+0.3867706058870885j),(0.1758114704630888-0.47922687713307754j),1412900000
(-0.3074192708904792+0.39072261971830263j),(0.1724768700640438-0.47913869412328697j),1413000000
(-0.3033327468404489+0.39455893901682737j),(0.16966017988958013-0.4785927148637693j),1413100000
(-0.29975202895626774+0.39785367476004097j),(0.1669343518335061-0.4782732502475626j),1413200000
(-0.2950461487578115+0.4027162115430794j),(0.16215038366748025-0.4783390147052342j),1413300000
(-0.29115683786936447+0.40587906110539873j),(0.1601456544067513-0.4776150910425107j),1413400000
(-0.287925534109723+0.4090247022756437j),(0.1585164641197458-0.4772543362119643j),1413500000
(-0.28368848470203606+0.4133806682547358j),(0.1549176522529791-0.4768531014338829j),1413600000
(-0.27978785181824367+0.417537532236738j),(0.1495216952627852-0.4774003346771967j),1413700000
(-0.2759925620807959+0.42134675989801845j),(0.14764622162578347-0.47678426682223113j),1413800000
(-0.27222565809420374+0.4245801844062011j),(0.14547637814747655-0.4769565109744838j),1413900000
(-0.26837173119659236+0.4277172997794198j),(0.1423989407973365-0.47651647566770594j),1414000000
(-0.2643881255456226+0.43107901629252465j),(0.13967348467583268-0.4765073808618019j),1414100000
(-0.260061687408174+0.4351335942373969j),(0.13524399292394354-0.4770413507817303j),1414200000
(-0.25634366892233174+0.4374127985723951j),(0.13451113123062616-0.4765350607117379j),1414300000
(-0.2515498527774344+0.44134808097631206j),(0.12875501045936544-0.4773235143135927j),1414400000
(-0.2469526224729354+0.4444798062858554j),(0.1264833043826138-0.47721428602708643j),1414500000
(-0.24245376220720785+0.4477487724539825j),(0.12295373919236251-0.4765807303594859j),1414600000
(-0.23741580459103426+0.4509084668175858j),(0.11937167128620559-0.47539069600053385j),1414700000
(-0.23303044664018951+0.4540168054892636j),(0.11772293820211527-0.47486265684794615j),1414800000
(-0.22921831069092535+0.45658879185627205j),(0.11414366236006483-0.47527010861401686j),1414900000
(-0.2253879760499715+0.45955287383774307j),(0.11023851078038928-0.4762198774062461j),1415000000
(-0.22186558441994744+0.46235784499660454j),(0.10743287821967795-0.47741324732205237j),1415100000
(-0.21768933871578444+0.4653170383759925j),(0.10446953798700412-0.477995119473044j),1415200000
(-0.21299729286124428+0.4684495893616022j),(0.10028426017693161-0.4786256611592466j),1415300000
(-0.20776014624452743+0.4715504171280364j),(0.09757479133533642-0.47827342331759887j),1415400000
(-0.2031639037665145+0.47420257518840286j),(0.09487645769987033-0.4783010504264352j),1415500000
(-0.19887732141888498+0.47721829975851743j),(0.09168863177813787-0.4782085823691954j),1415600000
(-0.1939398583260687+0.48053156843530676j),(0.0879898564087135-0.4780547067551098j),1415700000
(-0.19012677304100373+0.48366168757347366j),(0.08539482344261208-0.4781582839009375j),1415800000
(-0.18609855262718664+0.4863551098988644j),(0.0826742746572685-0.47858198591094425j),1415900000
(-0.18143173740170718+0.4890215519425958j),(0.07980333737042117-0.478126956861541j),1416000000
(-0.17614669769456942+0.49162710218070543j),(0.07583178808440555-0.4773429635822668j),1416100000
(-0.17144185805199164+0.49413910018800944j),(0.07259252427267805-0.4772239107061415j),1416200000
(-0.16657680673275682+0.49641290812707517j),(0.06925046598128337-0.47667848447474165j),1416300000
(-0.1620487436578893+0.49885273027027255j),(0.06722809638111467-0.47606615005373j),1416400000
(-0.15742608001748876+0.5015017763530946j),(0.06219240573083957-0.47601190330129306j),1416500000
(-0.15281338603642663+0.5031223457057883j),(0.059810234593438934-0.47446675008498995j),1416600000
(-0.14772447625525273+0.5056832656587965j),(0.056198389472655-0.47440055255253055j),1416700000
(-0.14264178119946652+0.5081715548123779j),(0.052982263363080574-0.47422943817891j),1416800000
(-0.13791206433827427+0.5107293981795406j),(0.04999029644830055-0.47405761153954656j),1416900000
(-0.13276564553141754+0.5126275221943399j),(0.047569572333399555-0.4731593541672843j),1417000000
(-0.12751882449710092+0.5150256290473858j),(0.04463873698554124-0.47205016715578507j),1417100000
(-0.12274503818218327+0.5174418269701215j),(0.0422300840610683-0.472059138982927j),1417200000
(-0.11768748324900907+0.5195470563209392j),(0.04004717173992352-0.4710434260215541j),1417300000
(-0.11235420180221056+0.5217474351667517j),(0.035424641107149026-0.47036142868120656j),1417400000
(-0.10676389079283465+0.5237938483413406j),(0.033978504965041345-0.46895341147019404j),1417500000
(-0.10187304238932458+0.5264168264700105j),(0.03107750639204499-0.46876332459652753j),1417600000
(-0.0967482072016864+0.5280671338644412j),(0.027263452169321058-0.467697639302412j),1417700000
(-0.09194865927575897+0.5294666493373609j),(0.02535567388453276-0.4667438523157217j),1417800000
(-0.08706113067099033+0.5307715332131616j),(0.02188711969819999-0.4660147366062903j),1417900000
