S11,S21,freq
(-0.16935180901989158-0.3222337418214989j),(-0.12055671547862408-0.02908569249413412j),1200000000
(-0.21018804429102664-0.2935825610604501j),(-0.12479674324856325-0.020602518218934076j),1200400000
(-0.24739837300923745-0.26123747081632004j),(-0.12838649253682693-0.011941302935462104j),1200800000
(-0.2804941528337686-0.22366559055859356j),(-0.13116063561063507-0.0020175286866624402j),1201200000
(-0.3100233911094648-0.1827377543520969j),(-0.13339869993804687+0.007887890208676217j),1201600000
(-0.33286519948862486-0.13863914576823202j),(-0.13462173009794298+0.018328937956498217j),1202000000
(-0.35035022924623344-0.09138439852308104j),(-0.13504986586535853+0.028875064861254636j),1202400000
(-0.3619669597200998-0.043404310381380984j),(-0.13459669926176837+0.040172363286001024j),1202800000
(-0.36845329578568126+0.005759364327124351j),(-0.1333341344526554+0.050855243715722066j),1203200000
(-0.36841899308807524+0.05481961156738115j),(-0.13107832028705707+0.0614227743835915j),1203600000
(-0.36190053048531357+0.10461480086554492j),(-0.1277128647626902+0.07250042295797575j),1204000000
(-0.3493792239586616+0.15235413211566715j),(-0.1232725455349096+0.0832858719521487j),1204400000
(-0.33224285941250004+0.1969548274075884j),(-0.11827118056559013+0.09355901853584156j),1204800000
(-0.3093429718301863+0.24039639693466458j),(-0.11182766043885445+0.10398871625024653j),1205200000
(-0.28201462783368136+0.27932022897278647j),(-0.10523023213678315+0.11325404772496996j),1205600000
(-0.24854063182317948+0.3154435742256844j),(-0.09678154940335677+0.12245788024739072j),1206000000
(-0.2134083766337223+0.3463958969676274j),(-0.0884123900787869+0.13065394868010885j),1206400000
(-0.17265001736812116+0.373825868156457j),(-0.07883499931261766+0.13865209115424326j),1206800000
(-0.1301923525436558+0.3951332616869381j),(-0.06883197708095436+0.1455897884835157j),1207200000
(-0.08600004511694345+0.4107344197984468j),(-0.05811592720952139+0.15182538110605842j),1207600000
(-0.03948145118508569+0.4214401859165448j),(-0.03531138721005714+0.1621670350587686j),1208000000
(0.007779104922199321+0.4262980712675873j),(-0.023087720688616965+0.1656589838951646j),1208400000
(0.053096919963169426+0.4256504468897904j),(-0.010618092004128525+0.16850752538955746j),1208800000
(0.09952370560039794+0.41957195558016475j),(0.0026357085374459723+0.17010461979681998j),1209200000
(0.14482729889265608+0.4082745954031953j),(0.01542309992436975+0.17070659980413j),1209600000
(0.18717336935885406+0.39200330484858836j),(0.027849005530293187+0.17066639877074893j),1210000000
(0.22821583231625622+0.3704390640442713j),(0.04121945051370185+0.16943910975792367j),1210400000
(0.2661562884420935+0.34399843437140976j),(0.054013910449772176+0.1669749103174836j),1210800000
(0.301496877545819+0.3129553266557899j),(0.06783295797435573+0.16338060812042024j),1211200000
(0.330753711273852+0.28083579632535227j),(0.07931555252770507+0.15951252301518845j),1211600000
(0.35784339827447886+0.24253090987769252j),(0.09266805205455934+0.15388857542272952j),1212000000
(0.3802928877038415+0.20364407448858712j),(0.10381045905471234+0.14769898360160622j),1212400000
(0.39752285609016375+0.16204812769298071j),(0.11601276456990044+0.14066702639729808j),1212800000
(0.41069416118414953+0.11719749766892845j),(0.12688986029519972+0.1323838281164327j),1213200000
(0.4184094407441627+0.07346171557552117j),(0.137108890648875+0.12409446137770654j),1213600000
(0.42101630218322095+0.027606329308871476j),(0.14719130010040832+0.11370183277456906j),1214000000
(0.41859201699356346-0.017993491632189253j),(0.1564192780779962+0.10358563550370031j),1214400000
(0.4102079679613425-0.06426065526504081j),(0.1652027211660262+0.09166860640629966j),1214800000
(0.39860635746264717-0.10695048983282927j),(0.17245499487000676+0.08042815678361763j),1215200000
(0.3805478793821676-0.15090759576246437j),(0.17992401547169212+0.06654884720065381j),1215600000
(0.35818280122839236-0.1909588686156074j),(0.18536980935983696+0.053982770025630095j),1216000000
(0.3328837285924404-0.2276513314211217j),(0.1903337723400425+0.04026113301234572j),1216400000
(0.3021957021652749-0.26239334503180484j),(0.19426899847128462+0.025726568009890566j),1216800000
(0.2677042845251203-0.2933008318751154j),(0.1970029472097238+0.01035683385173431j),1217200000
(0.23118956305560043-0.3198864636983327j),(0.19861014147115408-0.003989887864060092j),1217600000
(0.19019753018070606-0.34256033076745945j),(0.19901347750582168-0.02014529124118143j),1218000000
