S11,S21,freq
(-0.005591966261503578+0.0003563644719831862j),(0.9997459613088867+0.0010112977072290956j),1200000000
(-0.005775203074519254+0.0003934008963835884j),(0.9998899540169623+0.0019768121144544083j),1200500000
(-0.006690081232786536+0.0005886473182812005j),(1.000060413871134+0.0016758729854810723j),1201000000
(-0.00688866228661413+0.000487401015952218j),(0.9999340964199714+0.0009095715434477472j),1201500000
(-0.00730017187829545+0.0008135963187399923j),(1.0004349475229097+0.001713305438087173j),1202000000
(-0.0076559219057171085+0.0008828698031234963j),(0.9996564258159492+0.0010287982500778857j),1202500000
(-0.007940306657501568+0.0006353907633366389j),(1.0005136473775045+0.0035816714214786643j),1203000000
(-0.008428876915299827+0.000819506928355853j),(1.0002816276714894+0.002470939398005611j),1203500000
(-0.00873859822345743+0.000867487622486624j),(1.0012819620791897+0.0028312156493580766j),1204000000
(-0.009281349068574451+0.0010704542860238478j),(1.000091174243135-0.002132430536697969j),1204500000
(-0.009490185128047704+0.0010396051715070996j),(1.0015272868790945+0.0018742117149118903j),1205000000
(-0.009909402562442127+0.0012876967025273025j),(1.0006537419569266+0.001988982511389339j),1205500000
(-0.010134836612184912+0.0014187993236737101j),(1.0006343984602646+0.0023687140433323764j),1206000000
(-0.010803259663891911+0.0015603486293244288j),(1.00062164614241+0.0017740218898690536j),1206500000
(-0.01084307507984888+0.0015669938451259144j),(1.0003608080824729+0.0009114351242504486j),1207000000
(-0.011372383308318247+0.0017997662468255198j),(1.0008785942053242+0.0028919819142380447j),1207500000
(-0.011666786752412242+0.0017130157165558602j),(1.0006119680180903-0.0008876621553855325j),1208000000
(-0.011895449584591744+0.002219754829318338j),(1.0001880521264654+0.00421312721253017j),1208500000
(-0.012547186401768823+0.0018604794685992054j),(1.0009395409288382-0.0013436428682589892j),1209000000
(-0.012833251909005527+0.0024757927077158756j),(1.00098105231559+0.005598497952049025j),1209500000
(-0.013337526560068428+0.0024565759753245545j),(1.0012598140712443+0.0026959974150573755j),1210000000
(-0.013108600253123348+0.0025496470387481136j),(1.0008436607952051+0.0028613226947666443j),1210500000
(-0.013673394711758945+0.0029409989586391366j),(0.9994456943449821+0.0018236657253669407j),1211000000
(-0.014113942350878346+0.0027014030898895843j),(1.0003457802912454+0.0014250291796600444j),1211500000
(-0.014608379492600966+0.002983415881215567j),(1.0007834460828684+0.001731003923390392j),1212000000
(-0.014867911244917058+0.0033025728842132245j),(1.0003840255232757+0.0007907856058456427j),1212500000
(-0.01513055482751448+0.003257946053872584j),(1.000872903260811+0.002691261217691506j),1213000000
(-0.015627853477461196+0.0035264874744856465j),(1.0007515557436446+0.0031173482630723823j),1213500000
(-0.015949143329634114+0.00335074469013268j),(1.0015696601262327+0.0005071555455905615j),1214000000
(-0.01628154584275843+0.0037572535282246605j),(1.001293591040286+0.0044369071225749575j),1214500000
(-0.016234913653535278+0.003827466687064194j),(1.0016094937676376-0.0001930525214057135j),1215000000
(-0.017019802886749154+0.003998114542406853j),(1.0008693064320895+0.000538626633427787j),1215500000
(-0.017010718940173645+0.004241851148093412j),(1.0012740538626919+0.0028247326641535403j),1216000000
(-0.01766939314848125+0.004575237483350489j),(1.000081586810737+0.0020041074899179974j),1216500000
(-0.017652447983330353+0.004560889595735313j),(1.0005173496689777+0.000745048504879419j),1217000000
(-0.018236827087501694+0.004923164620770956j),(1.0008418918626165+0.0032576677973560216j),1217500000
(-0.018343165579969248+0.005193613436990071j),(1.0011913693506054+0.0018642909191682999j),1218000000
(-0.018726567740240063+0.005172012155244797j),(1.0008884745316742+0.002950697069032271j),1218500000
(-0.018975320491638636+0.005406223398490866j),(1.0013339506922996+0.0015759156051424303j),1219000000
(-0.019439492959444395+0.005677252051652371j),(1.0011337118389325+0.002886434647287769j),1219500000
(-0.020201584627429516+0.0057061310920297065j),(1.0011971876842882+0.0017261202182311261j),1220000000
(-0.020167154813871723+0.005829096903441798j),(1.0020858327509314+0.002891417125096933j),1220500000
(-0.020544611958333202+0.006221325709237291j),(1.001339944465112+0.002345673169713379j),1221000000
(-0.020748942496682157+0.0062760764581781675j),(1.0013543012044321+0.002773853079495202j),1221500000
(-0.02109357364667782+0.006478219857576096j),(1.0002713132862882+0.002477367964514329j),1222000000
(-0.021536659872360104+0.006662723728768324j),(1.0007622866567394+0.0027257563301932956j),1222500000
(-0.021824590443167726+0.007076133925477778j),(1.001297781512037+0.002601406788540525j),1223000000
(-0.022065508573466466+0.007226565290741812j),(1.0000835068292193+0.0003484855727653751j),1223500000
(-0.022443859411625855+0.0076067341534194685j),(1.0010681392852372+0.0033876640578308502j),1224000000
(-0.022450096106047524+0.0076903414050052j),(1.0015761325510957+0.0017762364264312272j),1224500000
(-0.022889894325790618+0.007869304963973716j),(1.0008309071950783+0.0027716929721180628j),1225000000
(-0.023265127674656494+0.008367641654230706j),(1.0009512084208236+0.0033971081811557057j),1225500000
(-0.023416377200936558+0.008577161589803968j),(1.0004356703214188+0.00269507481849511j),1226000000
(-0.02384818742693821+0.008666649907952809j),(1.0004178452143073+0.0019225939315964647j),1226500000
(-0.024225333019413937+0.009009721624238111j),(1.0009766333733474+0.00023899608809573936j),1227000000
(-0.024337376494798044+0.009308572334825639j),(0.9999878673293439+0.004242903448809515j),1227500000
(-0.0246780264085613+0.009376081733362351j),(1.0005170905318996+0.000871283494700481j),1228000000
(-0.025171574243370187+0.009804535222768763j),(1.0007760522940436+0.005660075567636839j),1228500000
(-0.02534267148450915+0.00965816137522804j),(1.0005279761808326+0.0012844168381472803j),1229000000
(-0.025141779104422925+0.010337747617954654j),(1.0010900145094908+0.0035435671828888344j),1229500000
(-0.025885760462181415+0.010368841446820237j),(1.0004379354937187+0.0016398677828670977j),1230000000
(-0.026027471868925407+0.010558888176029084j),(1.0009776904193568+0.002142686989918307j),1230500000
(-0.026516370829161296+0.010998953783064577j),(1.000627771787514+0.003406929679925717j),1231000000
(-0.026723269551857203+0.01148973431004965j),(1.000918932272954+0.0019033183332626304j),1231500000
(-0.026975440964461472+0.011206496565962306j),(1.0004264787648474+0.0022534371661578918j),1232000000
(-0.027034033081260483+0.011768295316123572j),(1.0009767007881514-0.00131863879133012j),1232500000
(-0.02738081949900105+0.012082022805423647j),(1.000421388980831+0.003385494126132689j),1233000000
(-0.027420187185935613+0.012396603827620757j),(1.0011377437782145+0.001178252753626746j),1233500000
(-0.027839440366521362+0.012737367618689151j),(1.0016670329278492+0.00443568206050793j),1234000000
(-0.028124243119870378+0.012937822126203447j),(1.000623753857158+0.0010690028074811977j),1234500000
(-0.028364241152889436+0.01321162360770351j),(1.0008802265729613+0.0026996746636316626j),1235000000
(-0.02841683535605379+0.01351338509014482j),(0.9996719106949121+0.0007588452374637115j),1235500000
(-0.028752715919042764+0.013813732856788472j),(1.0014122144297968+0.0028238322423238763j),1236000000
(-0.029056869563640883+0.013933646587685523j),(1.0003984640062114+0.0022268244180138814j),1236500000
(-0.02933649917158954+0.014372191843366678j),(1.0010783923997255+0.0027637524688059224j),1237000000
(-0.029605725618062507+0.014592546843890223j),(1.0014365153591172+0.002967568574827522j),1237500000
(-0.029936450356752187+0.015055847815738132j),(1.0011260120806205+0.001011282058590746j),1238000000
(-0.02982308276410564+0.015373093214315766j),(0.9991291898729819+0.0035655599113732714j),1238500000
(-0.030272209501383762+0.01530203041468281j),(1.0010260513274074+0.0016577802682039519j),1239000000
(-0.0301372804753625+0.01603278040738943j),(1.0009444924705024+0.003951888394756361j),1239500000
(-0.030503664017648823+0.016199933925701907j),(1.0015544537403427+0.001790077692614106j),1240000000
(-0.030743437211922544+0.016486976411945443j),(1.0012824960637683+0.004927339615421507j),1240500000
(-0.030886840618610474+0.01663840592239943j),(1.001367229117192+0.0006133812813059658j),1241000000
(-0.03105757236394561+0.01723217636853599j),(1.0011973008558153+0.0016732032892962127j),1241500000
(-0.031271567093477955+0.01756756947132806j),(1.0016065464283563+0.0005964243851948193j),1242000000
(-0.031336631654058617+0.017873104545731006j),(1.0010179800149104+0.0029860696211471346j),1242500000
(-0.0316321666628303+0.018314261550391557j),(1.0008805702889254+0.0035382561233158975j),1243000000
(-0.03191124989103414+0.01862853875454437j),(1.001003944355426+0.001454767613879221j),1243500000
(-0.03195431398905297+0.018955680873416335j),(1.000990259907626+0.002906841971552495j),1244000000
(-0.03211491794856006+0.01920514807521027j),(0.9997343672417699+0.002906204915648494j),1244500000
(-0.03241632164376404+0.019280051007784953j),(1.00053864454263+0.005394265027375811j),1245000000
(-0.032507165316918524+0.019819802053694408j),(1.000847722708113+0.001467810304618197j),1245500000
(-0.032800562048226914+0.02024927262146452j),(1.0007048094042037+0.0033477855147402698j),1246000000
(-0.03271351101140732+0.020711532813820734j),(1.0002315277123022+0.000853017532755392j),1246500000
(-0.03309658795379278+0.02077914135876771j),(0.999914348915211+0.003991392304250743j),1247000000
(-0.032967054232252394+0.02125816263558992j),(1.001013453369072+0.0021162990719805525j),1247500000
(-0.03343274371258278+0.021707063158556993j),(1.00082342794568+0.0016775297580484592j),1248000000
(-0.03367464094974037+0.021983584283918983j),(1.0002021418805382+0.00259359163218733j),1248500000
(-0.03353349166769781+0.02236438901988853j),(1.0005770071991904+0.0018773105074582376j),1249000000
(-0.03385933344036058+0.022660923990614798j),(1.0006746540714528+0.0014788205484100115j),1249500000
(-0.03385831924050868+0.02295181088406109j),(1.000772894089745+0.0013491783177539767j),1250000000
(-0.03425677940939602+0.02293358528369108j),(1.0012480624010438-0.0005048672906819694j),1250000000
(-0.033991817854440616+0.0232748922616892j),(1.000370479055979+0.0019413913572464063j),1250500000
(-0.034116055735410766+0.023688388366528937j),(1.0007038002371664+0.0016340134168047167j),1251000000
(-0.03418984177794417+0.024284977170708825j),(1.0010471067675195+0.0034021891528164677j),1251500000
(-0.03444741924294635+0.02436652081791142j),(1.0002482120048557+0.004314327316864528j),1252000000
(-0.03469332099150895+0.02485295425476883j),(1.0019043632109963+0.0025457416327596847j),1252500000
(-0.03462915416788101+0.025097525524778074j),(1.0001872539072163+0.0016557660975518803j),1253000000
(-0.034800438039349214+0.025791930333102262j),(1.0003592038048945+0.0023625705460025154j),1253500000
(-0.034797383194575066+0.025973603450173938j),(1.0003307129645285+0.005977024264615732j),1254000000
(-0.03491915194845965+0.026082336889638943j),(1.001112464962996+0.0003365672386765555j),1254500000
(-0.03503761536783687+0.026701121273149147j),(1.0006948226876722+0.0035316768433366536j),1255000000
(-0.03535965781526576+0.02701082163599704j),(1.0009702997197005+0.003047680297046952j),1255500000
(-0.03533795797763472+0.02761474747603317j),(1.0008881878217497+0.0019184481585228308j),1256000000
(-0.03560288774098736+0.027980952242359306j),(1.000438701165811+0.003294666915355572j),1256500000
(-0.03528163136642667+0.028425020367238974j),(1.0012634314340554+0.0024299791544692383j),1257000000
(-0.035532825093193575+0.02863463381576117j),(1.0003556882693307+0.0033910584638409793j),1257500000
(-0.03552266931545137+0.02899713321019242j),(1.0008577030087615+0.002720352216680603j),1258000000
(-0.03578278993701368+0.02933962346408481j),(1.0012353807758598+0.0026251557964264336j),1258500000
(-0.0357639579272473+0.029715569907927866j),(1.0014885094274766+0.0005114912007326263j),1259000000
(-0.0358352086263315+0.030045288676296918j),(0.999297469037255+0.002814552859059445j),1259500000
(-0.03595226688287199+0.030814811898955397j),(1.0012954875008844+0.00014308899794362052j),1260000000
(-0.036008919394763875+0.03100027937582273j),(1.000682478424153+0.0018879008783218591j),1260500000
(-0.03600075945238928+0.03140641121310969j),(1.0006314480968566+0.000813599619523257j),1261000000
(-0.03597616891193632+0.031972180287652946j),(1.0005321434616672+0.002520895911696584j),1261500000
(-0.03595584498048478+0.03226074536791408j),(1.0015366333591316+0.002232107236603216j),1262000000
(-0.03622623103071681+0.032450757858155634j),(1.0004277451405565+0.006141934167011471j),1262500000
(-0.03603052948206616+0.03300830975781106j),(1.0006127309504993+0.0006056877015486501j),1263000000
(-0.03612894225640986+0.033547548650842834j),(1.000339979661581+0.001012580417276087j),1263500000
(-0.03605698692342296+0.033994175483370734j),(1.000840157517409+0.002640039739019144j),1264000000
(-0.03588373304854783+0.034098502574630346j),(1.0004444339241614+0.002109752562386108j),1264500000
(-0.036315733795417054+0.03468708702299183j),(1.0011285597094026+0.0010276762276904955j),1265000000
(-0.03648428590036826+0.034870118313989604j),(1.0015764805713376+0.004558924311160473j),1265500000
(-0.03616752739440567+0.03547001102664038j),(1.0001311440338487+0.0037303573801447313j),1266000000
(-0.036109908335434406+0.03554991144275331j),(1.0012828713908764+0.0013667656142324989j),1266500000
(-0.036210287873904554+0.036205145760250364j),(1.0006546530721634+0.002603803510831672j),1267000000
(-0.03622963409358966+0.03670137031020327j),(1.0007434679035638+0.0026759877012892683j),1267500000
(-0.03636812726287597+0.03698661166350414j),(1.001139040005222+0.0036252326612845644j),1268000000
(-0.036011583047957166+0.03736176232447805j),(1.0008909181305043+8.904738491552619e-05j),1268500000
(-0.036434440038244684+0.03779167311757564j),(1.0015332748787595+0.002538582869301224j),1269000000
(-0.03636483267983464+0.038153554987055784j),(1.0009044483741134+0.002938574825578566j),1269500000
(-0.035945010070293985+0.03844481497312944j),(1.0007222234029038+0.0014108430896091213j),1270000000
(-0.036027012147375005+0.038919277050334634j),(1.0006613750517215+0.0023647203677008293j),1270500000
(-0.03606562464514523+0.03928677721251949j),(1.0005698916083299+0.0024332570471879656j),1271000000
(-0.036205238399963736+0.039673129013671274j),(1.001119364605544+0.00265609636369968j),1271500000
(-0.03635818239305978+0.04045693841389343j),(0.9999283276890821+0.0024476139018036478j),1272000000
(-0.036327219538079804+0.04080264360138999j),(1.0013731594957467+0.0015592047728612904j),1272500000
(-0.035816037363000174+0.04103073843531601j),(1.0007567540951623+0.006103771930725694j),1273000000
(-0.03586626865064813+0.041457367158737705j),(1.0012430635012592+0.0006136788991397209j),1273500000
(-0.03589648953424159+0.04193700246665313j),(0.999980197568176+0.004015717493141289j),1274000000
(-0.03570028941266491+0.04209246733338889j),(1.000805805352724-0.0003893419401396771j),1274500000
(-0.03580568389512426+0.04254132681727975j),(1.0003126091800234+0.0024741420938998093j),1275000000
(-0.035606003821735635+0.04294487567262313j),(1.0020301944178522+0.0024438720064978337j),1275500000
(-0.03564905544470382+0.04346602036458698j),(1.000388312485789+0.0027948810395372636j),1276000000
(-0.03553452089724947+0.04387180727504445j),(1.0003313577143218+0.0007952619610770519j),1276500000
(-0.03560195493559496+0.044495035871586666j),(1.0008304125565957+0.004278031112527572j),1277000000
(-0.035381033661767355+0.04446100193039954j),(1.0002414130532793+0.0009134586282944245j),1277500000
(-0.035344027536056685+0.045232300927304486j),(1.0008264200962746+0.0028168738063145127j),1278000000
(-0.03512491981987486+0.04529328468436463j),(1.0004127431395016+0.0025129113119420152j),1278500000
(-0.03529915979060798+0.04594670687209561j),(1.0008216469048605+0.0011118026779023244j),1279000000
(-0.035187795646366565+0.046395612549890795j),(1.0007937343462077+0.0016433634684678198j),1279500000
(-0.035145626946616576+0.04679174218004759j),(1.000571098355543+0.0036826191132973344j),1280000000
(-0.034687189980457486+0.04714279793629403j),(1.0006608782149546+0.0034911220765806794j),1280500000
(-0.0349976738420029+0.04728067176851671j),(1.000886282626303+0.0022940069318097256j),1281000000
(-0.03444061721475579+0.04781451870906017j),(1.000897891933181+0.0028488647706802384j),1281500000
(-0.03483745855286191+0.04838578149364426j),(1.0010901475404725+0.00210664974127306j),1282000000
(-0.03466232830076586+0.048654275019009485j),(1.0006185725902734+0.0030004555066223838j),1282500000
(-0.034094542785399654+0.04920131747046264j),(1.0011992709700315+0.002618323553515173j),1283000000
(-0.03408256028300922+0.04964872326077168j),(1.0003392953497856+0.002791722644265439j),1283500000
(-0.03424607263560414+0.049939245989271776j),(1.0010217757121027+0.003660250537418577j),1284000000
(-0.033900634468359114+0.05034143815157895j),(1.000686790302129+0.004048848648183535j),1284500000
(-0.033610324564434926+0.05085987986687374j),(1.0009804742856285+4.378322170588969e-05j),1285000000
(-0.03351562639879235+0.05121768275689658j),(1.0012383666597562+0.0007755776507368394j),1285500000
(-0.03334521063946349+0.05156129832786444j),(1.000731565323565+0.0025640871032058103j),1286000000
(-0.033470622426994896+0.0518400001342696j),(1.00122822630368+0.003279889266644478j),1286500000
(-0.03299797684923595+0.052264447089158374j),(1.0007017798657007-0.0014476154153636263j),1287000000
(-0.03312131273446268+0.05270562187867168j),(1.001071743174077+0.004059987226189717j),1287500000
(-0.032921009507900785+0.053174887890778046j),(1.0011898612361223+0.003646801688979022j),1288000000
(-0.03294106039040949+0.0536415190812024j),(1.0009507159329674+0.0028574274922259545j),1288500000
(-0.03248222994013803+0.05374848681134718j),(1.0010490245382833+0.0006859846776419666j),1289000000
(-0.03252543079713704+0.054624115124971215j),(1.001602526876059+0.0035533342731472388j),1289500000
(-0.03209046214262175+0.05480968173522269j),(1.0001519636039802+0.00029699006358097036j),1290000000
(-0.03243253279570279+0.05542781230285155j),(1.00151824670514+0.005764032571484444j),1290500000
(-0.03159132323098251+0.055596131209331205j),(1.000374070742609+0.0013776969470095982j),1291000000
(-0.031587589060714794+0.05596441266191406j),(1.0017817374134423+0.0008498923758528208j),1291500000
(-0.03113209605326345+0.05622954342679005j),(1.0008455833194772+0.004448826602238994j),1292000000
(-0.03168971306780213+0.05679955829252542j),(1.001199997298204+0.002064260874812579j),1292500000
(-0.030934835207092132+0.05729188135184332j),(1.0006938375640781+0.005024943194673889j),1293000000
(-0.03048388723028341+0.05763981390909504j),(1.0013184965687452+0.003193730778775406j),1293500000
(-0.03038799860148923+0.05792859992507084j),(1.0005077863716716+0.003911195737360146j),1294000000
(-0.030202395096115005+0.05850724934107154j),(1.0011319338073978+0.0025793202419448964j),1294500000
(-0.03024181216062788+0.05847389015066783j),(1.0009681264657913+0.0039286430364790705j),1295000000
(-0.029733307044603256+0.05924501063537078j),(1.0008366046205264+0.0009773376898258353j),1295500000
(-0.02934157783706003+0.05924424691989853j),(1.0004425035569169+0.001349116103250269j),1296000000
(-0.02908398066218348+0.05991787025952658j),(1.0005436496742333+0.0025913558703198674j),1296500000
(-0.029275891304629358+0.060211265872685785j),(1.0012840562114314+0.0027567024005190907j),1297000000
