S11,S21,freq
(0.5835836149790211+0.8196913295610803j),(6.264154714873012e-06-1.614406909371395e-05j),1500000000
(0.5833220268574476+0.8219203617651757j),(-1.4048542129073851e-05-4.1240205620957494e-05j),1502500000
(0.5811415996147498+0.8250351233404963j),(-2.4172336225224483e-05+3.192735149209186e-06j),1505000000
(0.5835878546858144+0.8234612622111651j),(-5.961298396509943e-06+5.4513914501101986e-05j),1507500000
(0.5825468164323588+0.8224587743117446j),(5.901800496233646e-05+3.846588411054286e-05j),1510000000
(0.5796778482013498+0.8236921583937764j),(8.636189651029464e-06+1.772607223630536e-05j),1512500000
(0.577515331502156+0.8271127751723847j),(4.427276116879286e-06+7.912105373098815e-06j),1515000000
(0.5754507062884043+0.8264295953672496j),(-5.1774429754928315e-05+9.595370086430196e-05j),1517500000
(0.5767501122761225+0.8283611977139621j),(-5.550264171102628e-05-8.374097778671461e-06j),1520000000
(0.5745475521595734+0.8290182572345269j),(-1.8080927569337934e-05-2.096360531111683e-05j),1522500000
(0.5761719400625895+0.8301723704224702j),(-2.726976586344641e-05-1.700884501724028e-05j),1525000000
(0.5742081804527616+0.8305654642321365j),(-5.0991242265666214e-05+3.617320994855473e-05j),1527500000
(0.5729932227712696+0.8316840656963674j),(1.593815698746917e-05+3.0773504022969735e-05j),1530000000
(0.5711659365378188+0.8326765732744331j),(3.5484445849302393e-06+2.426424230282522e-05j),1532500000
(0.5684899591377092+0.8338284857978511j),(6.95108261088611e-06-2.1161420346084433e-05j),1535000000
(0.568826021498257+0.8352500837518397j),(4.5507968065439934e-05-1.5045837228685938e-05j),1537500000
(0.564801864177405+0.8366281275059045j),(-9.618219529972993e-06+4.884315976897456e-05j),1540000000
(0.567206313928206+0.8366210158373327j),(-1.3985107736504938e-05-2.368238800097804e-05j),1542500000
(0.5630270657796574+0.8376218676035787j),(2.285287523832873e-05+2.406037391508697e-05j),1545000000
(0.5655975213313628+0.8380283772097017j),(-6.092080569361955e-05-5.442261917718077e-06j),1547500000
(0.5660093121073415+0.8374758864708436j),(-5.686187222112441e-07-3.7088504046640006e-05j),1550000000
(0.5628555429787009+0.8419187255092252j),(-6.209189371148248e-05+1.425234942313866e-06j),1552500000
(0.5619977530849586+0.8418422852248274j),(-5.685739432653416e-05-5.234718254758465e-06j),1555000000
(0.5586061681393325+0.8440527024085547j),(-3.2396390232257796e-05+4.979793130265015e-05j),1557500000
(0.5552531197327406+0.8428640752264224j),(-1.5674360001830226e-05-1.2092508223876786e-05j),1560000000
(0.5536365643081442+0.8450786523260956j),(-6.913637001925223e-06+1.7316889200586096e-05j),1562500000
(0.5567735075384557+0.8442180713458837j),(-3.149835208118082e-05+2.175666861396842e-05j),1565000000
(0.5554541962042295+0.8454552494161149j),(-3.1087215345054535e-05+6.725017730746639e-05j),1567500000
(0.5518709280872397+0.8470940752190633j),(7.393500374857683e-07+2.196248468032252e-05j),1570000000
