S11,S21,freq
(-0.7768528125944902-0.5971762577336174j),(0.0024524339430155107-0.002391118016215093j),1500000000
(-0.778918849875648-0.5959375884938132j),(0.002430718752973493-0.0023070318924957945j),1502500000
(-0.779486969406137-0.59268199225113j),(0.0023540792145381-0.0022513346558318353j),1505000000
(-0.7828520636635199-0.5882077196439077j),(0.002320522041270652-0.0022115073223035056j),1507500000
(-0.7859615838942413-0.5840275421336997j),(0.0022540339867231645-0.002186967054188117j),1510000000
(-0.788394124901782-0.5810456075803212j),(0.0021746988370201334-0.002126306568747062j),1512500000
(-0.7906133081060669-0.5794420088928897j),(0.0020875306484793737-0.0020757021006830457j),1515000000
(-0.7929905330235782-0.5733999386651767j),(0.002010208391157538-0.0020400381678424033j),1517500000
(-0.7939612061660285-0.5726621106470612j),(0.00203530731890865-0.0019982989419812004j),1520000000
(-0.7961640441257037-0.5683090076630587j),(0.0019597237405794784-0.0019687689687213944j),1522500000
(-0.7990944520151091-0.5646178220639261j),(0.0019640889996683938-0.002023671144342052j),1525000000
(-0.7999271464806229-0.5610500602411775j),(0.0020061885769986575-0.0019387966618028113j),1527500000
(-0.8026431805301748-0.557930829663164j),(0.0020112367771563536-0.0018357935810761666j),1530000000
(-0.8040015468798025-0.5564058658945302j),(0.0020040799063342756-0.0018179733112067573j),1532500000
(-0.8061196171897571-0.5512242389774097j),(0.0020797742788814695-0.001845328796726199j),1535000000
(-0.8082113709258314-0.5491106474567934j),(0.002078317725831107-0.0018938363626587317j),1537500000
(-0.8087616382077486-0.5452914073969654j),(0.0021117929426645514-0.0018330148166066916j),1540000000
(-0.8118441001860046-0.5426017737951399j),(0.0021659291313377233-0.0018874398982489235j),1542500000
(-0.8131714927804129-0.5375544668370561j),(0.002079751541867194-0.0019453964411721145j),1545000000
(-0.8173454670404869-0.5338893897786812j),(0.0021105800283192978-0.0019928175895028437j),1547500000
(-0.8169022570854354-0.5304408025355151j),(0.0020707785896278367-0.0020141557946906554j),1550000000
(-0.8198931927450107-0.5279950589479648j),(0.0020680389211469846-0.0020845770879114353j),1552500000
(-0.8216643527148862-0.5245417674018371j),(0.00197050949639271-0.0020996825068139244j),1555000000
(-0.82282199897467-0.5228734966649706j),(0.0020031547500818365-0.0021072026815439847j),1557500000
