S11,S21,freq
(-0.20816802807289086-0.839761045314536j),(0.011611983108843892-0.020251722397631507j),4500000000
(-0.1936585163275779-0.8409035927128491j),(0.011809904175196385-0.020070691371664923j),4500250000
(-0.1909302942207195-0.8403139046981806j),(0.01207783597362793-0.01993287932701776j),4500500000
(-0.2002492939817759-0.8379385128000453j),(0.011756182465363607-0.02027011198065314j),4500750000
(-0.18980515428500164-0.838939324280296j),(0.011920898004468307-0.020113399683473216j),4501000000
(-0.19517943143242716-0.8392092415265104j),(0.011960283683533326-0.020163206549323028j),4501250000
(-0.1996165330064743-0.8365878466105985j),(0.011743792372373411-0.020321995989482762j),4501500000
(-0.19042997182239535-0.8387768320533447j),(0.01202120476043457-0.02003457610261126j),4501750000
(-0.20296229407521968-0.8371340623770985j),(0.011624302826481981-0.020323898307826428j),4502000000
(-0.19704482331353135-0.8412449437498676j),(0.011872223106603602-0.020193849410706368j),4502250000
(-0.19973619922806995-0.8375380669513726j),(0.011802259065392774-0.02017108689066871j),4502500000
(-0.19661964170677806-0.8401469016382122j),(0.011896191712987267-0.020251497907333875j),4502750000
(-0.2018763882730789-0.8373399966561531j),(0.01179493895824441-0.020338222602441103j),4503000000
(-0.2053084051341318-0.8392870569527456j),(0.011659996563756957-0.02038882726000058j),4503250000
(-0.1997452662619538-0.8386937783328388j),(0.011715162980666879-0.020293935766063427j),4503500000
(-0.20587345486458317-0.8376773851346833j),(0.01165325394181043-0.02037343317172378j),4503750000
(-0.20031154957015412-0.839265096618561j),(0.011704579810736908-0.020281460649235722j),4504000000
(-0.20327773950965286-0.8389781978431831j),(0.011855965692752244-0.020383731371123592j),4504250000
(-0.2114770872861658-0.8389678008203033j),(0.011575452420928667-0.020634641922176542j),4504500000
(-0.2006058189113123-0.8374254752506726j),(0.011908159988033153-0.02051136169577493j),4504750000
(-0.2077372082060876-0.8384226048227527j),(0.01169915156100308-0.020490324031708442j),4505000000
(-0.20484313068600443-0.838304502097352j),(0.011772367982000674-0.02051994812119718j),4505250000
(-0.20607500348713534-0.8376399407104671j),(0.01166532958363075-0.020532235711340885j),4505500000
(-0.21492713591354987-0.8387548019053912j),(0.011542016465869836-0.020776876497198164j),4505750000
(-0.20468010751086382-0.8396184303074399j),(0.01178979831702111-0.020521559965726525j),4506000000
(-0.21064630904174775-0.837706283003922j),(0.011656518926744412-0.020568189115617357j),4506250000
(-0.21443048246784888-0.8371987061381939j),(0.011574693782262417-0.020629142083361002j),4506500000
(-0.2122249162308191-0.8361994740106596j),(0.011739938076636942-0.020589508995490596j),4506750000
(-0.21095560206722208-0.8368440493416719j),(0.011676901382140508-0.02073962212557826j),4507000000
(-0.20574637571695506-0.8385590942830793j),(0.01185546001303962-0.020606010713667564j),4507250000
(-0.2184803328037609-0.8377371208542368j),(0.01159204626875054-0.020831273880148597j),4507500000
(-0.20495553606640712-0.8387408196287657j),(0.011743866161143318-0.020792898875677028j),4507750000
(-0.21305854847342368-0.8375077881965156j),(0.01162073942611392-0.02081384936272864j),4508000000
(-0.2180037685608997-0.8371596303788778j),(0.01136338348106606-0.02093164292080364j),4508250000
(-0.21307776293211494-0.8368330103991902j),(0.011616634770515763-0.020770041047769024j),4508500000
(-0.21327878090400726-0.8406397275993545j),(0.011547188903365695-0.020895744128586965j),4508750000
(-0.2156100147281227-0.838686254703342j),(0.0115524236911392-0.021004339259221377j),4509000000
(-0.2164636962887094-0.8389190523433322j),(0.011339596432808375-0.020995571167421515j),4509250000
(-0.21282150179911616-0.8391152192317831j),(0.011381773580929172-0.02105772765317496j),4509500000
(-0.2135451530193889-0.8376095304774064j),(0.011405072751774287-0.021109563324266424j),4509750000
(-0.21320946804920757-0.8385358786919112j),(0.011317521979558874-0.02116256342246288j),4510000000
(-0.2156544869168498-0.8388651217247588j),(0.011117586918850795-0.02113573690937062j),4510250000
(-0.21467313077688122-0.8387880298614656j),(0.011377670889838987-0.021220921811790274j),4510500000
(-0.2129193250870751-0.8394422223723454j),(0.011250049174344853-0.021168749297314174j),4510750000
(-0.22210996595767105-0.8377482135615849j),(0.01104651977040666-0.021314360458454095j),4511000000
(-0.21356853803768666-0.8382502440845464j),(0.011159998197676805-0.02129322961495141j),4511250000
(-0.21303536631837472-0.838935330682616j),(0.01141710736692975-0.02124700521264091j),4511500000
(-0.2127432390700962-0.8395291607230645j),(0.011254646878588266-0.021347831808042943j),4511750000
(-0.2176140642660839-0.83826120760958j),(0.011345333476849734-0.021314672591966136j),4512000000
(-0.21869087443545399-0.8384836454671846j),(0.010982693578647772-0.0214494774475651j),4512250000
(-0.21515782820839274-0.8371383614110758j),(0.011106309985633564-0.021486250179809572j),4512500000
(-0.21567508142861705-0.8382637199166301j),(0.011050018291399077-0.021418287222300502j),4512750000
(-0.21792623079883963-0.8366269479350393j),(0.01103583036308875-0.02152352378846451j),4513000000
(-0.2158415166098198-0.8380167360365264j),(0.011147320240936811-0.021420866770611863j),4513250000
(-0.218054048621605-0.8385363272649224j),(0.01117838721282203-0.021472418161129898j),4513500000
(-0.21754235226836452-0.8390488070690573j),(0.010961066492979444-0.021567721269824373j),4513750000
(-0.21649153239747945-0.8374078116539833j),(0.011003159938202093-0.021419518053542724j),4514000000
(-0.21982138967829365-0.8390222358868681j),(0.010941783287395326-0.021601920029279534j),4514250000
