S11,S21,freq
(-0.7331105322444487-0.6204469968256949j),(0.0030211273172567354-0.0022128653020830375j),1500000000
(-0.7344472030556585-0.6185874884089158j),(0.002990317288227289-0.002202851844645778j),1502500000
(-0.7328330479184793-0.617975885375734j),(0.0029422190269851084-0.0021745708879992807j),1505000000
(-0.7367503286306688-0.6135166161859036j),(0.002800209348585434-0.0022169177763781338j),1507500000
(-0.7393165456399661-0.6118016589106046j),(0.0027409078673959085-0.002180105359127823j),1510000000
(-0.7426369384316783-0.6062921337177425j),(0.002693918071779061-0.0022048707360924078j),1512500000
(-0.7449617923293465-0.6050102261072317j),(0.002529385934429987-0.0021641058704950453j),1515000000
(-0.7448164096855837-0.6017271346187539j),(0.0024421164568073995-0.0021029001464563653j),1517500000
(-0.7488670581618605-0.5978984814815909j),(0.0023930723448708723-0.0021383586578620113j),1520000000
(-0.7488073225542862-0.594702474898936j),(0.002410581105956171-0.0021125836699480236j),1522500000
(-0.7522410397194852-0.5910717108403681j),(0.002336754905729478-0.00208934218377634j),1525000000
(-0.7529679034581416-0.5885484524049689j),(0.002383907239310206-0.002066889655583258j),1527500000
(-0.7566716903639598-0.5839563838813342j),(0.0022523908110177035-0.0020473392429739084j),1530000000
(-0.7555261669437623-0.5839710535507118j),(0.002344706189302214-0.0020180450272010283j),1532500000
(-0.758912990101417-0.5794242968703986j),(0.002320072853236315-0.002054396678513856j),1535000000
(-0.758605457310879-0.5785948328711086j),(0.0023538067251723254-0.002084372990484264j),1537500000
(-0.7600982467163399-0.5742859290919263j),(0.002374811378227677-0.0020245731542341207j),1540000000
(-0.7628348846468683-0.5723512781982956j),(0.0023005533434191996-0.0020581782436688094j),1542500000
(-0.7644554537290624-0.5674886709515335j),(0.002334899234622088-0.0020875020493174717j),1545000000
(-0.7680376204577413-0.5651290284861612j),(0.002263333893902414-0.002111680242688438j),1547500000
(-0.76733840299542-0.5631113711698005j),(0.0022478116898657667-0.0021319347823077284j),1550000000
(-0.770703855408273-0.5603606527524487j),(0.002228047502029938-0.002184985510129155j),1552500000
(-0.7717101281541074-0.5584376921872016j),(0.002132875479348628-0.00224001526223536j),1555000000
(-0.7742069266955618-0.5576716467663861j),(0.0021176525942025307-0.0022517471789990765j),1557500000
(-0.7732229833728621-0.5558416940888289j),(0.002109108448734094-0.0022864405698454176j),1560000000
(-0.779624461205569-0.5493637818098024j),(0.002034066722336944-0.0023215366056422372j),1562500000
(-0.7826366420674976-0.5459238388102208j),(0.0019577128864114984-0.0023270199702314217j),1565000000
(-0.7821925303867505-0.5434657495990869j),(0.0018642497869354323-0.0023354109078083324j),1567500000
(-0.7879223561323321-0.539100686061678j),(0.0018061262084768947-0.0023386384848646516j),1570000000
(-0.7882397550011724-0.5369062411899522j),(0.0016555944956250946-0.0023270301516428466j),1572500000
(-0.7910822571480899-0.5346491069062294j),(0.001656473467439464-0.002335018293666698j),1575000000
(-0.7918077400492054-0.5299718783243974j),(0.001627663227957345-0.002291734382198741j),1577500000
(-0.7938039509632652-0.5298093625671207j),(0.0015371964192593135-0.002262501549102854j),1580000000
(-0.7954303012918049-0.5250686792745487j),(0.0015406679940005183-0.00226589403795065j),1582500000
(-0.7983233683036235-0.5224415403923327j),(0.0015019371879974868-0.0022059199427494625j),1585000000
(-0.7994816231340813-0.522213235230906j),(0.0014570379662652985-0.0021469943704950155j),1587500000
(-0.8018745489179212-0.5163204780364369j),(0.0013864000819125604-0.002089693873107901j),1590000000
(-0.8057013094710573-0.5139822766501672j),(0.001359332912692806-0.002018950152063567j),1592500000
(-0.8076469369355661-0.5083247381292992j),(0.0013641808610811313-0.001963787088953522j),1595000000
(-0.8082952741322457-0.5082178934605588j),(0.001309270630734457-0.0019477018336803737j),1597500000
(-0.8081263468054999-0.5025740518384595j),(0.0012629161240786191-0.0018626287563021059j),1600000000
(-0.8124595540094695-0.5008681459346133j),(0.00127330269297166-0.001770486609857123j),1602500000
(-0.8139874058803863-0.49630115766244903j),(0.0012714631730228274-0.0017753936453852722j),1605000000
(-0.8161805927851432-0.49430447206152406j),(0.0012812978939188919-0.001697318940220753j),1607500000
(-0.8191133103740669-0.4872735692032605j),(0.0012507435603211386-0.001609834522020347j),1610000000
(-0.8198767360284014-0.48768324379290057j),(0.001295769838912021-0.0015900009501873728j),1612500000
(-0.8222607778942457-0.48435093766463305j),(0.0013175953702109875-0.0015421507622861968j),1615000000
(-0.8242527249890855-0.4801334135547146j),(0.0013738868741964114-0.0014605470083738881j),1617500000
(-0.8219975733596611-0.46399809018071475j),(0.0013606616595009738-0.0013683461405475635j),1620000000
(-0.8257231521669971-0.47480919000165667j),(0.0015268613036109255-0.0013041972288042303j),1622500000
(-0.8296808111897043-0.4711469810397635j),(0.001539664780655022-0.001245632793275958j),1625000000
(-0.8319514009890007-0.46692350939098065j),(0.001506446374813901-0.001178705162514308j),1627500000
(-0.835529016913549-0.4667470174927742j),(0.0016249698701906934-0.0011522797766449781j),1630000000
(-0.8328659142834607-0.46103235014350663j),(0.0015985597932477082-0.001038195451407869j),1632500000
(-0.835755298605423-0.4587172198416861j),(0.0017523784905433815-0.0009772838079073558j),1635000000
(-0.8347761939340237-0.4547745831519953j),(0.001802940047332916-0.0009013099369908899j),1637500000
(-0.8387329416343815-0.4505648025680513j),(0.0019667246343259355-0.000792608701703527j),1640000000
(-0.8421925274576557-0.44335530918378396j),(0.0021041412918504357-0.000775812508205924j),1642500000
(-0.8435296952923608-0.4403553910285983j),(0.002191289457162825-0.0007353884819059841j),1645000000
(-0.8445901614337088-0.4385047840096752j),(0.0023381364064056728-0.0006599325492375923j),1647500000
(-0.8445354003638015-0.43604042782444036j),(0.0024746198832504645-0.0005678981260061491j),1650000000
(-0.8461118440224491-0.43403043306817835j),(0.002713688623053087-0.0005974568526776915j),1652500000
(-0.8462128930928002-0.42978378674043144j),(0.0028883930317748553-0.0005530923139710794j),1655000000
(-0.8489520041141201-0.4286178122307886j),(0.003154129062683105-0.0006159755996443739j),1657500000
(-0.8489885306074048-0.42213879760207906j),(0.003436485463017382-0.0006186951957986681j),1660000000
(-0.8534389146915955-0.415668156177368j),(0.0036730732502220404-0.0006491706102346687j),1662500000
(-0.8526056859346064-0.41653572331496236j),(0.003979645882584943-0.0007850719452785972j),1665000000
(-0.8548727216094724-0.41092082289734677j),(0.004224720361395887-0.0009631853215429433j),1667500000
(-0.8558569917621021-0.40925384602028686j),(0.004514946151491272-0.0011215180504834498j),1670000000
(-0.8546285921756729-0.40864767539025787j),(0.004733535362704177-0.001311650999119198j),1672500000
(-0.8584155537476896-0.4029375579187005j),(0.004980973511112649-0.001632505402204947j),1675000000
(-0.8587981629063757-0.3989099486270893j),(0.005207428445057814-0.0019065311925438849j),1677500000
(-0.8608465580111986-0.396394390706793j),(0.005432596761217808-0.0022871390738821245j),1680000000
(-0.8621135383986392-0.39273438242772113j),(0.005542439250723865-0.002624868382557365j),1682500000
(-0.8648464778985354-0.3886565874617932j),(0.005658369909963294-0.0030342005534489073j),1685000000
(-0.8658130894179799-0.3855699381125532j),(0.005581325736460738-0.003450798097381406j),1687500000
(-0.8674586932353244-0.384733552275434j),(0.005537318084820131-0.0039197418316467255j),1690000000
(-0.8705173381893323-0.3768602836355124j),(0.0054401063680653795-0.004335211082507256j),1692500000
(-0.8705741637384996-0.3739215298700645j),(0.005221657182456274-0.004706998377262699j),1695000000
(-0.8721903902385001-0.37305264763754586j),(0.004947706857787354-0.005108885018978297j),1697500000
(-0.8714438018568467-0.3706457950204243j),(0.004652483002399146-0.005271595827431745j),1700000000
(-0.8766054023061893-0.3631760562204539j),(0.004374772977514323-0.005501002872441388j),1702500000
(-0.8771659339852506-0.36183017935777667j),(0.0041407270260629845-0.005741487454610576j),1705000000
(-0.8787687194362391-0.35718713122449885j),(0.0038576486119695167-0.005729686213710933j),1707500000
(-0.8790376266552588-0.3516167465376389j),(0.0035722455996461907-0.005775581234068902j),1710000000
(-0.881185655046967-0.3516421352049361j),(0.003373302134348469-0.005809337375766733j),1712500000
(-0.8835591601485875-0.3445373907499056j),(0.003114854490906097-0.005822751924733546j),1715000000
(-0.8849833256111767-0.34343971366349196j),(0.002956401692002997-0.005811830376478073j),1717500000
(-0.8863163633172038-0.3395750422929388j),(0.002791625952770772-0.00576519599273198j),1720000000
(-0.8869933553662764-0.3363668523678571j),(0.0026974515362072292-0.005728333352908122j),1722500000
(-0.8884641223119423-0.33333275259636863j),(0.002606350296098383-0.005571090997624717j),1725000000
(-0.8916660646264442-0.32774954107205695j),(0.002672306999130881-0.00552000024439409j),1727500000
(-0.8935935140681704-0.32388809861331763j),(0.0026458663537208735-0.005447807029666636j),1730000000
(-0.8930456561184665-0.31928262215103986j),(0.0026360632035293927-0.005310561345994028j),1732500000
(-0.8949553811783718-0.31536934108755005j),(0.0028074966529788073-0.005295851425690182j),1735000000
(-0.8969630705536121-0.3126947972166425j),(0.002871524352922684-0.005244515357534062j),1737500000
(-0.8989540717222116-0.3213848793386013j),(0.0032097881159016913-0.005351419629599297j),1740000000
(-0.8934888802024391-0.3058883971356248j),(0.0034997680902499407-0.005350114425575859j),1742500000
(-0.8973813833963208-0.29921369250804064j),(0.0037292889372612407-0.005546124219826653j),1745000000
(-0.8969006778271953-0.2964534973331993j),(0.003965196933499767-0.005730722353026673j),1747500000
(-0.8971077984141922-0.29186774089957196j),(0.004301640408252844-0.006005504251581439j),1750000000
(-0.8979678218161002-0.291181426261711j),(0.004297710487306377-0.005920671574130347j),1750000000
(-0.8990581512371998-0.2844533562575724j),(0.0045462373372752996-0.006249315564132231j),1752500000
(-0.8969422666402168-0.28512025891818693j),(0.004801384464078744-0.006758205074502483j),1755000000
(-0.9009689620450525-0.27895803059327334j),(0.00495021782934911-0.007250260195764499j),1757500000
(-0.8979451153042738-0.2767372653445294j),(0.005147769772553372-0.007891064756529937j),1760000000
(-0.9008189720473878-0.27265638593116653j),(0.005164039374855789-0.008599187510683563j),1762500000
(-0.8997653633165251-0.270142983036535j),(0.005002793966508501-0.0094207182030967j),1765000000
(-0.901128214087815-0.2675753026954644j),(0.004838670936278406-0.010199601046953673j),1767500000
(-0.9004596452403674-0.26285325969631934j),(0.0044044575461250155-0.010984885202314361j),1770000000
(-0.9018365904113015-0.25986626459645507j),(0.003902469426307291-0.01169000244870953j),1772500000
(-0.9036841420448183-0.25481143181302174j),(0.003240985755082807-0.012386063467831464j),1775000000
(-0.9045735444245265-0.25340365165229883j),(0.002524267912800091-0.012994049428474265j),1777500000
(-0.9053762295402532-0.24918322255511172j),(0.0016879406454596982-0.0134926439170212j),1780000000
(-0.9054390668129684-0.24477679183781734j),(0.0007963838222937278-0.01379671290493326j),1782500000
(-0.9082457322295845-0.24256234625130205j),(-0.00014067513421386825-0.014077757684491035j),1785000000
(-0.9083614806408563-0.23895772811337812j),(-0.0010782150596926922-0.014177680939722392j),1787500000
(-0.9104701610354407-0.23641453682010244j),(-0.0019955143306140313-0.014151124259835864j),1790000000
(-0.9105046255529744-0.2322861921463764j),(-0.0028947962938601058-0.013985810992669868j),1792500000
(-0.9112545475405865-0.22998961356709643j),(-0.0036927559629363975-0.013822152022998035j),1795000000
(-0.9120459487396063-0.22447470844573303j),(-0.004451347438684631-0.013524675425459055j),1797500000
(-0.9175235169455878-0.21705171510053495j),(-0.005312047031199804-0.013056568941229411j),1800000000
(-0.9142934930652645-0.21752340671628673j),(-0.005881126527281387-0.012782959047032503j),1802500000
(-0.916341810860074-0.2112834781944234j),(-0.006553709816143645-0.012265708177859441j),1805000000
(-0.9168128455871196-0.20834479243330836j),(-0.007083800186097558-0.011769488347064322j),1807500000
(-0.9170600070364997-0.20310460744867004j),(-0.007575090974205036-0.0112539604113667j),1810000000
(-0.9184378152830835-0.20054981680638873j),(-0.007979189331471988-0.010650242635240129j),1812500000
(-0.9177895673662808-0.1964476088831262j),(-0.008346993518182067-0.010103867499025428j),1815000000
(-0.9202497183874717-0.19330719926932502j),(-0.008595617614580279-0.009501807284169828j),1817500000
(-0.918821100943306-0.19022878609478616j),(-0.008802596317913441-0.00897588333180438j),1820000000
(-0.9218011078658893-0.18336848089023702j),(-0.009054216147574273-0.008325745276916943j),1822500000
(-0.922171316767257-0.18082599111988937j),(-0.009199063925268277-0.007799488692656258j),1825000000
(-0.9240188360702054-0.17609894383603936j),(-0.009227290747750572-0.0072696532820063315j),1827500000
(-0.9232907663051005-0.17392053450996142j),(-0.009201786879910112-0.0066973714856403185j),1830000000
(-0.9234233617675828-0.16990817752951728j),(-0.009086254259341217-0.006281108649495318j),1832500000
(-0.9249239957116672-0.16543594778089166j),(-0.009042110974727-0.0058010669201289606j),1835000000
(-0.9245943759708234-0.16118314637918038j),(-0.00881947330792013-0.0055285402708438545j),1837500000
(-0.9264338309789951-0.15869820732056134j),(-0.008680589968968668-0.005201281616101707j),1840000000
(-0.9254265253060084-0.1522859317014515j),(-0.008504782839899343-0.004900507085066796j),1842500000
(-0.9278707249726013-0.15065442004971497j),(-0.008453543889211325-0.004727744265877975j),1845000000
(-0.9263956020138743-0.1478354411178035j),(-0.008344851935568446-0.00454062426453849j),1847500000
(-0.9278084515635334-0.14083070721548924j),(-0.008212251206557133-0.004332618835758852j),1850000000
(-0.9281842488260582-0.14012636550144283j),(-0.008094744463191292-0.004294089994419039j),1852500000
(-0.9288521907969752-0.13640389389057006j),(-0.008059675382550436-0.004133242496554414j),1855000000
(-0.9296369208661479-0.13008611276502785j),(-0.007962474826489773-0.00399955415193024j),1857500000
(-0.9292762688614761-0.12524352609118017j),(-0.007873294522807923-0.004004344321522149j),1860000000
(-0.9314500350850186-0.12089592929895464j),(-0.007912771016620732-0.0038936623832323417j),1862500000
(-0.9305211653631269-0.12255151691814527j),(-0.007926396439569447-0.0039105725385431885j),1865000000
(-0.9317880973537962-0.11327077651606747j),(-0.007913287445657134-0.0037830796861910545j),1867500000
(-0.9340958100716961-0.10728369830107719j),(-0.007965150054326804-0.003709223473692567j),1870000000
(-0.9325438968530352-0.10447480501521113j),(-0.008000672289790322-0.0036313248806481247j),1872500000
(-0.9291947446670127-0.10365890554950745j),(-0.007967587835467495-0.003561220850674084j),1875000000
(-0.9323295058060347-0.09855304765644636j),(-0.0080490791478033-0.0035026405224159018j),1877500000
(-0.9322792655635407-0.09327863061592187j),(-0.00812641888437124-0.003298431920368376j),1880000000
(-0.9321065445714831-0.08794665644118141j),(-0.00821629705498845-0.0032299724515928597j),1882500000
(-0.9324720553426546-0.0884586262782044j),(-0.0083566831152596-0.0031304537107698866j),1885000000
(-0.9330872725232584-0.08428987556273096j),(-0.008399520573920497-0.0030602115725925976j),1887500000
(-0.932871700919286-0.07775762963051473j),(-0.00854235144770213-0.0029141501992728963j),1890000000
(-0.9317595438268084-0.07668970346088674j),(-0.008652278524272692-0.0028578002510418823j),1892500000
(-0.9324767288468006-0.07104895863951596j),(-0.008753880426773457-0.002639244380595022j),1895000000
(-0.9304992831065789-0.07028162340701594j),(-0.008832696175023183-0.002495511879264092j),1897500000
(-0.9334108728514764-0.06258297439802792j),(-0.008975070419727171-0.0022379180343330644j),1900000000
(-0.9322378473029812-0.059651361880828806j),(-0.009047913938141415-0.00210447484812926j),1902500000
(-0.9330785693752426-0.05821334755104982j),(-0.009249292431066692-0.0019150817843193388j),1905000000
(-0.9309205090554176-0.05680097768089209j),(-0.009355068112124427-0.0016914606783773839j),1907500000
(-0.9317704527620169-0.050172425763902406j),(-0.009379344885593017-0.00150260251341715j),1910000000
(-0.9315861839425396-0.04393139728644967j),(-0.00947372401422034-0.001255902627484298j),1912500000
(-0.9320308901321561-0.03841202668910487j),(-0.009603444242926404-0.000990248774315406j),1915000000
(-0.9309701445911849-0.03410919972434351j),(-0.00967484627548991-0.0007651266386897554j),1917500000
(-0.9240806079650181-0.03002604115791239j),(-0.009584025204923002-0.0006061459233969356j),1920000000
(-0.930667689141503-0.030561877980291953j),(-0.00966856833177378-0.0002674883596609137j),1922500000
(-0.930903047228607-0.027213226560673928j),(-0.00975771432705725+2.1535414053850928e-05j),1925000000
(-0.9318032010519628-0.02462513063438267j),(-0.00971917868495037+0.00026965386768632623j),1927500000
(-0.9286501733637622-0.021398632175131983j),(-0.009763040040026802+0.0005423874093307818j),1930000000
(-0.9298697413919536-0.01915895410272409j),(-0.009781330025938515+0.0007664949026989299j),1932500000
(-0.9296927820488413-0.010525411793680644j),(-0.009731777787344848+0.0010726424457885683j),1935000000
(-0.9300519127561964-0.00897150243049838j),(-0.009713449828234574+0.001435573387510619j),1937500000
(-0.9297622437392669-0.004463796649104313j),(-0.009728886805387998+0.0017747033955140884j),1940000000
(-0.9290844109005911-0.005247172798881612j),(-0.009702842114325705+0.00207482488919766j),1942500000
(-0.9303007049788506-0.0005225697705349215j),(-0.009610279388385937+0.002358764470212578j),1945000000
(-0.9291943503869188+0.0013778089207395568j),(-0.009499916973780656+0.0027214452091634234j),1947500000
(-0.9293876242550629+0.005798666117174741j),(-0.009374026349941207+0.0030199410875104147j),1950000000
(-0.9280847430221074+0.010103336319009665j),(-0.009146869080649357+0.0033220489959686476j),1952500000
(-0.9285076288388928+0.015441655209895025j),(-0.009110686863684575+0.003589782099411156j),1955000000
(-0.9278121159083036+0.015881505095499158j),(-0.009014145900560365+0.00392719517339442j),1957500000
(-0.9289191769822276+0.023109007022124244j),(-0.008807100771866251+0.004219128464245908j),1960000000
(-0.9287286360132089+0.02617523190543827j),(-0.0085573588734276+0.00449905901876789j),1962500000
(-0.9283991913451638+0.02805623290943791j),(-0.008286959120773721+0.0047810423089738804j),1965000000
(-0.9275696412110219+0.033439700681272624j),(-0.008139660054046607+0.00505824749554843j),1967500000
(-0.9272127124075487+0.03766924905725054j),(-0.007814125755127728+0.0052403521924543625j),1970000000
(-0.92795308895459+0.042116950219167705j),(-0.0075282020648657815+0.005480102889664586j),1972500000
(-0.9283744176394366+0.0420875303131101j),(-0.007240609744771484+0.005604064885046058j),1975000000
(-0.9283175168520106+0.04572522340063589j),(-0.006890820537891624+0.005778963524627141j),1977500000
(-0.9257654921419295+0.05255968707370829j),(-0.00659998586044632+0.005936145200338162j),1980000000
(-0.9273930166042071+0.05047303808529892j),(-0.006331190484045129+0.0060824924485991215j),1982500000
