S11,S21,freq
(-0.011093006410906634-0.8514922880334941j),(0.007581455014768692-0.016501265953355597j),4500000000
(-0.009805565997374123-0.8494816888925967j),(0.007717967477775981-0.01655270165993243j),4500250000
(-0.006919720410915054-0.8496315234184874j),(0.0077802924483122765-0.016553606816374106j),4500500000
(-0.006113814519584875-0.8500982426823293j),(0.007598638723695243-0.01663821808598906j),4500750000
(-0.010084912398865461-0.8487462215616863j),(0.007524439677040597-0.016595577173214204j),4501000000
(-0.0104356587587453-0.8489842412600161j),(0.00771199865758344-0.01654510106150616j),4501250000
(-0.010736877176621556-0.8487154875302247j),(0.007572265012031869-0.01662397010269311j),4501500000
(-0.007100502671471416-0.8489426403445081j),(0.007628324141708424-0.0166766820341462j),4501750000
(-0.008848615628169111-0.849004623104699j),(0.007620639841637258-0.016538234656032047j),4502000000
(-0.01054329867689168-0.8513139310739156j),(0.007533725019826083-0.01667434770191886j),4502250000
(-0.011644890211485645-0.8498996475663437j),(0.007615743687902228-0.01667730738776261j),4502500000
(-0.011873127783126568-0.8497214351254087j),(0.0075630139715528325-0.016694964544015325j),4502750000
(-0.008454300082875512-0.8493202849046856j),(0.007728846027500066-0.01665260448552036j),4503000000
(-0.014859384305201543-0.8517417639129795j),(0.0076164187889298275-0.016737425919023465j),4503250000
(-0.019372212861199663-0.8516126056376181j),(0.00744087029606047-0.01667326238751811j),4503500000
(-0.017971719239039168-0.8497886870769196j),(0.007442434560826033-0.016594844682443294j),4503750000
(-0.011267652331446153-0.851360255589584j),(0.007628986051185184-0.01664452272375568j),4504000000
(-0.022278279285873944-0.8530466210046491j),(0.0073646577319714-0.016703827039656904j),4504250000
(-0.014195110094958299-0.8508329500392519j),(0.0074290909523425895-0.016650041199837765j),4504500000
(-0.017768291450663776-0.8535789010889908j),(0.0073524474714557345-0.016689967771790066j),4504750000
(-0.016681809064767284-0.8528913658751133j),(0.00751472036622111-0.016835791468742763j),4505000000
(-0.0175512869097184-0.8541999260579165j),(0.0074025396661738-0.016667469963257454j),4505250000
(-0.02030370826112415-0.8534347427843068j),(0.007418333556822649-0.016943859205825463j),4505500000
(-0.022044597955436132-0.8528718171343196j),(0.007331677121003813-0.016884199431972346j),4505750000
(-0.016732054638169857-0.851628682192045j),(0.007431769828413875-0.016731729929023574j),4506000000
(-0.02218395575913828-0.8527787724842386j),(0.007252411842268666-0.016899766874546706j),4506250000
(-0.019454333069686247-0.8538752783531274j),(0.007389179470531814-0.01682773849452249j),4506500000
(-0.02116996819215463-0.8534706427768294j),(0.00715956612620859-0.016855770727703265j),4506750000
(-0.024752364169246293-0.8524856507519578j),(0.007356837391759774-0.0168065969828519j),4507000000
(-0.019921026763587094-0.8528201144626099j),(0.007353955779924445-0.016912901376391214j),4507250000
(-0.02174427799229619-0.8519399339825461j),(0.007341073673976678-0.016858123268124848j),4507500000
(-0.0259785157047002-0.8533144675339119j),(0.0072001369796039945-0.016968894195311685j),4507750000
(-0.021486566589254588-0.8540269209676168j),(0.00721053272859694-0.016808736156583112j),4508000000
(-0.02328214677951053-0.8534166060979178j),(0.0072575392688644415-0.016903565409142104j),4508250000
(-0.02564093398708818-0.855380967308768j),(0.0069822425521932074-0.017126101076765255j),4508500000
(-0.01817584630512686-0.8548926914376351j),(0.0071878475651728025-0.016973941851133226j),4508750000
(-0.026220482403862964-0.8551281022308564j),(0.0069970868897505974-0.017067193291080005j),4509000000
(-0.025682972070328117-0.852833549597789j),(0.007082260829202653-0.016978614335465127j),4509250000
(-0.020531048722560903-0.8543954507397412j),(0.007155197546310069-0.01695413076609665j),4509500000
(-0.021978225882592774-0.8536592410217337j),(0.007048464634184841-0.017017704502785384j),4509750000
(-0.02385520635247252-0.8555186453313284j),(0.006971171469656917-0.016961454041006376j),4510000000
(-0.030838499686681488-0.8563321605685664j),(0.006857761956488798-0.017219441228099323j),4510250000
(-0.018871915845685604-0.8542051844868055j),(0.007169359776856117-0.016957413545647344j),4510500000
(-0.023709998373885925-0.8548525404510945j),(0.006956257682475011-0.017128236597994742j),4510750000
(-0.023413247711901695-0.8546911024140371j),(0.006966656510649888-0.017070901655869813j),4511000000
(-0.024948494942772965-0.8522399075500475j),(0.006968778861646986-0.01711935051885877j),4511250000
(-0.018921410369048028-0.8549268184753561j),(0.006923022675181273-0.017154534344814808j),4511500000
(-0.024913057274719787-0.8525543325510632j),(0.006872176957076641-0.0171568872315101j),4511750000
(-0.022467312164350953-0.852912756561447j),(0.006870014019734169-0.017133399910999127j),4512000000
(-0.023483417279508968-0.852984224901416j),(0.006872332911628757-0.017110286573026438j),4512250000
(-0.026291497894838808-0.8546133452831889j),(0.0066312267998212574-0.01723009659027517j),4512500000
(-0.027398898136733928-0.8518915699960949j),(0.006900406269314102-0.017194369615296187j),4512750000
(-0.02638881631413832-0.8549685855741822j),(0.006663068120481794-0.01723971172656398j),4513000000
(-0.025361786252439303-0.8535255195281901j),(0.006755700668807566-0.017215905116082016j),4513250000
(-0.025265095310897392-0.8533348069463733j),(0.006685837035484605-0.017269022566534297j),4513500000
(-0.026083373614610626-0.8545654777030266j),(0.006695409246010197-0.017264801313890177j),4513750000
(-0.024138139827765425-0.8539838324030353j),(0.0066310275431340025-0.017310383412329364j),4514000000
(-0.023676399607195756-0.8541326420222373j),(0.006678648682646074-0.017268377562951j),4514250000
(-0.028162798607558374-0.8563724451319513j),(0.006607331288441687-0.017277128606475126j),4514500000
(-0.028490619309634098-0.8561567167556718j),(0.006564420767181411-0.01738566376087159j),4514750000
(-0.02546055176741094-0.8550429323238327j),(0.0066095420202642915-0.0173703865057549j),4515000000
(-0.0314968917545773-0.85466123907134j),(0.006510191960165392-0.01734272929041557j),4515250000
(-0.02727355895247367-0.8544986708645124j),(0.006590020466963169-0.01723694679192407j),4515500000
(-0.031253298715213734-0.8556747245449832j),(0.00652112927685973-0.017376247012680087j),4515750000
(-0.02814238744575971-0.8546635409592495j),(0.00644064407247566-0.017313410812024546j),4516000000
(-0.03101006955953687-0.854402756142315j),(0.006611833348771583-0.01736574854926501j),4516250000
(-0.03108351148781884-0.8544272112957014j),(0.00641180521072971-0.01735941667672324j),4516500000
(-0.03247512788163429-0.852296831014012j),(0.006416659475066718-0.017475127675420678j),4516750000
(-0.03334327544015173-0.8520232175240843j),(0.006460003605958201-0.01745673454431142j),4517000000
(-0.02747655813922824-0.8536948361835321j),(0.006512400691137231-0.01735334460925976j),4517250000
(-0.03205608727946741-0.853462900426146j),(0.006547620143106359-0.017436004107852673j),4517500000
(-0.03338598936713554-0.8536646790468941j),(0.006378036775648426-0.01730582580283092j),4517750000
(-0.03548753431438799-0.852840225244316j),(0.006332184638521355-0.017362105572782106j),4518000000
(-0.029814765989988983-0.8534338322783113j),(0.006329896105342174-0.017509220644949645j),4518250000
(-0.03477959167794759-0.8532172564709312j),(0.0063540538677367845-0.0173663705376623j),4518500000
(-0.0323669359328403-0.8526675505473486j),(0.006282706210956783-0.017528515792700212j),4518750000
(-0.034527550227978626-0.8534556384530806j),(0.006396170182803536-0.017520430445572496j),4519000000
(-0.035379723972543554-0.8539598289930742j),(0.0062731649393532535-0.017414670030217634j),4519250000
(-0.030822387033391956-0.8552283818301604j),(0.0065443932692224845-0.017509397708676943j),4519500000
(-0.03122384022501483-0.8539175569146865j),(0.006347562166404222-0.017449003586789167j),4519750000
(-0.0316167936522794-0.8545395877004762j),(0.006359293878555955-0.01753724219113185j),4520000000
(-0.035488058592179066-0.8534169145086341j),(0.006187472412706839-0.017695761086253054j),4520250000
(-0.02993790251276743-0.8549163132978209j),(0.006293835124702917-0.017554940360927265j),4520500000
(-0.03184637899217814-0.8527350142538503j),(0.006189155783970486-0.017657021292852765j),4520750000
(-0.03262634599472485-0.8540041871562115j),(0.0062090211946559636-0.017512649505060412j),4521000000
(-0.03329910704054837-0.854784465627657j),(0.0061566359609543115-0.017597640826577634j),4521250000
(-0.03806652767740758-0.8548920570836821j),(0.005985339718916496-0.017690304833027245j),4521500000
