S11,S21,freq
(0.22655985089327615-0.9597048578252939j),(-0.00010649064912140831+4.615584009711585e-05j),1000000000
(0.22178510206954236-0.9611786845948659j),(-7.079630025016673e-05+9.537433710612404e-06j),1005300000
(0.21537622552892222-0.9629432771878712j),(-0.00013292739337104144+1.0524080268582674e-05j),1010600000
(0.20864585330507338-0.9643084146866766j),(-0.00010274706508856182+6.807272207147186e-06j),1015900000
(0.2036863476834473-0.9663119345344363j),(-0.00015132559774246512-4.687140906983361e-05j),1021200000
(0.196781992838465-0.9675165828174239j),(-6.469734549281304e-05-3.477608198125398e-05j),1026500000
(0.19141500225057603-0.9663131681026275j),(-0.00014533220621238394+1.5691615116752953e-06j),1031800000
(0.18617799544196112-0.9701971869318754j),(-0.00016086466500694782-6.04936030218154e-05j),1037100000
(0.178126771838144-0.9709483803763097j),(-0.0001540397148364717+3.322642658791826e-05j),1042400000
(0.1722863660332535-0.9723447479448498j),(-0.0001523159256873554-1.4997363095754058e-05j),1047700000
(0.16605068206507678-0.9730942012602812j),(-0.0001955890548544215-4.3670276496952335e-05j),1053000000
(0.15858879171182894-0.9747010248400162j),(-0.00010212792605237415-4.229727736142685e-05j),1058300000
(0.1512441359242296-0.974735918717067j),(-0.0001507604673063403-5.41926318835455e-05j),1063600000
(0.1432882649319474-0.9748260939422256j),(-0.00015510774686755636-7.018989603441254e-06j),1068900000
(0.13841500401798856-0.9766902177609298j),(-0.00015747388481994283-8.218548602852443e-06j),1074200000
(0.1316140737796845-0.9763012534761861j),(-0.00013280364016549242-5.407586733629974e-05j),1079500000
(0.12438037079694168-0.9798063185813831j),(-0.00022321274825149568+1.5185227334265503e-05j),1084800000
(0.11880537612205222-0.9791147328334305j),(-0.00023828522886782796-2.0845925718683923e-05j),1090100000
(0.11234119957223858-0.9790697636392491j),(-0.00028029634906720594+9.366226530643014e-06j),1095400000
(0.10419932479297375-0.9806183532981133j),(-0.000257943366375833-9.044757524751111e-05j),1100700000
(0.10060088506974844-0.9812116052786795j),(-0.00025636756877050836-8.223053248543371e-05j),1106000000
(0.09126199100851738-0.9813347732293048j),(-0.0002623589396626515-1.354645509901803e-05j),1111300000
(0.0864881321121635-0.9830055208198165j),(-0.00036080013159798445-8.673802274074187e-05j),1116600000
(0.08081452003075511-0.9820604037000076j),(-0.00029935536384054364-8.513308219015644e-05j),1121900000
(0.07446646613594951-0.9838517230562166j),(-0.000345982829286237-8.925968534361446e-06j),1127200000
(0.06883655869422436-0.984614992908483j),(-0.000355400113654389-6.366778815423897e-05j),1132500000
(0.06079665474923708-0.9839827014340768j),(-0.000371936224037533-4.820356514266093e-05j),1137800000
(0.05473895999605036-0.9853015008908899j),(-0.00037562847509597843-7.347592219947914e-05j),1143100000
(0.047264762891881404-0.983893805511869j),(-0.0003639633929387348-7.916619089895885e-05j),1148400000
(0.040731614983675515-0.98479112214702j),(-0.0004587393447395366-3.191610143921908e-05j),1153700000
(0.03284349562605683-0.9836298252054431j),(-0.0004823476426586317-7.641065841332916e-05j),1159000000
(0.023799282486672645-0.9831279545940061j),(-0.0005514548682538665-6.189762783002082e-05j),1164300000
(0.020771449170360515-0.9824811616402649j),(-0.0006499296281930443-7.039793861274072e-05j),1169600000
(0.01332515711206087-0.9824031388700194j),(-0.0007658540505215518-6.764764796690792e-05j),1174900000
(0.008068256782153147-0.9798737300541026j),(-0.0008639946682922207+2.3206383673683137e-05j),1180200000
(0.004012526783492203-0.9780777957420669j),(-0.0008824940822276589+0.00028210935580165106j),1185500000
(0.00035262466896482326-0.9781290422130547j),(-0.0007743037295884011+0.0004013174156258986j),1190800000
(-0.0021542746407410846-0.9814080719194122j),(-0.0005678180179401291+0.0004125817833516586j),1196100000
(-0.009065579782801831-0.9800914211783807j),(-0.0005517664758992935+0.0003041925140682604j),1201400000
(-0.014491321743065978-0.9837786533287487j),(-0.0006113548535901311+0.0002369934955588469j),1206700000
(-0.020415017275761414-0.9838866699675399j),(-0.0007502074488117317+0.00013914457719490676j),1212000000
(-0.02541010356162083-0.9827869325603107j),(-0.0008997681035049989+0.00017579762164809503j),1217300000
(-0.03418037342063258-0.984032718611956j),(-0.0009142523120557053+0.00027877403381224323j),1222600000
(-0.0396841429034963-0.9832562316256518j),(-0.00103533935870779+0.00022359654242249706j),1227900000
(-0.04636594299436286-0.9835517830117191j),(-0.0012875482102921141+0.00016094017331441343j),1233200000
(-0.05282609230657075-0.9825457949477121j),(-0.001678612749737817+0.00026889179661863244j),1238500000
(-0.05749144455439527-0.9789193018028248j),(-0.0022555628912469304+0.0006003834743332245j),1243800000
(-0.06259687640246063-0.9756958032621476j),(-0.002659702726483712+0.001557167732384489j),1249100000
(-0.06539128618927359-0.9734747699274103j),(-0.0021551529921724857+0.0028484845367399356j),1254400000
(-0.06690509830739905-0.9751453113968399j),(-0.0007213177313090638+0.0032086527824055594j),1259700000
(-0.07045173838922156-0.978697989467583j),(2.640913015080845e-07+0.0027780653641988006j),1265000000
(-0.079418489599841-0.9793422649543725j),(0.00021116873646784487+0.0021991215296349857j),1270300000
(-0.08441232360880667-0.9799175653846333j),(0.00025487081725145057+0.0017862040808285027j),1275600000
(-0.09081595169615175-0.9779622100300168j),(8.277891860385977e-05+0.001749114982379808j),1280900000
(-0.09829235257058218-0.9785524704659248j),(-5.074085695963743e-05+0.0018835580725683396j),1286200000
(-0.10058770554366725-0.9784012674805169j),(0.00011998255360563776+0.0021861223256533597j),1291500000
(-0.10795383774042187-0.9758507207925126j),(0.0006516298132968062+0.00232121911061516j),1296800000
(-0.11636980951967554-0.9757021748781309j),(0.0011731729491355832+0.0019765363088896245j),1302100000
(-0.11908370816987411-0.9746268787258672j),(0.001273082140899267+0.001491479440493952j),1307400000
(-0.12712890291071324-0.9746750625684885j),(0.001122665206152558+0.0010329353266381905j),1312700000
(-0.1323950224642923-0.973051256058816j),(0.0009292215017524328+0.0010009799721409354j),1318000000
(-0.1396016847588988-0.9728918771595829j),(0.0007234308040002769+0.0009671483578631408j),1323300000
(-0.14437388822885552-0.9716559443027832j),(0.0007305609410041004+0.0008491836392009375j),1328600000
(-0.15341514908919382-0.9713172122784652j),(0.0006293808050029345+0.0008549518288863675j),1333900000
(-0.15965751142761536-0.9675404281010535j),(0.0005510942653817513+0.0007437670592257865j),1339200000
(-0.164540700241864-0.9677496718231092j),(0.0005129625147923444+0.0008020004282907626j),1344500000
(-0.17387726268864462-0.9671437546898377j),(0.0003293758946214657+0.0007694542435897429j),1349800000
(-0.1783917483556878-0.9652139179465611j),(0.00015941014074895106+0.0007832549788181507j),1355100000
(-0.18272480386886308-0.9635758433786445j),(3.142019286114327e-05+0.0008543760726866517j),1360400000
(-0.1922603764052176-0.9645615951300827j),(-0.0002081804258374252+0.0009572006364123358j),1365700000
(-0.19692735272045173-0.9629779150381885j),(-0.0004073750910898137+0.0013173102003822194j),1371000000
(-0.20373016964461182-0.9621726531180319j),(-0.0005162047016380975+0.0016969540962627591j),1376300000
(-0.20959416877967954-0.9583542252684316j),(-0.0005735290151906228+0.0020469832781561666j),1381600000
(-0.2142168808812083-0.9601401245865461j),(-0.0006040949216586501+0.0028763320639962407j),1386900000
(-0.2243818024627451-0.9567990569187287j),(0.00020271026688904072+0.004053413972036851j),1392200000
(-0.2289032545490781-0.954432860275857j),(0.001917474465646738+0.004245462041122473j),1397500000
(-0.2329187191371326-0.9545064839819181j),(0.0027992926567610293+0.0032329997017416963j),1402800000
(-0.24177803488068184-0.9512502832553335j),(0.0031326937736165027+0.002360600315920792j),1408100000
(-0.24854964665753063-0.9505454536471882j),(0.00316308253460772+0.00171707840961862j),1413400000
(-0.25124504579049506-0.95056301584103j),(0.003023462319062848+0.0013627529614344445j),1418700000
(-0.25889425215981726-0.9468050277983513j),(0.002990102517676454+0.0011027560566074588j),1424000000
(-0.266595645446676-0.9451301583967516j),(0.002836902573446387+0.0008474959813688159j),1429300000
(-0.26683648439700713-0.9448264615701256j),(0.002858233084047969+0.0007052182953939789j),1434600000
(-0.2741311279657844-0.9437073879214082j),(0.0028146425457107+0.0005774822578792714j),1439900000
(-0.28417859171352056-0.944018574985713j),(0.002834523276667201+0.00034799448048646996j),1445200000
(-0.28768197583653465-0.941645473663346j),(0.0028035910526456272+0.0002452359374646615j),1450500000
(-0.2952646178219872-0.9383589874010687j),(0.0027799285340605485+7.852674932244536e-05j),1455800000
(-0.29600772190856606-0.9397062983118699j),(0.002803138551049876-7.928029966931128e-05j),1461100000
(-0.3036269001729865-0.9380110111988341j),(0.0027471507427555652-0.0002881929964505853j),1466400000
(-0.30980664671874675-0.9356660726745158j),(0.0026492947990775823-0.0005775376420005876j),1471700000
(-0.31180362766412223-0.9355112367784469j),(0.002493581932208676-0.0007895500035229674j),1477000000
(-0.31830834895576104-0.9346681923584352j),(0.0022392878077150194-0.0008359064904278106j),1482300000
(-0.3221727110927728-0.9323548740848202j),(0.0020526045532291313-0.0008883341011547795j),1487600000
(-0.32327186295953797-0.9314495733944388j),(0.0018590779849122895-0.0006265534585020241j),1492900000
(-0.3300244628337648-0.9297754186246143j),(0.0019079819266979814-0.0005277715261804703j),1498200000
(-0.3401269161928519-0.9289314722494433j),(0.0020631043410899897-0.0004203883422060659j),1503500000
(-0.3415883808407002-0.925688720970163j),(0.0020963716877276176-0.0004221446356523252j),1508800000
(-0.346710772380525-0.9238303830841377j),(0.002326772422827095-0.0005461332231729687j),1514100000
(-0.3523973637632185-0.9216236114982483j),(0.0025119016228720686-0.0006775644757723774j),1519400000
(-0.35613246546672256-0.9184961292637731j),(0.002679539611017476-0.0008581409351747491j),1524700000
(-0.35870758806407604-0.9163495072146988j),(0.0028876237852265645-0.0011346452843969848j),1530000000
(-0.3605883466996903-0.9162513987438073j),(0.0028696711767644658-0.0010671382294070103j),1530000000
(-0.369177775841042-0.9135656281730202j),(0.0029589222223985567-0.0014834817831877295j),1535300000
(-0.3717541215791069-0.9110135085595855j),(0.0029578705852726012-0.0019265881909103601j),1540600000
(-0.376708754792683-0.9071213592687545j),(0.002868396599357373-0.002482158911933301j),1545900000
(-0.3842571594999833-0.9036326828719633j),(0.002676775472573432-0.003049068359085968j),1551200000
(-0.38748949416952017-0.9011480302451428j),(0.002146506815934585-0.0035539233433914724j),1556500000
(-0.3929276985997508-0.8982891941026347j),(0.0015475822292028818-0.003887936086250117j),1561800000
(-0.39857167093543794-0.8958436889505653j),(0.0007155694729471414-0.0040692410797304665j),1567100000
(-0.4027984338064685-0.8930222354301555j),(-0.00012047951312831626-0.003953439046023734j),1572400000
(-0.40954443567526966-0.890527510317393j),(-0.0007520318511966598-0.003610129839860147j),1577700000
(-0.41117511453672445-0.8884134346306011j),(-0.0012024400687773197-0.003048770213094253j),1583000000
(-0.41988125972964274-0.8871963832589174j),(-0.0013968030826252758-0.002496930805885363j),1588300000
(-0.42286511484104783-0.881026347916477j),(-0.0014577496143691358-0.002128591056013416j),1593600000
(-0.43086326567099764-0.8786505276327269j),(-0.00150404820882195-0.0017454121658007278j),1598900000
(-0.43389896902549535-0.8766471960116906j),(-0.001474009149414751-0.0013064156330972697j),1604200000
(-0.43749693109093385-0.873958924873248j),(-0.0014158768791814067-0.0011086571003082453j),1609500000
(-0.446963219867748-0.8703482065875296j),(-0.0013042862119554948-0.0008125487862308476j),1614800000
(-0.45088377759698034-0.868431503476363j),(-0.0012606997578080913-0.0006593372466463066j),1620100000
(-0.4556869063768313-0.8664589070351993j),(-0.001127153650193193-0.0005350259983274986j),1625400000
(-0.4645037871604182-0.8633770583865081j),(-0.00095606428704604-0.0004108379712831421j),1630700000
(-0.4684835816805972-0.8567785970277599j),(-0.0009196917206822512-0.0003484848213356861j),1636000000
(-0.47673969089045687-0.8586670710002371j),(-0.0009044735396209063-0.00022857657380471368j),1641300000
(-0.4813759022113123-0.8548489877340997j),(-0.0006951882704851495-0.0001951640015838892j),1646600000
(-0.48437473767434946-0.8525206823424417j),(-0.0006304686973736008-9.338381825943522e-05j),1651900000
(-0.4913164756968766-0.8476444880488692j),(-0.0005838523320352318-3.832920507819098e-05j),1657200000
(-0.49516880721743456-0.8445915393709126j),(-0.0005367097393501185-4.3299923444119816e-05j),1662500000
(-0.4994606270077356-0.8424776897980603j),(-0.00043431815441604375+2.373281887241557e-05j),1667800000
(-0.505276919549186-0.8390165515831361j),(-0.0003381432427204747+2.0271821774742977e-05j),1673100000
(-0.5090846877540705-0.8387689843686785j),(-0.00039636424735106033+3.1363872499919763e-05j),1678400000
(-0.5142340396704115-0.834153012413983j),(-0.00030254644369055766+6.244012754906975e-05j),1683700000
(-0.5204665488510603-0.8298694977460792j),(-0.00013854566194979574+8.298656983222685e-05j),1689000000
(-0.5242985373400909-0.8285506444640388j),(-0.00012236166541652372+0.00012295842685467883j),1694300000
(-0.529218071233193-0.8257890490048171j),(-0.00010515258002101585+0.0001358985271180215j),1699600000
(-0.537448394131301-0.8222539478577642j),(-4.949673714472619e-05+0.00011361301721671129j),1704900000
(-0.5415934762932955-0.8191163725523052j),(-3.739347646739738e-06+0.00015069627517055466j),1710200000
(-0.5477872431947772-0.8180502839609965j),(2.4926207103541556e-05+8.785089493956098e-05j),1715500000
(-0.5517594309025391-0.8177905279438783j),(7.004898859724017e-05+0.0002087561719747858j),1720800000
(-0.5578919647859982-0.810007432749132j),(0.00011822555757462995+0.0001236394834185558j),1726100000
(-0.5600714537171413-0.8111830642637763j),(0.00016881561069972032+9.157696688212626e-05j),1731400000
(-0.5637657233386525-0.8073210688391439j),(0.00015692800106444806+4.553037670521837e-05j),1736700000
(-0.5700527555679017-0.8054763782200429j),(0.00021062901896548946+9.36954371539516e-05j),1742000000
(-0.5692906591163218-0.8024479915842929j),(0.0002019697530924218+8.652991626350334e-05j),1747300000
(-0.5788219160833884-0.7966567827118489j),(0.00027757531570181984+7.849439322967919e-05j),1752600000
(-0.58271696745606-0.7951442871144265j),(0.0003650357119225373+1.7586537051249586e-05j),1757900000
(-0.583811929125216-0.7942839076960928j),(0.0002769608727847837-7.038463192074708e-05j),1763200000
(-0.5888764905301603-0.7879256225047571j),(0.0003530551171354199+3.7834007167705717e-05j),1768500000
(-0.596701618728435-0.7844181269251784j),(0.0003665110797580534-5.716400617244722e-05j),1773800000
(-0.5964194543218789-0.7810101619604604j),(0.00036809037813698294-3.984889309960171e-05j),1779100000
(-0.604601345336282-0.7767431602955017j),(0.00039631284041672467-3.8764913565896655e-05j),1784400000
(-0.6074834499392368-0.774083078372348j),(0.0004066415056228453+1.611385552937447e-05j),1789700000
(-0.6120188535663672-0.7707423025922494j),(0.00046333685389501623-3.769031755853915e-05j),1795000000
(-0.617653097765359-0.7675762641795146j),(0.00045081719126032664+2.0972175936491838e-05j),1800300000
(-0.6200065176398373-0.7614962750087763j),(0.0004399080757400824-7.539901672516655e-05j),1805600000
(-0.6231655773600334-0.755878754607154j),(0.00048207490358621354-0.00015047131350500776j),1810900000
(-0.6284899218792854-0.7505571375101991j),(0.0005326040315939105-0.00017251821230020644j),1816200000
(-0.634117475695476-0.7483851288632085j),(0.0005223842900687371-0.00024977755461045686j),1821500000
(-0.6353101331317612-0.7446447791091264j),(0.0004748098261250481-0.00023775748433773903j),1826800000
(-0.6423056688471422-0.7390181956511275j),(0.0005354093933756114-0.00023420643771477178j),1832100000
(-0.6473986222392193-0.7357450432539062j),(0.0004964365883855101-0.00020260089514687046j),1837400000
(-0.6473133026066015-0.7314128281971158j),(0.0005115293534121117-0.0001775301683824879j),1842700000
(-0.6561124051961278-0.7320030103650892j),(0.0006299190644970813-0.00021900360797586773j),1848000000
(-0.6565807787523048-0.7244885712134878j),(0.0005365783157961711-0.0002464104542070129j),1853300000
(-0.6611998066017006-0.7185744911719946j),(0.000580354920862848-0.00027970305218427677j),1858600000
(-0.6638057225220811-0.7104237022371707j),(0.0006300671035194518-0.00036293193062620743j),1863900000
(-0.6706667412633863-0.711412823932558j),(0.0005815576205751626-0.000287858588002943j),1869200000
(-0.6721714319608898-0.7069795992849655j),(0.000500907308897603-0.0004070109522174769j),1874500000
(-0.6759813927034416-0.7018716595028947j),(0.0006033993834523914-0.00047959432387552407j),1879800000
(-0.6797145648494296-0.6985250592092814j),(0.0005939331324656986-0.000492958120844181j),1885100000
(-0.6825743299315266-0.6918411685601822j),(0.0005403464306724361-0.0005341878794810052j),1890400000
(-0.6920895803347267-0.6838772213892401j),(0.0004794702111708273-0.000604060003546309j),1895700000
(-0.6935470245964369-0.6809219484037874j),(0.0004957184296549084-0.0006046783260209291j),1901000000
(-0.7005926141438641-0.6738656099389787j),(0.0004935175757834159-0.0005692400719010201j),1906300000
(-0.7034313650909028-0.6713769105486784j),(0.00047354169840883696-0.0006442050334446273j),1911600000
(-0.7061796648664747-0.6708272879104403j),(0.00038985653700775386-0.000621967272117261j),1916900000
(-0.7163529327720674-0.6577640714322559j),(0.00041678615241117444-0.0006235914829061918j),1922200000
(-0.7162668535301904-0.6618117474042785j),(0.0003217770048018629-0.0006660745876491162j),1927500000
(-0.7212289710755335-0.6583250105715954j),(0.0002711084621251764-0.000771088718355247j),1932800000
(-0.7257615703832969-0.6509694232702017j),(0.00020745532332017632-0.0007933541333098982j),1938100000
(-0.7288089984911359-0.6495193112389372j),(0.00014838563020976893-0.0006625329425566051j),1943400000
(-0.7305187807733596-0.6430100423090346j),(0.00014631281415399222-0.0007199266949272701j),1948700000
(-0.7356636481986293-0.6414843242402054j),(-3.963197550124963e-05-0.0006566679958110183j),1954000000
(-0.7366919694758342-0.6406728129485485j),(-0.00010379882674308176-0.0007344345956542942j),1959300000
