S11,S21,freq
(0.024663701284505065-0.030377231563592167j),(0.9993091599570424+0.0002711148652647756j),1000000000
(0.0121014320703669-0.04450020487691673j),(1.003283367828591+0.0005051996584638557j),1005300000
(-0.005248764763285141-0.052770655278759494j),(1.0049796178717316-0.0005851974548577543j),1010600000
(-0.02479411959366169-0.055848633724023156j),(1.0080699216210967-0.0005864332035858942j),1015900000
(-0.044315913661924486-0.05177821163486879j),(1.0111900779290064+0.0007032517292531381j),1021200000
(-0.062240961463231124-0.0415969883188214j),(1.0137090489620513+0.0018017993918012665j),1026500000
(-0.07572695047675157-0.025277174385504905j),(1.0146033225206281+0.00014386020005416377j),1031800000
(-0.083556029530254-0.006091302245867093j),(1.0174607819433363+7.622762792972113e-05j),1037100000
(-0.08410227084667396+0.01587209809602876j),(1.01912073249519+0.0010695527299096688j),1042400000
(-0.07830329655085476+0.03652920435674269j),(1.0205039728088232-6.743962127804537e-07j),1047700000
(-0.06635180067888667+0.053215195239582j),(1.0204888467642255+0.0028257882029957293j),1053000000
(-0.05039439398513313+0.0652262868492392j),(1.0219552684870172-0.0007208157185803511j),1058300000
(-0.031282367477347334+0.0716849134687298j),(1.0218817145365184+0.00025207974677006614j),1063600000
(-0.011767033572934162+0.07171914809860146j),(1.0218157458913057+9.818042910294655e-06j),1068900000
(0.005399367145237667+0.0659803828832398j),(1.022053829334909-0.0012344069534313304j),1074200000
(0.019170991380288094+0.05575509873804873j),(1.022291531321901+1.6773468693387795e-05j),1079500000
(0.02816638161334318+0.04310053752425371j),(1.0221326094379-0.0031372229337994382j),1084800000
(0.03231184837108472+0.030506397589125645j),(1.0210668350270886-0.0007887646096926755j),1090100000
(0.0318176220306668+0.01835778744476733j),(1.0202778275128426-0.0015410424574460184j),1095400000
(0.027340014660943157+0.008702133202322477j),(1.0186476598063077-0.0022306095726563144j),1100700000
(0.020915027477085853+0.0025265949821968513j),(1.0172221473624672-0.0036825955297732807j),1106000000
(0.014190122344211976-6.574767850185969e-06j),(1.0145136455015649-0.0019498648897876803j),1111300000
(0.008676940573076396-5.941150633311228e-06j),(1.0147530020564612-0.0012498534686318466j),1116600000
(0.0047615423780438025+0.002381895174435592j),(1.0122831574718079-0.0013860382291963071j),1121900000
(0.005502287239521766+0.005586660060086305j),(1.0099846065598352-0.0010640670561034345j),1127200000
(0.0065520112343824+0.008262366932171425j),(1.0066323835436766-0.00196269454233762j),1132500000
(0.010563307405524098+0.009656379253883813j),(1.0043461161179703-0.002925741729693884j),1137800000
(0.01580655097724132+0.008538622507291822j),(1.0018699813772607+0.0021948015895203203j),1143100000
(0.01997029765291947+0.004480400196776673j),(1.0010579669995978-0.0007591302584280283j),1148400000
(0.023780251875193822-0.0009798374668870504j),(1.004531014060269+0.001815451259562305j),1153700000
(0.024775536091789698-0.009455759763173907j),(1.006813448985943-0.0007800128757536056j),1159000000
(0.022173595573367684-0.01675301690312296j),(1.010185691763414+0.00036660224992632795j),1164300000
(0.017508676728937664-0.023417157643413167j),(1.0118280099648207+0.00316437589313588j),1169600000
(0.010221257201119186-0.027950500127330115j),(1.0132540965901182-0.0016318646661991594j),1174900000
(0.001574252689595066-0.030015055069672305j),(1.015636315007304+0.0008633279368316079j),1180200000
(-0.007025737499288156-0.028144522280971095j),(1.0176954428847511-0.0003845266286399275j),1185500000
(-0.014522755614968899-0.024545876686595622j),(1.0196726111498151-0.00023345876546528965j),1190800000
(-0.018407306144066053-0.01868194142027238j),(1.0202454806547192+0.0014504018170482188j),1196100000
(-0.019865005390840976-0.011240693033340597j),(1.0217836697205827+0.00014632647246048025j),1201400000
(-0.018482349967864416-0.004498077535437071j),(1.0218700275706087+0.00030167851711468115j),1206700000
(-0.014274682054938601+0.0004382748794111155j),(1.0211775190663617-0.002121944624190068j),1212000000
(-0.007045754680790128+0.0028200503191555125j),(1.0222509779994975-0.0001247899884963375j),1217300000
(-0.0007788577894199022+0.0010082455334879212j),(1.0213951299614052-0.0015690934894502337j),1222600000
(0.005299803251792677-0.0039686366339115485j),(1.0216286875396305-0.0011303635404484608j),1227900000
(0.00899284359598415-0.010909616133150899j),(1.0212437515748765+0.0019199306044986398j),1233200000
(0.008761515968658127-0.019214985956449417j),(1.0214396708294986-0.002089807147185082j),1238500000
(0.0042027092279102-0.027715362745907073j),(1.0202713339588936-0.003962456484486105j),1243800000
(-0.003241410667060595-0.034335682737402305j),(1.0190434811153044+0.00024118338071208258j),1249100000
(-0.01335911857727754-0.037493879265198586j),(1.0168911530178433-0.0018507455254032938j),1254400000
(-0.024472050757952966-0.036980926896007515j),(1.014635886532132-0.0016435800141833257j),1259700000
(-0.03560213383744795-0.03314406778589469j),(1.0133385721013386-0.0008196790185907112j),1265000000
(-0.043820316946153764-0.022675873882300433j),(1.010698311501437-0.0014447577965261784j),1270300000
(-0.048997771428278825-0.011870544341059669j),(1.0086218814730517-0.001495802713728706j),1275600000
(-0.04873839681042333-0.0003179807334502749j),(1.0061859145027172+0.0007030225614030178j),1280900000
(-0.04284396548138626+0.011144797077244672j),(1.0027408457644083-0.0017169325159561745j),1286200000
(-0.033711110337700696+0.019338781113380193j),(1.0000705866599209+7.453926757861127e-05j),1291500000
(-0.022043274839413932+0.02379985000939856j),(1.0022299291155046+0.002055568484082825j),1296800000
(-0.00942012225404503+0.02243929498445691j),(1.0055244712074216-0.0006361440392936658j),1302100000
(0.0023245610747039997+0.016639405154226346j),(1.0079588242254778+0.0007976998009568069j),1307400000
(0.010667347092172288+0.005949912922352519j),(1.0104497480165782+0.0013346575579275756j),1312700000
(0.014275500453020016-0.00796668517328177j),(1.013382884928073-0.0006471432401154902j),1318000000
(0.011681939335033881-0.02246655261707051j),(1.016996701712211+0.0009310274248388103j),1323300000
(0.0023089183279957634-0.03591961527777505j),(1.0161665877269312+0.00015617044939267213j),1328600000
(-0.01188524938114589-0.04561224727893858j),(1.0189354616396582+0.0026518963211672494j),1333900000
(-0.029269258824201776-0.04930136173795444j),(1.0202073630076416-0.0017555197808919367j),1339200000
(-0.04786574925847454-0.0476139221506349j),(1.020697695767205+0.001199325378648837j),1344500000
(-0.06470017828830958-0.038661748122692866j),(1.0214750156706534+0.0011878239344587137j),1349800000
(-0.07808710544168518-0.022154548389051017j),(1.0203135544732378-0.0005858939502393901j),1355100000
(-0.08506973888590959-0.003990706969649091j),(1.0215240101181409+0.005305518647870897j),1360400000
(-0.08682680369736584+0.016893582219177992j),(1.0214148548314417-0.0017339838952689763j),1365700000
(-0.08044098815771392+0.03685967042145019j),(1.0212902928872734-0.003939426780159835j),1371000000
(-0.06684727802370699+0.05465781220654475j),(1.0212870360003414-0.0006254252837410027j),1376300000
(-0.04911612136356017+0.06669535899108726j),(1.0209641438550874-0.0031325566769328734j),1381600000
(-0.02833159897062582+0.07236013027154399j),(1.0195639734673836-0.0024031611408199477j),1386900000
(-0.009561003039875575+0.07129014562014094j),(1.0192054550481813-0.0002277576621426468j),1392200000
(0.007958372672036765+0.06445249282160254j),(1.0178207619969806-0.0022786405945480954j),1397500000
(0.020452951551708676+0.051977521645182406j),(1.0160258469094854+0.0008527185712697888j),1402800000
(0.02811666174585751+0.0379054366412934j),(1.0137416551089085-0.003055037345258963j),1408100000
(0.028809954739434183+0.023337557959507725j),(1.0120398697907076-0.0025145151301456093j),1413400000
(0.024828785443115575+0.010975243351197287j),(1.0096294873179572-0.0031586495888050476j),1418700000
(0.01686296282843939+0.0010120935963209465j),(1.0075368003610452-0.0025677847247009243j),1424000000
(0.007315036479371915-0.0024548443432426633j),(1.004762755213437-0.00044351940149228166j),1429300000
(-0.0019032410015624305-0.0015847711413403346j),(1.0017164816608106-4.488012592176137e-06j),1434600000
(-0.008383082766161919+0.0042028186376513324j),(1.0006359011520503+0.0010400271771703684j),1439900000
(-0.012064664386425512+0.01079328710955194j),(1.0040207773338934-0.002648667602628115j),1445200000
(-0.009946110440663288+0.0211596397976551j),(1.0067244397171797-0.0012470272721600726j),1450500000
(-0.004097907076730533+0.029208405797383197j),(1.009920712294884+0.0019495337091179578j),1455800000
(0.005232300552765167+0.03342067525131648j),(1.0112794555463547-0.000135003489309823j),1461100000
(0.016823456431658113+0.035166393972383025j),(1.0142085053283618+0.001505326333035183j),1466400000
(0.0290777801434139+0.031838516409802925j),(1.0163797353032884+0.0011424044758735728j),1471700000
(0.03762109298289556+0.024238395510065916j),(1.0172237242932964+0.0044250317823914895j),1477000000
(0.044968587640228215+0.013626106931815408j),(1.018405916028419-0.0013054744585850764j),1482300000
(0.04581121367115971-0.00020597849193952373j),(1.0207739764629287-0.0003037211783198823j),1487600000
(0.04320120404173395-0.013657038116057806j),(1.0213532415788278+0.0025325582552662425j),1492900000
(0.03501998064021341-0.024464464477417246j),(1.0210417405815826-0.003502840723070955j),1498200000
(0.025819018389807307-0.032917301545111084j),(1.0226903935958855+0.0025715716289573583j),1503500000
(0.013828935995413209-0.035883717036559785j),(1.0222704639248668-0.0008727486369416535j),1508800000
(0.002658846559798074-0.03345453802272803j),(1.0216739136862787-0.0004466998744052904j),1514100000
(-0.007075930033108308-0.028405914699502897j),(1.0210144362148157-0.002570089602032246j),1519400000
(-0.011593542206285393-0.018949312708701392j),(1.0216005774653922+0.0010857514476028144j),1524700000
(-0.012191127718845608-0.009092749481270852j),(1.019916163023771-0.0008744010178237137j),1530000000
(-0.01215820407184524-0.009559317359994633j),(1.0202331967565095-0.00039033994905789083j),1530000000
(-0.008918334687347781-0.0008851247880449529j),(1.0199509299865201-0.0030867167552658327j),1535300000
(-0.0016683455313239043+0.005248685731726291j),(1.0186715169942138-0.001585018167739082j),1540600000
(0.007535987061617619+0.007400218174995105j),(1.0167395024549797-0.0007645990870000796j),1545900000
(0.01604285562012522+0.004532207486236447j),(1.0147505094895661-0.001981757783999053j),1551200000
(0.023806828738865228-0.0013568876623333212j),(1.012863824701216-0.0034214784744796985j),1556500000
(0.027702084435705748-0.012581778626564694j),(1.0110989992017594-0.0003483411906052932j),1561800000
(0.026769494594129178-0.02397407238592432j),(1.008801496219767-0.004082561823833039j),1567100000
(0.021913879417027257-0.03704362959074786j),(1.0163832522365932-0.00961304643525861j),1572400000
(0.01178996433575064-0.04399085274473846j),(1.0038151720258368-0.0016936858978255642j),1577700000
(-0.00034182311343873903-0.04906986544373059j),(0.9994481156100788-0.0014738734018751008j),1583000000
(-0.013465845135838378-0.04908227992206239j),(1.0028501577014024+0.000528504574200767j),1588300000
(-0.02716044529817613-0.04531228195427767j),(1.0051504545258487-0.0014627057277554769j),1593600000
(-0.036387048508882296-0.03708057810196541j),(1.0079431297211354-0.00015428461234363216j),1598900000
(-0.042102381229281303-0.024934053980480927j),(1.011032500775607+0.0005481534247757497j),1604200000
(-0.043068216476621644-0.01176018323924233j),(1.0134496163461777+0.00014379070768883893j),1609500000
(-0.03943265390603526+0.00024419000661988295j),(1.0153060630096815+0.004049428781174175j),1614800000
(-0.030743342689913418+0.009301072676692182j),(1.016105085274948+0.00043343085686953046j),1620100000
(-0.020027490858658598+0.013996938172063123j),(1.0175505726674772-5.27778328904829e-05j),1625400000
(-0.008800813336247328+0.013230449729683487j),(1.0193297875581948-1.1455043563626371e-05j),1630700000
(0.0007970190063764134+0.00673565613789376j),(1.0187611353338242+0.0004331869064588063j),1636000000
(0.0070351643069314-0.0027436569203043697j),(1.0215997276480573-0.0015176208238267853j),1641300000
(0.007304023775882805-0.015927713407331023j),(1.0234861363842924-0.00206065367549856j),1646600000
(0.0034970230039454817-0.02866703155686674j),(1.022834140495959+0.0005020482511488903j),1651900000
(-0.007173334254233228-0.03969354381842127j),(1.0203040827882588-0.0010230785252619472j),1657200000
(-0.020938064331508174-0.04594949153662814j),(1.0218115028356753-0.003635505809784626j),1662500000
(-0.037373915538537125-0.047350531055529534j),(1.0219715383768684-0.00027123120515589854j),1667800000
(-0.053009290758118256-0.04196474259810738j),(1.0204885564637722-0.0024158795907881885j),1673100000
(-0.06566022367012367-0.030714134495670342j),(1.0196267906077652-0.0021340778046627395j),1678400000
(-0.07362689232423744-0.015503062088844782j),(1.017815405017783-0.001572627064360498j),1683700000
(-0.07794296392122381+0.0026944036753303834j),(1.0148123955228376-0.0016372140057158398j),1689000000
(-0.07557068226800528+0.02013751884870438j),(1.0135928853645955-0.00021064706047487316j),1694300000
(-0.06645095201094184+0.03602763783602051j),(1.0158628546143214-0.0029206581913947143j),1699600000
(-0.05390337774571356+0.04688822337526626j),(1.0116773737077847+0.0019354004180651423j),1704900000
(-0.03865255524197432+0.052243805149534146j),(1.008644894434478-0.0030902431058479596j),1710200000
(-0.024476812111562895+0.05097329270053663j),(1.0069361088949762-0.0015541315647733204j),1715500000
(-0.013754031170068277+0.046572829616396146j),(1.0052357472526603-0.0008940137847093424j),1720800000
(-0.00382196753298712+0.03631951776984205j),(0.9998061545129395-0.003902758326079845j),1726100000
(-0.0013338336484249006+0.025510228683513336j),(1.0013686453642472+0.00012018697738870718j),1731400000
(-0.0029661022062799323+0.015928947334485258j),(1.0034375990697646-0.0012516675192513205j),1736700000
(-0.008694478861392485+0.007345419606309837j),(1.0070335300902495-0.0007223411952212583j),1742000000
(-0.017085889108326625+0.0049287777422536115j),(1.009439782780616+0.003095459422095782j),1747300000
(-0.02783279527477553+0.005394770656213831j),(1.012070020449329-0.0011111919078579122j),1752600000
(-0.03641373175104241+0.013012174751105908j),(1.0132416216627589+0.00317337669427229j),1757900000
(-0.04018905971221259+0.02383310134276591j),(1.0153088813994353-0.002361900975995052j),1763200000
(-0.0407883956211791+0.038397982773276135j),(1.019367532265986+0.0021212876779545735j),1768500000
(-0.03621841640163121+0.05116445449499376j),(1.0181767461105025-0.0016964706749686598j),1773800000
(-0.025913647884917262+0.06275416548134224j),(1.0195325328454834-0.002067693271038992j),1779100000
(-0.011527555594639947+0.07074976699130074j),(1.0211064383984052+0.002765389945671274j),1784400000
(0.006212573891574868+0.07360850970497855j),(1.023083497362447-0.003866265023866924j),1789700000
(0.022664978917492803+0.06863642663072798j),(1.0216369424529375+0.00360913716333891j),1795000000
(0.037003710013144044+0.05886692448184187j),(1.0235188438149254-0.000782789441438649j),1800300000
(0.04643538647151924+0.04435633131039544j),(1.0227444105807586+0.004034484948670587j),1805600000
(0.051400861017898244+0.027591078654450943j),(1.0197519452287136+0.0015612276134748843j),1810900000
(0.04910661766567418+0.011330494046634724j),(1.0214868318897135-0.0027502805775985735j),1816200000
(0.04244670749407488-0.002546454354305586j),(1.0203801680169007-0.000574281411982376j),1821500000
(0.03209124369383186-0.01265433370588951j),(1.0201635612899-0.0029127405592026512j),1826800000
(0.019775682803047978-0.015310837207968463j),(1.0187166796095974-0.0015255088891762564j),1832100000
(0.007233328531649196-0.013464588710426415j),(1.0170182866231254-0.004130680918864232j),1837400000
(-0.0011038621098395742-0.00557517908868889j),(1.0165586564593097-0.0029489703875699453j),1842700000
(-0.007920235741067976+0.0038634758231086593j),(1.0069953111830945+0.000643616617852308j),1848000000
(-0.007768862564865542+0.016843199773592832j),(1.0104001944877141-0.001137887712556568j),1853300000
(-0.0017377852373214667+0.027757914181680953j),(1.0120170082951048-0.0009246765580617909j),1858600000
(0.007911845212070785+0.034879778089943095j),(1.0065390670001362+0.004015910160380597j),1863900000
(0.020559955765956865+0.03748026158659234j),(1.0019709572945035-0.0018484478088678705j),1869200000
(0.03337340484471676+0.03399557699879944j),(0.9987159617452516-0.0024342623689661597j),1874500000
(0.04509505740556228+0.025188644879547185j),(1.0024447511438217-0.0008589107491993842j),1879800000
(0.0540977828287022+0.011754496729018122j),(1.0059116845489073+0.0017567647845184093j),1885100000
(0.05652280231901782-0.003948132163207053j),(1.0105300165801623+0.000899667412534108j),1890400000
(0.05458185594342188-0.020277609398782485j),(1.0111385465161795-0.0009780382650027646j),1895700000
(0.04732144491995328-0.035166567558126686j),(1.0136092188982175-0.0007830094105068608j),1901000000
(0.03471070417994975-0.045396844919464684j),(1.0152850676270742-0.0007446097091482827j),1906300000
(0.02000706148820518-0.051754791800965164j),(1.0173731440238014+0.003275579059682541j),1911600000
(0.0048635994687536285-0.050413907749820006j),(1.0187218759875734-0.0013022523208885547j),1916900000
(-0.009082964067480413-0.0433212298123985j),(1.0182211997048127-0.0038012812219770176j),1922200000
(-0.019053146367218523-0.032835867195098095j),(1.0180916956176416+0.00039429572733543387j),1927500000
(-0.02348665602008446-0.019861019267110386j),(1.0204803295969744+0.0022760779647147864j),1932800000
(-0.02252792861647809-0.006201323832358448j),(1.021248000637413-0.0012216618673176396j),1938100000
(-0.0174069116506484+0.004248469225288126j),(1.023356370187257-0.0029826922533288465j),1943400000
(-0.006580693604004535+0.01047364008902469j),(1.0230996369866634+0.0020970913700142364j),1948700000
(0.004221714899714977+0.011864047561373981j),(1.0212819634344972-0.0023693781006067895j),1954000000
(0.015697134313284962+0.006891791875596886j),(1.0235552111673076-0.0023700878069129344j),1959300000
(0.025780024998844495-0.0018051988121832862j),(1.0178159544023133-0.003795516910835693j),1964600000
