S11,S21,freq
(0.4682107119121649+0.6377438709016393j),(-0.0001413563658850779-4.276774923328241e-05j),1000000000
(0.47161971067696395+0.6348325490551994j),(-7.22982775423207e-05-3.316824342381153e-05j),1005300000
(0.48099514604804355+0.6291712595587996j),(-0.00017988437163961863-5.3294755144436255e-05j),1010600000
(0.4872828312921971+0.6237673765894234j),(-0.00010621308539538248-0.00010615693897013353j),1015900000
(0.49384167911201254+0.6190570570173574j),(-0.00017726557539951722-0.00010207041808258559j),1021200000
(0.5009659897896233+0.6132834608727695j),(-0.00010624000338195619-0.0001379199411424289j),1026500000
(0.5087670362874637+0.6058584930192121j),(-0.00015174059298015988-8.260636179462073e-05j),1031800000
(0.512919929669116+0.601344396329217j),(-0.00013648448538956237-0.0001244957493972912j),1037100000
(0.5218924462334238+0.5939656602383134j),(-0.00017150659994272078-1.859412860256355e-05j),1042400000
(0.5268878414627488+0.5890820256927696j),(-0.00017072781477117825-0.00015822410949127382j),1047700000
(0.5349138681805164+0.5806874465004146j),(-0.0001623330508336109-8.51561293947618e-05j),1053000000
(0.5404767873903192+0.5750128527945108j),(-0.0001454559327625159-0.00017403375475307965j),1058300000
(0.5475495544709289+0.5685757959393959j),(-0.0001948844461922932-0.0001031752817852299j),1063600000
(0.555295424045846+0.5617959296053981j),(-0.00017060323989767529-7.482741732494422e-05j),1068900000
(0.5610043388979989+0.5551758234552544j),(-0.00022047431680563743-0.00017987235261289147j),1074200000
(0.5664437457250556+0.5488674920194755j),(-0.00022757591943625333-0.00015357898175074312j),1079500000
(0.5742024098630575+0.5417361095624587j),(-0.00021055077573174294-8.327737746456627e-05j),1084800000
(0.5796150114158517+0.5348411242827208j),(-0.00029115181275288167-0.00011980981095138453j),1090100000
(0.5865825807393057+0.526849641262427j),(-0.0003034706761246476-7.469230021986012e-05j),1095400000
(0.5919510894129184+0.5207569778749173j),(-0.00028901967961710386-0.00012127911743597193j),1100700000
(0.5983948841483765+0.5130906479303615j),(-0.0002800690549285234-0.00018476858546160758j),1106000000
(0.6043012346601442+0.5066931873270861j),(-0.00030032989794315674-0.0001465789454358855j),1111300000
(0.6081813747601094+0.49875744206972766j),(-0.00033995244388121523-0.00018599046655928055j),1116600000
(0.6155139125369544+0.49052739275434537j),(-0.00036411357568748927-0.00014162238058882306j),1121900000
(0.6188447041953898+0.48543306571614214j),(-0.0003674390065666377-0.00020889085701689835j),1127200000
(0.6245886010034234+0.47579433923410547j),(-0.00043528412622584973-0.00012855822348569802j),1132500000
(0.6316794836549433+0.46817511471950385j),(-0.0004587927932285732-0.00016782451989113853j),1137800000
(0.635789752567893+0.46167785725127386j),(-0.0004734449211034287-0.00022824768965499495j),1143100000
(0.6421812715083919+0.451479266293625j),(-0.0005439999996123121-0.0001986705434903192j),1148400000
(0.647024091144891+0.44435951262208556j),(-0.0006478131833607311-0.0001964095658567747j),1153700000
(0.6535961821653289+0.43571416034670724j),(-0.000658987257540789-0.00023402796219296833j),1159000000
