S11,S21,freq
(0.455511784740883+0.6463340787139805j),(-1.7227053195512693e-06-6.713104819775913e-05j),1000000000
(0.46508527517336146+0.6378912662606719j),(-5.1644589136198785e-05-6.652146129050367e-05j),1005300000
(0.4709610326946902+0.634579373895682j),(2.114484250400316e-05-4.417439928806968e-05j),1010600000
(0.47847450817490944+0.6282161892416995j),(-3.9289104846265075e-05-6.484133790669344e-05j),1015900000
(0.4855412607012603+0.6220816072128853j),(3.239485986293507e-06-9.710008525177896e-05j),1021200000
(0.49290066876314237+0.6153105192973793j),(1.1401329151784243e-05-7.173908103042945e-05j),1026500000
(0.5001247984602329+0.6091777566215562j),(-3.197747521261412e-05-7.984856769025801e-05j),1031800000
(0.5088556878589597+0.6030541918557909j),(-5.239456939586313e-05-4.6511321179160174e-05j),1037100000
(0.5162322635459692+0.5963154222538116j),(-7.92393561058844e-05-0.0001074459661765444j),1042400000
(0.5227495522848489+0.5907060570880758j),(-7.5675187343624e-05-8.645934457877363e-05j),1047700000
(0.5306023058683045+0.5830797986006704j),(-4.72595638553424e-05-8.206006405893849e-05j),1053000000
(0.536628093869646+0.5753645045211642j),(-0.00020971347266546088-5.376592565896078e-05j),1058300000
(0.5433069858256676+0.5706078891003163j),(-9.505880174416823e-05-6.133079175618215e-05j),1063600000
(0.5502827803355654+0.5621055798070035j),(-0.00011761971742926244-0.00011061727386164383j),1068900000
(0.5570132981022728+0.5546847537385925j),(-0.00011486642379410558-5.707440337081048e-05j),1074200000
(0.5639719239192159+0.5498482072289557j),(-9.049086135016098e-05-6.542236853610028e-05j),1079500000
(0.5696935809424455+0.5417400356544207j),(-0.00015598060895474943-0.00010642500728171432j),1084800000
(0.5754361550411815+0.5350314784361618j),(-0.00013453167325836837-5.074912304197275e-05j),1090100000
(0.5822390314213652+0.528310553513245j),(-7.838072883984817e-05-7.375569173828853e-05j),1095400000
(0.5890817591040349+0.5210719375007532j),(-0.00018163921334828477-6.960769649213282e-05j),1100700000
(0.5949654881920917+0.5135836012264116j),(-0.00018513795998629265-0.00011025173292494712j),1106000000
(0.6025741668655832+0.5051547174428577j),(-0.00014009793815694752-0.00012389111305408202j),1111300000
(0.6072610612693451+0.49980588218855093j),(-0.00015775804319775056-0.00013766796925356316j),1116600000
(0.6141352354347096+0.491406225925904j),(-0.00025000039069011-9.76771367243303e-05j),1121900000
(0.618485125868236+0.4854079242828755j),(-0.000263704257744754-5.422837761826692e-05j),1127200000
(0.6251414733411741+0.4764453826540059j),(-0.00026646044878754325-0.00018849917361850685j),1132500000
(0.6303802882583459+0.4693732926319026j),(-0.0002832517094300206-0.00021547586560539354j),1137800000
(0.6356657934813441+0.46066561514550636j),(-0.0002941027874275197-0.00022846579814827782j),1143100000
(0.6421696982190499+0.45369139668786623j),(-0.0003328896913470952-0.00024015296641310052j),1148400000
(0.6459682709656512+0.4460826062565357j),(-0.0003871655556537827-0.00022697932900977782j),1153700000
(0.6539556441027742+0.43549969506276665j),(-0.00041513739690621416-0.0001918954120972703j),1159000000
(0.6575723401745056+0.4303876981072077j),(-0.0005075655247607425-0.0002523419336140321j),1164300000
(0.6633182646936727+0.42113656132254573j),(-0.0006239454516886051-0.0002542347579280253j),1169600000
(0.6659425306704245+0.4151398022445296j),(-0.0007525182438049596-0.00019892724378340614j),1174900000
(0.6720484113325614+0.4051228226654669j),(-0.0007917115411796304-0.0001883024751887224j),1180200000
(0.6779364740313865+0.3957847628093634j),(-0.0009584339411439677+3.639899566427353e-05j),1185500000
(0.6807355946860487+0.3887488288839978j),(-0.0007943272047172789+0.0001518889263849587j),1190800000
(0.6875744142059268+0.38036229691489426j),(-0.0006252742820610172+0.000218196982880739j),1196100000
(0.6904505062033948+0.3724902759034555j),(-0.0006617535150236643+7.869350004779358e-05j),1201400000
(0.695532099340797+0.36352939773251125j),(-0.0006973010223809161+4.936751126251402e-06j),1206700000
(0.7004994172097799+0.35357049260013756j),(-0.0008155156064506556-4.8248826975523694e-05j),1212000000
(0.704527908420769+0.3450638873127991j),(-0.0010314455215911524-1.920677427811121e-05j),1217300000
(0.7087662312107537+0.3356959559908838j),(-0.0012140505440664821-1.4283612490193111e-05j),1222600000
(0.7127429695449572+0.3271856771611646j),(-0.0012214046361667724+0.00010184271593743192j),1227900000
(0.71600145016132+0.32008998314660836j),(-0.001433491050732988+0.00010362507146582188j),1233200000
(0.7197041712138758+0.31147042901234107j),(-0.0019025652231586968+0.00017808090450343334j),1238500000
(0.7247876366543656+0.3008778349200593j),(-0.0024393035993328376+0.0005994226375762498j),1243800000
(0.726948635213902+0.29254600198434016j),(-0.002922019492950162+0.0016084708151630092j),1249100000
(0.7312650593611859+0.28487204296024704j),(-0.0023955399294080418+0.0030685995623632675j),1254400000
(0.7330927657103259+0.27715164086610744j),(-0.0008267880360643691+0.0034018881786973413j),1259700000
(0.7370189241749306+0.26909251657306565j),(0.00014505812590404334+0.0028374850179325546j),1265000000
(0.7396497205466056+0.25823411910134564j),(0.0002629163565814813+0.0022406310606886593j),1270300000
(0.7435286199003266+0.24952456761226385j),(0.0002840975696293895+0.0018824682550858958j),1275600000
(0.7466353660782803+0.24000743024871754j),(0.00010536637766812713+0.0017779831208926415j),1280900000
(0.7493544193748474+0.23262882738257487j),(5.222053049612014e-05+0.0019162072136271783j),1286200000
(0.7526112508651048+0.22256008288937962j),(0.0002311675825443578+0.0022283078118652405j),1291500000
(0.7539255296604568+0.21570187651296238j),(0.0007499991197062658+0.0023989995268771944j),1296800000
(0.7575268511330435+0.20662305806685077j),(0.0012439649569870263+0.0018710286627937524j),1302100000
(0.7592509361134822+0.19778067550693912j),(0.001403507637067578+0.0014176717114271235j),1307400000
(0.7616972796581473+0.18846830119133587j),(0.0011742412590238652+0.0009124272208856624j),1312700000
(0.7651478947092111+0.17776661236780472j),(0.0009191486038622246+0.0008268244282310078j),1318000000
(0.7669373361140788+0.17089512134392235j),(0.0007984937583017195+0.0008688825218507165j),1323300000
(0.7705004633695758+0.15855099073960074j),(0.0007643352268962009+0.0007863460275784625j),1328600000
(0.7703816247269162+0.15369664242170425j),(0.0006700937059633896+0.0007516849778981379j),1333900000
(0.7726485063921236+0.1419395391451951j),(0.0006865094929973717+0.0007833236314738259j),1339200000
(0.7735015910732447+0.1327546765173574j),(0.0005234198002248931+0.0007810295318852584j),1344500000
(0.775142047075614+0.12219705076363502j),(0.00040207782565539223+0.0007151189666778716j),1349800000
(0.7766088589800174+0.11172154256180127j),(0.00028230430088798454+0.0007404983915746109j),1355100000
(0.7771927920298014+0.10132090831698817j),(0.00014436864804241348+0.0008071021922164001j),1360400000
(0.7775861777525893+0.09407334369203782j),(2.5719454290379385e-05+0.0009270894796602746j),1365700000
(0.7761601079345501+0.08442323265063569j),(-0.00015773131043483638+0.0012123966126171457j),1371000000
(0.7750888654020945+0.07756384502250793j),(-0.0001550252239769597+0.0015003210864043012j),1376300000
(0.7745416195994449+0.06574994937830285j),(-0.00018315370729939332+0.0018700439375754839j),1381600000
(0.77252615528965+0.057386552074651806j),(-0.0001603788607927879+0.0024779521840646505j),1386900000
(0.7697048187780293+0.05073102803889047j),(0.0005332717191445975+0.003313762667094454j),1392200000
(0.771251067343563+0.05047677911905408j),(0.0019042371641183197+0.003295864045917498j),1397500000
(0.7756330285282375+0.04420923150754218j),(0.0025974966813977537+0.0024952537986431635j),1402800000
(0.7789935549090642+0.03440451756782606j),(0.0026547016776122144+0.0017583059227429937j),1408100000
(0.7809549349775622+0.02550670468853849j),(0.002623974367425373+0.001337331436238948j),1413400000
(0.7818832142120555+0.01471695304782024j),(0.002481138715154952+0.0010139733716641468j),1418700000
(0.7823182329406991+0.0011732554210306776j),(0.002471090380153741+0.0008142651876000412j),1424000000
(0.7815275745439729-0.005282832518460854j),(0.0023774523106929613+0.000718941215534508j),1429300000
(0.7809276072828357-0.01732870623101284j),(0.002353452192044969+0.0005457528824199378j),1434600000
(0.778827567541846-0.026679550736989688j),(0.0023748365369086104+0.00042105344743360976j),1439900000
(0.778132157746413-0.031553148545023536j),(0.0022945735947991646+0.0003018269255118166j),1445200000
(0.7756577108664615-0.04383865345794635j),(0.002361764002845829+0.0001902845183931589j),1450500000
(0.7746978303691755-0.05292299081475874j),(0.0022872688437263248+0.00014266186702404946j),1455800000
(0.7719694436070137-0.06299399384812197j),(0.002404502323220335+1.894623146831487e-05j),1461100000
(0.7682301386032986-0.07219654973391013j),(0.002348231873831038-0.0001818328752795115j),1466400000
(0.7635294744019505-0.07930068239234271j),(0.002313175123024686-0.0003393150402621432j),1471700000
(0.758376719706632-0.08413116582408121j),(0.002241867208199988-0.0005337474497445109j),1477000000
(0.755080939349576-0.0860213633595718j),(0.0019455340736921284-0.0006949350229852251j),1482300000
(0.7549222367195488-0.0892634592607343j),(0.0017321286696929488-0.0006462520783356682j),1487600000
(0.7583494814088242-0.0943377624882756j),(0.0016308516634812615-0.0004322638032191456j),1492900000
(0.7611697293487945-0.10300492207554487j),(0.00166626388976508-0.00028594244827849j),1498200000
(0.7655617340353736-0.11130515182960823j),(0.0017634506732983524-0.0001435985202981379j),1503500000
(0.7657069234006163-0.12304326383502939j),(0.0020237304590106854-0.00016135618477466207j),1508800000
(0.7661113885677112-0.13276953716959142j),(0.0022525806169731892-0.00014074541968866583j),1514100000
(0.7637305848788656-0.14449555834076203j),(0.002515380459035877-0.00022077340205136617j),1519400000
(0.7610311863578326-0.15549989383396592j),(0.0027103268211793484-0.0004243254933559618j),1524700000
(0.7562046101308723-0.1671340646037511j),(0.0029169275046423645-0.0007743678582612781j),1530000000
(0.7571467189556255-0.16619874672746107j),(0.0029053703110179037-0.000772736495212297j),1530000000
(0.7524077880102479-0.1770253616895483j),(0.0031102968826645302-0.0011446578109402692j),1535300000
(0.7466014970252487-0.18441310578587952j),(0.0031709354395475513-0.0017474185655001898j),1540600000
(0.7388576602803776-0.1936041503956477j),(0.0031932670236973337-0.0023497157723168754j),1545900000
(0.7320458059021725-0.1964707467433641j),(0.0029421238622100217-0.002924103889488138j),1551200000
(0.7240400715441454-0.20188403888238582j),(0.002405184479990536-0.0035632502953359714j),1556500000
(0.7191011329273382-0.20339034451935592j),(0.0017297655357892882-0.003960878346416127j),1561800000
(0.7150932197330846-0.2046820035762834j),(0.0008052679149907226-0.004087385394546434j),1567100000
(0.7147827537998687-0.20467237906223162j),(1.0606641854222197e-05-0.003968827678932283j),1572400000
(0.719202457985496-0.20596005286450142j),(-0.0006601878681158148-0.00357689432052143j),1577700000
