S11,S21,freq
(-0.5467664536760846-0.47115783905167624j),(0.00047117696718614987+0.003329357944072125j),1000000000
(-0.5664761881228552-0.4514281769349371j),(0.0005904857013184691+0.0034126119797299025j),1005300000
(-0.5859250493765971-0.4293172567352208j),(0.0007055689451620536+0.0033480008001401974j),1010600000
(-0.6033818097853363-0.40805309451041094j),(0.0007986818874993203+0.003286730772881388j),1015900000
(-0.6201794078636629-0.3850470345505513j),(0.0009459309495001142+0.0033414924405120896j),1021200000
(-0.6356597815229312-0.3619943958976497j),(0.0010772776239432685+0.0032982205189864095j),1026500000
(-0.6502187445382803-0.33868324348469214j),(0.0012118509148999982+0.003193970619985477j),1031800000
(-0.6635606548786653-0.31511358671270717j),(0.001362817887329762+0.003166374900148556j),1037100000
(-0.6771538702212695-0.2905184767765063j),(0.0014753798402467712+0.0031164882354844815j),1042400000
(-0.6887629306748817-0.2664877584665409j),(0.001584682608425632+0.0030301747025229288j),1047700000
(-0.698433658254328-0.24249883485542703j),(0.0017237884971783072+0.002935830731390008j),1053000000
(-0.7089682247181635-0.2175128964753023j),(0.0018217932791610568+0.002892041120200289j),1058300000
(-0.7188365042371823-0.19327219139539045j),(0.0019837447591553006+0.0028783415357938546j),1063600000
(-0.7263170748960183-0.16927759209615995j),(0.0020402573542954157+0.002762527057212954j),1068900000
(-0.7330207894445674-0.1444549520453511j),(0.002176334154431339+0.0026856121096913888j),1074200000
(-0.7392315880348254-0.11865029863498533j),(0.0022614729747479716+0.0025806035356006445j),1079500000
(-0.7442045021912918-0.09489833958458165j),(0.0023269850104531108+0.0024606884927780505j),1084800000
(-0.7492512337202578-0.06970420336836455j),(0.0023873184768028587+0.002394172223144431j),1090100000
(-0.7526179039031944-0.04551183999130263j),(0.002556889824030171+0.002332516637138803j),1095400000
(-0.755242552702708-0.021355093589388988j),(0.0025905686891550058+0.0022242254705342737j),1100700000
(-0.7574445534550366+0.0034436936266105567j),(0.0026861024708423505+0.0020939337721169113j),1106000000
(-0.7582269980145434+0.028025845154591663j),(0.0027350766279563496+0.0019789229011932894j),1111300000
(-0.7585528885718145+0.05214603758478611j),(0.002804990363542777+0.001792861600924447j),1116600000
(-0.7585649429211652+0.07668877298602426j),(0.002897892891446995+0.001756469533495869j),1121900000
(-0.7563063071609871+0.09951012291393402j),(0.002928264648398108+0.0016513940283560873j),1127200000
(-0.7554146866172117+0.12430595826328246j),(0.002951218320599455+0.0015215157568718189j),1132500000
(-0.7526548290259578+0.14580469441689403j),(0.00298455507074964+0.0014015642994347304j),1137800000
(-0.7495569499927482+0.16972663996876386j),(0.0029659545429458036+0.0012830926519502928j),1143100000
