S11,S21,freq
(0.2933709732331092+0.7709581529260363j),(0.0012277153578904138-0.0029460029072092627j),1000000000
(0.2982192244519215+0.769161801421257j),(0.0011746744094295117-0.002995846582018806j),1005300000
(0.3036665198828029+0.7669342095396702j),(0.00111200335512736-0.0030050270249342304j),1010600000
(0.311444348189942+0.7642956546703316j),(0.0011702458599319988-0.0030657063486195448j),1015900000
(0.31736592062684027+0.7614410700766175j),(0.0012015090167326616-0.003032460818263525j),1021200000
(0.3237737042783187+0.7589987276772143j),(0.001088844572045048-0.0030428881455875595j),1026500000
(0.33061311536263605+0.7559010279453549j),(0.001033391594367812-0.0030701206722596425j),1031800000
(0.3368321429731555+0.7531697785848409j),(0.001073595420438661-0.003022978744704687j),1037100000
(0.3427709552763185+0.750524217850912j),(0.0010478086939545977-0.0030519922970487176j),1042400000
(0.3496673791334768+0.7475782355800119j),(0.0010120772320304553-0.003051661086826805j),1047700000
(0.3556057551481989+0.7449232467184507j),(0.001017726399425546-0.003076795477653962j),1053000000
(0.3608703556906573+0.7419761186616034j),(0.0010133325802070372-0.0030855298926900487j),1058300000
(0.367173013857905+0.7379310228964441j),(0.0009778338050623603-0.003078606806657998j),1063600000
(0.3734810313545894+0.7347523945592737j),(0.0010092390693182322-0.003066113695385572j),1068900000
(0.3793370618560632+0.7322674992558964j),(0.0009778742392756545-0.0032192956908963432j),1074200000
(0.3842286269988253+0.7285869478581873j),(0.0009921131416238207-0.003151299955048251j),1079500000
(0.3902258690539654+0.7237811564667961j),(0.0009127310818316762-0.003176271220884143j),1084800000
(0.39590388536230864+0.7214755821995603j),(0.0008667828496850544-0.00331384009033914j),1090100000
(0.4039038772100282+0.7178674271023848j),(0.0008201694227422195-0.003205865681287152j),1095400000
(0.407904000629375+0.7151069829536698j),(0.0008032788231768968-0.0032437467707590265j),1100700000
(0.4149335861162321+0.7115274446779035j),(0.0007294691626869924-0.0032624734419023976j),1106000000
(0.41991595015620503+0.7089388602947643j),(0.0007762275222996945-0.003278177960816937j),1111300000
(0.42643465394845503+0.705837392473436j),(0.0007857074454560901-0.0033268866475104977j),1116600000
(0.43157978150056703+0.7018527442944986j),(0.0007000541416812388-0.0033063286634660203j),1121900000
(0.43837504468936095+0.6978256010931578j),(0.0006371519079392315-0.003288657743470847j),1127200000
(0.44280323719858855+0.6955954169422495j),(0.000688706203325591-0.0033893260186255015j),1132500000
(0.4471254880088318+0.6915509330391327j),(0.0006709386919122523-0.0033557150375414396j),1137800000
(0.4539479860375259+0.6870146391516943j),(0.0006563713119343575-0.0034217194724770095j),1143100000
(0.4585068935599287+0.6837036565797557j),(0.0006594706933358176-0.003426584855554429j),1148400000
(0.46285078295284154+0.6797747111904241j),(0.0007151554677737224-0.003382285140747731j),1153700000
(0.46899124938248676+0.6762322679271247j),(0.0006140442627304086-0.0033500482511961633j),1159000000
(0.4746492537426209+0.6720102533264531j),(0.0005530443410377259-0.0033407258511171677j),1164300000
(0.47951769497731256+0.6678444737352905j),(0.0005697668925773043-0.0034711535668093376j),1169600000
(0.48437435211668106+0.6635986725483658j),(0.0005893643310872909-0.003403403768839027j),1174900000
(0.4885473123430373+0.65953946404543j),(0.0005518667680315134-0.003472924510029775j),1180200000
(0.4940492574643963+0.6558146951249086j),(0.0004783637240454808-0.0035036816797662943j),1185500000
(0.49892861478733086+0.6522270879856831j),(0.0005243388273577601-0.003487088945668634j),1190800000
(0.5041344897608682+0.6470657237012661j),(0.0005136831406012963-0.0035141166012339904j),1196100000
(0.5103687777249329+0.6428528687025465j),(0.0005306325214707808-0.0035405682934945893j),1201400000
(0.5138642166818953+0.6392724587772776j),(0.0004827111756231429-0.003596419140131731j),1206700000
(0.5203482828880672+0.6333278936697204j),(0.0004514935578458346-0.0035955476170255727j),1212000000
(0.5227553604999808+0.6308553109680443j),(0.00045382718352134305-0.0036550071590204644j),1217300000
(0.5285305447728076+0.6260204076990727j),(0.000403970811190202-0.003655750675675847j),1222600000
(0.5339186225193394+0.6228319607817177j),(0.0004133890692365053-0.0036750704685839736j),1227900000
(0.5374536727947599+0.6171739845119701j),(0.0004331156159673444-0.0036636655394587307j),1233200000
(0.5413947149209837+0.6138460973976455j),(0.0004268289336264578-0.0037841328269654353j),1238500000
(0.5477715230561888+0.6082335791774883j),(0.0003990208587208228-0.0037767617747639474j),1243800000
(0.5510093754084581+0.6038790085424925j),(0.00037502157974577115-0.003820612287440897j),1249100000
(0.5558891500836229+0.5988990517546375j),(0.00035066648022250317-0.003843874261955134j),1254400000
(0.5606406228970332+0.5945892206431062j),(0.00031114510182091116-0.003907023949724973j),1259700000
(0.564706790536612+0.5893286320555102j),(0.0003435427964523241-0.003912678012189032j),1265000000
(0.5694177056945992+0.5842801637847047j),(0.00028864070336457204-0.004018870625786093j),1270300000
(0.573002489475063+0.5810374549757734j),(0.00032650955176762356-0.00400468959025088j),1275600000
(0.5792316081019785+0.5745418250762848j),(0.00025658189321005776-0.00405388117451114j),1280900000
(0.5825272431671192+0.5707857286553552j),(0.00019543490899388027-0.004097145359825587j),1286200000
(0.5864754816287874+0.5668966306470515j),(0.00020597484556237326-0.004163713966763418j),1291500000
(0.5919821905050725+0.5606790554825779j),(0.00010287705221274498-0.004226052137328146j),1296800000
(0.5967727961469481+0.5558441154715373j),(0.00012801446733162834-0.004257582389377525j),1302100000
(0.6009499693315608+0.5507620117068927j),(7.340373284751515e-05-0.00431982112003676j),1307400000
(0.6044663982268971+0.545990409976129j),(-5.747859938041976e-06-0.0044211903404189805j),1312700000
(0.6093937123143742+0.5404423102703043j),(-9.954382917172076e-05-0.004457284102013705j),1318000000
(0.612546864885824+0.5350101967923954j),(-0.0001903474397384182-0.00453883029962461j),1323300000
(0.6166464713625209+0.5311966889554112j),(-0.0002628183146797978-0.004572721832811284j),1328600000
(0.6196835124210931+0.5257963006523906j),(-0.0002883019480877571-0.004596243212288554j),1333900000
(0.6254013465764536+0.5198760972536126j),(-0.0003775331416581456-0.0046025663593665285j),1339200000
(0.6280871459320786+0.5152006128749482j),(-0.0005300383136612385-0.004654922839321063j),1344500000
(0.6315569765936316+0.5109380768938693j),(-0.000590897515208637-0.0045874993506604305j),1349800000
(0.6361910827948991+0.504654765178662j),(-0.0006946942366868609-0.004549487691872213j),1355100000
(0.6381385447458884+0.4993588876653844j),(-0.0006506298007126227-0.00446514158963281j),1360400000
(0.6437757810778351+0.49393067439369565j),(-0.0006994123459872798-0.004478854271118639j),1365700000
(0.6480841231312127+0.487723269650751j),(-0.0007319461051867417-0.004540800685540308j),1371000000
(0.6495383875642349+0.48442832867311286j),(-0.0006805106449151999-0.004631625914329162j),1376300000
(0.6562750371615804+0.4763758379453828j),(-0.0008371728636113168-0.004566206841192558j),1381600000
(0.6574659054979074+0.4747217223627314j),(-0.0008630823205333223-0.004548600536085247j),1386900000
