S11,S21,freq
(0.2274432465044356+0.7925520828866599j),(0.0012649445335993668-0.0030837426938057294j),1000000000
(0.23308112116842464+0.7909533230535112j),(0.0011951575055037216-0.0030322905171740627j),1005300000
(0.2389321346375107+0.7897575709385589j),(0.0011512739034679831-0.0030515775495599654j),1010600000
(0.24642182566553253+0.788272176951077j),(0.001195293282894954-0.0030546140146756073j),1015900000
(0.2507400072375006+0.7869197297741517j),(0.0011943225508241288-0.0030629959750104276j),1021200000
(0.2565458315891446+0.7844524555205176j),(0.0011210588828736293-0.00312323629978317j),1026500000
(0.2640878084448891+0.7820119888240737j),(0.0010723444215865589-0.0030638332471881915j),1031800000
(0.2677323011286941+0.7807177742684362j),(0.001115846993562421-0.0030955909897214737j),1037100000
(0.275579710873613+0.7780494018887518j),(0.0010266039392994339-0.003080113860684892j),1042400000
(0.2815924622170261+0.7769434933764596j),(0.001031497704516874-0.003165148841485721j),1047700000
(0.2870053724998023+0.7742667585803016j),(0.0010226904161952858-0.003174360662574174j),1053000000
(0.29290810937358724+0.7715561931978457j),(0.0009900102841307976-0.0031734630095667815j),1058300000
(0.29902839881084087+0.7687933875241558j),(0.0009718916941295164-0.0031817868272518853j),1063600000
(0.30392870739286+0.7659479111984182j),(0.0009228083556983243-0.0031443420681319086j),1068900000
(0.310017375675528+0.7644177666974541j),(0.0009143738307923091-0.003202151718387232j),1074200000
(0.3151602809058682+0.7611131140386795j),(0.0008892875634547808-0.0031860954534938596j),1079500000
(0.3206352523567809+0.757812132707357j),(0.0008954954887746584-0.0032060705371727122j),1084800000
(0.32636304373376596+0.7561776065579907j),(0.0008057876690032233-0.0032955195852719154j),1090100000
(0.33294556883277704+0.7539475376490242j),(0.0007892520395982236-0.0032192248735725118j),1095400000
(0.33848367381495265+0.7521188399859049j),(0.0007306646406791333-0.0032441121204875687j),1100700000
(0.34518856957314975+0.7482035013390582j),(0.0007121510159446193-0.003303457693182723j),1106000000
(0.34995680857126943+0.7467114904376959j),(0.0007063648517823822-0.0033386691815277822j),1111300000
(0.35545577485316227+0.7445943212210747j),(0.0006792421510318711-0.003283454546927845j),1116600000
(0.36225498843165166+0.7417238745775949j),(0.0006846488317566519-0.0032801077628221787j),1121900000
(0.36739136708439885+0.7389206671788229j),(0.0006810823918798635-0.0033141411300286424j),1127200000
(0.3726670615713895+0.7373684618258948j),(0.0006681896526203029-0.0033560190068717298j),1132500000
(0.37591280380121866+0.7338549776720075j),(0.0006695908239490732-0.0033393621177574633j),1137800000
(0.3826222215854709+0.7307692808218217j),(0.0006231033006189836-0.003371583124256383j),1143100000
(0.3873615210409346+0.7284120329572438j),(0.00063914227526634-0.003361921062916224j),1148400000
(0.3924385908272107+0.7245388075430581j),(0.0006203871560322027-0.00340120874694169j),1153700000
(0.3977952820724047+0.7230145490805954j),(0.0005680739582382144-0.003362855713194783j),1159000000
(0.4014849997583257+0.7193683105464468j),(0.0006106985111977935-0.0033615020341293982j),1164300000
(0.40871053241596983+0.7150732361123086j),(0.0005482633292968978-0.0034729268814336013j),1169600000
(0.4118660859093785+0.7124882456447025j),(0.0005473793951413665-0.003360735036184219j),1174900000
(0.41783963570043425+0.7093639566691824j),(0.0005366876650063834-0.003439203139224352j),1180200000
(0.42243814729431567+0.7066444502173873j),(0.0005250091352411871-0.0035522732867398904j),1185500000
(0.42641002109414455+0.7034450201585563j),(0.0005089534914089544-0.0034783231862594373j),1190800000
