S11,S21,freq
(-0.5913307154120263-0.4182376289501965j),(0.0005986762757544696+0.003443642746956305j),1000000000
(-0.6092706462845978-0.39682993705462455j),(0.0007053282114151281+0.0034453846817764726j),1005300000
(-0.6259410840598013-0.37298680810806883j),(0.0009178488508055728+0.0034419158540795326j),1010600000
(-0.641848208233392-0.34961206274047213j),(0.0010194866671996436+0.0034005034466573973j),1015900000
(-0.6561506572174932-0.3261870784278513j),(0.0010754383296231937+0.0033871871250002183j),1021200000
(-0.6699081044441887-0.3014357566543243j),(0.0012726944873308827+0.003342504978725073j),1026500000
(-0.6833231400080075-0.27542589083768804j),(0.001326545822834346+0.0032768629947918294j),1031800000
(-0.6931849833453148-0.25203829038081044j),(0.0015439235963547874+0.0031585276279956775j),1037100000
(-0.7040422312476414-0.22734604684394938j),(0.0016304569398819116+0.003209200215047594j),1042400000
(-0.7137275267497268-0.20033295133083356j),(0.0017749984012146469+0.00302016164466326j),1047700000
(-0.7232673875859519-0.17506597217134137j),(0.0018511393520266417+0.0029592130273049357j),1053000000
(-0.7293346140843326-0.15017023975221166j),(0.0020129365074481225+0.002906614738403072j),1058300000
(-0.7367783177354236-0.12439492998861193j),(0.0021216064239778006+0.002886151105353961j),1063600000
(-0.7422896220351919-0.09888739829719297j),(0.0021955366752355893+0.0027020125508631226j),1068900000
(-0.7467559210589177-0.07391301903627584j),(0.0023343712549700954+0.0026755194414176666j),1074200000
(-0.7507178313580204-0.0488885991780211j),(0.0024312522300458245+0.0024945593652630576j),1079500000
(-0.7531598082197385-0.02381804451523668j),(0.002504410020279552+0.0024140165839098724j),1084800000
(-0.7555115190124909+0.002373070426334683j),(0.002580426584458574+0.002337799892883675j),1090100000
(-0.7566179431842517+0.027695991250047083j),(0.0026484152135404903+0.0021868617064303504j),1095400000
(-0.7568632362001317+0.052095375519361206j),(0.002673515253474327+0.0020996735923412982j),1100700000
(-0.7568076352929348+0.07527767439749855j),(0.0028060052880748143+0.002057000472385905j),1106000000
(-0.7543889178220349+0.10131710974452335j),(0.0028079992136227205+0.0018420111293537779j),1111300000
(-0.7528298219153332+0.12536326954194013j),(0.0029068251164049174+0.0017601955251708454j),1116600000
(-0.7498189595071827+0.14913055572818487j),(0.002966580120289743+0.001613936974408748j),1121900000
(-0.7458023472756354+0.17370563498950514j),(0.0030092124279459433+0.0015480435815693704j),1127200000
(-0.7426573605253944+0.1953901293730223j),(0.0030336295269500217+0.0014505890514453594j),1132500000
(-0.7358277883273183+0.22200934537253378j),(0.003072881221467722+0.0013150057748465894j),1137800000
(-0.732204442634126+0.24101156035308907j),(0.003088043500143605+0.0012117491806807055j),1143100000
(-0.724304946955894+0.26492681494906534j),(0.0031793902668295114+0.0010807073850409687j),1148400000
(-0.7175448202314227+0.28556072691621315j),(0.003158960347044019+0.0010391481845616324j),1153700000
(-0.7084308287146157+0.3100121421305191j),(0.0031914616790771843+0.0008874156698595706j),1159000000
(-0.7010842993296582+0.3304237728256277j),(0.00325639890010753+0.0007597263336207694j),1164300000
(-0.6904764114958835+0.35217774350658254j),(0.003155565036590453+0.0006871716508939823j),1169600000
(-0.6810153003052094+0.37266449278146774j),(0.003248395558626665+0.0005721847902074928j),1174900000
(-0.6696876996409429+0.39340521390142347j),(0.003213302761287087+0.000483654236153963j),1180200000
(-0.6591587218871113+0.4141728337183153j),(0.0032318104748740055+0.0003340745577505984j),1185500000
(-0.6481368207394869+0.4308074149572256j),(0.003200122851168768+0.00026867805361312317j),1190800000
(-0.6342187166363583+0.4524886734480684j),(0.003203100008941742+0.0001738556701973418j),1196100000
(-0.6215133149697224+0.4691683224665477j),(0.003141171988045904+8.562993702582384e-05j),1201400000
(-0.608195982639949+0.4873319974114902j),(0.003206763367536857-8.21239237121077e-05j),1206700000
(-0.5937529056970908+0.5055080195570446j),(0.0031719424026924034-0.0001727694508069912j),1212000000
(-0.579246451192293+0.5221419908961484j),(0.003244549637141337-0.00021688067279734556j),1217300000
(-0.5652627063984819+0.537734998343274j),(0.003219693113263522-0.00032065109188530425j),1222600000
(-0.5469112872838383+0.5558950982574096j),(0.0032010028827221993-0.00039797445262104903j),1227900000
(-0.5324206761129424+0.5700608158707969j),(0.003172448307353763-0.0005015534340175111j),1233200000
(-0.5160718921932624+0.5846778803916742j),(0.003113984366335728-0.0005908537690973944j),1238500000
