S11,S21,freq
(0.3854441561339428-0.45850001767849924j),(-0.0013272724817882384+0.017734410202366786j),2500000000
(0.3802011231231961-0.4620519369736316j),(-0.0010355634268727544+0.01801783141054777j),2505000000
(0.3802447549930264-0.4534593661103488j),(-0.0006719615194373288+0.018202736972907557j),2510000000
(0.3766817837543215-0.45732914489112314j),(-0.0003307024700970234+0.01867669157041283j),2515000000
(0.37103101735927985-0.45724225420910475j),(0.00010683913622043832+0.018681335159230518j),2520000000
(0.36531362665485717-0.4611356459174885j),(0.0005437901706067743+0.019071526713934334j),2525000000
(0.36153006458011583-0.46267694468287196j),(0.000939854333135062+0.019455472917056488j),2530000000
(0.35714626603811983-0.46487263518776456j),(0.0014754663956089852+0.019627827843900273j),2535000000
(0.3503257900281578-0.46549066088861535j),(0.002039251531771445+0.019919609942808017j),2540000000
(0.34952977540827174-0.46681384465705705j),(0.0025637771543814865+0.020211318763302538j),2545000000
(0.34271625766734853-0.466191830417822j),(0.0031716404196514185+0.020349913296693365j),2550000000
(0.3391503875430396-0.46997450181168504j),(0.0037889609511609587+0.02056548225457837j),2555000000
(0.33596597233838044-0.4708437665995467j),(0.004291160466962231+0.02082667021965978j),2560000000
(0.32909947097148345-0.47356868992390677j),(0.004891086241620481+0.02105724031438414j),2565000000
(0.3226902449164867-0.47429556189354677j),(0.005718987167962039+0.021326382174493373j),2570000000
(0.3188688115952379-0.4761128742973344j),(0.006550201528953781+0.021366552717975752j),2575000000
(0.3131432286016484-0.4774403251592479j),(0.0075101027628365616+0.021466325530416698j),2580000000
(0.31202847293656716-0.47850901753620767j),(0.008344410194939332+0.021295134368654208j),2585000000
(0.2998552918483981-0.48105576981811476j),(0.009563325506230586+0.021292111118125574j),2590000000
(0.3018399896153649-0.4842538195744714j),(0.00987829351397785+0.02103935457804562j),2595000000
(0.29738391304054074-0.48584066686939736j),(0.010766707857134641+0.020883256745585374j),2600000000
(0.28790692739201534-0.4891201467388589j),(0.011611557699472867+0.020633894463811635j),2605000000
(0.28135086171985413-0.49110178118956777j),(0.012410852427320884+0.020404371090837224j),2610000000
(0.2810580485586942-0.4909544569055906j),(0.013169632116023188+0.01999135112652011j),2615000000
(0.2741370610696254-0.4987065056887596j),(0.013881030561464818+0.019729774473048106j),2620000000
(0.26886472331188654-0.5030011643033846j),(0.01473897461529703+0.019240457241722332j),2625000000
(0.262074324383323-0.5021143832003422j),(0.015548090796165932+0.018829541726845284j),2630000000
(0.2543856072366173-0.5088609028803722j),(0.016215307316594735+0.018323793816139564j),2635000000
(0.24625794636521878-0.5110455382546591j),(0.016876206742632457+0.01789416975074874j),2640000000
(0.23841745503337755-0.5096020388992842j),(0.01771499608090897+0.01703565603871896j),2645000000
