S11,S21,freq
(0.3797555160039786-0.40355885502287125j),(-0.0007435726239334324+0.013318089922636243j),2500000000
(0.37411135897384223-0.40638156520219426j),(-0.0004321552671724038+0.013667932444735829j),2505000000
(0.370080484488905-0.40959602759930736j),(-1.1755310838354471e-05+0.013844562645476581j),2510000000
(0.3663098611506095-0.41567277321381335j),(0.0001930610144229887+0.014262534045086156j),2515000000
(0.35916221585998653-0.41818041408432227j),(0.00045078679548956095+0.014378107226472106j),2520000000
(0.35390835798249687-0.4222340286344353j),(0.0008165222806569366+0.014867853399570703j),2525000000
(0.34531410917217875-0.4272109776366463j),(0.0012852068853702356+0.015360468734055393j),2530000000
(0.3437850936835456-0.4261225644176771j),(0.0016272688386694913+0.01559370676981048j),2535000000
(0.3370120730629166-0.42871907616889005j),(0.002117526839850477+0.015942669192664724j),2540000000
(0.3373805591466531-0.4302144980278961j),(0.002590150470048072+0.016315245615369144j),2545000000
(0.33063133382690285-0.43240259658248065j),(0.0030523156179892287+0.016474209171870077j),2550000000
(0.32664970731233783-0.4364709458551681j),(0.003488648144039201+0.0168294477357315j),2555000000
(0.324982365692458-0.4382693647171021j),(0.004157652467813139+0.01716843197343296j),2560000000
(0.31774007878267746-0.4416890061580003j),(0.004843487944913568+0.017336685214409984j),2565000000
(0.3117337485761238-0.44354061857115873j),(0.005514968812029109+0.01722978274388545j),2570000000
(0.3058852116402528-0.4455250092756523j),(0.006206106759980233+0.017170700880624033j),2575000000
(0.3033474627916845-0.449028821725007j),(0.006838418267115768+0.017425095913621094j),2580000000
(0.2924146758193389-0.45178204841690217j),(0.007751860199128494+0.017102876148064165j),2585000000
(0.2817342148500484-0.45104898293353946j),(0.008619468183235869+0.017010487141631316j),2590000000
(0.28026431930056384-0.45649562083300044j),(0.008963981679455566+0.017081399995577066j),2595000000
(0.2755260204948651-0.45751268081824553j),(0.009710795048914476+0.017012872718550395j),2600000000
(0.26295209458308516-0.45872329206066675j),(0.010568187465670276+0.016635543122496786j),2605000000
(0.25881928619103645-0.46036299897447086j),(0.011347253470000183+0.01665300559325489j),2610000000
(0.2527374303500154-0.46280156213992496j),(0.012221497511759192+0.016169428898823356j),2615000000
(0.24615834553128355-0.4660284602105879j),(0.012743006026839874+0.016010012476622145j),2620000000
(0.2377683758916203-0.4713293458839055j),(0.013702410248520563+0.015477826347254869j),2625000000
(0.2336553345924769-0.4711985344789206j),(0.014310061243197851+0.015164980463829534j),2630000000
(0.22604013000146653-0.4699509292866079j),(0.014828166943456006+0.014598077704317425j),2635000000
(0.22001764168957633-0.47408327063275557j),(0.01549539360408246+0.014253092098662594j),2640000000
(0.20936191036106788-0.47595978855725934j),(0.016218021578231528+0.013516030885405612j),2645000000
(0.1975791516654386-0.47644706483214727j),(0.01685601954307945+0.012920230223716678j),2650000000
(0.19338544986194195-0.4795408372207161j),(0.017437124761277397+0.01212915050480492j),2655000000
(0.18824407514046873-0.4795457881846436j),(0.01770467494129645+0.011841132145520699j),2660000000
(0.17993550907445172-0.4724459200533353j),(0.01818405240600551+0.010749367646550958j),2665000000
(0.1740156663043573-0.4820614362715318j),(0.018618857158273966+0.010489524479637817j),2670000000
(0.16630640702918806-0.4815216350865701j),(0.018942368787474743+0.009588737891354728j),2675000000
(0.15728879038263124-0.48823535116027417j),(0.01940326448073665+0.0087822559710431j),2680000000
(0.1447579621080724-0.4891075000531964j),(0.019734973839561406+0.008102593122536878j),2685000000
(0.14138772052699786-0.4900635883681013j),(0.020026717526670915+0.007355430867713861j),2690000000
(0.13132991598143628-0.482652495244249j),(0.02023773146019773+0.006785868041578038j),2695000000
(0.11933065317615084-0.49405099053283097j),(0.0204478311726001+0.005977391339275191j),2700000000
(0.1195963383075642-0.49496328813593266j),(0.020727325923207692+0.0054661862941443005j),2705000000
(0.10425371390251408-0.4969795247944147j),(0.020836766499516327+0.004268921034838281j),2710000000
(0.10274142020549308-0.49685741571978703j),(0.021060025065074133+0.003666374321773476j),2715000000
(0.09151893697414402-0.5019180197383126j),(0.021155702152772255+0.0026259885626067564j),2720000000
(0.08454454960713073-0.4845019421440852j),(0.02116934903016532+0.0024294178155890725j),2725000000
(0.07652284643303194-0.5013319015041057j),(0.020999866854706957+0.0013374370882082952j),2730000000
(0.06592650348747235-0.4983891636120757j),(0.021041262120463106+0.000766418074473908j),2735000000
(0.05650740503681524-0.497153592976394j),(0.020864550775906796-8.891117903523402e-05j),2740000000
(0.046752830457464395-0.5001598109365165j),(0.020721350467021168-0.0007950728663995324j),2745000000
