S11,S21,freq
(-0.4146513767423471-0.3744000610840775j),(-0.0014390135339180353-0.0008586253095208879j),1000000000
(-0.5474907713263226-0.1420871641471493j),(-0.0017561644635906638-0.00021568124716144182j),1005000000
(-0.5632720330039793+0.12338666876377699j),(-0.001766407505943171+0.0005935705525105423j),1010000000
(-0.46043086134399824+0.3668682335690526j),(-0.0013298749719663136+0.0013783382823567025j),1015000000
(-0.2599719203712119+0.5381216884416886j),(-0.0005919361046350995+0.0019031213871048068j),1020000000
(-0.008848534480865176+0.6044683392161698j),(0.00043275926065352015+0.0019513153929450815j),1025000000
(0.24441671426243933+0.5561196044268458j),(0.0012170051976510372+0.0015050422494375625j),1030000000
(0.4496670493792101+0.40319241683881646j),(0.0018447110745410263+0.0008005894992609063j),1035000000
(0.5706109731579+0.17739604873388684j),(0.0019529399786303273-0.00017317595171885894j),1040000000
(0.5837083795191025-0.07754785927092092j),(0.0016058461914640722-0.001060695133323122j),1045000000
(0.48718084831518-0.31371832945987277j),(0.0011184609292058981-0.0016029109249245446j),1050000000
(0.2976841922850556-0.48640263965691644j),(0.00033312007620020485-0.0020439018364779215j),1055000000
(0.05193597628967019-0.5605695683133975j),(-0.000532064054108694-0.0018994801621684322j),1060000000
(-0.20190139924082975-0.5230549517803844j),(-0.0012331120390017762-0.0015260630989265955j),1065000000
(-0.4118714374870706-0.3820409878052282j),(-0.0017881265799970995-0.0008893338959729437j),1070000000
(-0.5430939207975818-0.16572998816647916j),(-0.0020138080475917185-5.954406992838896e-05j),1075000000
(-0.5697746946907002+0.08246563757467068j),(-0.001848665598601603+0.0007416468104048693j),1080000000
(-0.4893045402058285+0.31772405255567066j),(-0.0013423205384372177+0.0014382952292246206j),1085000000
(-0.32303710325837776+0.49645797326195623j),(-0.0005693678221505898+0.0017911208003740901j),1090000000
(-0.09890811640573197+0.5884906060544572j),(0.0002228456454926635+0.0018316186304672337j),1095000000
(0.14168951686599876+0.5816778707016816j),(0.0009163325808613788+0.0015880272168649788j),1100000000
(0.3589658189782498+0.47788761593149254j),(0.001453951052316408+0.0010162488386540466j),1105000000
(0.5155540580426126+0.293434891445553j),(0.0016779431200666932+0.0003286996852249242j),1110000000
(0.5816740608685991+0.06131913741820176j),(0.0017046933409595774-0.00033091036306948253j),1115000000
(0.5449783741464628-0.18341190387533915j),(0.0014274435455420742-0.0010946896054509802j),1120000000
(0.40922986241316867-0.3901972207679797j),(0.0009356700868463537-0.0015164082037149537j),1125000000
(0.19100986103387832-0.5220233564411959j),(0.00011726354322862592-0.0018674569280585406j),1130000000
(-0.06550609622124894-0.5459336615023982j),(-0.0005914215183574711-0.0018253862955193748j),1135000000
(-0.3087120367093629-0.4545336978232808j),(-0.001495966448760729-0.0013030274566116172j),1140000000
(-0.4867392205799366-0.26237709842010515j),(-0.0018648461196118158-0.0005820230968491522j),1145000000
(-0.5607652226458669-0.011532393935802856j),(-0.0019704041743118573+0.00027904496916891515j),1150000000
(-0.5159450699594498+0.2434025179770618j),(-0.0015083753812708954+0.001088998245693237j),1155000000
(-0.3655217494684256+0.4512501099395506j),(-0.00095133879996546+0.0016315595948318217j),1160000000
(-0.14210279922333544+0.5731652388319681j),(-0.00019115486632021586+0.0018061309708620962j),1165000000
(0.10834946912001571+0.5846813284299064j),(0.000587443498692039+0.0016881843539695023j),1170000000
(0.3367818297504052+0.49160679542441227j),(0.0010414037643704107+0.0014421946477470293j),1175000000
