S11,S21,freq
(0.26945550090008236+0.774654783291088j),(0.0009649225801994733-0.0029014140728826797j),1000000000
(0.27851013143483594+0.7703880122906154j),(0.0009677852119015873-0.0030064391256407214j),1005000000
(0.2887021840976698+0.763999540176045j),(0.0009843615414950027-0.00301369343477354j),1010000000
(0.2988769450737687+0.7588144803819524j),(0.0008435623867583067-0.0031061561502421153j),1015000000
(0.30471610526316195+0.7572552996305326j),(0.0007202618256955133-0.0032191296901031693j),1020000000
(0.3168261763970611+0.7543066136901146j),(0.0007581497876220325-0.0031866479273069404j),1025000000
(0.33041679155435+0.7533439948957502j),(0.0009159947094183707-0.0032197611694113194j),1030000000
(0.3397012381651872+0.7549207432806553j),(0.000979941884126262-0.00321939360623499j),1035000000
(0.34675391645441583+0.7567258844109965j),(0.001041774375820885-0.0032014090242225837j),1040000000
(0.3490474194819487+0.7602580227816841j),(0.0012312527819268177-0.003099976166089324j),1045000000
(0.3525642933580529+0.7564299781658662j),(0.0011963997083283856-0.003123059191783263j),1050000000
(0.3523520828506079+0.7549277537353548j),(0.001147464473975264-0.0031566367137012483j),1055000000
(0.3534871461342536+0.7531883661345039j),(0.0011709711103401357-0.0030795455533771873j),1060000000
(0.35286107053684385+0.7458933194166223j),(0.001161293984610484-0.003136095312120627j),1065000000
(0.35426028693557704+0.7409115565656227j),(0.0011559710633504531-0.0032243214923277576j),1070000000
(0.36202969872080526+0.7323671877588293j),(0.0011638178982497345-0.003092557273102566j),1075000000
(0.37122063322900806+0.7245227357628123j),(0.001005662004376022-0.0030076227663991383j),1080000000
(0.3822521266149+0.7188450606921502j),(0.0008930203346311452-0.0030385778816549073j),1085000000
(0.3926693541235088+0.7156721005771294j),(0.0010293377100819572-0.0030802347629041112j),1090000000
(0.4033812341241624+0.714653521207352j),(0.000862878686888001-0.003002550666267122j),1095000000
(0.41097483569993687+0.7128767544418865j),(0.00089658839616144-0.002955136342752821j),1100000000
(0.41671389855106444+0.7144358776113435j),(0.0009266851362572149-0.003284592203921131j),1105000000
(0.4207991367238949+0.7137992067847159j),(0.0009248553460097297-0.003233988597913087j),1110000000
(0.42305971295638073+0.7141875007596996j),(0.0007249984814031131-0.003315064795057841j),1115000000
(0.4229834291235543+0.7121472190065303j),(0.0007278325867574469-0.0034338734911178617j),1120000000
(0.42660097011507997+0.7076478804566699j),(0.0006858374526579269-0.003499599789696926j),1125000000
(0.42624010132699774+0.703065655305572j),(0.0007111784917154789-0.0034386416513543386j),1130000000
(0.43098244013082565+0.6946766861986369j),(0.0005788125480412127-0.0034895484312846884j),1135000000
(0.4390147962014587+0.6886279806081689j),(0.0005317737545546049-0.003448316377287902j),1140000000
(0.44641678333134344+0.682431202075289j),(0.0004681032296698616-0.003312673174136935j),1145000000
(0.45550845781891447+0.6781201711130652j),(0.0005048683606645085-0.0034801077366187496j),1150000000
(0.46412288534452556+0.6755040390528042j),(0.0005019382279130392-0.0033861615795466185j),1155000000
(0.4744319813087275+0.6706820049247066j),(0.0004660530361364509-0.0034903463749450477j),1160000000
(0.47673865112600633+0.6720267073229022j),(0.0003752862291514645-0.003399505823310244j),1165000000
(0.48315320426269703+0.6703037318678742j),(0.0003138740902689167-0.003458112104154667j),1170000000
(0.48535353547510435+0.668844827605491j),(0.0003624496978437462-0.0035134012700066626j),1175000000
(0.48727766010048335+0.6697938032798973j),(0.0003904728132399942-0.00358652434972653j),1180000000
(0.4890751609396518+0.6664278257454946j),(0.0002569605385651421-0.003544627168319556j),1185000000
(0.4902392353857636+0.6640294518467997j),(0.00025968289296832766-0.0036201286887976277j),1190000000
(0.4908601005923962+0.6593853007071676j),(0.000284743871062877-0.003469258976505201j),1195000000
(0.4965237607502512+0.6556482220155488j),(0.00010147715054737724-0.0035617477207580627j),1200000000
(0.5009754435102188+0.6488319282812451j),(0.00023349490860275377-0.00358610807505674j),1205000000
(0.5036356845607272+0.6458069735375812j),(0.00030193067576435247-0.003622899981965074j),1210000000
(0.5099695628684554+0.6387513934324703j),(0.00010205333878236355-0.00368658868736328j),1215000000
(0.5144121119042181+0.6352890272255103j),(0.0001180362400189587-0.0036392522401547723j),1220000000
(0.5181154631216519+0.6289070602927741j),(-1.1242746333654937e-05-0.0037579077923294174j),1225000000
(0.5232034766095102+0.6241483647891599j),(-6.854056142878933e-06-0.003859193749456349j),1230000000
(0.5300062460704784+0.615944231874114j),(-0.00010501565087588262-0.00388299965203808j),1235000000
(0.5375582414045228+0.6102850243495902j),(-9.690711203892162e-05-0.003937383553682045j),1240000000
(0.5441522648649737+0.6029569857202545j),(-0.00019938316017575712-0.003799158165638755j),1245000000
(0.5509771323482638+0.6009122798981672j),(-0.0002307713280743601-0.0038478877902660066j),1250000000
(0.5584102596901455+0.5963212169701367j),(-0.0002079762184367597-0.003701517208716348j),1255000000
(0.5648831500540846+0.5955967174123455j),(-0.00036365235027307997-0.0037547182683375455j),1260000000
(0.571050036724639+0.5969775802499173j),(-0.00032335342778856365-0.003673935003972369j),1265000000
(0.5734484865115989+0.5992646881603243j),(-0.0002791935650036839-0.003704802909398972j),1270000000
(0.5731085451964946+0.6013266101235456j),(-0.00014751852829186408-0.003586113796331001j),1275000000
(0.5732508801204086+0.5997396592428256j),(-0.00025251527009874494-0.0036093024047741573j),1280000000
(0.5691760258094058+0.5996087855979738j),(-0.00021480630961691474-0.003709456524564119j),1285000000
(0.5673915109168144+0.5939377211557785j),(-0.0002625240432776564-0.003867424398389362j),1290000000
(0.5652473245512298+0.5871872272912062j),(-0.00040453236148482497-0.004019074210657311j),1295000000
(0.5670708547147932+0.5760632314667169j),(-0.00024156593669763147-0.00423886167039549j),1300000000
(0.5724121551760336+0.5611147274813824j),(-0.0004915546583722211-0.0042879653819345425j),1305000000
(0.5761267599789297+0.5503353606839909j),(-0.0006612501691261308-0.004306939229448852j),1310000000
(0.5883047127734897+0.5368023340804059j),(-0.0008605214545374794-0.004132939636617317j),1315000000
(0.5989723380787246+0.5293482145585152j),(-0.0010070190716533025-0.004155177891525043j),1320000000
(0.612085460222517+0.5221315081750153j),(-0.0009610653683394648-0.004036035124447845j),1325000000
(0.6223250276378014+0.5203978515763501j),(-0.0010063699628003772-0.003948996945823533j),1330000000
(0.630714489255573+0.5216402454917723j),(-0.0009996601787815263-0.003925592978380117j),1335000000
(0.6372783929483984+0.5235121803926363j),(-0.0010059309513936448-0.003863776844903112j),1340000000
(0.6386742169027829+0.526952540245168j),(-0.0011868065984833916-0.003721222179364805j),1345000000
(0.636585238471119+0.52988704663684j),(-0.0010805190210202054-0.003678599298717484j),1350000000
(0.6332256471526011+0.53145029213827j),(-0.0012302152221214287-0.0036088504136689726j),1355000000
(0.6318244451520681+0.5239110974526959j),(-0.001144079736200186-0.00356068106483651j),1360000000
(0.6225051095114853+0.524796475385336j),(-0.0010355861600220497-0.003572093626288074j),1365000000
(0.6200992199195666+0.5147105039896022j),(-0.00111415953175891-0.003635972149809693j),1370000000
(0.6254456966733107+0.5017357144280888j),(-0.0012116216271508098-0.003772851084545748j),1375000000
(0.6287509735800465+0.4897940504079203j),(-0.0013335099672239566-0.0036901471523983834j),1380000000
(0.6369618451330947+0.47704451726521413j),(-0.0014300765692922554-0.0036445658495445907j),1385000000
(0.6455097014651233+0.4695706109310574j),(-0.0013017159580542784-0.003657524508899896j),1390000000
(0.654826827168704+0.46282904252272805j),(-0.001298253830806595-0.003776485700395808j),1395000000
(0.6639600061421757+0.46085577734238564j),(-0.001311698261019112-0.0037815465200607312j),1400000000
(0.670897012950415+0.4568864475277711j),(-0.0012474428371735795-0.004072661509567014j),1405000000
(0.675365378305423+0.45638847037441077j),(-0.001224019510253418-0.004001898686043183j),1410000000
(0.6768645981220831+0.4573830715321761j),(-0.0012875154555632294-0.004034506471521299j),1415000000
(0.676597649036154+0.45559188774321946j),(-0.0012643493899305678-0.00412771410972864j),1420000000
(0.6770633896597066+0.45395459901027946j),(-0.0013782552874004976-0.00433468315154234j),1425000000
(0.6735921405420451+0.45084061319776136j),(-0.00128863120714803-0.004416213286180422j),1430000000
(0.6767824888791248+0.44110845154685724j),(-0.0015084892510149753-0.0043625289469427665j),1435000000
(0.6747412453489355+0.43442714698640533j),(-0.0016804782649755949-0.004177653749008487j),1440000000
(0.6790034935269017+0.425499038183002j),(-0.0017899868391323096-0.004074596638434082j),1445000000
(0.6818896815353557+0.4189073982959522j),(-0.002055111900983633-0.003895654467745602j),1450000000
(0.6884268105536634+0.4100367452162925j),(-0.002010746068592717-0.0037866792572612087j),1455000000
(0.6940239241249427+0.4042968766824208j),(-0.002196501698095435-0.003650090466581354j),1460000000
(0.6972303049766077+0.39898719059152526j),(-0.002081414449625616-0.003897290893169745j),1465000000
(0.703157564342826+0.39033440812985226j),(-0.002224569417065418-0.0037741936078967892j),1470000000
(0.7073773915594429+0.38843127249619624j),(-0.0025578990688305413-0.003574969839190008j),1475000000
(0.7098887863846564+0.38708124644954994j),(-0.0028770250250297912-0.003730012200508479j),1480000000
(0.710714943879407+0.38608457278169556j),(-0.0033941392285895093-0.003443831396200637j),1485000000
(0.7106640264359675+0.38321374256716556j),(-0.003693665280100636-0.0032584919919898645j),1490000000
(0.7135653089896826+0.3789039706598047j),(-0.0035915578097043092-0.003040171809885146j),1495000000
(0.7132949961914777+0.3771442622993348j),(-0.0036858076926587226-0.002540620778979158j),1500000000
(0.7121969493244309+0.3771154971096297j),(-0.0036329767302687365-0.002351002148862213j),1500000000
(0.7141394514144677+0.37355571207184535j),(-0.003407862666614037-0.00219643127836679j),1505000000
(0.7155795410426655+0.36910209932932825j),(-0.0031587146239157836-0.0020595240708156585j),1510000000
(0.7170026501393905+0.3626274449040201j),(-0.002883866537963896-0.0019753190999567687j),1515000000
(0.715117133170437+0.3585364061603114j),(-0.0026645436577630824-0.0019168411916414866j),1520000000
(0.7172128562216054+0.34635197039973925j),(-0.002317771582203179-0.002122445645507785j),1525000000
(0.7177803992438087+0.3371887689645671j),(-0.0021913313380485266-0.0023560333393618385j),1530000000
(0.7206127500782744+0.3297723004905177j),(-0.0020443924276929673-0.0025302464040622996j),1535000000
(0.7239006670600568+0.32339963834522806j),(-0.001988022372589901-0.0028113625383370177j),1540000000
(0.729883612882085+0.3112351302887319j),(-0.0018508977102671795-0.002813684059838775j),1545000000
(0.7346120280875524+0.30514242407255054j),(-0.001887230940850093-0.002794187583190148j),1550000000
(0.740607415588134+0.2996567721078493j),(-0.0019312708352895872-0.0031119666531858377j),1555000000
(0.7499342211095664+0.29499291414339385j),(-0.002138781202747799-0.0030702833267852968j),1560000000
(0.7523462147666481+0.2977330227286515j),(-0.002054487695849726-0.002895656149307522j),1565000000
(0.7534214859698531+0.3003557852066942j),(-0.0020724946463090417-0.0029311420412229633j),1570000000
(0.7551218426167203+0.3017935813119566j),(-0.002251761434981164-0.00296154832421798j),1575000000
(0.7515749963063969+0.3016535529554322j),(-0.0022150348098981983-0.0030041778019993253j),1580000000
(0.7470952231093531+0.30104010531606445j),(-0.002208920023384003-0.003027008746329711j),1585000000
(0.742152182704482+0.29659487439618915j),(-0.002302784126498681-0.003109348291063941j),1590000000
(0.7366554048764533+0.28969209994494843j),(-0.0022008906620751114-0.00308416933891192j),1595000000
(0.7293173757221801+0.2811574431592187j),(-0.0022477878241759916-0.0031385771198006417j),1600000000
(0.7298417351166172+0.26448978151311253j),(-0.002480502238868702-0.0032144707342723158j),1605000000
(0.73209373023531+0.2511324613605897j),(-0.002397226269871081-0.003269131608527892j),1610000000
(0.7357366647983087+0.23431469226050433j),(-0.0026328780031676558-0.0032873914596426093j),1615000000
(0.7502156558454475+0.22293676884237604j),(-0.002854712947688012-0.0033817003340042198j),1620000000
(0.7520926819265609+0.21587840438568034j),(-0.002853351784082815-0.003417615737981666j),1625000000
(0.7601814117102307+0.21031316973481728j),(-0.0027552352268879437-0.00335596866636811j),1630000000
(0.76780465655837+0.20595839604751312j),(-0.003007423762578297-0.0033929256311919093j),1635000000
(0.7728343893214038+0.20811294014436374j),(-0.0028313015939357257-0.0032936596402095494j),1640000000
(0.7751650976092531+0.20973640637998106j),(-0.0031126117491043436-0.003043611605603843j),1645000000
(0.7718135828672723+0.2132873624165374j),(-0.0030219321885617367-0.0030899679291045627j),1650000000
(0.7684556035762055+0.21284664968385703j),(-0.00292243400126225-0.003158980043461219j),1655000000
(0.7629579124707075+0.21425107050503492j),(-0.0028696732526234925-0.003160875623577659j),1660000000
(0.7596894318817567+0.20698758806629103j),(-0.0030210574092503937-0.003121992614121952j),1665000000
(0.7531915031886515+0.20034244836173537j),(-0.0029401631818406614-0.0032172929182042714j),1670000000
(0.7551545115312027+0.1888175521775551j),(-0.0031317227446212743-0.003203266611811216j),1675000000
(0.7526744002944294+0.18113680785553385j),(-0.003152171865062627-0.003280365254564242j),1680000000
(0.753136976514169+0.16828915849484688j),(-0.0033144720629862626-0.0032982259345289483j),1685000000
(0.7567722974003823+0.15820470418214094j),(-0.003558834808878225-0.0032906526026738954j),1690000000
(0.761100467566397+0.14895440169907667j),(-0.0037087027724999858-0.0033865794254157263j),1695000000
(0.7658892859196855+0.14108509853776807j),(-0.003743536930942118-0.0030774753051566284j),1700000000
(0.7696365288062732+0.13864403612797033j),(-0.0036659636215350742-0.0030293794605996955j),1705000000
(0.7699287101572148+0.13239692008414145j),(-0.0038221076138958607-0.002927058592524193j),1710000000
(0.7719258583843797+0.12307987947095664j),(-0.0037194281799459803-0.0030037187555458154j),1715000000
(0.7704615347811591+0.12761245420767842j),(-0.0036086982358305487-0.002839263071304223j),1720000000
(0.770830252465294+0.11790617548062218j),(-0.0037407136851604398-0.0028259433859791133j),1725000000
(0.7677423040608424+0.11747163255650508j),(-0.00373754092103184-0.002915661643100978j),1730000000
(0.7649902938135615+0.11105255197464538j),(-0.00370994025632848-0.002892278915398981j),1735000000
(0.7715099486566124+0.10630202559984718j),(-0.004054837480661317-0.003056192650355634j),1740000000
(0.7642891168138243+0.09950868889866235j),(-0.004147643984657717-0.0028382585579778516j),1745000000
(0.7646779339478554+0.0933678453925734j),(-0.004222737098258831-0.0029136901658096295j),1750000000
(0.7643343328699289+0.08384420915747404j),(-0.004313695266694141-0.002834587603886102j),1755000000
(0.7643841878557947+0.07785333154973989j),(-0.004455750945162814-0.00275267119513066j),1760000000
(0.7649391933180119+0.0716357126719937j),(-0.004506797847532894-0.0026504683881258028j),1765000000
(0.7643708882389239+0.06417334205715292j),(-0.004439999952805506-0.0024961254238409112j),1770000000
(0.7649968686159446+0.05806957486994185j),(-0.0044090913023413685-0.0023936625571031604j),1775000000
(0.765532992715453+0.05253639075100367j),(-0.0043965780045663715-0.00255278524892321j),1780000000
(0.7664569565352711+0.042932912342548576j),(-0.0042869805814392-0.002504172329402291j),1785000000
(0.7670726201891839+0.04246124012056855j),(-0.00421008556290566-0.0026792649516423333j),1790000000
(0.7687128536741303+0.03747105358126652j),(-0.004377200636227889-0.0028766165267910745j),1795000000
(0.7755101957094117+0.03744787984559142j),(-0.004389092048835775-0.0028258280630217986j),1800000000
(0.7691885928502774+0.034926637267915936j),(-0.004522334059821906-0.002839316176075831j),1805000000
(0.7682200271209171+0.033041544880970664j),(-0.004719847809915002-0.0027163141017651836j),1810000000
(0.7629927882713972+0.030469879148647024j),(-0.005045453607780938-0.002653551188366296j),1815000000
(0.7587792166015129+0.024066945408408723j),(-0.0052016532338494915-0.002408612966576411j),1820000000
(0.7542702018252802+0.019936245984484346j),(-0.005378021705273622-0.002373357242616659j),1825000000
(0.7470190908439006+0.008793619577400267j),(-0.005543708299759986-0.002075397010407298j),1830000000
(0.7439657919462802+0.00045628488882610234j),(-0.005721453334663357-0.0018887810216584604j),1835000000
(0.7407610114713475-0.014113727015744424j),(-0.005624583985574391-0.0015859259188509692j),1840000000
(0.741242939016175-0.025226264869048304j),(-0.005806819331714765-0.0012743800844685841j),1845000000
(0.7440808992665632-0.03163771579735903j),(-0.0056685203342998125-0.0011682949729917163j),1850000000
(0.7494645993030934-0.040525858844542566j),(-0.005636760711472139-0.0009018865805832595j),1855000000
(0.7656988017751507-0.0431178206940111j),(-0.005599531008813882-0.0005790696254254835j),1860000000
(0.7657013923989692-0.03921953573124007j),(-0.005222253539408316-0.0006630542409742375j),1865000000
(0.7704014388200962-0.03196071541595918j),(-0.005202639733097673-0.0003123314133018886j),1870000000
(0.7730909594991916-0.025657866717591658j),(-0.0049163837323344456-0.00027250231236867925j),1875000000
(0.7704807416741144-0.020651521434376874j),(-0.0046317783223168395-1.8138232679037504e-07j),1880000000
(0.7679142732563214-0.017547255776916768j),(-0.004451413239698382-0.0003106088715083193j),1885000000
(0.7594800870684005-0.017777126712154843j),(-0.00426306650899731-0.0002713493455534994j),1890000000
(0.7506042624757587-0.022603652712154372j),(-0.004214615328736645-0.0004101042849124904j),1895000000
(0.739741129754842-0.037092786065899164j),(-0.004024677735316196-0.0005178647642025725j),1900000000
(0.7338468954212013-0.05183312839257839j),(-0.004057709775120599-0.0006742717285858798j),1905000000
(0.7301890691763651-0.06725792867738571j),(-0.003791473082501635-0.0009141405284044729j),1910000000
(0.7317565019203608-0.08092217748749783j),(-0.0037229470695870925-0.0009814482160146463j),1915000000
(0.7365743984732741-0.107666603715403j),(-0.003971917623356563-0.001071416978842027j),1920000000
(0.7446531271425832-0.10857829666656746j),(-0.003907692356632004-0.001046488973221659j),1925000000
(0.7513149260407099-0.11634565609163745j),(-0.003939070761630294-0.0012607187429418527j),1930000000
(0.7570168681838663-0.1230784957261882j),(-0.004038872539903507-0.0010955791475606227j),1935000000
(0.7616688476729649-0.11998862177274623j),(-0.004133081145349988-0.001133118094430132j),1940000000
(0.76364777021679-0.12064816080142733j),(-0.003956365754908209-0.0012530323680062267j),1945000000
(0.7611278531835072-0.11405134620628263j),(-0.004254552618808293-0.0013525015386212343j),1950000000
(0.7557224020668667-0.11319404773469775j),(-0.004345621711549915-0.0014125248656309335j),1955000000
(0.7467255756776185-0.11531745136167218j),(-0.004325479031545077-0.0015353278896822874j),1960000000
(0.7399449518194857-0.12070128405367363j),(-0.004126875190635356-0.0014459978531556836j),1965000000
(0.7325564312945472-0.12939013918424547j),(-0.0042245105657520024-0.00143045411241413j),1970000000
(0.7315480049354491-0.13854363046399507j),(-0.0045908256056519815-0.0015304740440416154j),1975000000
(0.7238176087842542-0.15138881987220376j),(-0.004558865893744938-0.0015517154784605235j),1980000000
(0.7253121446664117-0.15981815592955653j),(-0.004655795519297591-0.0015956070904413352j),1985000000
(0.7247125595467123-0.1680299705902841j),(-0.0047424434822475-0.001728889408649152j),1990000000
(0.7242568140729688-0.174943444829539j),(-0.004922152641440467-0.0017192668428494594j),1995000000
(0.7243779603837608-0.1798081706114061j),(-0.0049277592173863705-0.0016552523381963208j),2000000000
(0.7234002085111255-0.1809741593630869j),(-0.004974870647717064-0.0016122144466993592j),2000000000
(0.7211458330141292-0.1833307978723069j),(-0.00528766466506474-0.0018151286425044668j),2005000000
(0.7195050240267499-0.1900535054952024j),(-0.005162698897353778-0.0016140641134259174j),2010000000
(0.7150503895889228-0.19344842525787231j),(-0.005372085152821162-0.0015685936672170295j),2015000000
(0.7088259958225803-0.20120089521257592j),(-0.00535972060328699-0.0014812164004096118j),2020000000
(0.7036533038124784-0.20925151863941757j),(-0.005465619867584908-0.0012692770494437454j),2025000000
(0.7003456865999844-0.21928509986394748j),(-0.005361701614089339-0.0015394542159279418j),2030000000
(0.7008688869947372-0.22156803952227033j),(-0.005443159323968633-0.001314299986984148j),2035000000
(0.7041108995748556-0.22845484325454665j),(-0.005499809709741977-0.0015432720264755616j),2040000000
(0.6986163020304335-0.2404919169223076j),(-0.0056226803678990625-0.0013556376587258315j),2045000000
(0.7005066573357158-0.244236097642477j),(-0.005697793331354084-0.001546939967813531j),2050000000
(0.6975891455443481-0.24776248528170397j),(-0.005995760147113047-0.0015084306396562777j),2055000000
(0.6982057061091778-0.2463096062672634j),(-0.0059388572427650395-0.0014298835708855305j),2060000000
(0.6905200170390962-0.24815459762582623j),(-0.006089138785498437-0.0013540158446679804j),2065000000
(0.6864833611190464-0.2519357836980103j),(-0.006316226609415465-0.001286765192767763j),2070000000
(0.6792568496752681-0.26024440923040415j),(-0.006513410794631531-0.0011374441519565088j),2075000000
(0.6719882833653569-0.2657713384931108j),(-0.00641019356473167-0.0009069139155903005j),2080000000
(0.6657980984047616-0.27480401876658017j),(-0.006697568696188039-0.000971718040460079j),2085000000
(0.6619922242078707-0.2845555328868415j),(-0.006734312401121352-0.0009212649285226348j),2090000000
(0.6623155503063118-0.29096011106643854j),(-0.006852408723456446-0.001015835051445918j),2095000000
(0.6528500314209038-0.295840064165244j),(-0.00680419654154391-0.0009196130846606331j),2100000000
(0.66236268509996-0.30041211449708194j),(-0.007055013818772897-0.0009647836497759459j),2105000000
(0.6615573316785935-0.30818068020108413j),(-0.006881158601599701-0.000764602828379398j),2110000000
(0.6586992383879742-0.30483455210028104j),(-0.00706506640848829-0.00088950829736978j),2115000000
(0.652479965016329-0.30644071189844474j),(-0.007265368402585355-0.0009921039882978843j),2120000000
(0.6425494476967055-0.30933104383142906j),(-0.007494309646001393-0.0008347012455903716j),2125000000
(0.6324253420890026-0.31493718605831245j),(-0.007473595185256885-0.0006033386660110213j),2130000000
(0.6212378819054113-0.322394646251533j),(-0.007665927750100666-0.0005159411347338111j),2135000000
(0.6129286897379882-0.3329235420306474j),(-0.0076756691181262444-0.0003444441999892741j),2140000000
(0.6072253247287397-0.34610566980694746j),(-0.007968543802123775-0.0001434097139566914j),2145000000
(0.6052817054106503-0.35784010102127284j),(-0.007772942357770441+0.00017476738688002171j),2150000000
(0.6087442781111541-0.3681556368254522j),(-0.007971477711665079+1.6965511596880878e-05j),2155000000
(0.6139638426823066-0.38007623174983124j),(-0.007786133142876625+0.0002496060261390618j),2160000000
(0.6210209357434472-0.37766889634301043j),(-0.007883983744388224+0.00011852038815691215j),2165000000
(0.6285818398496481-0.3730063054039765j),(-0.007977700881568116+0.0002936005085177659j),2170000000
(0.6306828402378964-0.3630434436362767j),(-0.008219490261428632+0.00038945906888799566j),2175000000
(0.6260051210309634-0.3561496153554963j),(-0.008479198053915544+0.0005189673260440021j),2180000000
(0.616398980800905-0.34449329877974355j),(-0.00876388101766838+0.00028201664952885817j),2185000000
(0.5986391569304333-0.3402056282712205j),(-0.009182813515868518+0.000553092690079805j),2190000000
(0.5803827794143415-0.33894514071908105j),(-0.009370339346850878+0.0008379284682730912j),2195000000
(0.558231791796468-0.3456892268746588j),(-0.009663291749398267+0.0008993878882005648j),2200000000
(0.5393506251399351-0.36134947290384256j),(-0.009785151195318673+0.0012658575553620998j),2205000000
(0.5241486798567702-0.3778805288824356j),(-0.010105436630917479+0.0015256254549908025j),2210000000
