S11,S21,freq
(0.39657165916586484+1.0152082354235414j),(0.0017751219621412273-0.0022137882177806676j),1000000000
(0.4025715799164906+1.0177824538035833j),(0.0017280437544332323-0.0021837901048360015j),1005000000
(0.40547631529394795+1.0199681877245226j),(0.001722448020045461-0.0022502716589949566j),1010000000
(0.40821961485676383+1.0189706231534021j),(0.001504269291085621-0.0019707066727570055j),1015000000
(0.42049795205266055+1.0322232890104528j),(0.001510667510851094-0.0021474991602487337j),1020000000
(0.41846032258943094+1.0312179189442952j),(0.001613486460595233-0.0019766737847847597j),1025000000
(0.42256246155614574+1.0291054107396813j),(0.0014515639257296606-0.001910449850818747j),1030000000
(0.4117239238002629+1.0283670905812028j),(0.0015808538038776516-0.0019541764325345075j),1035000000
(0.41347373514105923+1.0289050114808955j),(0.0015710395565946811-0.0018966879309444983j),1040000000
(0.41844938318069536+1.0271279400108848j),(0.0016625299514238495-0.0019421907131508607j),1045000000
(0.4270929515329716+1.016050521832532j),(0.0015905957850163024-0.0019286600199338367j),1050000000
(0.42840530524183995+1.009665264526516j),(0.0017030805696770684-0.0020284085315093107j),1055000000
(0.4376364461968681+1.0030404264470856j),(0.0016652335208836987-0.002065964411920335j),1060000000
(0.451627552727833+0.9953517999470152j),(0.0017552530702585798-0.0020458160614190914j),1065000000
(0.45650833572884786+0.9874195200108257j),(0.0014945756424969091-0.0022056320359977845j),1070000000
(0.4656693229695681+0.9769666166610146j),(0.00158700206939353-0.0020698287691065407j),1075000000
(0.4804491111780206+0.970268465702288j),(0.00159091489093856-0.0021525970730496705j),1080000000
(0.4907532512886415+0.9641241632484815j),(0.001497539308112073-0.0021196051481292342j),1085000000
(0.5017464955674746+0.9592150097402168j),(0.0015655293211541009-0.002134652284109204j),1090000000
(0.5135927595040493+0.9537115235911794j),(0.0016376814195313923-0.00223023563144998j),1095000000
(0.5226370592839543+0.949386867506666j),(0.0014666646454948521-0.0021603856103142136j),1100000000
(0.5327702638408355+0.9442726115643153j),(0.0016746871743922754-0.00214049783340789j),1105000000
