S11,S21,freq
(0.39578700147931084+1.0126602238225748j),(0.0018972626588793387-0.00217722349161796j),1000000000
(0.4026320106906806+1.0142630806849167j),(0.0016479067230793338-0.002171165806306844j),1005000000
(0.40722789609165855+1.018023398962843j),(0.0016894949824510508-0.002177659867667985j),1010000000
(0.40967487829490173+1.0184898306614443j),(0.0014846988939607438-0.0019950177818006086j),1015000000
(0.4183788601934536+1.0307062783879655j),(0.0014779056652186656-0.00203752855743185j),1020000000
(0.42088880094412895+1.0303287476714056j),(0.0015537961317901047-0.0020285785970920816j),1025000000
(0.42157000316248466+1.0278564307443154j),(0.0014396148608076633-0.0019062054456909496j),1030000000
(0.4250810869963552+1.0248703446787877j),(0.001574680738706505-0.0018768401865389519j),1035000000
(0.42854008999486887+1.0233669032569832j),(0.0015395951695349312-0.0019377839470030775j),1040000000
(0.4342658398684944+1.0187093742524127j),(0.0016007958144886494-0.0020160744765606218j),1045000000
(0.4461415947750397+1.0060086304257805j),(0.0014900507164912285-0.001928525801280382j),1050000000
(0.4489078086864841+0.9997388120819964j),(0.0018174920516110802-0.002043862674351652j),1055000000
(0.4585010512197039+0.9944763240905253j),(0.0014947552673948944-0.0020360261451364313j),1060000000
(0.4721907042267711+0.9868236065886485j),(0.0016195982156712895-0.00199443483337298j),1065000000
(0.4771324977133798+0.9818768065095873j),(0.0015203653679019776-0.002145893990510757j),1070000000
(0.4863797658181422+0.9748228447158869j),(0.0015436499329135594-0.0020251612468765888j),1075000000
(0.49911666298841434+0.9709096551409405j),(0.0014928850017290889-0.0021466935993799383j),1080000000
(0.5080021665798637+0.9630154407875465j),(0.00152753250436078-0.002105978269986635j),1085000000
(0.5166720230330606+0.9572361188232618j),(0.0015220300201211642-0.0020313034457114234j),1090000000
(0.5154113201590672+0.953123175602656j),(0.0014938189771140915-0.0021268952976182904j),1095000000
(0.5210745411554418+0.9486553119807111j),(0.0015038661976416834-0.0023039154025309198j),1100000000
(0.5324165018529132+0.9422580708494297j),(0.0014749751879485939-0.0022087441664211446j),1105000000
(0.5417424609256067+0.9371118164618766j),(0.0016031156309898806-0.0022720588279154007j),1110000000
(0.5512254242993291+0.9289992516967295j),(0.001462672604293799-0.0023170684336646097j),1115000000
(0.5624779900541869+0.9202507863734406j),(0.001541923738824347-0.002583862046007407j),1120000000
(0.5717068506692943+0.9134858632247208j),(0.0014694484658949927-0.0024403888584977797j),1125000000
(0.5823717335396541+0.9026147538937699j),(0.0013576768954399437-0.002524008385481742j),1130000000
(0.594496741519747+0.8927960497347853j),(0.0013866144741217664-0.0024919091236522213j),1135000000
(0.6112503949121765+0.8868034961488291j),(0.0013918951527901384-0.002474062643508924j),1140000000
(0.6206186393886834+0.880768512262436j),(0.0012700356767735672-0.002450309612686172j),1145000000
(0.6314051723371636+0.8824039542481145j),(0.0012498341442139398-0.002441151281204917j),1150000000
(0.6372169560751672+0.8851338003985313j),(0.0012412001943172516-0.002445569548204254j),1155000000
(0.6462695714350575+0.8869360506095378j),(0.0012883913127221687-0.0023005109680551143j),1160000000
(0.6504337436448767+0.8905173681901268j),(0.0011852219747189262-0.0023764518318445125j),1165000000
(0.648728566091387+0.8931106648783571j),(0.001215744889858438-0.002249494879460244j),1170000000
(0.652390619124234+0.8925742744627357j),(0.00127118295648774-0.0024554033659799175j),1175000000
(0.6469842914617162+0.8930274468667625j),(0.0012116971360083776-0.002311279044547379j),1180000000
(0.6498204874709286+0.8872270155257796j),(0.001240656536309159-0.0023776009142283134j),1185000000
(0.6528127510604929+0.8826798730487376j),(0.0011889193796306612-0.0024330317501942904j),1190000000
(0.6589626346556534+0.8740549625159617j),(0.0011598311810051974-0.002448840090451579j),1195000000
