S11,S21,freq
(0.29200543983439575+0.7575299273137185j),(0.0008363902400549103-0.0027013167270306024j),1000000000
(0.3057438758052313+0.7553508487936015j),(0.0008789544518728535-0.0029615505606771842j),1005000000
(0.3127137001017603+0.7533411783683659j),(0.000826404419422305-0.0028603927566620817j),1010000000
(0.32291143241035564+0.7516550046752039j),(0.000740870074706539-0.0029637080927808063j),1015000000
(0.3239239363726021+0.7540129135078439j),(0.0006111272025352741-0.003187016445420889j),1020000000
(0.33264801857143067+0.7520825013452835j),(0.0005175063192487528-0.003183709318696775j),1025000000
(0.33944223713045724+0.7507060368086431j),(0.0006146304369761309-0.0032824996109773632j),1030000000
(0.34652237736547076+0.7490321138180541j),(0.00034997992514399846-0.003352914692257176j),1035000000
(0.35202676481927253+0.7479902952560792j),(6.437212860083361e-05-0.0034533737755245374j),1040000000
(0.35505393643009886+0.7487034612944735j),(-0.0003200475510605999-0.003233536000733091j),1045000000
(0.3615334076990213+0.7435145270979073j),(-0.0003182284037448434-0.0029170603125518143j),1050000000
(0.36363231684394+0.7417552687957677j),(-0.00045582715152734743-0.002804584471485441j),1055000000
(0.3689784149338669+0.7404030631619756j),(-0.0004022565639366563-0.002524425841769266j),1060000000
(0.36799601591359354+0.7369761347649385j),(-0.00028828919279704624-0.0024557147514184348j),1065000000
(0.3724113362218023+0.7327780642041617j),(-0.0001791370275492223-0.0024846049025348507j),1070000000
(0.3769752640877064+0.7279384773444555j),(-9.529647118709342e-05-0.002414216507131563j),1075000000
(0.3807728658706339+0.7220484737549153j),(-0.00019354886406030007-0.002363784663872051j),1080000000
(0.38998811057236754+0.7151718278205317j),(-0.00010950543925792169-0.0023963442843540333j),1085000000
(0.3969774050920878+0.7101641701797983j),(-4.7048734773204894e-05-0.0024869588032229374j),1090000000
(0.4049053403817069+0.7060351001959164j),(-4.011231742570934e-05-0.002499734792621004j),1095000000
(0.4169518237165898+0.699778581776392j),(1.6222547163872935e-05-0.002435749349584265j),1100000000
(0.42454350806867475+0.6981917152414461j),(-2.469667113677271e-05-0.0026130639827220943j),1105000000
(0.43329148171725385+0.695109981291908j),(7.038163698351489e-05-0.0026962064427899202j),1110000000
(0.4404246435981622+0.6957515691930614j),(-5.7415481802982525e-05-0.0027551549796850944j),1115000000
(0.44525801534345466+0.6957124562616716j),(-0.00012573666489182122-0.0028959957935431185j),1120000000
(0.4470005647132986+0.695531397122563j),(-9.012846585866393e-05-0.003015925604174954j),1125000000
(0.4478690863539265+0.6950439039434401j),(-7.481717280558802e-05-0.0028692882037306936j),1130000000
(0.4474472268965969+0.6928463253371153j),(-0.0002814947685620493-0.0028261911270100895j),1135000000
(0.45031081394704026+0.6883654275433971j),(-0.00030639303323585663-0.002778426809028805j),1140000000
(0.4529152457818916+0.6836679403114607j),(-0.0003102594668464606-0.002763086543496972j),1145000000
(0.4554182994843775+0.6783868003849747j),(-0.000283456420085549-0.0028870789630122485j),1150000000
(0.46193445220063284+0.671027507342208j),(-0.00031589220260624706-0.0027850319191548966j),1155000000
(0.4696657066203063+0.6628054586594484j),(-0.0003055087720354858-0.00286046684321835j),1160000000
(0.476197481335791+0.6566042621524382j),(-0.0002933975664206802-0.002805062357149832j),1165000000
