S11,S21,freq
(0.6982469816973342-0.205363875672265j),(-0.005287977579115905-0.002005666644527496j),2000000000
(0.7198003130762579-0.2211735045185927j),(-0.005520317095693737-0.002127112204286974j),2002000000
(0.7096109082651745-0.22281464058873593j),(-0.005466763692553775-0.00210452331776933j),2004000000
(0.7112731761612852-0.22733590372624893j),(-0.005560788723880151-0.002099164301694513j),2006000000
(0.7195366607068323-0.23225614697745123j),(-0.005639547405047871-0.0019618256918763565j),2008000000
(0.6957293857284175-0.22734788599119896j),(-0.005412523581943125-0.0019423044841992516j),2010000000
(0.7186187549286993-0.2399935849527902j),(-0.005702154546635809-0.0019094182157247711j),2012000000
(0.7141051212604367-0.23693471294385796j),(-0.005703944047835925-0.0017355280606314487j),2014000000
(0.7112013680919351-0.24324448825507747j),(-0.005588325312565944-0.0017453185617604884j),2016000000
(0.7192804069478302-0.24744847857532823j),(-0.005836599648559997-0.0015824213288399796j),2018000000
(0.698361805147038-0.24032883676268077j),(-0.005494617289728355-0.0016162566013815326j),2020000000
(0.7175406752583784-0.2548466683101127j),(-0.005875450496049877-0.0017330248213529348j),2022000000
(0.7092958913671354-0.2513260373217255j),(-0.005794797506545574-0.0016298458661288344j),2024000000
(0.7075004849349857-0.25645010077462266j),(-0.00569735714980688-0.0016007639832342287j),2026000000
(0.7201951130734452-0.26165177413491764j),(-0.00579467459213113-0.001779656592547439j),2028000000
(0.6942038974298542-0.25089401558170477j),(-0.005561900921960247-0.0017582425118326938j),2030000000
(0.7169365013757091-0.2626045094067172j),(-0.005663509829645291-0.0017209013354756869j),2032000000
(0.7117523313934935-0.260068239034229j),(-0.005835640622098976-0.001831407981122027j),2034000000
(0.7107298127987915-0.26438289291969724j),(-0.005735161948293661-0.0018006564237128468j),2036000000
(0.7146753310900841-0.2630497394738295j),(-0.005802544313728841-0.0017502233756584997j),2038000000
(0.6932290617721287-0.26538023755739526j),(-0.005683585577667363-0.00171914414064692j),2040000000
(0.7139776533271072-0.270944917193853j),(-0.005851547821273522-0.0017304551398218185j),2042000000
(0.7051835556753704-0.2702565220638977j),(-0.005783142521383447-0.001786026414571946j),2044000000
(0.7028186757167144-0.27787048063245745j),(-0.005907738769254257-0.0016456901554875883j),2046000000
(0.7125948415810264-0.27819333889457415j),(-0.005939183946207707-0.0017196246461573237j),2048000000
(0.6884745324325694-0.27059249653032535j),(-0.005768093369330734-0.0017196119046665732j),2050000000
(0.7116987637688977-0.2814722795838632j),(-0.005950295595135933-0.0019018601214917485j),2052000000
(0.7029375991014352-0.2771006938728276j),(-0.0061305383466515526-0.0017685948577157776j),2054000000
(0.7006475019567002-0.27965883342991776j),(-0.006095657314754286-0.0017718153109234163j),2056000000
(0.7105063934737358-0.28373096736390213j),(-0.0063013680824872305-0.0016720964197041478j),2058000000
(0.6848379763796162-0.27378946450575153j),(-0.006208810775501923-0.0017374521267304577j),2060000000
(0.7027606794064866-0.2905931792155856j),(-0.006414359432574412-0.0017761033008787412j),2062000000
(0.696030276567869-0.2861045022747772j),(-0.006307283030228317-0.0018893614649761977j),2064000000
(0.6969658827855365-0.28247170868107685j),(-0.006356177014166253-0.0017591196744601604j),2066000000
(0.7019298906999415-0.28241027996642454j),(-0.006404073803904401-0.0017939911246790245j),2068000000
(0.6763252886628569-0.27687529591840265j),(-0.006316995152131672-0.0016934003787770445j),2070000000
