S11,S21,freq
(-0.4095709968539125-0.5823589902616864j),(0.0006735872654063325+0.003674983886032688j),2000000000
(-0.4299969328655373-0.6009894571615544j),(0.0006809250076512448+0.003543876670914057j),2002000000
(-0.428293505304757-0.5963140150653313j),(0.0006077648917529588+0.003524422697890023j),2004000000
(-0.4315970725002382-0.5913601815511074j),(0.0008131950767711777+0.003563707983903887j),2006000000
(-0.44216691259043733-0.5968006868035224j),(0.0009680742504032124+0.0034854795865382113j),2008000000
(-0.4299620891961133-0.5725759437649127j),(0.0008972194274012186+0.0033786537495687j),2010000000
(-0.44806743640514407-0.5873687193253366j),(0.0009925611491912669+0.0035032656956572807j),2012000000
(-0.4513640342113581-0.5758177909741558j),(0.001048197000632368+0.003375411058382652j),2014000000
(-0.4564061036217378-0.5755787993783644j),(0.0010070379459942637+0.003472655921660254j),2016000000
(-0.45741351876596764-0.5761910523488919j),(0.0010906339544345194+0.0033629502627492984j),2018000000
(-0.4448210084309526-0.5474541368721809j),(0.0011029062499983131+0.0033630110822648472j),2020000000
(-0.46485855083508165-0.5643443556946076j),(0.0011514029970861842+0.0034785159882675704j),2022000000
(-0.46176478072460203-0.554392965608623j),(0.0011263971863736302+0.0034975454626165656j),2024000000
(-0.4668050081375631-0.5489776035117339j),(0.0011850823888339475+0.0034260712261499743j),2026000000
(-0.471195398738103-0.5532620390857992j),(0.0011723242260669566+0.0035003250195561365j),2028000000
(-0.46303301128694674-0.5253861174672974j),(0.0012411559219587835+0.0034733576649263924j),2030000000
(-0.48437400596049135-0.5400115483943585j),(0.00133220321322458+0.0035671390250431585j),2032000000
(-0.48381670463767246-0.5309931962197888j),(0.0014177728760807057+0.003705902019756605j),2034000000
(-0.49022354696999143-0.5218687667961448j),(0.0014003507573294217+0.0037721358255370365j),2036000000
(-0.4926419058549577-0.5280024759753718j),(0.001467042274912872+0.0036727869653710205j),2038000000
(-0.48141163009015-0.49837427644765436j),(0.0016235558352437718+0.0035797416661659475j),2040000000
(-0.5032787882112688-0.5106630165545863j),(0.0017439296290259702+0.003732650684126109j),2042000000
(-0.500476976928839-0.5025032506151546j),(0.001696748952307143+0.00361272182538022j),2044000000
(-0.5045602960210153-0.4934519364014808j),(0.0018034126620848944+0.0037682081824426707j),2046000000
(-0.5134777766828662-0.49641907032951177j),(0.0018638961883582661+0.0036146607642960544j),2048000000
(-0.49851615475323974-0.46954718178211996j),(0.0018438428957965316+0.0034065108787618235j),2050000000
(-0.5226008820243414-0.4895243596895265j),(0.0018733980948977733+0.0037609269689177403j),2052000000
(-0.5181050985649361-0.4710397624884848j),(0.0020700757161001525+0.003603967020424824j),2054000000
(-0.5241164827525644-0.4626975403758263j),(0.002160215652097593+0.0035947241643718986j),2056000000
(-0.5303064936858645-0.4640104592391854j),(0.0022116852515625374+0.0036040123898712566j),2058000000
(-0.5159799092273598-0.44039751027035495j),(0.0022465916448276358+0.0034233653288064905j),2060000000
(-0.5390075356731902-0.4443737017820464j),(0.0024227168728861172+0.003593610193625931j),2062000000
(-0.5330449789297991-0.4354099192533299j),(0.0024409625829524746+0.0034786807347222306j),2064000000
(-0.542211313649165-0.4239736208420501j),(0.0024508257258407957+0.003512389633414406j),2066000000
(-0.551649415465433-0.4224007979741394j),(0.0026029868734195527+0.0033784462632450735j),2068000000
(-0.5379157421121171-0.4015010421782754j),(0.0025660127578026703+0.0032965414962234855j),2070000000
(-0.5603979025210327-0.4047861471391794j),(0.002688104986790552+0.003427468794858698j),2072000000
(-0.5585926007280914-0.3952099401418875j),(0.002560514696246424+0.003293108753312071j),2074000000
(-0.5681137858929344-0.3831982080738351j),(0.002552796365924749+0.0032850958236988j),2076000000
(-0.5733542276006851-0.383930121692325j),(0.002559956192877448+0.0034416273088505958j),2078000000
(-0.5619213869780656-0.3622250367175769j),(0.002669630619903925+0.0031852598674397496j),2080000000
(-0.5860029379853197-0.3676549622197803j),(0.002668455910299139+0.0032977219462637314j),2082000000
(-0.5803433395566875-0.3605609206471067j),(0.00265814756505646+0.0032470531026859476j),2084000000
(-0.5888655718604254-0.3494578843656617j),(0.0027242535858746624+0.003151219918242689j),2086000000
(-0.6002844729964592-0.34893919236500687j),(0.002910769177722615+0.0033175446977816744j),2088000000
(-0.58616207966616-0.33248327047960435j),(0.0027805200421841445+0.003141869450018708j),2090000000
(-0.6101651458162364-0.3362155957525455j),(0.0027545149541957975+0.0032552434006459527j),2092000000
(-0.6068059212399876-0.32979213498564536j),(0.002705768876497583+0.003222811738179276j),2094000000
(-0.6118481136613895-0.32313482342744804j),(0.002878883310674208+0.003045641868052356j),2096000000
(-0.6171458603810086-0.32453816521246226j),(0.0028787244488883176+0.003229382054742844j),2098000000
(-0.6027503337821893-0.3052482099135908j),(0.00298450867701004+0.0030604925992428014j),2100000000
(-0.6250239031645857-0.312216064057178j),(0.0030751379542375214+0.003290654525427706j),2102000000
(-0.6197990706984661-0.30627363446126454j),(0.0030679702904660867+0.0033376497189013307j),2104000000
(-0.6243299389540052-0.29870955830900714j),(0.003157104423830602+0.0031373665902389575j),2106000000
(-0.6319977283038866-0.3006304197154928j),(0.0032664086397529335+0.0034688600103107447j),2108000000
(-0.6161805925094763-0.2863957880623242j),(0.0032340372320364824+0.0033589860102276768j),2110000000
(-0.6352274040754184-0.2875946026250615j),(0.0033868039176294393+0.003384460382322854j),2112000000
(-0.6245695336125442-0.28452659646752065j),(0.00333085326988059+0.003210777112461016j),2114000000
(-0.6253746206448544-0.2725120835724141j),(0.003364814008268055+0.0031211229666866353j),2116000000
(-0.6317784602200786-0.27293337921335903j),(0.0035230863103271172+0.003224291593903102j),2118000000
(-0.611353136334268-0.2547608320911831j),(0.003454890477371539+0.0030794867508768366j),2120000000
(-0.6305986655797223-0.258557633573641j),(0.00359529227216101+0.0030472584690790843j),2122000000
(-0.6177327216050091-0.24781272033074195j),(0.0035446497153681015+0.003139450117934748j),2124000000
(-0.6200181924840535-0.23667228281771416j),(0.0036324528101800493+0.0030919082823125292j),2126000000
(-0.6268732415799791-0.23615752980012644j),(0.003758865957078938+0.003205448687424709j),2128000000
(-0.6056995625106366-0.21359279759023797j),(0.0037995440668264257+0.0029489815787931916j),2130000000
(-0.6286241442232222-0.21486420249439267j),(0.003878488874319852+0.003101925781680689j),2132000000
(-0.6192066002109471-0.20502552388984607j),(0.003835260049819713+0.0029108452725062355j),2134000000
(-0.621775452626679-0.18240328181146992j),(0.003904288541637859+0.0028711533203488932j),2136000000
(-0.6305053998874305-0.18419317388184522j),(0.004084733876011801+0.003009426438570737j),2138000000
(-0.6105916558695937-0.16494473352815042j),(0.003905976727374887+0.0029895888690983684j),2140000000
(-0.6343343151512828-0.16295168058286655j),(0.004025626927136759+0.0031202211380056393j),2142000000
(-0.6278835972567455-0.1534475019666965j),(0.003909447710131651+0.002996356229628214j),2144000000
(-0.630559065642025-0.14277620995762635j),(0.0041102821560652855+0.002865437208116775j),2146000000
(-0.6399182746931881-0.13805625922393583j),(0.004209336986451458+0.0030465962103436686j),2148000000
(-0.6210844156045772-0.12083864891404233j),(0.004293275383394647+0.0029452542186607675j),2150000000
(-0.6455863156470016-0.12031651467492345j),(0.004461618636195317+0.0028194707169226342j),2152000000
(-0.6393127218974425-0.113997840168173j),(0.004334215585703215+0.0029528523342910212j),2154000000
(-0.6411077071230695-0.10487730512353505j),(0.0043343237651054505+0.0028498967216419586j),2156000000
(-0.6507455849891356-0.10006529314909j),(0.004686682706048767+0.0029006345799738j),2158000000
(-0.6280167575257036-0.08935052730323786j),(0.0044836646008030254+0.00289383425344247j),2160000000
(-0.6514237863828926-0.08870043587442618j),(0.004720056106389302+0.0029701663030003937j),2162000000
(-0.6417180519132718-0.0844548782480938j),(0.0047462496764403275+0.0029310428756897772j),2164000000
(-0.6419740563664771-0.07560713506982233j),(0.004853529091682633+0.002723404068182999j),2166000000
(-0.6476179972334171-0.07214174219928803j),(0.00506011880246559+0.002929581781672702j),2168000000
(-0.6241230426711276-0.06219600597501339j),(0.005055684784859435+0.002813107745041388j),2170000000
(-0.6426005010515696-0.059355778759203816j),(0.005119527079031785+0.0028533405607927493j),2172000000
(-0.6332856830187078-0.05533354501605643j),(0.0052298657003235875+0.0028020108962238093j),2174000000
(-0.6296157513494889-0.04719156715268021j),(0.0053560441922521785+0.0028935960036498855j),2176000000
(-0.6324193872708537-0.04416706132233185j),(0.005528240430573076+0.00273530357576589j),2178000000
(-0.6079231703466816-0.03366068007092155j),(0.00553549472294177+0.0028104577954306464j),2180000000
(-0.623021757155776-0.027225848340157247j),(0.0058982060028982585+0.002722037441935333j),2182000000
(-0.6118802594478149-0.018838180667783293j),(0.005878757836443564+0.0027207897420668714j),2184000000
(-0.607420014227379-0.007784219288813436j),(0.005971388526144433+0.0025853756169628445j),2186000000
(-0.6089653516982954-1.672610497191417e-05j),(0.006181126165287292+0.002642854565941573j),2188000000
(-0.5868811661485851+0.010672308182341913j),(0.006116503751635178+0.002382047467418099j),2190000000
(-0.6005522129442593+0.02054600306624637j),(0.006265066657690314+0.002512324748245146j),2192000000
(-0.5922522589139918+0.031062275885162877j),(0.006425848890011692+0.002338555168335059j),2194000000
(-0.5894379830915583+0.04410436048268601j),(0.0064717446887239535+0.0021280724783800144j),2196000000
(-0.5917690381051058+0.05313422277926195j),(0.006549139642391188+0.0022923399726724465j),2198000000
(-0.5716490343822689+0.06336586115952145j),(0.006433813849549137+0.0021283539386289766j),2200000000
(-0.5721296477135226+0.0642525644132953j),(0.00645430416421473+0.0020808136117447j),2200000000
(-0.5883375378290195+0.07868531162709833j),(0.006686006943251691+0.00206023951326074j),2202000000
(-0.5807368080258224+0.08613947370565848j),(0.0064172934194975636+0.002045465035779458j),2204000000
(-0.5796909947762566+0.0994265890143014j),(0.006601683253345605+0.002081676087505008j),2206000000
(-0.5867295783268224+0.10551184033738356j),(0.00668808275678885+0.001912206865350966j),2208000000
(-0.5672952449183225+0.11194102259160371j),(0.006656480657417309+0.001885731550568092j),2210000000
(-0.5858759557434615+0.12407506955534021j),(0.006908898440672401+0.0018244496493757748j),2212000000
(-0.5788741826733773+0.12596479432917013j),(0.00694636957383369+0.002001543962355973j),2214000000
(-0.5786495630518965+0.13669161876792202j),(0.006982008920780777+0.0018948819179449483j),2216000000
(-0.5878419862062597+0.13675709678735962j),(0.0072801684948825725+0.0019942564378131232j),2218000000
(-0.5717071221791503+0.1326000272355803j),(0.007384662121584287+0.001955812561447406j),2220000000
(-0.5875007268830768+0.14552371123835026j),(0.007680802302833458+0.0019480973594760758j),2222000000
(-0.5793560115165314+0.14901101507561557j),(0.007664911866311051+0.001771953660055382j),2224000000
(-0.5775820567217378+0.1527288018595116j),(0.007754251677736472+0.0017018078124463995j),2226000000
(-0.5807818478672823+0.15273262603407253j),(0.008015031132261256+0.0016188578248570976j),2228000000
(-0.5571340466760387+0.15311561910929217j),(0.007858624221756172+0.0013638044467607904j),2230000000
(-0.5745285427407416+0.15881843071249452j),(0.00831642628295427+0.001321173260379302j),2232000000
(-0.5624740001814492+0.1568970729733871j),(0.008508439574965557+0.0013104595169647518j),2234000000
(-0.5559315399470818+0.15872250207349559j),(0.008723547839862515+0.0012057297956098933j),2236000000
(-0.5551103964436559+0.1606932266221329j),(0.008988029555604704+0.0010078420783469183j),2238000000
(-0.5305471589451769+0.15865472001956943j),(0.009052498540914574+0.0007918195634672374j),2240000000
(-0.5392020181969613+0.16246190736247176j),(0.009481872916026464+0.000688291627777814j),2242000000
