S11,S21,freq
(-0.40863085097654045-0.5848990729636971j),(-0.0005035886691947755+0.004301604717174362j),2000000000
(-0.428660315896098-0.6034006711267191j),(-0.00030869510692011696+0.004482893230223789j),2002000000
(-0.4263124405916357-0.5937297050990956j),(-0.0003824913293662201+0.004437178389437461j),2004000000
(-0.4347973027332171-0.5891721236290456j),(-0.00033517853212029595+0.004306285716387028j),2006000000
(-0.4361217329645614-0.5978818193411538j),(-0.00032302678160869256+0.0044063384392497565j),2008000000
(-0.4256143105268522-0.5734171515980704j),(-0.00033290655765907246+0.0042697582984830285j),2010000000
(-0.4458413385899062-0.5900406240949728j),(-0.00010888052418010018+0.004312671099917963j),2012000000
(-0.4479522911449181-0.5781021630395836j),(-0.00018159525247194764+0.004439881832429442j),2014000000
(-0.4550575527811836-0.5751147111502379j),(-1.3543200571813824e-05+0.0044250016618552586j),2016000000
(-0.4559004703214882-0.5779240618827823j),(-4.52487887708112e-05+0.004567729403986767j),2018000000
(-0.44797855245334073-0.5504773763279505j),(-0.00013246659782060143+0.004538889174494476j),2020000000
(-0.46491124956179647-0.5656000428339663j),(-4.740524784203521e-05+0.004523868935039921j),2022000000
(-0.46124910430040306-0.5551039943070954j),(0.00010552473883123006+0.004599342353107513j),2024000000
(-0.4651103063901648-0.5483948276619831j),(7.210803528822924e-05+0.004546292028436308j),2026000000
(-0.4706274749300367-0.5540053772583038j),(0.000129395057656932+0.004620673688110335j),2028000000
(-0.46373850591907373-0.5257070770117499j),(0.00022839163869756523+0.004527087910787327j),2030000000
(-0.4876766941903452-0.5392073515964605j),(0.00023756178453926066+0.004754546750560256j),2032000000
(-0.48420820011299326-0.5299038073385686j),(0.00031461364664953247+0.004662674601179539j),2034000000
(-0.49105611868436755-0.5224176597153664j),(0.0003524244609487795+0.004828480047552522j),2036000000
(-0.49716622131178534-0.5242720631057131j),(0.00028630515457834+0.004937117564742586j),2038000000
(-0.48302731562682677-0.4973359665526567j),(0.0005078526502389462+0.004775135215558757j),2040000000
(-0.5040015544672083-0.511973925809601j),(0.0005832579708083898+0.004936169860205809j),2042000000
(-0.5013020893089911-0.5013973802151774j),(0.0007714722391575878+0.004948155145812031j),2044000000
(-0.5081857514818738-0.4936395331668026j),(0.0007165150063585719+0.004997808846587789j),2046000000
(-0.5142752246206066-0.49684688017991613j),(0.0007917621981608379+0.004956954738578808j),2048000000
(-0.5011306804672154-0.47851921853436485j),(0.000827853688261665+0.004817242920482782j),2050000000
(-0.5277258177628728-0.488682965544101j),(0.0010211001655635447+0.005171277754703488j),2052000000
(-0.5183963763191806-0.4718014314575195j),(0.0009796769798152045+0.0050225927983148615j),2054000000
(-0.5246764299487141-0.4602844618364049j),(0.0011586477059699878+0.005074217195953239j),2056000000
(-0.532582016181709-0.46217080160532964j),(0.0011885201286666155+0.005166361810734173j),2058000000
(-0.5180305315511802-0.442155726407169j),(0.0013329389862127136+0.004994581868726753j),2060000000
(-0.5398600986284455-0.448275730778649j),(0.001565389288012181+0.005114250545883064j),2062000000
(-0.5356489462317643-0.4362669856288094j),(0.0015679083489051403+0.004865135844569864j),2064000000
(-0.543203850561279-0.4246675347130623j),(0.0017379303483463717+0.004940872786022964j),2066000000
(-0.5500643125414238-0.4218493086205611j),(0.0017126546444861186+0.004877542522195196j),2068000000
(-0.5405985342470053-0.3998368421135534j),(0.0017554955061184127+0.004786137388786891j),2070000000
(-0.5610454854192224-0.40667022962201976j),(0.0017780329406969408+0.004948533729638345j),2072000000
(-0.5584896083713325-0.39524752960774207j),(0.0018825610084862367+0.004905318094289995j),2074000000
(-0.568983237529452-0.3840078407261042j),(0.0019657034299306562+0.004772714843090606j),2076000000
(-0.5756447562122825-0.3830976827430002j),(0.0018585803130671675+0.005037321891794846j),2078000000
(-0.5657557954242037-0.3653908837935652j),(0.0019439490456164572+0.004787932388241963j),2080000000
(-0.5855149021401319-0.3676446948982438j),(0.0019516478521418323+0.004881873195972839j),2082000000
(-0.5836693104260057-0.35861472354029794j),(0.00201179971131689+0.0047881187279252176j),2084000000
(-0.5909515649033227-0.34953742630506807j),(0.00190324629391972+0.004662298938970667j),2086000000
(-0.6024032634971438-0.34654946405543835j),(0.002142263804126743+0.0048599589947531515j),2088000000
(-0.5887440521852472-0.3308873284326421j),(0.002106913278703812+0.004584867078089387j),2090000000
(-0.6118655266039197-0.3357684063054885j),(0.002055127927990102+0.004759804254035954j),2092000000
(-0.6086764627445292-0.32954281673564473j),(0.0021808733730135834+0.004634006710881743j),2094000000
(-0.6135040305169849-0.32116362159526013j),(0.002109167354589934+0.004707406913982455j),2096000000
(-0.6234356159293545-0.3230015915243856j),(0.00224633419245222+0.004780059135112921j),2098000000
(-0.6058889221397882-0.3038705680764299j),(0.002178714004838457+0.004545921819807234j),2100000000
(-0.6284066030632728-0.31105558195781063j),(0.002328632411632013+0.004749091404907068j),2102000000
(-0.6226124820823105-0.30655542477344466j),(0.002315054575566559+0.004756992334473425j),2104000000
(-0.6271024635000706-0.295795023763493j),(0.0024010141995041137+0.004797908721794903j),2106000000
(-0.6352452618652457-0.2981178442998824j),(0.002714341205884914+0.005041845126140332j),2108000000
(-0.6144555590981721-0.28141698709080504j),(0.002645933888993534+0.004886416011722481j),2110000000
(-0.6386164735210582-0.2853863337817848j),(0.0028176150502315657+0.004978953361927592j),2112000000
(-0.6283099926796941-0.27953968078071606j),(0.0027386896312303986+0.0050313184854090505j),2114000000
(-0.6292161405277374-0.27286123682720165j),(0.0028438185426465576+0.004820778706124932j),2116000000
(-0.6355752334374543-0.26914583217536875j),(0.0029723815510318058+0.004908919178745799j),2118000000
(-0.6152232352917961-0.2540854273782086j),(0.0028909985366983994+0.004729378674416072j),2120000000
(-0.6349369034314086-0.25523314455938123j),(0.002992159623005022+0.004849749616865639j),2122000000
(-0.6207643782304759-0.24716913025179862j),(0.003117739983918014+0.004783365003431185j),2124000000
(-0.6248170498639967-0.2346288120072507j),(0.003076313797820352+0.004748892177757818j),2126000000
(-0.6288760497883739-0.23037979875587974j),(0.003295757582116006+0.00498584888363521j),2128000000
(-0.6091970637884143-0.2167180308280626j),(0.0033841868798842423+0.0046430687893070375j),2130000000
(-0.6327578294419562-0.20923401667729974j),(0.0034020467978438072+0.0048165869831682685j),2132000000
(-0.6224064722354421-0.20361603015439542j),(0.0032859149507999947+0.004914875051428466j),2134000000
(-0.6254429661476305-0.17993074163415443j),(0.003419213037035417+0.004681482085227015j),2136000000
(-0.6330203214824123-0.1806279224909688j),(0.003539581634121891+0.004796267560518098j),2138000000
(-0.6136379134170726-0.16314393633181146j),(0.00348008188549061+0.004699403175897279j),2140000000
(-0.6383999202581969-0.15803527249138838j),(0.0036277847939173197+0.004796906316768534j),2142000000
(-0.6317233392898262-0.1493409803303711j),(0.0035291959623526986+0.004841891719272848j),2144000000
(-0.6341063237310796-0.1388269390374116j),(0.0036167724226133634+0.004848559488024072j),2146000000
(-0.6436300820432681-0.1334544613834237j),(0.0038061733042747442+0.004838665624103684j),2148000000
(-0.6235275474945748-0.11713770375086169j),(0.0037152410961284956+0.004732857546576162j),2150000000
(-0.6480216785521513-0.11763530097179085j),(0.003868817120854608+0.005052433856796662j),2152000000
(-0.6422289811894496-0.10926196763832083j),(0.0038302985727536676+0.004847303338302523j),2154000000
(-0.6445795325260906-0.10044716301109556j),(0.003991106924484079+0.004813220048576757j),2156000000
(-0.6527767402185914-0.09909792323344002j),(0.004303723132191305+0.004939215556113571j),2158000000
(-0.6321817510509926-0.08524391785996427j),(0.004087676985027656+0.00491169288406503j),2160000000
(-0.6559241244953504-0.08432742075699382j),(0.004414184854662724+0.0050324346841061785j),2162000000
(-0.6483994817809445-0.07853223670656709j),(0.004475761905751338+0.005029100697457045j),2164000000
(-0.6461521173792691-0.07010095479184064j),(0.0045356891593252525+0.004942952496291738j),2166000000
(-0.6507759282177951-0.06737525374550722j),(0.004759055697282559+0.004972085697107168j),2168000000
(-0.6267628263506679-0.060706545529497266j),(0.004905220320597446+0.0048537903071061185j),2170000000
(-0.6466973986005655-0.05477793240210055j),(0.0052093992304896005+0.0050567552501679155j),2172000000
(-0.6361147481118089-0.05205783580177206j),(0.005229512816177599+0.005153596337968817j),2174000000
(-0.6318053576075802-0.04467711934596764j),(0.005229752858527988+0.005169601115023472j),2176000000
(-0.6359826482919051-0.03896074374003287j),(0.005490137565496619+0.005165030995578431j),2178000000
(-0.6115613325943612-0.030511547328917706j),(0.0054878065139983+0.005031624267239279j),2180000000
(-0.6269643880127329-0.02166661896080691j),(0.005705498257811832+0.0050178974283494725j),2182000000
(-0.6140718210099494-0.01723616401200227j),(0.005826899726624869+0.004999733525680031j),2184000000
(-0.6112257674307019-0.0019216640375148354j),(0.005959964016438421+0.004816534296716331j),2186000000
(-0.6124665981199201+0.002418471942146489j),(0.006118938334598554+0.005006398392326576j),2188000000
(-0.5901817958262054+0.014796076219848228j),(0.006072077701902684+0.004611427581436078j),2190000000
(-0.6047030234118606+0.02481811146802669j),(0.006575016699627793+0.004751636812298084j),2192000000
(-0.5950280368506577+0.03418445876685749j),(0.006474296004143433+0.004789438050632324j),2194000000
(-0.5898234295006065+0.04756794653013964j),(0.006539607356180751+0.0047084652463803j),2196000000
(-0.5935909601524595+0.05712196381111017j),(0.006826270721395026+0.004673941506217951j),2198000000
(-0.5727252000304347+0.06873081139415435j),(0.006810292894099293+0.004525170067006333j),2200000000
(-0.5738626668517716+0.06752357271093273j),(0.0067935428400274665+0.004428098237267728j),2200000000
