S11,S21,freq
(-0.7885361566389966+0.302310813673478j),(3.5611661131560015e-05-2.514166387964007e-05j),1000000000
(-0.8111899084791448+0.3051851975434274j),(-3.8592582063731536e-05+8.641232563794602e-06j),1003000000
(-0.8085341621045223+0.37988663022219904j),(-9.264132906496998e-05-1.433917618253226e-05j),1006000000
(-0.7635287481203591+0.46874974977125256j),(8.096291356773049e-05+5.982825981269286e-05j),1009000000
(-0.7029409274124074+0.5118710269924494j),(4.671003420526431e-05+2.132330273405484e-05j),1012000000
(-0.6517732219505225+0.5608410729532747j),(7.095032292653336e-05-1.7685375378406396e-05j),1015000000
(-0.5744675475199951+0.5964026332972753j),(-8.510265765600733e-05-2.8976408202009394e-05j),1018000000
(-0.4864095745762107+0.5569920239647432j),(-2.8938765722241452e-05+3.9012641532393566e-05j),1021000000
(-0.5530051580040448+0.5322833127371855j),(1.5074953625210868e-05-2.2488748520416357e-05j),1024000000
(-0.5720634263169216+0.6156994292530688j),(1.9782090025820635e-06-1.1427421117774579e-05j),1027000000
(-0.5438117415853372+0.7063203352801809j),(1.8500553822875258e-05-4.679005072793822e-05j),1030000000
(-0.46912135547474765+0.7658115721033454j),(2.824843563868241e-05-4.612473348486838e-05j),1033000000
(-0.38496223541822316+0.7952999829247114j),(4.687043343758727e-07-7.238293156266421e-06j),1036000000
(-0.37365233668105974+0.8042625562544452j),(1.3790011542932856e-05-1.1772053281662272e-05j),1039000000
(-0.29385744060009283+0.8567668772958742j),(7.634625958569856e-06-4.6270754114421004e-05j),1042000000
(-0.22603890770279403+0.8780607746169419j),(8.839211103525246e-06+1.3038705454357373e-05j),1045000000
(-0.15231110208102747+0.8917158113757504j),(6.214839012704036e-05-1.2482643552718792e-05j),1048000000
(-0.08275372636542151+0.8965922604845894j),(-5.191590966767518e-06-1.5546109901859887e-05j),1051000000
(-0.01621654714362704+0.8926229256518543j),(-4.0069134002228425e-06+3.540729276667633e-05j),1054000000
(0.04637555338120509+0.8798644889305869j),(3.63593897501774e-05+2.3263945077835432e-05j),1057000000
(0.09577986335290056+0.8649787680955856j),(5.223717344632275e-06-4.959238189973778e-06j),1060000000
(0.13662137591852266+0.8598733840545604j),(-9.363380869373991e-06-4.858928235712526e-05j),1063000000
(0.19087172386117401+0.8611178282005176j),(-7.746292629075531e-06-2.655160460780787e-06j),1066000000
(0.2532008199190002+0.8575175074609208j),(2.8705332497126647e-05-2.0969395250657777e-05j),1069000000
(0.31431130314808226+0.84428037631627j),(5.07263454178766e-05+1.158019966109394e-05j),1072000000
(0.38193722741150277+0.8189940614214856j),(-1.1407243070104786e-05+2.488012579015219e-05j),1075000000
(0.4377902013384386+0.7932395200512502j),(-3.874305406609105e-05+8.32005970998509e-06j),1078000000
(0.4982267572383523+0.7567165857810232j),(2.044986204979411e-05-2.827894330744477e-05j),1081000000
(0.5211632649567323+0.6896017494352071j),(-6.764284854098443e-05-2.104172902745888e-05j),1084000000
(0.5636300704895113+0.6806913713958268j),(-2.1951581732747467e-05+5.192908575717036e-06j),1087000000
(0.6161669243809188+0.6577008757285088j),(-3.2850215116766826e-05+1.6668431331162567e-05j),1090000000
(0.6705140270235825+0.6106657565805033j),(-1.194019730119185e-05+2.4678889341145693e-05j),1093000000
(0.7141084144035785+0.5597956601129369j),(-3.510595157975477e-05-2.6428227289455887e-05j),1096000000
(0.7512004979391181+0.5075240413393424j),(-3.975451034029006e-05-2.4215879365147703e-05j),1099000000
(0.7813298844432418+0.4526645747755104j),(-9.865238559166803e-05-2.6691430697557584e-05j),1102000000
(0.8096729165783614+0.3961166499329627j),(2.2257683596643132e-05-5.484987717936358e-05j),1105000000
(0.8346204238529586+0.34057943116345424j),(-3.1223956346618084e-05+9.491345869217689e-06j),1108000000
(0.8544371591507779+0.2781549223805336j),(4.1200089084487486e-05+1.3710109239069704e-05j),1111000000
(0.8673290308080036+0.21753112165659574j),(-2.465885164033542e-05+5.725703648150701e-06j),1114000000
(0.8731378714164579+0.15016541878039621j),(2.217395709669342e-05-1.3332832931258434e-05j),1117000000
(0.8737891014297392+0.0943877037017028j),(1.310571265302803e-05-1.842737770269887e-05j),1120000000
(0.8760224456277153+0.03921425309822981j),(6.881008747044509e-05-3.0451588218869745e-05j),1123000000
(0.8733342636507102-0.023766071735586727j),(-3.1456160799958335e-05-2.473742366830083e-05j),1126000000
(0.8609476799710438-0.08431480062203563j),(4.565066296464586e-05+2.5541211647363065e-05j),1129000000
(0.8513480817538476-0.13937357967788108j),(7.135161268674525e-06+1.999592373019421e-05j),1132000000
(0.8260886146301495-0.2083839214267579j),(-3.0324835747013224e-05+1.7898755041667247e-05j),1135000000
