S11,S21,freq
(-1.4082123886234923+0.34079280961408565j),(-0.0014467341222739502-0.0014301940695200842j),1000000000
(-1.5116496417376228-0.1985382748389441j),(-0.000258611894748089-0.0007952064792724396j),1005000000
(-1.411166983389933-0.5450478638144106j),(-0.00031340999699770554-0.0022518602359524902j),1010000000
(-1.1618602830661626-0.8876532573141794j),(-0.0008641967132890798-0.002220704250997299j),1015000000
(-0.7674560971432007-1.037710653342682j),(-0.0028361867047777462-0.0034883139101982907j),1020000000
(-0.22077875364472221-1.3618951439484193j),(-0.0037244802365200493+0.0008990881193436602j),1025000000
(0.09730421666523913-1.4920374986478364j),(-0.0014925518539081408+0.0011411933031392825j),1030000000
(0.4343963456098021-1.4243549430659037j),(-0.0007610539279817823+0.00042232488140262327j),1035000000
(0.8459066592527861-1.2423531615810124j),(-0.0009960357853048877+0.0005146305817412536j),1040000000
(1.1293240997086158-1.0029814642161659j),(-0.0006296804644326572+0.0003583995112201348j),1045000000
(1.366361845057374-0.6761556479588676j),(-0.0005195874640679667+0.0003100811506683494j),1050000000
(1.4846909893378264-0.278034337117544j),(-0.00017286469541198947+0.00014184564098210312j),1055000000
(1.4848079214865775+0.15665792119132727j),(-0.00022283452193906376+0.00010832822690316806j),1060000000
(1.3975723730977496+0.6010318477373199j),(-0.00016242757355816028+2.682894075806276e-05j),1065000000
(1.1985796202012309+0.9922435022277678j),(-4.71222708179384e-05-3.714469433857348e-05j),1070000000
(0.8950926271712758+1.2929588659295017j),(5.189952811998186e-06-2.8237979721985885e-05j),1075000000
(0.5206783030133647+1.5057491355777466j),(-5.495210314547202e-05-0.0001424431239630266j),1080000000
(0.056033606106465746+1.5446129011701726j),(-0.0001480808746908234+0.00013092333320517064j),1085000000
(-0.4326590397863875+1.5575820870736652j),(8.266714846700246e-05+8.037168896393392e-05j),1090000000
(-0.8536805359855654+1.4067996235027316j),(4.828250985038132e-06-8.680664702813522e-05j),1095000000
(-1.2311422042809008+1.1165713431727213j),(-6.219919222812394e-05-2.688031560324642e-05j),1100000000
(-1.5085514463952165+0.7115412358117819j),(8.584328325696527e-05+3.547004973927048e-05j),1105000000
(-1.6482163837573478+0.2347366592798529j),(-1.0952759608456503e-06+8.457714010610979e-05j),1110000000
(-1.6334585518453528-0.2394901591402804j),(-7.330437595417903e-05+0.0001625792485444364j),1115000000
(-1.4625093204486788-0.7037838917326521j),(-0.00018256830434915696-4.321206550750083e-05j),1120000000
(-1.1837020251943828-1.1004484619804011j),(-3.6215560143202294e-05+0.0001565329114199918j),1125000000
(-0.8129848178334598-1.3802204064617942j),(-0.00020323970835766248+8.528118193247753e-05j),1130000000
(-0.37459279229377007-1.53617320669725j),(-7.115101386107027e-05-2.747100056758212e-07j),1135000000
(0.10786388272786239-1.5057875290634462j),(-0.0003091569523926987+4.528420252289177e-05j),1140000000
(0.6279392712136376-1.3549294076288976j),(-0.00018466659987288243+8.807828834725487e-05j),1145000000
(1.0341941788945763-1.1138996848259437j),(-0.00021444821310755353-1.8117880402593025e-05j),1150000000
(1.35369117426501-0.7707716205578915j),(-0.00014896985129609667-0.0001876301700029147j),1155000000
(1.545836720832545-0.3714416940774223j),(-0.00023118354853033954-8.309809531987745e-05j),1160000000
(1.6076739020327278+0.06102956982789349j),(-0.0002915614840203687-0.00015431543156209357j),1165000000
(1.5365064886055868+0.4968159253725796j),(-0.00013616980500317981+6.936615402363495e-05j),1170000000
(1.3349034591492752+0.8985016926759175j),(1.2093820337808673e-05-0.00011816109273201016j),1175000000
(1.0293109743939515+1.2138256390661246j),(-0.00023025718691146917+5.1363265524399345e-05j),1180000000
(0.6121982902505813+1.4873722661578221j),(-0.00012904662866887906-0.00013902528802671766j),1185000000
(0.19209389295864668+1.5881632976315077j),(-3.639072993844104e-05-0.00011042714322718055j),1190000000
(-0.24647798642508137+1.5709720866221029j),(-7.962063606986786e-05-7.306268038775224e-05j),1195000000
(-0.6730608295227164+1.4416364322992576j),(-6.283366750135767e-05+5.089505221826357e-05j),1200000000
(-1.0277961306991046+1.2064013988204554j),(-0.00011816623122006224-6.231669655649467e-05j),1205000000
(-1.2934827091359515+0.8795384367745063j),(-0.00011686272979567133-2.079245473020613e-05j),1210000000
(-1.4385076504344483+0.5045076299145923j),(-7.673402342027288e-05-2.95659045602923e-06j),1215000000
(-1.4138337725764754+0.13571655732174753j),(-8.692729820511273e-05+3.559216235220193e-05j),1220000000
(-1.1177367746035383-0.23361201783970884j),(-6.106688151451202e-05+0.0002949501390192279j),1225000000
(-0.6679396677291547-0.8630031545506782j),(0.00029019294731750573+5.6151160253080715e-05j),1230000000
(-0.6082839010674702-1.0323687208783126j),(-4.5782002135843365e-05-0.0001585517265448002j),1235000000
(-0.19208455262269505-1.4066824446424762j),(1.2585729245725396e-05-2.24761204072006e-07j),1240000000
(0.20959050684675848-1.4545861589937445j),(-0.00013402770808214638+0.00012995675794292611j),1245000000
(0.602676304571519-1.4485350722581167j),(-3.274434317068027e-05-2.6002949409840526e-05j),1250000000
(0.9730836154028305-1.2508568015838395j),(9.45511913221723e-05+3.2564497819049074e-05j),1255000000
(1.2647018668011216-0.9569439172290995j),(3.925069657665712e-05-1.2663121932992598e-05j),1260000000
(1.4689726985585667-0.5743437366512716j),(7.276155235832461e-06+5.9896646346863046e-05j),1265000000
(1.560282382555874-0.1630369529070087j),(-0.00011654359679104402-1.2563915908100327e-05j),1270000000
(1.5346618403477885+0.2719980829201629j),(9.257126432079601e-05+8.584529449901063e-05j),1275000000
(1.392029290747419+0.6828098380564029j),(-0.00017417266978434618+0.00010961533077447385j),1280000000
(1.1498300121892209+1.046509145560063j),(-6.113134616993183e-05+3.801760212532757e-05j),1285000000
(0.8224494453786801+1.3088987471638236j),(5.016780177855961e-05+9.04345560640831e-07j),1290000000
(0.4272871607267951+1.4912217920356723j),(-5.5992054484252723e-05+6.153800282148734e-05j),1295000000
(-0.08276133518202473+1.4640786150307625j),(2.8663102730341588e-05-0.00013785183086034318j),1300000000
(-0.4777274433497106+1.4755385926428644j),(-6.688125021853017e-05-4.517312796848852e-05j),1305000000
(-0.9003242824480199+1.2897791848878404j),(-6.957074773605768e-05-1.9075296488697535e-05j),1310000000
(-1.1987387343226197+1.0073477156414796j),(-4.431583406597919e-05-0.00027577598636005583j),1315000000
(-1.3862823779172275+0.6527739022627387j),(-7.412675046534548e-05-0.00020094837679953296j),1320000000
(-1.4422438695748738+0.26580856706698086j),(-5.605793901625261e-06+1.2481069811673989e-05j),1325000000
(-1.3746671030005297-0.1364318553532721j),(5.872099277078321e-05+5.0413301745571014e-05j),1330000000
(-1.0891131317344889-0.5195441263052926j),(-0.0004349026929081726+0.0002886818478520263j),1335000000
(-0.8320494021064714-0.9095277454903591j),(9.004231597854944e-05+0.0005552968464338218j),1340000000
(-0.3254400358954252-1.143053901483473j),(0.0013886656081381768+0.00014999792794824442j),1345000000
(-0.16714016061221318-1.34335461043437j),(0.000660467605516531+0.0012395832186620115j),1350000000
(0.12553164210184586-1.3073794883362155j),(0.00047967153595196974+0.0008389474312377039j),1355000000
(0.7746683838713448-1.2449838375910245j),(0.0015800770172991394-0.00025612777316821346j),1360000000
(1.0436491840337425-1.1018728712430816j),(0.0010746544842376328-0.0006328541359003728j),1365000000
(1.2435119125839906-0.7805707301355409j),(0.0006079061615235749-0.0003157296015485163j),1370000000
(1.3971714412741605-0.34327231784689116j),(0.00045800606509202536-0.00027623422887131723j),1375000000
(1.5060101927583789+0.011353567286408997j),(0.0004030922040384539-2.8451645091142494e-05j),1380000000
(1.4301573406671917+0.4802170447011172j),(0.00012122983378414123+4.586480403901092e-05j),1385000000
(1.274759641589566+0.8398604846083824j),(7.66024937036851e-05-7.365125412825355e-05j),1390000000
(1.0135230909413633+1.1628172968372066j),(0.00019044918321000894-6.786404537792628e-05j),1395000000
(0.6386286956240953+1.3352119014541908j),(-7.725516002524484e-05-2.9722183019375362e-05j),1400000000
(0.24588479729537652+1.5418160747768135j),(-0.0002781471968231472-0.00016127040089669277j),1405000000
(-0.15256484008511262+1.553105509591204j),(-0.000259571517447947-0.0001316663540628451j),1410000000
