S11,S21,freq
(0.5274849255766191-0.505323469389302j),(5.860149813931656e-05+2.3104305715541476e-05j),1000000000
(0.38263697395290164-0.6103449944300812j),(5.829697503910711e-05+1.078707531169532e-05j),1003000000
(0.2102212777528002-0.6800108620615666j),(-4.67462142029298e-06-6.310467576399105e-05j),1006000000
(0.018940565796640434-0.7032746557179825j),(0.00011027686400311366-1.0318574377005537e-05j),1009000000
(-0.1782003191497315-0.6760065892689315j),(0.00014214867912913117+1.4742829821090644e-05j),1012000000
(-0.3655872181465205-0.5934046074996084j),(0.00016311470278903547-5.1709032433498245e-06j),1015000000
(-0.5216798767319891-0.4646702451192589j),(2.5384001101444138e-05-0.00012552767897144608j),1018000000
(-0.6398766339959261-0.2946834430853377j),(5.546005772158599e-05-8.243546292774211e-05j),1021000000
(-0.7053339082307126-0.10079932115384589j),(7.765451327550914e-05-0.00018205619298091564j),1024000000
(-0.7149704294669716+0.09771358509009845j),(-2.7975396956915173e-05-0.00016457929934051514j),1027000000
(-0.6727906065602667+0.289888476229812j),(1.5253252911600567e-05-0.0001230956979390825j),1030000000
(-0.5816830022974652+0.46044945250393576j),(-2.7708605146103755e-06-0.0001341334960519175j),1033000000
(-0.45753475351812106+0.5955880556807868j),(-4.303231115432139e-05-9.03407844727687e-05j),1036000000
(-0.30541017489349725+0.6946788864341479j),(-6.502250304829586e-05-8.070786353033124e-05j),1039000000
(-0.1397464176936577+0.7546599671160861j),(-7.698706450813707e-05-0.0001329267232798511j),1042000000
(0.029054143331199506+0.7720989058296143j),(-7.840241826811266e-05-3.0203100382517483e-05j),1045000000
(0.1930234941292047+0.7508981961420805j),(6.990170642643901e-06-5.182786759042826e-05j),1048000000
(0.3466611018874074+0.6962838661944403j),(-3.9170516442351645e-05+8.70720798347216e-06j),1051000000
(0.4811111140038229+0.6109532800591676j),(-8.835260678221312e-05-6.8272829086397395e-06j),1054000000
(0.593848879502962+0.49805063012587847j),(2.4752002126996504e-06+7.4175254735077235e-06j),1057000000
(0.6811240104478782+0.36262971605241756j),(-3.075893354095441e-05-1.3148892088305714e-05j),1060000000
(0.7361519800084123+0.2149713163334866j),(2.9174206674824135e-05-0.00010184501576415956j),1063000000
(0.7584739886185528+0.05467917324832324j),(-1.8883346258885256e-06-5.196636793943684e-06j),1066000000
(0.7455918710908257-0.1101308376571476j),(-1.5734375076996194e-05-3.2450610459024926e-05j),1069000000
(0.697199389673176-0.2673196644596738j),(-6.260364634572038e-05-6.605168649598058e-05j),1072000000
(0.6106200938183376-0.41484074969513646j),(-7.389765540831821e-05-4.0455927523215024e-05j),1075000000
(0.4918343028504718-0.5400015458989395j),(-5.609659435094869e-05+2.6069679447822857e-07j),1078000000
(0.3437419481728145-0.6363877286976349j),(-6.447403916689812e-05-6.830931501109688e-06j),1081000000
(0.17108326132811655-0.6960818718741202j),(-8.867555882577289e-05-3.324212215745115e-05j),1084000000
(-0.016563038749687942-0.7113730392441755j),(-3.7039871918149615e-05-5.881126417816005e-07j),1087000000
(-0.20109472684150456-0.678439334429301j),(-5.763262806946083e-05-3.330099036151372e-05j),1090000000
(-0.3763995000558577-0.5993601597884425j),(-0.00010482761461324695-8.61736162734202e-06j),1093000000
(-0.5265939896863541-0.47588665522686086j),(-6.089858540525553e-05+1.3308924691938343e-06j),1096000000
(-0.6395192608260667-0.31805829312845424j),(-5.589103626619578e-05+1.712286250820911e-05j),1099000000
(-0.7081679048707997-0.13602910878670685j),(-5.265742423544104e-05-6.168827058092444e-05j),1102000000
(-0.7259429025503525+0.05502213467131406j),(-4.533247164968528e-05+5.247357583587343e-05j),1105000000
(-0.6951215878706517+0.24413690781650305j),(-5.1899627546903235e-05-1.0284120724745196e-07j),1108000000
(-0.6185681666667476+0.41426624493122455j),(5.975367118060182e-06-1.7871677822311498e-06j),1111000000
(-0.5023992664124648+0.5585721079315853j),(-0.00010961607176293757+1.5445048783510497e-05j),1114000000
(-0.3606457211074905+0.6677419734273635j),(-1.3557543967025697e-06-6.215840021429944e-05j),1117000000
(-0.19860660451229886+0.7372697412177792j),(-4.690851832056989e-05+3.8944558896961004e-05j),1120000000
(-0.02840646292482104+0.7644013156810594j),(8.441618845608078e-06+1.1415963294212723e-05j),1123000000
(0.14125831913453613+0.7555393276806293j),(-5.843951783291857e-05-3.613185351245056e-06j),1126000000
(0.30064714608328247+0.7096584284296944j),(-2.738601463929312e-05+6.96652065045265e-05j),1129000000
(0.44265508078256977+0.6265971277353214j),(-7.419620234133861e-05+2.621318002609907e-05j),1132000000
(0.5662543806296086+0.5168794924892081j),(-5.931606380843831e-05+9.76207897154805e-05j),1135000000
(0.6574805984421543+0.3841533074572251j),(-4.1800930053716475e-05-6.012393874506164e-05j),1138000000
(0.7198827725345863+0.23224202580670383j),(-1.7903773017910148e-05+2.3794060258147206e-05j),1141000000
(0.746635463283807+0.07137452573578941j),(-6.93013060272408e-05+5.29753709397375e-05j),1144000000
(0.7368937956984288-0.09270241425029552j),(-2.858329653892997e-05+2.463994396892345e-05j),1147000000
(0.6903117381115439-0.2537032550537984j),(-4.500147216739263e-05+3.2905036882312518e-06j),1150000000
(0.6077665052172384-0.4005391793677062j),(-2.029081359134179e-06+4.098389862318346e-05j),1153000000
(0.4928003486517253-0.5262932612763216j),(-1.8813117524058359e-06+3.4154207333061505e-05j),1156000000
(0.3489474883233182-0.6235312786609785j),(1.1122273204764299e-05+2.3612977063857537e-06j),1159000000
(0.1834940774457538-0.6848572620904824j),(1.0949328239436271e-06+4.905825557579936e-05j),1162000000
(0.004977211730710225-0.7035699219818772j),(-4.127464770916766e-05-6.864664061807323e-05j),1165000000
(-0.1757279343182178-0.6802321798869527j),(-7.286871027995109e-05-1.3714497324647067e-05j),1168000000
(-0.34718546879722295-0.6103414924910113j),(-5.576064047060452e-06-2.5859315733743798e-05j),1171000000
(-0.4957734553575745-0.4992684991211447j),(-5.49746265922773e-05-5.8337195497388034e-05j),1174000000
(-0.6133462612433834-0.351256007862913j),(6.611677223221339e-06+1.3097903091849587e-05j),1177000000
(-0.6875073934413217-0.18098490382910537j),(1.0248153155723925e-05+1.3925455769013858e-05j),1180000000
(-0.7160173754166852+0.003521501169109841j),(-4.6764542472158924e-05-3.811895367805449e-05j),1183000000
(-0.6975792155078254+0.18719419501216814j),(-9.151677950928038e-05+8.670225856703318e-06j),1186000000
(-0.6330512371488985+0.36059792465724j),(-7.340075862079529e-05+3.186791398012052e-05j),1189000000
(-0.5290451932503191+0.508665174756926j),(-3.264399503089377e-05-5.472436976205901e-06j),1192000000
(-0.3918443364463067+0.6266303663906763j),(-3.912489845950864e-05+0.00010708905427821416j),1195000000
(-0.23414627093900994+0.7044100294429628j),(-2.2668768043101036e-05+2.9820700129308708e-05j),1198000000
(-0.0655543242968286+0.7429107452427667j),(-5.168521927245611e-05+8.182794490617506e-06j),1201000000
(0.10847810446862488+0.7387910317532789j),(-3.416320036409967e-05+4.026749600683465e-05j),1204000000
(0.2701877401826101+0.6970365119133018j),(5.543659705594546e-05-3.2042079664277185e-05j),1207000000
(0.4163879534981514+0.619334226939873j),(1.6818033759483314e-05+3.805297822589776e-05j),1210000000
(0.5432261472328175+0.510882624146959j),(6.8511414299719345e-06-9.463705472724581e-06j),1213000000
(0.6402553944140813+0.3775494438017931j),(1.7770463432117847e-05-1.9655957552001474e-05j),1216000000
(0.7039010855407853+0.2295415854570902j),(4.3038439393310335e-05+3.663785672769938e-05j),1219000000
(0.7331539778615209+0.06691817130487301j),(-1.594603151440246e-05+8.621845005313848e-06j),1222000000
(0.7259995996881015-0.09664553640300394j),(1.4337577510769827e-05+3.120781758340467e-05j),1225000000
(0.6842141687466102-0.25193096742121185j),(3.3845518240895614e-06-1.853466181866362e-05j),1228000000
(0.6067800513290199-0.3991914362985959j),(-2.6169958360051097e-05-1.896627679861723e-05j),1231000000
(0.4971305401120811-0.5237874029483709j),(4.1802084375281824e-05+2.5148590111712354e-05j),1234000000
(0.36265498311191086-0.6205489807956208j),(-2.248835461723492e-05-9.800860815023913e-06j),1237000000
(0.20169141605587004-0.686952037531877j),(-0.00010308956745496858-3.514605983002131e-05j),1240000000
(0.03209415948620573-0.7134271031273356j),(-4.136051762218511e-05-1.7976363273350788e-05j),1243000000
(-0.14177242254658382-0.6968625445632884j),(7.897527657385061e-06+9.567363758336175e-06j),1246000000
(-0.3096600842701759-0.6380307020937724j),(-5.025287206717396e-05+5.695479088327358e-05j),1249000000
(-0.45992346856015653-0.5384229340540462j),(-7.113862544691119e-05-7.91158248300858e-06j),1252000000
(-0.5816798031277436-0.4046165904581639j),(4.4447772344395446e-05+0.00011324708128121908j),1255000000
(-0.6669360379315163-0.24002644587946162j),(6.963154972598369e-06+7.511974816055271e-05j),1258000000
(-0.706686575948687-0.058782023132418086j),(-1.8601161934853226e-05+3.259254367616011e-05j),1261000000
(-0.6973306170832113+0.12776233114899035j),(-6.091648820110629e-05+0.00011226853291528959j),1264000000
(-0.6410829460694143+0.30596823927861516j),(4.324933726546923e-05+9.78955625989107e-05j),1267000000
(-0.5397098778902032+0.462388908211491j),(5.543115157582103e-05+0.00012385725514164054j),1270000000
(-0.4022535136521486+0.587089654648683j),(5.6836873886295775e-05+7.363921899520658e-05j),1273000000
(-0.2381061512064572+0.6720060441690153j),(3.692129100303428e-05+4.775225818030755e-05j),1276000000
(-0.060642502708493584+0.7113003393253633j),(3.701162348822814e-05+6.488276686490839e-05j),1279000000
(0.11873611539348725+0.704212939538167j),(9.99003921223023e-05+4.118685492087665e-05j),1282000000
(0.288235120260981+0.6524174872564619j),(6.015165777847273e-05+3.8259508418188694e-05j),1285000000
(0.4387290923383078+0.5647217891637781j),(4.789024330424491e-05-1.388527142542688e-05j),1288000000
(0.5582214902480694+0.44691317530170294j),(0.00014275949596398365-3.494404667248409e-05j),1291000000
(0.6455980260813113+0.30583867533080505j),(0.00010187786223732368-3.895568020531377e-05j),1294000000
(0.7004731014881255+0.1475310542178897j),(0.00013493046505248148-7.645480411774086e-05j),1297000000
(0.7156020998239269-0.013441606712772525j),(-7.58758762133311e-06-5.9515451156852784e-05j),1300000000
(0.7156576105784511-0.013920922864835657j),(-3.380859668084371e-05-5.600550822816707e-05j),1300000000
(0.6955248635168146-0.17214765105207722j),(5.460720123205284e-05-4.727045823110461e-05j),1303000000
(0.6412734160199013-0.3200775297748998j),(9.249070864029817e-05+2.3650883523575518e-05j),1306000000
(0.5563728726035188-0.4515712902982847j),(-2.6024215071684624e-05-2.178042933353621e-06j),1309000000
(0.44389569566468756-0.5624817141229682j),(6.829320077430871e-05-2.9099803918307765e-05j),1312000000
(0.312924081052267-0.6440517810830916j),(2.94220696755695e-05-3.847506798689353e-05j),1315000000
(0.16642690319714348-0.6958767508639485j),(0.00014126958187603183+5.049655967535552e-05j),1318000000
(0.009871966425449984-0.714462734488989j),(0.00015178556813297798-2.969584766163271e-05j),1321000000
(-0.14461638366640295-0.6990191103878487j),(0.00019953904951517266-1.5991546193988282e-05j),1324000000
(-0.29353840180613655-0.6480009784409152j),(9.288356977958979e-05-3.6035532219909396e-05j),1327000000
(-0.4326365183402797-0.5646990835988001j),(9.695703864514534e-05-1.1306569832799773e-05j),1330000000
(-0.5483230927218427-0.4513631068348713j),(0.00010872023900081755-0.00016364060666032947j),1333000000
(-0.6370175841100946-0.3110450891213527j),(9.287641746450762e-05-0.00018041949437842852j),1336000000
(-0.6915992848848079-0.15239959338112108j),(0.00012504631798264073-0.00018078524340287436j),1339000000
(-0.7068272685496422+0.019885911950407027j),(3.9018027292347444e-05-0.00025524435339996664j),1342000000
(-0.6802366357201056+0.18939799946034078j),(2.024582185922657e-05-0.0002535986409193163j),1345000000
(-0.6094289411373847+0.3543545525836096j),(-9.578224723694733e-05-0.00022562396963309554j),1348000000
(-0.4994614689343123+0.4977198418083775j),(-7.947485828486078e-05-0.00021643649015827516j),1351000000
(-0.355368692109381+0.6075117781115283j),(-0.00020349071971255314-0.00020376052391176663j),1354000000
(-0.18270442062587974+0.6791049465156296j),(-9.166994204817011e-05-0.00018962902353496865j),1357000000
(-0.004010049389647019+0.7034590153722273j),(-0.000104113075425665-7.765280007744495e-05j),1360000000
(0.18046241511953737+0.6822205618493083j),(-0.00013905782133652827-2.0345627803003444e-05j),1363000000
(0.3476234135543256+0.6119938268107374j),(-0.0001901595801241463-4.2533675877543366e-05j),1366000000
(0.4939991643007906+0.5026867690420955j),(-0.00011174652619696588-9.14358777276052e-06j),1369000000
(0.6025843662297586+0.3651257044049565j),(-8.327223510419067e-05-8.70685709386302e-06j),1372000000
(0.6746400314370172+0.2063930858882322j),(-8.567112964340003e-05+8.159002394268881e-05j),1375000000
(0.7053877296242548+0.03552923945757038j),(-3.35073581877938e-05+3.4501390783335644e-06j),1378000000
(0.6943514498291877-0.1300887037938466j),(-3.466323650362884e-05+1.5451661131888844e-05j),1381000000
(0.6462257456450818-0.2876809335446145j),(-6.395608334301318e-05+6.917278001868909e-05j),1384000000
(0.5637496309269391-0.4270170352157869j),(-6.797850930831379e-05-4.320202537333719e-05j),1387000000
(0.45578511574376673-0.5428878545633972j),(-2.2040014145159746e-06-1.0226318310497779e-05j),1390000000
(0.32596173938727535-0.6311172218499594j),(-2.0568011449251337e-05+2.9287485686188268e-05j),1393000000
(0.18220624540713773-0.6873058736096707j),(1.550738236058773e-05-6.106861146937442e-05j),1396000000
(0.029100865938044684-0.7120111266711384j),(-4.461474838984622e-05-3.183169983732898e-05j),1399000000
(-0.12349045935826185-0.7035920363432935j),(-2.2491213751701773e-07-7.254860239664863e-05j),1402000000
(-0.2727704222650981-0.6609029080813653j),(-3.8520112416323555e-05-6.0131963634304815e-05j),1405000000
(-0.40976769534533725-0.5874473501285778j),(-1.5425109881805107e-05-1.666919736409226e-05j),1408000000
(-0.5296737444115447-0.48457989310825234j),(-9.589658038096362e-05-6.835245189521852e-06j),1411000000
(-0.6241124172505975-0.35544208553760226j),(-8.63345585126752e-05-1.9031342002340576e-05j),1414000000
(-0.6885847692272586-0.20874525957428988j),(4.5342805421795505e-06-4.016497037969023e-05j),1417000000
(-0.7180205269393363-0.04590654634499481j),(-3.5298314421617885e-05+2.682810033278288e-05j),1420000000
(-0.7103901841886137+0.12016667476570479j),(1.1688092865720863e-05-9.56493516337066e-06j),1423000000
(-0.661652185434442+0.281834447559723j),(4.385063968284922e-05+5.273773648075198e-05j),1426000000
(-0.5727223633165563+0.4330219652901049j),(-3.43816515144726e-05-1.4629522206565994e-05j),1429000000
(-0.45049053626641555+0.5587199829773146j),(-2.6825380572858697e-05+5.540233405782474e-05j),1432000000
(-0.2974798608955126+0.6497689649019535j),(-6.964481569110457e-06+7.027299706895594e-05j),1435000000
(-0.12161917627250025+0.7019060144927217j),(-5.166138020519829e-05-1.4298299663741627e-05j),1438000000
(0.05846377272777295+0.7077782173314374j),(-1.005028923405723e-05+5.5676277549960954e-05j),1441000000
(0.23743568410769897+0.6651726781780772j),(8.757561984059953e-06+7.03608033374874e-05j),1444000000
(0.3973553701070239+0.5810820552223479j),(2.291643701333121e-05+5.073064139873681e-05j),1447000000
(0.5306178143974988+0.45824963862401275j),(4.014457740415726e-05+2.5703659473532943e-07j),1450000000
(0.6278808733346781+0.30666333706584287j),(-6.343199673211007e-05-1.0485102457671029e-05j),1453000000
(0.6840831203819396+0.1378584448962038j),(3.7423590349367804e-05-1.9178258195749444e-05j),1456000000
(0.6950258865904848-0.037106314746690384j),(-5.1280212805337815e-05-8.975278007248884e-07j),1459000000
(0.6652310618480305-0.2059106447929939j),(2.862809895818922e-05+5.15938320265592e-05j),1462000000
(0.5944997042640607-0.36063871020102906j),(1.4128001655209731e-05-3.9411504083372306e-05j),1465000000
(0.49299577458365124-0.49204202727049334j),(1.8908459023797287e-05-5.125432837651171e-05j),1468000000
(0.36278139934474274-0.5956425674333623j),(-1.8908829051300026e-05-7.689446524876098e-05j),1471000000
(0.21753219467515106-0.6646890191088661j),(1.78206275582381e-05+2.750318455263622e-05j),1474000000
(0.055944326295078964-0.6991861919114153j),(-4.997576948232107e-06-0.0001038630506299851j),1477000000
(-0.09941291230741435-0.6968593939122492j),(3.4638276456520112e-06-1.1513552488672677e-05j),1480000000
(-0.25703469779524457-0.6565719895329866j),(5.799296756185628e-05+2.5916110468324274e-05j),1483000000
(-0.3958728761309664-0.5845210040754769j),(-1.7875064416710868e-05-1.3010698415181256e-05j),1486000000
(-0.5186727367052676-0.4824979519039768j),(1.9691308939481753e-05-2.062376317804062e-06j),1489000000
(-0.6159238136644515-0.3509152776074785j),(-5.2349441889067434e-05-1.626804696649013e-05j),1492000000
(-0.679283081879577-0.20715078008773358j),(4.394931809377286e-05-3.174434609072712e-05j),1495000000
(-0.7095877389760727-0.04612588131500147j),(6.38647768044974e-07+7.097288345840315e-05j),1498000000
(-0.6996444397900355+0.1200684416459005j),(-2.052721599728841e-05-8.873201929992666e-06j),1501000000
(-0.6517383981099344+0.2778009525666073j),(-2.1782029365038263e-05+1.0531042718985104e-05j),1504000000
(-0.5647167193516044+0.42326688874577995j),(3.5138240597731575e-06+3.628815363516776e-07j),1507000000
(-0.4442079304315719+0.5438899290663037j),(2.440200950860764e-05+1.2038314744012095e-05j),1510000000
