S11,S21,freq
(0.587330931258193+0.5878395749667431j),(8.967799346412018e-05-8.308660494356556e-06j),1000000000
(0.6032490543373425+0.59484196682299j),(1.3032052707710036e-06-5.732791837196161e-05j),1003000000
(0.6581078237310527+0.5622866843471875j),(-6.309786575045133e-06-9.248975426766038e-05j),1006000000
(0.7120521978862236+0.4928970744050653j),(9.679534322344048e-05-6.725558994632566e-05j),1009000000
(0.7260166828539614+0.42935089805005755j),(0.00012962744632131007-2.0112255236013406e-05j),1012000000
(0.7482764831775719+0.36707859564443424j),(6.758025094601545e-05-0.00010430896189943158j),1015000000
(0.7509262437000084+0.29318153156075294j),(-1.4399823367737286e-05-0.00018144180797285045j),1018000000
(0.6925555589114983+0.2337950154981077j),(1.9895591053694582e-05-2.5799025434596464e-05j),1021000000
(0.7007859729091978+0.28489735263184485j),(3.4574942833998386e-05-0.00010666318788753564j),1024000000
(0.7711129121804104+0.25810953130029646j),(4.622654068454628e-05-9.701179197244716e-05j),1027000000
(0.8272714609264312+0.1979480422779579j),(2.8641410715226805e-05-9.997443585494636e-05j),1030000000
(0.8453051366541092+0.11405302716660808j),(-6.068331147347655e-05-0.0001089419832290193j),1033000000
(0.8373665186574566+0.03167574644277188j),(-8.756881551409736e-05-9.887475797804783e-05j),1036000000
(0.8403135615437632+0.010750176226548258j),(-3.9775503859061215e-05-8.263800287079693e-05j),1039000000
(0.848999566700491-0.07467938462123525j),(-9.411187754702801e-05-0.00011084924006188793j),1042000000
(0.8371946574949356-0.14638901409091767j),(-0.00010336633458154654-2.910791437545164e-05j),1045000000
(0.8178767792846945-0.21683601836754493j),(3.6168675160834556e-06-8.756323702974433e-05j),1048000000
(0.7911008295535753-0.28305600244557966j),(-5.975308114927361e-05-1.8490770047702765e-05j),1051000000
(0.7572365818546302-0.3424570340071479j),(-0.0001092718209389059-1.185396901024073e-05j),1054000000
(0.7157197565685901-0.3953802023120967j),(-5.2784017744802e-05-4.913813092511128e-05j),1057000000
(0.677789685777621-0.43593685967797974j),(-4.596104930699871e-05+5.231320624978112e-06j),1060000000
(0.6484326874270793-0.4746838905923601j),(7.93087608791466e-06-7.286006492472231e-05j),1063000000
(0.6193340245099788-0.5235673356164239j),(-4.686444397649598e-05-2.3508380965614733e-05j),1066000000
(0.5802357908994734-0.5796146084717699j),(-4.553417520863467e-05-3.448972994493958e-05j),1069000000
(0.5318188795682746-0.6293472396272559j),(1.3211479821942394e-05-8.042555596402446e-06j),1072000000
(0.46985235826985233-0.6755244309785935j),(-5.5302244353907104e-05+3.2734240406692704e-05j),1075000000
(0.409744707212186-0.7153176854712312j),(-2.599126544500872e-05+4.7879916235887135e-05j),1078000000
(0.3399873593985365-0.7508085593326298j),(-4.547113957514902e-07-3.6068882923951535e-05j),1081000000
(0.2624502659057642-0.7360906718116649j),(-4.030164367754944e-06+2.2658098581711125e-06j),1084000000
(0.2223306347057957-0.7683292261443668j),(-1.4284018929522237e-05+4.4912488583337436e-05j),1087000000
(0.1612836888362657-0.7988059636339323j),(1.690905887519963e-05-5.70123722766242e-05j),1090000000
(0.08345989250138756-0.8158129948127163j),(1.4984873175348287e-05+2.7834964685977702e-06j),1093000000
(0.005832556962656006-0.820777211546151j),(-3.1719769476889506e-05-7.992539057343852e-05j),1096000000
(-0.07159400619582154-0.8163372796003345j),(-2.8576385862423487e-05-2.5187272856962835e-05j),1099000000
(-0.14738654843071386-0.8035915241086357j),(-5.159651726537e-05-6.547021532697926e-05j),1102000000
(-0.21983805940535014-0.7865547406198367j),(-5.9801413516247617e-05-4.119263457152414e-05j),1105000000
(-0.2919511558539669-0.7601046179010985j),(-6.649923137018759e-06-7.156447187113113e-05j),1108000000
(-0.36187080011380507-0.7293939292139144j),(-3.3571572452244584e-05-7.815744565082434e-05j),1111000000
(-0.4282001702284439-0.6892182839182319j),(-0.00010522433920230158+9.306485700559159e-06j),1114000000
(-0.48896344844089906-0.6379267347640666j),(-5.6728172425862396e-05-9.589738558526664e-05j),1117000000
(-0.5370186837364217-0.5904383460332978j),(-5.949464869877544e-05-7.971475850554163e-06j),1120000000
(-0.588266666952831-0.5418624365074465j),(-3.550229757295416e-05-1.1091886081234273e-05j),1123000000
(-0.6347774358336129-0.48251292616025127j),(-6.502237602310685e-05-2.4334475963371954e-05j),1126000000
(-0.6708988356766735-0.41919371500955405j),(-7.704330659154149e-05+4.1943910100634315e-05j),1129000000
(-0.7074580150784324-0.3588247367326157j),(-6.543414587755527e-05+1.2691592257088993e-05j),1132000000
(-0.7329165096044575-0.28024163939435515j),(-0.00013788051693910925+9.935919704620366e-06j),1135000000
(-0.7402091803674882-0.2097884841481341j),(-0.0001019451630782625+1.9656966718290416e-05j),1138000000
(-0.7296745825557138-0.14806886218114781j),(-0.00010096955876147546+2.248206444090936e-05j),1141000000
(-0.7190671008130348-0.1166392553805038j),(-0.00010910710961411403+2.66739922043287e-05j),1144000000
(-0.7350427602396453-0.07262991869158508j),(-0.00012169058266874318-2.563148629076008e-05j),1147000000
(-0.7560928605068422-0.025523800151920295j),(-8.704348989923132e-05+1.3678677088633982e-05j),1150000000
(-0.7725628875058866+0.028694309712112936j),(-7.133270373885701e-05-2.1759358183016073e-05j),1153000000
(-0.7857750327974371+0.09509865556029554j),(-7.399277723282316e-05+7.905923526215622e-05j),1156000000
(-0.7881308423506354+0.16718431642459985j),(-3.1153328976081224e-05+2.8280497284356926e-05j),1159000000
(-0.7782181853704094+0.2410626223351098j),(-6.251141998064619e-05+2.2939534724226152e-05j),1162000000
(-0.759689688185783+0.31192222376773865j),(-6.854822273372284e-05+3.830312212031659e-05j),1165000000
(-0.7318974660306274+0.38380225893633824j),(-0.0001402782616794697+8.175804881379529e-05j),1168000000
(-0.6949128740034675+0.44933864281925356j),(2.4535262643537352e-06+5.1402197968355623e-05j),1171000000
(-0.6513905153776721+0.505583298474702j),(-0.00012030573329850525+6.356331478785669e-06j),1174000000
(-0.6061816595422299+0.5615961499927592j),(-5.558431009439665e-05+5.3400499709162426e-05j),1177000000
(-0.5502153416266078+0.6095016806789226j),(-3.8139544234231874e-05+9.564228125393247e-05j),1180000000
(-0.5089408672130216+0.6308581083875245j),(-0.00010271218294926361+1.3208554110094598e-05j),1183000000
(-0.4622413027187082+0.6936866301444178j),(-8.401673522701137e-05+3.131939583401462e-05j),1186000000
(-0.39855857698202063+0.7265952152368256j),(-5.924318177899165e-05+7.9380992682146e-05j),1189000000
