S11,S21,freq
(0.40645094592672243+0.6872205892507859j),(2.232830866102867e-05+0.00010220866787886313j),1000000000
(0.5432445421411694+0.5851634793251644j),(1.958858739511422e-05+0.00010279473482700405j),1003000000
(0.6545033872916393+0.45605670792439185j),(-1.2172422571665947e-05+1.943178747418127e-05j),1006000000
(0.7361487191766897+0.3052326511833793j),(9.759522669727842e-05+5.4242815170680015e-05j),1009000000
(0.7837128314498619+0.13677074693344976j),(7.714856134170999e-05+5.2435137120374464e-05j),1012000000
(0.7925628682727448-0.03805605487818872j),(0.00010145839994901382+1.9292445609676407e-05j),1015000000
(0.7604868962182267-0.2122354553451794j),(-1.2080910085114235e-05+4.953971038307224e-06j),1018000000
(0.691311460205213-0.3772554934962985j),(7.571937074630907e-05+3.937595695856346e-06j),1021000000
(0.5851005934898454-0.5220125328897577j),(8.353054948145438e-05-1.784548341607815e-05j),1024000000
(0.44699876026643914-0.6411704610923917j),(7.447653680136731e-05-3.192704061984889e-05j),1027000000
(0.28404707853954325-0.7248207954571089j),(0.00010250325219025039+2.8608571120008122e-05j),1030000000
(0.10056631325829742-0.7696218316016389j),(9.944630332105613e-05-4.664188781111163e-05j),1033000000
(-0.08434414691467292-0.7685388046166369j),(6.314189665050253e-05-1.9465217284323347e-05j),1036000000
(-0.26821262307487254-0.7237347844182728j),(7.331931713622728e-05-3.279650752824497e-05j),1039000000
(-0.4370730663916597-0.6366861912684318j),(5.460752210889232e-05-8.144995188365038e-05j),1042000000
(-0.5789614017480823-0.5116655483264764j),(7.301062237932196e-06+3.548038965627683e-06j),1045000000
(-0.6873565655836238-0.3539390240579168j),(3.2774278422178855e-05-1.3778935957999129e-06j),1048000000
(-0.7548140312276458-0.17677015234650556j),(6.312038087507168e-05-1.1923979284481171e-05j),1051000000
(-0.7773584317597609+0.011517696067776532j),(-2.481734214564846e-05+2.1910227526687793e-05j),1054000000
(-0.7545970105885624+0.19932349722992193j),(-5.148618122723111e-06+2.2086858081458425e-05j),1057000000
(-0.6886097868179432+0.3743758321369674j),(-1.7635088125871678e-05-4.199030743678144e-05j),1060000000
(-0.5843891452849211+0.528760840590045j),(8.053919214933956e-06-8.249534534509086e-05j),1063000000
(-0.44841223261605406+0.6525446631586294j),(-5.655445775838584e-07-1.7977062522509468e-06j),1066000000
(-0.2879979142471979+0.7407877837725304j),(7.396671055958447e-05-5.58187001568295e-05j),1069000000
(-0.11429737075553074+0.7883580896542876j),(-1.5714034832157502e-05-3.6693460102041714e-05j),1072000000
(0.06270030901943677+0.7982287336432555j),(8.698393503314986e-06-3.0821833369890486e-05j),1075000000
(0.23777214070347957+0.7661224294428044j),(4.391840183157223e-05-4.981256906873555e-05j),1078000000
(0.3994168135733458+0.6951544955986003j),(3.417032199298117e-05-3.580952503046583e-05j),1081000000
(0.5393823336785175+0.5913767251530149j),(-3.427376326633725e-05-4.908785503206122e-05j),1084000000
(0.6565870903356613+0.45859350829130036j),(-5.526131531625495e-06+1.9891454222425602e-05j),1087000000
(0.7384204162057075+0.30648403478145714j),(-6.835791826943551e-06-4.271772172314224e-05j),1090000000
(0.7849489728999668+0.13946911084192115j),(-4.962205336492865e-05-7.017538726565029e-05j),1093000000
(0.7939166688926976-0.0344819191681748j),(-4.023378289379675e-05-6.0490056494157285e-05j),1096000000
(0.7647033827462797-0.20684407510774433j),(-7.173549766691824e-05-4.5515797984716114e-05j),1099000000
(0.6967367272586331-0.36787213485313974j),(-8.385448500297313e-05+7.146423745529034e-06j),1102000000
(0.5954399835176102-0.5105503821733264j),(-8.23588225833779e-05+1.9979324940556036e-05j),1105000000
(0.46323775405783285-0.6290495974772788j),(-6.2087211207102e-05+2.439116295539225e-05j),1108000000
(0.30714876261554125-0.7147938202961308j),(-2.4896134202468156e-05-2.4589319885324448e-05j),1111000000
(0.13428680256490688-0.7640098543888665j),(-8.823879679773863e-05+1.8072083280102984e-05j),1114000000
(-0.047650039191726674-0.7710614923616746j),(-4.5673727624758535e-06+1.0346899659046593e-06j),1117000000
(-0.2260931710072921-0.7374098327370113j),(-7.451467577053261e-06+9.336817516924834e-06j),1120000000
(-0.3942255927615617-0.6647415107856701j),(2.6389879770384616e-07+2.0349978897523432e-05j),1123000000
(-0.5397216749020107-0.5517873682690384j),(-3.7651701291123774e-05+4.104194531830599e-05j),1126000000
(-0.6562636047865367-0.4074588338375231j),(1.7535689870051788e-05+7.543107270965857e-05j),1129000000
(-0.7379059364302222-0.2396066207220014j),(-4.5726578434617826e-05+5.66449971965912e-05j),1132000000
(-0.775402059701424-0.05842365481597532j),(-6.280271296853042e-05+4.084829976792988e-05j),1135000000
(-0.7704069433662857+0.12615277760140037j),(-4.452440752588174e-05+1.8322525711008087e-05j),1138000000
(-0.7205150813275757+0.3056504893838953j),(-5.072995253751708e-05+5.4247732236721524e-05j),1141000000
(-0.6326825070856181+0.46485351689894217j),(8.312929839347474e-06+7.085044522470374e-06j),1144000000
(-0.510298066217811+0.6008346978564666j),(-2.1608120200543784e-05+3.277048065323561e-05j),1147000000
(-0.3586353539438357+0.7043526907904172j),(-4.883978168684376e-06-1.8855069534628277e-05j),1150000000
(-0.18891225902413447+0.7689129844076142j),(8.91575787805903e-06-5.658079776934901e-06j),1153000000
(-0.012549000315959945+0.791800614424416j),(1.2426030211244711e-05+2.107428000823593e-05j),1156000000
(0.16762555475447155+0.7740858309371684j),(3.227168721463526e-05+3.09995290110718e-05j),1159000000
(0.33628894134167325+0.7157168826760014j),(2.183400059097324e-05+1.588571179756677e-05j),1162000000
(0.4844847120399689+0.623616079991642j),(-4.071563644125066e-05-3.630808268900281e-05j),1165000000
(0.6104260470011255+0.49592466278171843j),(-5.429053312307415e-05-2.0481789224741667e-05j),1168000000
(0.7029228659606265+0.34722040723044156j),(5.1445312340964585e-06-1.9173092225031622e-05j),1171000000
(0.7599593690108103+0.17961451397239306j),(-3.429534788629743e-05-1.1116512808417783e-05j),1174000000
(0.7774663367407811+0.005488063672408968j),(-2.583185220014151e-05+7.317906684623453e-06j),1177000000
(0.7542826049890907-0.16993688685398167j),(-3.67247465538572e-06+2.6914013048005273e-05j),1180000000
(0.6938320071476047-0.3334499565208867j),(-1.0693682730429722e-05-6.189777264535166e-06j),1183000000
(0.5968485798713654-0.48167389292886j),(-5.768123750513007e-05-3.835765880756957e-05j),1186000000
(0.4685572171208559-0.6040184462583531j),(-6.813167775349978e-06-2.1184556212510392e-05j),1189000000
(0.3156193096909185-0.6919930998840279j),(-5.252186040416765e-05+2.3165820314027584e-05j),1192000000
(0.14515995988014901-0.7465113529726082j),(-2.3242383944884666e-05+5.986092343425436e-05j),1195000000
(-0.03063017548940282-0.7592778328351658j),(-7.914214118381804e-06+4.5233246531954524e-05j),1198000000
(-0.2060641122698761-0.730599584671104j),(-3.35307435616311e-05-3.708996751814485e-05j),1201000000
(-0.37526470894276703-0.6618465495610406j),(-3.20870651708903e-05-3.460900612063291e-05j),1204000000
(-0.5177734292908833-0.5599192466441654j),(4.279303798166206e-06-3.4274127105996245e-06j),1207000000
(-0.6349524818290773-0.42622571018266425j),(-7.737918380137873e-06-1.6066172558052918e-05j),1210000000
(-0.7202258774950577-0.2661909562132789j),(-1.5533277286593773e-05-1.1573014676529297e-05j),1213000000
(-0.7655076173301818-0.09427841155609128j),(4.22102461627136e-05-1.1682789164295541e-05j),1216000000
(-0.7695250932432489+0.08377911559334639j),(2.94606576908027e-06+4.2205981302703314e-05j),1219000000
(-0.7322722749578212+0.26111416848340757j),(-2.3783017833809566e-05+9.844157921158768e-06j),1222000000
(-0.6577830976262671+0.41977818125241667j),(-3.936789038765847e-05+6.813106787067071e-05j),1225000000
(-0.5480074105974457+0.5579198630458159j),(-5.5745950157647585e-05-2.0999873299529737e-05j),1228000000
(-0.4066497347365184+0.6695100918622995j),(-6.586270261377868e-05-3.583462548195781e-05j),1231000000
(-0.24857413623871882+0.74572493302887j),(3.205985487409365e-05+3.2086009796555606e-05j),1234000000
(-0.07535255948550028+0.782140591420085j),(5.370029729695238e-05-4.465622383967614e-05j),1237000000
(0.10317918564748223+0.7782175542545705j),(-7.525617083887308e-05-1.1556636044781648e-06j),1240000000
(0.27261513226041606+0.7354211764969291j),(-1.9118302272161872e-05-6.4632146417592256e-06j),1243000000
(0.43169009782872164+0.6520730420105184j),(2.616982644184331e-05+4.624810003967165e-05j),1246000000
(0.5666658843214303+0.5361624403563758j),(-8.556358589891083e-06+2.7722151376585457e-05j),1249000000
(0.6712451514875518+0.3918485770803259j),(-6.231573657072014e-05-2.0792218166978346e-05j),1252000000
(0.738282591723908+0.2272457892641523j),(1.2111826438838003e-05+6.561900977532203e-05j),1255000000
(0.7672609334076819+0.04807968552298005j),(-1.956587065379149e-05+2.6814086991263176e-05j),1258000000
(0.7536349339124199-0.13015779234663646j),(-7.709557771066747e-06-3.945352656575397e-05j),1261000000
(0.6978319012313895-0.30320139500483667j),(-2.617570808785623e-05-3.089529078756899e-05j),1264000000
(0.6017307032487192-0.4591555543437012j),(1.780191832034635e-05-1.7732084114170316e-05j),1267000000
(0.47286667500413576-0.585437245136949j),(3.596529954882793e-05+6.22163717286643e-05j),1270000000
(0.316386547550017-0.6800609928872801j),(5.409562213690936e-06-4.6011516080638393e-07j),1273000000
(0.14031072030567604-0.7328520100767523j),(9.79921610047026e-06-6.281399913624251e-05j),1276000000
(-0.042113247220394334-0.7437258596912534j),(-3.5205412038289607e-06-3.3326752123103014e-06j),1279000000
(-0.2191548845854669-0.7112901275663206j),(9.548612749412557e-06+2.701797523470707e-05j),1282000000
(-0.3865692490689265-0.6368338717853188j),(-6.193934008706886e-05+3.422034951735416e-05j),1285000000
(-0.5281160494455854-0.5264409688265917j),(3.3855535704879775e-06-4.524086200369466e-05j),1288000000
(-0.640360500029561-0.3857687255087417j),(3.082059022501186e-05-2.7095814383010027e-05j),1291000000
