S11,S21,freq
(0.9400932788848877-0.20281949639320374j),(-9.026005864143372e-05+1.2391246855258942e-05j),1200000000
(0.9376949071884155-0.2256571501493454j),(-8.20336863398552e-05-1.9244849681854248e-05j),1202500000
(0.9347662329673767-0.24995167553424835j),(-8.082017302513123e-05+1.0963529348373413e-05j),1205000000
(0.9311128854751587-0.2743162512779236j),(-8.2334503531456e-05-5.133450031280518e-06j),1207500000
(0.9260606169700623-0.2993715703487396j),(-8.783582597970963e-05-4.153512418270111e-05j),1210000000
(0.9213962554931641-0.32133278250694275j),(-1.2135133147239685e-05-3.814697265625e-06j),1212500000
(0.9144570231437683-0.3455412983894348j),(-6.62337988615036e-05+6.9998204708099365e-06j),1215000000
(0.9089686274528503-0.368224173784256j),(-8.947495371103287e-05-1.676660031080246e-05j),1217500000
(0.9013133645057678-0.3920498192310333j),(-0.00011924933642148972+3.8689933717250824e-05j),1220000000
(0.8933928608894348-0.4160955846309662j),(-9.068753570318222e-05-1.5674158930778503e-05j),1222500000
(0.8843103647232056-0.4388475716114044j),(-8.472520858049393e-05+2.4139881134033203e-05j),1225000000
(0.875482976436615-0.46016013622283936j),(-9.221863001585007e-05-5.340203642845154e-06j),1227500000
(0.8651991486549377-0.4829663336277008j),(-8.081551641225815e-05-8.102506399154663e-08j),1230000000
(0.8544914126396179-0.5066159963607788j),(-7.109995931386948e-05+7.924623787403107e-06j),1232500000
(0.8438403010368347-0.5282578468322754j),(-8.488167077302933e-05+1.1681579053401947e-05j),1235000000
(0.8313705921173096-0.548995316028595j),(-0.00010956916958093643+2.184603363275528e-05j),1237500000
(0.8188542723655701-0.5704659819602966j),(-0.00012961495667696-1.3618730008602142e-05j),1240000000
(0.8068488240242004-0.590717613697052j),(-0.00010291207581758499+1.3848766684532166e-06j),1242500000
(0.7919896245002747-0.6115647554397583j),(-6.683636456727982e-05+2.2370368242263794e-06j),1245000000
(0.7789479494094849-0.6307705640792847j),(-4.7798268496990204e-05+1.6858801245689392e-05j),1247500000
(0.7624979019165039-0.6530466079711914j),(-7.739569991827011e-05+4.791095852851868e-05j),1250000000
(0.7470583915710449-0.6706010699272156j),(-5.3287483751773834e-05+6.14626333117485e-05j),1252500000
(0.7300200462341309-0.6909599304199219j),(-2.695433795452118e-05+4.284083843231201e-08j),1255000000
(0.7137526869773865-0.7085766196250916j),(-6.494112312793732e-05+6.08004629611969e-05j),1257500000
(0.6969093680381775-0.7260083556175232j),(-5.2209943532943726e-05+3.428105264902115e-05j),1260000000
(0.6799262762069702-0.7433384656906128j),(-7.23833218216896e-05+2.7111731469631195e-05j),1262500000
(0.6609529852867126-0.7599839568138123j),(-4.3004751205444336e-05+3.548339009284973e-05j),1265000000
(0.6419211030006409-0.7763891220092773j),(-8.332915604114532e-05-6.8927183747291565e-06j),1267500000
(0.6241697072982788-0.7917962074279785j),(-3.65404412150383e-05+3.5305507481098175e-05j),1270000000
(0.6023013591766357-0.8083389401435852j),(-3.2718293368816376e-05+8.414406329393387e-05j),1272500000
(0.583310604095459-0.8214620351791382j),(-3.54936346411705e-05+6.373226642608643e-05j),1275000000
(0.5629760026931763-0.8344499468803406j),(-5.3056515753269196e-05+7.571186870336533e-05j),1277500000
(0.5399306416511536-0.8489921689033508j),(-3.019627183675766e-05+5.7736411690711975e-05j),1280000000
(0.519959032535553-0.8594954609870911j),(-3.32370400428772e-05+9.69255343079567e-05j),1282500000
(0.4981954097747803-0.873319149017334j),(-5.0586648285388947e-05+9.989365935325623e-05j),1285000000
(0.47472265362739563-0.8847519159317017j),(1.0250136256217957e-05+6.053317338228226e-05j),1287500000
(0.45414111018180847-0.8947139382362366j),(-6.254855543375015e-05+5.4331496357917786e-05j),1290000000
(0.4309883713722229-0.904991865158081j),(-4.352349787950516e-05+0.0001256568357348442j),1292500000
(0.40696409344673157-0.9139094948768616j),(-3.703031688928604e-05+7.038842886686325e-05j),1295000000
(0.38409149646759033-0.922694981098175j),(-6.1551108956336975e-06+4.571396857500076e-05j),1297500000
(0.36246320605278015-0.929811418056488j),(6.51925802230835e-06+0.00010459497570991516j),1300000000
(0.338141530752182-0.9365561604499817j),(-2.1085143089294434e-06+7.271207869052887e-05j),1302500000
(0.31257131695747375-0.9437640905380249j),(-3.569386899471283e-05+4.9715861678123474e-05j),1305000000
(0.29042890667915344-0.9496792554855347j),(-1.9085593521595e-05+0.00011274591088294983j),1307500000
(0.2664719820022583-0.9545064568519592j),(8.122995495796204e-06+6.98799267411232e-05j),1310000000
(0.24301700294017792-0.9578141570091248j),(-1.9430182874202728e-05+4.445016384124756e-05j),1312500000
(0.2175389975309372-0.9615424871444702j),(1.573842018842697e-05+8.643418550491333e-05j),1315000000
(0.1945430487394333-0.9643158912658691j),(-1.8931925296783447e-05+8.51564109325409e-05j),1317500000
(0.16930341720581055-0.9663053750991821j),(-8.550472557544708e-06+6.498489528894424e-05j),1320000000
(0.14555799961090088-0.9676551222801208j),(-2.3758970201015472e-05+5.52348792552948e-05j),1322500000
(0.12180576473474503-0.9685022830963135j),(2.70036980509758e-05+9.57343727350235e-05j),1325000000
(0.09751229733228683-0.9682935476303101j),(-6.1793252825737e-06+7.5487419962883e-05j),1327500000
(0.07488195598125458-0.9681899547576904j),(-1.538824290037155e-05+6.897374987602234e-05j),1330000000
(0.05089762061834335-0.9670194983482361j),(-5.334615707397461e-06+4.985928535461426e-05j),1332500000
(0.02692759595811367-0.9645408987998962j),(-2.084672451019287e-05+4.383828490972519e-05j),1335000000
(-0.0015407782047986984-0.9611603021621704j),(2.6951543986797333e-05+9.443797171115875e-05j),1337500000
(-0.021058430895209312-0.957827091217041j),(4.990771412849426e-05+6.275344640016556e-05j),1340000000
(-0.044188451021909714-0.9537522792816162j),(-1.2237578630447388e-05+9.221956133842468e-05j),1342500000
(-0.0676499530673027-0.9494678378105164j),(2.588704228401184e-05+4.0529295802116394e-05j),1345000000
(-0.09286055713891983-0.9437482953071594j),(2.275034785270691e-05+3.5381875932216644e-05j),1347500000
(-0.11463981866836548-0.938096284866333j),(-3.055669367313385e-06+7.101520895957947e-05j),1350000000
(-0.13489268720149994-0.9310055375099182j),(-4.585087299346924e-05+4.165433347225189e-05j),1352500000
(-0.1589345633983612-0.9245287775993347j),(2.8094276785850525e-05+5.5585987865924835e-05j),1355000000
(-0.1801520138978958-0.9159979820251465j),(-2.4516135454177856e-05+4.38932329416275e-05j),1357500000
(-0.2027888000011444-0.9080591201782227j),(2.679973840713501e-05+4.762876778841019e-05j),1360000000
(-0.2226233184337616-0.8997344374656677j),(2.557411789894104e-05+5.510542541742325e-05j),1362500000
(-0.24565190076828003-0.8899630904197693j),(-1.067575067281723e-05+9.704846888780594e-05j),1365000000
(-0.26475152373313904-0.8803873062133789j),(4.48739156126976e-05+6.4055435359478e-05j),1367500000
(-0.2867935597896576-0.8702666759490967j),(4.043709486722946e-05+2.2727996110916138e-05j),1370000000
(-0.306583046913147-0.8582069873809814j),(-1.9611790776252747e-05+8.470471948385239e-05j),1372500000
(-0.3237275183200836-0.8476683497428894j),(7.574446499347687e-05+9.558629244565964e-05j),1375000000
(-0.34720471501350403-0.8349172472953796j),(6.549060344696045e-06+4.611443728208542e-05j),1377500000
(-0.36340224742889404-0.8231675624847412j),(5.5460259318351746e-06+0.00012339558452367783j),1380000000
(-0.3838481307029724-0.8089360594749451j),(3.479607403278351e-05+7.981061935424805e-05j),1382500000
(-0.40176820755004883-0.7963941693305969j),(6.928574293851852e-05+7.56140798330307e-05j),1385000000
(-0.41909918189048767-0.7823416590690613j),(2.7949921786785126e-05+5.503743886947632e-05j),1387500000
(-0.43857133388519287-0.7678011655807495j),(3.7857331335544586e-05+5.184207111597061e-05j),1390000000
(-0.4541822373867035-0.7530738115310669j),(2.2660940885543823e-05+4.2312778532505035e-05j),1392500000
(-0.47230634093284607-0.738284707069397j),(2.4897046387195587e-05+4.0158629417419434e-05j),1395000000
(-0.4872950315475464-0.7226725220680237j),(2.1550804376602173e-05+2.945680171251297e-05j),1397500000
(-0.5028232932090759-0.7075193524360657j),(0.00010420940816402435+2.0748935639858246e-05j),1400000000
(-0.5186998248100281-0.689945638179779j),(2.2465363144874573e-05+4.413072019815445e-05j),1402500000
(-0.5353670716285706-0.6726027131080627j),(6.235949695110321e-05-1.0243616998195648e-05j),1405000000
(-0.5496366620063782-0.6560401320457458j),(4.842132329940796e-05+4.966277629137039e-05j),1407500000
(-0.5627988576889038-0.6398168206214905j),(3.754999488592148e-05+1.155119389295578e-05j),1410000000
(-0.577836811542511-0.6208041906356812j),(5.8107078075408936e-05+5.530286580324173e-05j),1412500000
(-0.5885531902313232-0.6052029728889465j),(4.574935883283615e-05+3.7715770304203033e-05j),1415000000
(-0.6039991974830627-0.5843989253044128j),(0.00010503549128770828+4.7089532017707825e-05j),1417500000
(-0.6165586709976196-0.5648540258407593j),(7.812120020389557e-05+4.711747169494629e-05j),1420000000
(-0.6275115609169006-0.546988308429718j),(8.521601557731628e-05-3.6926940083503723e-06j),1422500000
(-0.6392942070960999-0.5284751653671265j),(5.4436735808849335e-05+1.46450474858284e-05j),1425000000
(-0.6484268307685852-0.5106918215751648j),(6.36400654911995e-05-3.1818635761737823e-05j),1427500000
(-0.6606811881065369-0.4883386194705963j),(7.606483995914459e-05-6.047450006008148e-05j),1430000000
(-0.6706290245056152-0.46884581446647644j),(3.351643681526184e-05-1.3397075235843658e-05j),1432500000
(-0.6794503331184387-0.44806092977523804j),(9.315088391304016e-06+8.040107786655426e-06j),1435000000
(-0.6891940236091614-0.4277411997318268j),(5.03193587064743e-06-3.327522426843643e-05j),1437500000
(-0.6969561576843262-0.40736475586891174j),(4.8152171075344086e-05+2.712942659854889e-06j),1440000000
(-0.7043977379798889-0.386959433555603j),(4.0757469832897186e-05-3.022328019142151e-05j),1442500000
(-0.7112406492233276-0.3660702407360077j),(7.439404726028442e-05-6.585381925106049e-06j),1445000000
(-0.7206804156303406-0.3421875834465027j),(4.8813410103321075e-05-2.2161751985549927e-05j),1447500000
(-0.7253612875938416-0.32316359877586365j),(3.261305391788483e-05+1.3792887330055237e-06j),1450000000
(-0.7255832552909851-0.32200077176094055j),(2.5024637579917908e-06-1.6884878277778625e-05j),1450000000
(-0.7310799360275269-0.30157729983329773j),(5.45009970664978e-05-1.0998919606208801e-05j),1452500000
(-0.7368988990783691-0.27865302562713623j),(3.391038626432419e-05+2.993270754814148e-06j),1455000000
(-0.7409754991531372-0.2573239803314209j),(1.0238029062747955e-05-2.6720575988292694e-05j),1457500000
(-0.7461594939231873-0.23497715592384338j),(1.873541623353958e-05-1.6557984054088593e-05j),1460000000
(-0.749074399471283-0.2139064371585846j),(4.4260174036026e-05+2.8815120458602905e-06j),1462500000
(-0.7521899342536926-0.19098861515522003j),(1.4902092516422272e-05-5.109235644340515e-06j),1465000000
(-0.7550685405731201-0.16748575866222382j),(1.1983327567577362e-05-1.7433427274227142e-05j),1467500000
(-0.7568474411964417-0.14509005844593048j),(3.0475668609142303e-05-3.385636955499649e-05j),1470000000
(-0.7576631307601929-0.12425489723682404j),(-6.239861249923706e-07+1.8180347979068756e-05j),1472500000
(-0.7592799663543701-0.10045979171991348j),(-8.055008947849274e-06+5.2675604820251465e-06j),1475000000
(-0.7598581910133362-0.07766395807266235j),(4.833098500967026e-05-4.97596338391304e-05j),1477500000
(-0.7594415545463562-0.05426331236958504j),(2.753268927335739e-05-2.8969720005989075e-05j),1480000000
(-0.7587001323699951-0.031096212565898895j),(2.5348737835884094e-05-1.5916302800178528e-06j),1482500000
(-0.75738924741745-0.010395381599664688j),(1.865345984697342e-05-2.117827534675598e-05j),1485000000
(-0.7551625967025757+0.013914995826780796j),(6.893277168273926e-05-4.090648144483566e-05j),1487500000
(-0.7525854110717773+0.03502540662884712j),(2.5428831577301025e-05-3.202073276042938e-05j),1490000000
(-0.7493814826011658+0.05997711792588234j),(2.490263432264328e-05+1.1900439858436584e-05j),1492500000
(-0.745744526386261+0.08204280585050583j),(3.256741911172867e-05-5.580391734838486e-05j),1495000000
(-0.7412257790565491+0.10670635104179382j),(2.028048038482666e-05+1.8505379557609558e-05j),1497500000
(-0.7362698316574097+0.1281418651342392j),(2.5535933673381805e-05+2.7482397854328156e-05j),1500000000
(-0.7318434119224548+0.1487995833158493j),(2.9956921935081482e-05-6.770715117454529e-06j),1502500000
(-0.7247382402420044+0.17412717640399933j),(2.290494740009308e-05-2.8409995138645172e-05j),1505000000
(-0.7186145782470703+0.1943439543247223j),(-3.967899829149246e-05+5.425885319709778e-06j),1507500000
(-0.7106901407241821+0.21817320585250854j),(-7.3267146944999695e-06-4.242267459630966e-05j),1510000000
(-0.702639102935791+0.23859483003616333j),(4.891492426395416e-05-1.0487623512744904e-05j),1512500000
(-0.6941768527030945+0.2631687521934509j),(1.901574432849884e-05-3.0394643545150757e-05j),1515000000
(-0.6856773495674133+0.28407570719718933j),(3.869645297527313e-05+1.0007061064243317e-05j),1517500000
(-0.6763630509376526+0.30403539538383484j),(2.0333565771579742e-05-2.25091353058815e-05j),1520000000
(-0.6648864150047302+0.32711681723594666j),(2.2242777049541473e-05-2.7456320822238922e-05j),1522500000
(-0.6541261076927185+0.3481442928314209j),(-1.9492581486701965e-05-1.0804273188114166e-05j),1525000000
(-0.6420944929122925+0.3697945773601532j),(2.4007633328437805e-05-8.055008947849274e-06j),1527500000
(-0.6306634545326233+0.38892441987991333j),(4.933774471282959e-05-3.222469240427017e-05j),1530000000
(-0.6174771189689636+0.41143956780433655j),(4.9833208322525024e-05-3.086775541305542e-05j),1532500000
(-0.6042652726173401+0.42977339029312134j),(-5.83939254283905e-06+8.940696716308594e-08j),1535000000
