S11,S21,freq
(0.09367650209347012-0.10970418486658358j),(0.007903085434957059-0.00395312215030762j),5200000000
(0.0922361399901804-0.10863607410010141j),(0.007832104586668278-0.004590684804517432j),5200500000
(0.08933033446149481-0.11146532564216026j),(0.00744930485568019-0.005212812541020874j),5201000000
(0.08756679209948763-0.11396105504999732j),(0.0068417722935878895-0.005622212049335473j),5201500000
(0.08317748524422139-0.11426272499568045j),(0.006383701529206042-0.006204881198259427j),5202000000
(0.08007421245312572-0.115762283606382j),(0.005915837779287178-0.006378807528692965j),5202500000
(0.07601109653391487-0.11520494044529067j),(0.0055235541712375805-0.006793234515777172j),5203000000
(0.07390971738481585-0.1153286699726671j),(0.004873800644655521-0.006882482978057034j),5203500000
(0.06831442694215971-0.11529141583445497j),(0.004428062697736702-0.007103606929878532j),5204000000
(0.06723651358821969-0.11800516376371244j),(0.004227481249776903-0.0071725751156809054j),5204500000
(0.06192707159576056-0.117044130005293j),(0.0039434223896037245-0.007257610132303725j),5205000000
(0.060859808843105316-0.11619784269438284j),(0.003519750892081068-0.007352887648948925j),5205500000
(0.059090710291544404-0.11649503527595197j),(0.003543822999994733-0.007377751702907319j),5206000000
(0.055232537567418395-0.11908670319479463j),(0.0030565375332164374-0.007795867504176485j),5206500000
(0.05075630827781094-0.119690465960867j),(0.002772084437621008-0.008137119578336965j),5207000000
(0.0468806873575965-0.12105411731185237j),(0.0021604080196289256-0.008501854880821419j),5207500000
(0.041377891211923604-0.11945366755446317j),(0.0015077513759637208-0.008643483031737715j),5208000000
(0.0374272161904801-0.11844660284553522j),(0.0010024270552091903-0.00854878234919994j),5208500000
(0.03223654570867493-0.11584308958076674j),(0.00024634617875189-0.008546649584573782j),5209000000
(0.029035356097521513-0.11502212504711071j),(-0.0001806897724484657-0.008243184764576403j),5209500000
(0.023052263644196238-0.11291052178017899j),(-0.0008761190534405791-0.008224400352294043j),5210000000
(0.02151396536562191-0.10863667482850836j),(-0.0010011880554984373-0.007878230110133408j),5210500000
(0.019389279135123384-0.10677760126621884j),(-0.0015003231927147361-0.007770098446210219j),5211000000
(0.01744371867643238-0.10375692116994067j),(-0.001794881764812612-0.007609139328276274j),5211500000
(0.016377339352518575-0.10182630403699289j),(-0.002202180283063145-0.007464415641866513j),5212000000
(0.012575567816541178-0.09845908863261865j),(-0.002369910896813133-0.007166730669639479j),5212500000
(0.010843172316344813-0.09536526345294545j),(-0.0027383145231984814-0.006933971505964523j),5213000000
(0.00953865408860769-0.09310664437403202j),(-0.002789832318916206-0.006904528980635173j),5213500000
(0.006587393218237348-0.08954499323218897j),(-0.003064307425751396-0.006664067979057648j),5214000000
(0.005475178863617194-0.0874088242365907j),(-0.0033889780421310594-0.006619719902766941j),5214500000
(0.0037715958226018365-0.0857518784870778j),(-0.003751003792838787-0.006629379855687297j),5215000000
(0.0034495055643940244-0.08196658693521186j),(-0.003791037247103324-0.006285917579496541j),5215500000
