S11,S21,freq
(0.9520618319511414-0.06892914324998856j),(-0.00020608212798833847-0.00011613406240940094j),500000000
(0.9523241519927979-0.08241160213947296j),(-0.00021370965987443924-0.00012630224227905273j),501100000
(0.9510809183120728-0.09756577014923096j),(-0.0002006692811846733-0.00011726561933755875j),502200000
(0.9501317143440247-0.11030647158622742j),(-0.00018244516104459763-9.827688336372375e-05j),503300000
(0.9485102891921997-0.12475908547639847j),(-0.0001663239672780037-0.00014749076217412949j),504400000
(0.9473949670791626-0.1382424384355545j),(-0.00023977458477020264-6.543658673763275e-05j),505500000
(0.9458778500556946-0.15267673134803772j),(-0.0001689661294221878-7.081031799316406e-05j),506600000
(0.9429165124893188-0.1663544923067093j),(-0.00021236203610897064-8.865445852279663e-05j),507700000
(0.9412195086479187-0.18135695159435272j),(-0.00017370469868183136-6.102956831455231e-05j),508800000
(0.9394897222518921-0.19427193701267242j),(-0.0002181297168135643-5.915295332670212e-05j),509900000
(0.9361045956611633-0.20858074724674225j),(-0.00024219881743192673-7.516052573919296e-05j),511000000
(0.9337851405143738-0.22181206941604614j),(-0.0001302054151892662-0.00010925997048616409j),512100000
(0.9311679601669312-0.23570364713668823j),(-0.0001848200336098671-4.903972148895264e-05j),513200000
(0.9282532334327698-0.24978786706924438j),(-0.00014802534133195877-3.114622086286545e-05j),514300000
(0.9255310893058777-0.2634240984916687j),(-0.00021744892001152039-5.7717785239219666e-05j),515400000
(0.9223350286483765-0.27719178795814514j),(-0.00018735695630311966-6.0879625380039215e-05j),516500000
(0.918867290019989-0.290627121925354j),(-0.0001906631514430046-5.726702511310577e-06j),517600000
(0.9154459834098816-0.30390867590904236j),(-0.00016916543245315552-6.163306534290314e-05j),518700000
(0.9104099273681641-0.31733718514442444j),(-0.00022249482572078705-3.7058256566524506e-05j),519800000
(0.9072686433792114-0.3307088017463684j),(-0.00024578534066677094-1.1621043086051941e-05j),520900000
(0.9027628302574158-0.3444109261035919j),(-0.00016662757843732834-7.2430819272995e-05j),522000000
(0.8983006477355957-0.35841506719589233j),(-0.000149458646774292-1.0319054126739502e-05j),523100000
(0.8934534788131714-0.37134143710136414j),(-0.00015175901353359222-7.202383130788803e-05j),524200000
(0.8893300294876099-0.38439688086509705j),(-0.00020767096430063248-4.275422543287277e-05j),525300000
(0.8839837908744812-0.39838463068008423j),(-0.000163971446454525-5.708914250135422e-05j),526400000
(0.8788466453552246-0.41131725907325745j),(-0.0001502539962530136-3.931857645511627e-05j),527500000
(0.8737610578536987-0.42376357316970825j),(-0.00018321815878152847-5.800370126962662e-05j),528600000
(0.8685401678085327-0.4372949004173279j),(-0.00016695726662874222-7.265061140060425e-05j),529700000
(0.8624099493026733-0.45011231303215027j),(-0.00018727220594882965-1.5691854059696198e-05j),530800000
(0.8571346998214722-0.4628826081752777j),(-0.00016395561397075653-5.479808896780014e-05j),531900000
(0.8508349657058716-0.4757939279079437j),(-0.0001713791862130165-3.312528133392334e-05j),533000000
(0.8447974324226379-0.48886439204216003j),(-0.00016630534082651138-4.843808710575104e-06j),534100000
(0.8385980129241943-0.5010361671447754j),(-0.00016929861158132553-3.876443952322006e-05j),535200000
(0.8325885534286499-0.5137068033218384j),(-0.00016595516353845596-5.5499374866485596e-05j),536300000
(0.8256524205207825-0.5263545513153076j),(-0.00018277857452630997-1.9490718841552734e-05j),537400000
(0.8192357420921326-0.5393556356430054j),(-0.0001735081896185875-2.55536288022995e-05j),538500000
(0.811950147151947-0.5510609149932861j),(-0.00015188101679086685-4.052650183439255e-05j),539600000
(0.8049411773681641-0.5630447268486023j),(-0.00017738714814186096-3.1346455216407776e-05j),540700000
(0.7974936962127686-0.5752987861633301j),(-0.00016354676336050034-5.558133125305176e-05j),541800000
(0.7906559705734253-0.5880942344665527j),(-0.0001510782167315483-3.393087536096573e-05j),542900000
(0.7830840945243835-0.5992894172668457j),(-0.0002112342044711113+3.5529956221580505e-05j),544000000
(0.774787962436676-0.611785888671875j),(-0.00016705039888620377-7.452443242073059e-06j),545100000
(0.7670881152153015-0.6234062314033508j),(-0.0002011200413107872+1.9632279872894287e-06j),546200000
(0.7590146660804749-0.6352145671844482j),(-0.00016279425472021103+1.8754974007606506e-05j),547300000
(0.7504509687423706-0.6474330425262451j),(-0.0001385258510708809-3.0557624995708466e-05j),548400000
(0.7419719099998474-0.6589276194572449j),(-0.00015661679208278656+6.75395131111145e-06j),549500000
(0.7337646484375-0.6701633334159851j),(-0.0001484360545873642-1.1696480214595795e-05j),550600000
(0.7249671816825867-0.6814188957214355j),(-0.00013680756092071533-5.16548752784729e-05j),551700000
(0.7157585620880127-0.6925823092460632j),(-0.00017171259969472885-2.019573003053665e-05j),552800000
(0.7065137624740601-0.7045308351516724j),(-0.00017118267714977264+1.7911195755004883e-05j),553900000
(0.6983988881111145-0.7148164510726929j),(-0.00015288498252630234+5.1907263696193695e-05j),555000000
(0.6887322664260864-0.7257950901985168j),(-0.0001583406701683998+8.871778845787048e-06j),556100000
(0.6796277165412903-0.736761212348938j),(-0.00014283601194620132+1.1185184121131897e-06j),557200000
(0.6697189211845398-0.7479590773582458j),(-0.00012325961142778397-1.1389143764972687e-05j),558300000
(0.6588914394378662-0.7580888271331787j),(-0.0001343861222267151+3.1867995858192444e-05j),559400000
(0.649064838886261-0.7683480381965637j),(-0.000143539160490036-4.471559077501297e-05j),560500000
(0.6385678052902222-0.7790405750274658j),(-0.00020247604697942734+3.135763108730316e-06j),561600000
(0.6289929151535034-0.7890785336494446j),(-0.00018973369151353836+1.994892954826355e-06j),562700000
(0.6192907094955444-0.7987682819366455j),(-0.0001537315547466278-1.7043203115463257e-07j),563800000
(0.6075592637062073-0.8090301752090454j),(-0.0001880340278148651+3.4489668905735016e-05j),564900000
(0.5969630479812622-0.8194236159324646j),(-0.00014249887317419052+1.8044374883174896e-05j),566000000
(0.5864288806915283-0.8289000988006592j),(-0.00014998018741607666+4.208087921142578e-05j),567100000
