S11,S21,freq
(0.9521610736846924-0.07027823477983475j),(-0.00018305890262126923-0.00011525768786668777j),500000000
(0.9522794485092163-0.08445572108030319j),(-0.00017567351460456848-0.00012202747166156769j),501100000
(0.951058030128479-0.09749619662761688j),(-0.00018857978284358978-0.0001034662127494812j),502200000
(0.9504034519195557-0.11242159456014633j),(-0.00017679668962955475-8.794479072093964e-05j),503300000
(0.9487677216529846-0.12631194293498993j),(-0.00016139261424541473-0.00011643394827842712j),504400000
(0.9461944699287415-0.14067953824996948j),(-0.00021514948457479477-6.953440606594086e-05j),505500000
(0.9451047778129578-0.1540873944759369j),(-0.0002510659396648407-8.133891969919205e-05j),506600000
(0.9429029822349548-0.1683996319770813j),(-0.0001766011118888855-6.370153278112411e-05j),507700000
(0.9409130215644836-0.181804820895195j),(-0.00016600079834461212-5.8098696172237396e-05j),508800000
(0.938870906829834-0.19586478173732758j),(-0.00016160402446985245-9.57101583480835e-05j),509900000
(0.9363884925842285-0.20966455340385437j),(-0.00019932445138692856-6.354972720146179e-05j),511000000
(0.933983564376831-0.22369739413261414j),(-0.00018897559493780136-4.936195909976959e-05j),512100000
(0.9313042759895325-0.23689617216587067j),(-0.0001577679067850113-3.648456186056137e-05j),513200000
(0.9278956651687622-0.2506557106971741j),(-0.00016587786376476288-6.0362741351127625e-05j),514300000
(0.924319326877594-0.26450833678245544j),(-0.0001970408484339714-4.926696419715881e-06j),515400000
(0.9215551614761353-0.27805089950561523j),(-0.0001890799030661583-9.221397340297699e-05j),516500000
(0.9183589816093445-0.2914232909679413j),(-0.00014820508658885956-6.648525595664978e-05j),517600000
(0.9139559268951416-0.3059167265892029j),(-0.0002115648239850998-5.9531070291996e-05j),518700000
(0.9099612236022949-0.3190257251262665j),(-0.00020174216479063034-9.194575250148773e-05j),519800000
(0.906154215335846-0.33254143595695496j),(-0.00016712024807929993-5.275756120681763e-05j),520900000
(0.90165114402771-0.34634944796562195j),(-0.00018086936324834824-3.891158849000931e-05j),522000000
(0.8974696397781372-0.359184205532074j),(-0.00015545077621936798-5.536433309316635e-05j),523100000
(0.8931953310966492-0.3721819519996643j),(-0.0001484248787164688-7.461849600076675e-05j),524200000
(0.889312744140625-0.38618898391723633j),(-0.00016826298087835312-6.164982914924622e-05j),525300000
(0.8836318850517273-0.39888155460357666j),(-0.00017485395073890686-4.248693585395813e-05j),526400000
(0.8784130215644836-0.41163334250450134j),(-0.00021910015493631363-4.705134779214859e-05j),527500000
(0.8729875087738037-0.4256719648838043j),(-0.00020399317145347595-8.64621251821518e-05j),528600000
(0.8675621151924133-0.43827372789382935j),(-0.00018411315977573395-2.560298889875412e-05j),529700000
(0.8622876405715942-0.45113542675971985j),(-0.0001750914379954338-6.595533341169357e-05j),530800000
(0.8565903306007385-0.4645044207572937j),(-0.0002046758309006691-1.929420977830887e-05j),531900000
(0.8503972887992859-0.47724345326423645j),(-0.00013878755271434784-4.408508539199829e-05j),533000000
(0.8446329832077026-0.489666223526001j),(-0.00022132042795419693-2.7956441044807434e-05j),534100000
(0.8381143808364868-0.5028476715087891j),(-0.0001300489529967308-4.100147634744644e-05j),535200000
(0.8316489458084106-0.5148068070411682j),(-0.00021066982299089432-2.032145857810974e-05j),536300000
(0.8249593377113342-0.5275585651397705j),(-0.00016163848340511322-5.483068525791168e-05j),537400000
(0.8178799152374268-0.5395666360855103j),(-0.0001947479322552681-9.415671229362488e-06j),538500000
(0.8113638162612915-0.5522528290748596j),(-0.0001602238044142723-3.337301313877106e-05j),539600000
(0.8046334981918335-0.5644465684890747j),(-0.00015855859965085983-1.1597760021686554e-05j),540700000
(0.7974562048912048-0.5764324069023132j),(-0.00019236095249652863-4.353467375040054e-05j),541800000
(0.7899877429008484-0.5887615084648132j),(-0.00019717589020729065+1.0116025805473328e-05j),542900000
(0.7819225192070007-0.600887656211853j),(-0.0001735687255859375-5.0885602831840515e-05j),544000000
(0.7741667628288269-0.613139808177948j),(-0.00018034223467111588-7.733702659606934e-06j),545100000
(0.7659288644790649-0.6250566840171814j),(-0.00016345921903848648+2.6531517505645752e-05j),546200000
(0.757994532585144-0.637152373790741j),(-0.0002050846815109253+8.939765393733978e-06j),547300000
(0.7502527832984924-0.6474778056144714j),(-0.00014019571244716644+2.7008354663848877e-08j),548400000
(0.7414786219596863-0.6600207686424255j),(-0.00020155031234025955-2.5257468223571777e-05j),549500000
(0.7327820658683777-0.6708398461341858j),(-0.00016046687960624695-6.044469773769379e-05j),550600000
(0.7243967056274414-0.6823867559432983j),(-0.00013525132089853287+3.789924085140228e-05j),551700000
(0.715204656124115-0.6944020986557007j),(-0.00018087215721607208+3.0487775802612305e-05j),552800000
(0.7060851454734802-0.7045543193817139j),(-0.00015169847756624222-3.0249357223510742e-05j),553900000
(0.6962115168571472-0.7163373827934265j),(-0.0001897476613521576-2.2232532501220703e-05j),555000000
(0.6875323057174683-0.7268542647361755j),(-0.0001906445249915123-1.6040168702602386e-05j),556100000
(0.6784824132919312-0.7372903227806091j),(-0.0001949714496731758-1.58725306391716e-05j),557200000
(0.6685987114906311-0.7482433319091797j),(-0.00014257710427045822+3.746245056390762e-05j),558300000
(0.6576829552650452-0.7587062120437622j),(-0.0001772567629814148-3.471970558166504e-06j),559400000
(0.6482481360435486-0.7692307829856873j),(-0.0001585148274898529+3.911461681127548e-05j),560500000
(0.637980043888092-0.7799306511878967j),(-0.00018048658967018127+7.426366209983826e-06j),561600000
(0.6281865835189819-0.7898435592651367j),(-0.0001861918717622757+2.4488195776939392e-05j),562700000
(0.6176882982254028-0.7996710538864136j),(-0.0001944471150636673+4.446879029273987e-05j),563800000
(0.6070483326911926-0.810131311416626j),(-0.00014315545558929443+1.850910484790802e-05j),564900000
(0.5952080488204956-0.8202027082443237j),(-0.00011425931006669998-4.384852945804596e-05j),566000000
(0.5856752395629883-0.8298934698104858j),(-0.00014044065028429031-2.513546496629715e-05j),567100000
(0.5736158490180969-0.8384472131729126j),(-0.00018701236695051193+1.6548670828342438e-05j),568200000
(0.5632539987564087-0.8478602766990662j),(-0.00016348622739315033-1.0780058801174164e-05j),569300000
(0.5515697002410889-0.8580681085586548j),(-0.000109061598777771+2.4491921067237854e-05j),570400000
(0.5405460000038147-0.867060661315918j),(-0.0001122988760471344+2.898089587688446e-05j),571500000
(0.5288611650466919-0.875525176525116j),(-0.00017409026622772217+2.9471702873706818e-05j),572600000
