S11,S21,freq
(0.9520025253295898-0.06929083168506622j),(-0.00019397586584091187-0.000130348838865757j),500000000
(0.9527565240859985-0.08460266143083572j),(-0.00017804931849241257-0.00012679491192102432j),501100000
(0.9515571594238281-0.09799124300479889j),(-0.00010000262409448624-7.254630327224731e-05j),502200000
(0.9501203298568726-0.11153867840766907j),(-0.00023444555699825287-0.0001269206404685974j),503300000
(0.9489319324493408-0.126052126288414j),(-0.00020883604884147644-9.88207757472992e-05j),504400000
(0.9469180107116699-0.1396278738975525j),(-0.0002105003222823143-0.00014222878962755203j),505500000
(0.9449278116226196-0.15385794639587402j),(-0.0001837126910686493-6.714649498462677e-05j),506600000
(0.9432730674743652-0.16717946529388428j),(-0.00017490610480308533-0.00011165440082550049j),507700000
(0.9413445591926575-0.181606262922287j),(-0.00017650332301855087-7.401313632726669e-05j),508800000
(0.9398824572563171-0.19575493037700653j),(-0.00017577223479747772-5.2823685109615326e-05j),509900000
(0.9369926452636719-0.20916880667209625j),(-0.00017646048218011856-7.069762796163559e-05j),511000000
(0.9340717792510986-0.2237856537103653j),(-0.00016211532056331635-7.517170161008835e-05j),512100000
(0.931530237197876-0.2379114329814911j),(-0.00017771776765584946-8.365698158740997e-05j),513200000
(0.9282681345939636-0.2509954571723938j),(-0.0001838812604546547-8.405651897192001e-05j),514300000
(0.9250105619430542-0.2646535336971283j),(-0.00015929806977510452-7.706042379140854e-05j),515400000
(0.9220160245895386-0.2771967947483063j),(-0.0001563597470521927-0.00010789092630147934j),516500000
(0.9184895753860474-0.291985422372818j),(-0.00017759203910827637-6.712134927511215e-05j),517600000
(0.9148732423782349-0.3054269254207611j),(-0.00018219463527202606-9.313877671957016e-05j),518700000
(0.9105384349822998-0.3184491991996765j),(-0.00016918033361434937-4.751421511173248e-05j),519800000
(0.9068250060081482-0.33297035098075867j),(-0.00018320418894290924-2.6347115635871887e-05j),520900000
(0.9021833539009094-0.34535911679267883j),(-0.0001878160983324051-3.777444362640381e-05j),522000000
(0.8980234861373901-0.3594233989715576j),(-0.00014138780534267426-3.93986701965332e-05j),523100000
(0.893648087978363-0.37280985713005066j),(-0.0001631900668144226-1.5436671674251556e-05j),524200000
(0.8892602920532227-0.3853676915168762j),(-0.0001790747046470642-7.54818320274353e-05j),525300000
(0.8837919235229492-0.3992176353931427j),(-0.00015826988965272903-3.1869858503341675e-05j),526400000
(0.8791490197181702-0.41142135858535767j),(-0.00015094038099050522-2.1336600184440613e-06j),527500000
(0.8735220432281494-0.42514118552207947j),(-0.00020446628332138062-3.064330667257309e-05j),528600000
(0.8677380084991455-0.4381961524486542j),(-0.00018148962408304214-3.549829125404358e-05j),529700000
(0.8621925115585327-0.45176342129707336j),(-0.00021850783377885818-6.397627294063568e-05j),530800000
(0.8567351698875427-0.4639761745929718j),(-0.00020579248666763306-3.054458647966385e-05j),531900000
(0.8508766889572144-0.4769638776779175j),(-0.00018931645900011063-1.0123476386070251e-05j),533000000
(0.8442649841308594-0.48936721682548523j),(-0.00016079191118478775-3.072712570428848e-05j),534100000
(0.8386673927307129-0.5021646618843079j),(-0.00012716744095087051+7.312744855880737e-06j),535200000
(0.831935703754425-0.5146110653877258j),(-0.00022566132247447968-3.530830144882202e-05j),536300000
(0.8251714110374451-0.527801513671875j),(-0.00012334901839494705-2.2907741367816925e-05j),537400000
(0.8183809518814087-0.5395770072937012j),(-0.00022268202155828476-1.0015442967414856e-05j),538500000
(0.811668872833252-0.5524790287017822j),(-0.00015224236994981766-4.000496119260788e-05j),539600000
(0.8047212362289429-0.5644333958625793j),(-0.00012281443923711777-2.2717751562595367e-05j),540700000
(0.7972143292427063-0.5762882828712463j),(-0.00012914184480905533-5.846843123435974e-06j),541800000
(0.7895821928977966-0.5888533592224121j),(-0.00018173269927501678+1.4258548617362976e-05j),542900000
(0.7821646332740784-0.600673258304596j),(-0.00014932919293642044-3.832392394542694e-05j),544000000
(0.7745072245597839-0.6125773191452026j),(-0.00013776030391454697+9.298324584960938e-06j),545100000
(0.7668535113334656-0.6240943074226379j),(-0.00019699707627296448+4.6572647988796234e-05j),546200000
(0.7585898637771606-0.6364750266075134j),(-0.00013683829456567764-3.7997961044311523e-07j),547300000
(0.7504384517669678-0.6478147506713867j),(-0.00012719165533781052+3.6003999412059784e-05j),548400000
(0.7420802116394043-0.6592810153961182j),(-0.00020939484238624573-6.509013473987579e-06j),549500000
(0.7327884435653687-0.6709991097450256j),(-0.00016952399164438248+3.995280712842941e-05j),550600000
(0.7245151400566101-0.6829920411109924j),(-0.00011361576616764069-8.620321750640869e-06j),551700000
(0.7157465219497681-0.6935945153236389j),(-0.00014321040362119675-1.3212673366069794e-05j),552800000
(0.7053000330924988-0.7053211331367493j),(-0.00014441180974245071-2.7363188564777374e-05j),553900000
(0.6971836090087891-0.715657651424408j),(-0.00016926974058151245-3.11732292175293e-05j),555000000
(0.6883302330970764-0.7267096638679504j),(-0.00014468282461166382+1.7797574400901794e-06j),556100000
(0.6776707172393799-0.7375573515892029j),(-0.00021324027329683304+1.9203871488571167e-06j),557200000
(0.6685507297515869-0.7477893829345703j),(-0.00012445729225873947+5.691312253475189e-06j),558300000
(0.6587701439857483-0.758652925491333j),(-0.00016642920672893524+1.6670674085617065e-07j),559400000
(0.6483938694000244-0.7690955996513367j),(-0.0001779673621058464-9.684823453426361e-06j),560500000
(0.6378823518753052-0.7796127796173096j),(-0.000170120969414711+2.9607675969600677e-05j),561600000
(0.6282373070716858-0.7903504371643066j),(-0.00011450797319412231+9.152945131063461e-05j),562700000
(0.6183406710624695-0.7986713647842407j),(-0.00018438603729009628+1.2023374438285828e-06j),563800000
(0.6071764826774597-0.8096568584442139j),(-0.00012843403965234756+1.0810792446136475e-05j),564900000
(0.5960362553596497-0.8194221258163452j),(-0.00019190087914466858-1.4836899936199188e-05j),566000000
(0.5859745144844055-0.8298904895782471j),(-0.00014922954142093658+5.5812299251556396e-05j),567100000
(0.5750526189804077-0.838918149471283j),(-0.00017717666923999786+5.709752440452576e-05j),568200000
(0.5636012554168701-0.8485020995140076j),(-0.00016360171139240265+3.1327828764915466e-05j),569300000
(0.552282452583313-0.8577622175216675j),(-0.00017002876847982407+2.3767352104187012e-05j),570400000
(0.5403240323066711-0.8673306703567505j),(-0.00016588345170021057+3.4353695809841156e-05j),571500000
(0.5278871655464172-0.8757562041282654j),(-0.00017166975885629654+2.3200176656246185e-05j),572600000
(0.5177013874053955-0.8847859501838684j),(-0.00014679133892059326+3.0545517802238464e-05j),573700000
(0.5051233768463135-0.8934431076049805j),(-0.0001892661675810814+2.4645589292049408e-05j),574800000
(0.49321267008781433-0.9022520780563354j),(-0.0001372275874018669+3.771856427192688e-06j),575900000
(0.4815691113471985-0.9101021885871887j),(-0.0001425761729478836+8.225534111261368e-05j),577000000
(0.46902695298194885-0.9188118577003479j),(-0.00016425736248493195+9.686779230833054e-05j),578100000
(0.4565703272819519-0.9266294836997986j),(-0.00016235001385211945+3.292132169008255e-05j),579200000
(0.44348108768463135-0.9347585439682007j),(-0.000177077017724514+2.3881904780864716e-05j),580300000
(0.4315849840641022-0.9419476389884949j),(-0.00016807671636343002+1.4110468327999115e-05j),581400000
(0.4185277819633484-0.9496896266937256j),(-0.0001734187826514244+3.752671182155609e-05j),582500000
(0.4051249623298645-0.9578011631965637j),(-0.00016071461141109467+9.177252650260925e-06j),583600000
(0.3918265104293823-0.9648333191871643j),(-0.0001720339059829712+5.2803196012973785e-05j),584700000
(0.3789710998535156-0.9715790152549744j),(-0.00019706040620803833+5.30146062374115e-05j),585800000
(0.3656979203224182-0.9796421527862549j),(-0.0001420704647898674+1.039355993270874e-05j),586900000
(0.3528252840042114-0.9856888055801392j),(-0.00014127790927886963+4.719756543636322e-05j),588000000
(0.3400364816188812-0.9920697808265686j),(-0.00015322677791118622-1.4113262295722961e-05j),589100000
(0.32523149251937866-0.9986721277236938j),(-0.00018063373863697052+4.4490210711956024e-05j),590200000
(0.3108564615249634-1.004698634147644j),(-0.00019419007003307343+2.7972273528575897e-05j),591300000
(0.29660770297050476-1.0112247467041016j),(-0.00015439186245203018+1.5055760741233826e-05j),592400000
(0.28345146775245667-1.0165408849716187j),(-0.00014343298971652985+5.5625103414058685e-05j),593500000
(0.26903724670410156-1.0219392776489258j),(-0.0001405058428645134+3.655627369880676e-05j),594600000
(0.255083292722702-1.0278958082199097j),(-0.0001481836661696434+8.058641105890274e-05j),595700000
(0.24045756459236145-1.0335251092910767j),(-0.00018505845218896866+1.3086013495922089e-05j),596800000
(0.22611239552497864-1.0387221574783325j),(-0.0001617642119526863+8.498411625623703e-05j),597900000
(0.21189004182815552-1.0430264472961426j),(-0.00015848781913518906+7.721595466136932e-05j),599000000
(0.19669243693351746-1.0482616424560547j),(-0.0001248735934495926+8.806213736534119e-05j),600100000
(0.18282954394817352-1.0521513223648071j),(-0.0001762285828590393+8.138176053762436e-05j),601200000
(0.16717568039894104-1.0563740730285645j),(-0.00016277749091386795+4.44166362285614e-05j),602300000
(0.15267929434776306-1.0607249736785889j),(-8.793827146291733e-05+9.264331310987473e-05j),603400000
(0.1362994760274887-1.0644803047180176j),(-0.00013996101915836334+7.776450365781784e-05j),604500000
(0.12150805443525314-1.0681684017181396j),(-0.00012847688049077988+0.00012305378913879395j),605600000
(0.10818362981081009-1.071575403213501j),(-0.00013484060764312744+8.935760706663132e-05j),606700000
(0.09170155972242355-1.0736719369888306j),(-0.0001760544255375862+7.77319073677063e-05j),607800000
(0.0758688822388649-1.0780836343765259j),(-0.00016787834465503693+9.875744581222534e-05j),608900000
(0.060784582048654556-1.07961905002594j),(-0.00018199533224105835+0.00011362042278051376j),610000000
(0.06209111213684082-1.0807206630706787j),(-0.00013293325901031494+8.318573236465454e-05j),610000000
(0.045606162399053574-1.082086205482483j),(-0.00019474327564239502+6.212946027517319e-05j),611100000
(0.02917119301855564-1.0849627256393433j),(-0.00015964265912771225+6.921682506799698e-05j),612200000
(0.014023175463080406-1.086846947669983j),(-0.0001735379919409752+7.56625086069107e-05j),613300000
(-0.0021529421210289-1.0881088972091675j),(-0.00011426489800214767+9.669549763202667e-05j),614400000
(-0.016447879374027252-1.0913455486297607j),(-0.0001391526311635971+0.00013358891010284424j),615500000
(-0.03353801369667053-1.0921454429626465j),(-0.0001196879893541336+6.350502371788025e-05j),616600000
(-0.04902129992842674-1.0937401056289673j),(-0.00016715936362743378+0.000100686214864254j),617700000
(-0.06504766643047333-1.0934525728225708j),(-0.00013280287384986877+0.0001398501917719841j),618800000
(-0.08085789531469345-1.0948237180709839j),(-0.0001222575083374977+0.0001217089593410492j),619900000
(-0.09644277393817902-1.0941941738128662j),(-0.00015325751155614853+0.00010192207992076874j),621000000
(-0.11303294450044632-1.094699501991272j),(-0.00012982822954654694+9.837653487920761e-05j),622100000
(-0.1298280507326126-1.0946085453033447j),(-0.00010864902287721634+0.00013323035091161728j),623200000
