S11,S21,freq
(0.053808316588401794+0.5014235973358154j),(0.023723995313048363+0.08879078179597855j),5200000000
(0.05780003219842911+0.5003101229667664j),(0.0238958653062582+0.08879812061786652j),5200500000
(0.06283393502235413+0.500860333442688j),(0.024813424795866013+0.08848396688699722j),5201000000
(0.06667738407850266+0.499557763338089j),(0.025846760720014572+0.08798836171627045j),5201500000
(0.070954829454422+0.4990655183792114j),(0.026306360960006714+0.0877218171954155j),5202000000
(0.07481319457292557+0.4984923005104065j),(0.026913857087492943+0.08742927759885788j),5202500000
(0.0763901025056839+0.49751684069633484j),(0.027196235954761505+0.08746974915266037j),5203000000
(0.0821666419506073+0.4944731593132019j),(0.028421621769666672+0.08656775206327438j),5203500000
(0.0852561965584755+0.49618664383888245j),(0.028586799278855324+0.08679579943418503j),5204000000
(0.08872377872467041+0.49546658992767334j),(0.029778216034173965+0.08634590357542038j),5204500000
(0.09089203178882599+0.4946345090866089j),(0.02986273542046547+0.08616754412651062j),5205000000
(0.09969042241573334+0.49197739362716675j),(0.031142788007855415+0.08598971366882324j),5205500000
(0.10079148411750793+0.4915831685066223j),(0.031434569507837296+0.08544670790433884j),5206000000
(0.10394178330898285+0.4919484853744507j),(0.03253062814474106+0.08502461761236191j),5206500000
(0.10812592506408691+0.48914819955825806j),(0.032836683094501495+0.08474332839250565j),5207000000
(0.11133359372615814+0.4892350137233734j),(0.033645760267972946+0.0843106284737587j),5207500000
(0.11285100877285004+0.4893304109573364j),(0.034215670078992844+0.08439679443836212j),5208000000
(0.1202162429690361+0.48687198758125305j),(0.03525704890489578+0.08368974924087524j),5208500000
(0.1207600012421608+0.48636263608932495j),(0.03519029915332794+0.08389511704444885j),5209000000
(0.12836579978466034+0.484188050031662j),(0.03657950460910797+0.08311082422733307j),5209500000
(0.12811405956745148+0.48365962505340576j),(0.03658444061875343+0.08314065635204315j),5210000000
(0.1328647881746292+0.48179471492767334j),(0.03708444535732269+0.08262040466070175j),5210500000
(0.13459183275699615+0.48160848021507263j),(0.03760158643126488+0.08236528187990189j),5211000000
(0.14294418692588806+0.4788663387298584j),(0.03871069848537445+0.081837497651577j),5211500000
(0.14475665986537933+0.4788611829280853j),(0.03915148228406906+0.08165037631988525j),5212000000
(0.15045540034770966+0.4765124022960663j),(0.040174730122089386+0.08098744601011276j),5212500000
(0.15149232745170593+0.47709575295448303j),(0.04046120494604111+0.08102205395698547j),5213000000
(0.15379565954208374+0.47326263785362244j),(0.040770817548036575+0.08034048229455948j),5213500000
(0.15907666087150574+0.47259417176246643j),(0.04181355610489845+0.08011249452829361j),5214000000
(0.16379137337207794+0.4714778661727905j),(0.041818615049123764+0.08006416261196136j),5214500000
(0.16744977235794067+0.46931174397468567j),(0.04312564805150032+0.0795002281665802j),5215000000
(0.17043305933475494+0.4670541286468506j),(0.043148383498191833+0.07903694361448288j),5215500000
(0.17808063328266144+0.4640248715877533j),(0.044030431658029556+0.07865121960639954j),5216000000
(0.1772603988647461+0.463710218667984j),(0.044498469680547714+0.0780947357416153j),5216500000
(0.1809552162885666+0.46237674355506897j),(0.045264989137649536+0.07793162763118744j),5217000000
(0.18584440648555756+0.4602139890193939j),(0.04561354219913483+0.07765167951583862j),5217500000
(0.1873447299003601+0.45868992805480957j),(0.04629907384514809+0.07703421264886856j),5218000000
(0.19246342778205872+0.45716699957847595j),(0.047376472502946854+0.07611916959285736j),5218500000
(0.19749726355075836+0.4547517001628876j),(0.04781808331608772+0.07596508413553238j),5219000000
(0.19658251106739044+0.45438387989997864j),(0.04737067595124245+0.07623414695262909j),5219500000
(0.20548757910728455+0.45142030715942383j),(0.049214720726013184+0.07525866478681564j),5220000000
(0.2037137895822525+0.45050132274627686j),(0.04859698936343193+0.07537800818681717j),5220500000
(0.21039944887161255+0.4471798539161682j),(0.04998517781496048+0.07428200542926788j),5221000000
(0.21257229149341583+0.44557544589042664j),(0.050201866775751114+0.07402820885181427j),5221500000
(0.2162102460861206+0.44346824288368225j),(0.050755757838487625+0.07382543385028839j),5222000000
(0.21953924000263214+0.4414743483066559j),(0.05114771053195+0.07313786447048187j),5222500000
(0.2238757163286209+0.43929463624954224j),(0.0522470623254776+0.07254371792078018j),5223000000
(0.22698503732681274+0.4371228516101837j),(0.05274360626935959+0.07210592180490494j),5223500000
(0.23271994292736053+0.43379512429237366j),(0.053301140666007996+0.0714351162314415j),5224000000
(0.23220962285995483+0.4328070878982544j),(0.05353166162967682+0.07147281616926193j),5224500000
(0.23880240321159363+0.429431676864624j),(0.05392557010054588+0.07092836499214172j),5225000000
(0.2421703040599823+0.42624062299728394j),(0.05484195426106453+0.07000580430030823j),5225500000
(0.24585272371768951+0.4226814806461334j),(0.05509581416845322+0.06948072463274002j),5226000000
(0.24586422741413116+0.42207029461860657j),(0.05579741671681404+0.06886991858482361j),5226500000
(0.2483183741569519+0.4200499653816223j),(0.0555986613035202+0.06910738348960876j),5227000000
(0.25415343046188354+0.41664767265319824j),(0.056720588356256485+0.06796335428953171j),5227500000
(0.2588050365447998+0.41197946667671204j),(0.057386018335819244+0.06729301065206528j),5228000000
(0.25997430086135864+0.41204965114593506j),(0.05778725445270538+0.06711668521165848j),5228500000
(0.26161104440689087+0.4092937111854553j),(0.057354312390089035+0.06704213470220566j),5229000000
(0.2653588354587555+0.4078816771507263j),(0.0580180324614048+0.066556416451931j),5229500000
(0.2693692445755005+0.403077095746994j),(0.058405183255672455+0.06584834307432175j),5230000000
(0.2705756425857544+0.4008762836456299j),(0.05890718847513199+0.06516148895025253j),5230500000
(0.2761632204055786+0.39749571681022644j),(0.059533681720495224+0.06474678963422775j),5231000000
(0.2814532220363617+0.3935387432575226j),(0.06084046512842178+0.06338544934988022j),5231500000
(0.28511643409729004+0.39100947976112366j),(0.06036495789885521+0.06362923234701157j),5232000000
(0.2829858958721161+0.3906266987323761j),(0.06080238148570061+0.0632684975862503j),5232500000
(0.2888292372226715+0.3849528431892395j),(0.061329856514930725+0.06244087219238281j),5233000000
(0.2927301824092865+0.38101738691329956j),(0.06204294413328171+0.06137363612651825j),5233500000
(0.2937079071998596+0.3811006546020508j),(0.06209506466984749+0.06129482388496399j),5234000000
(0.2983410656452179+0.37678849697113037j),(0.0627538189291954+0.060629624873399734j),5234500000
(0.2994009554386139+0.3746442496776581j),(0.062458597123622894+0.06067478656768799j),5235000000
(0.3010557293891907+0.37223467230796814j),(0.0629952996969223+0.06003521755337715j),5235500000
(0.30580171942710876+0.3676706552505493j),(0.06350494921207428+0.05929876118898392j),5236000000
(0.3086908459663391+0.363661527633667j),(0.06392069905996323+0.05856077000498772j),5236500000
(0.31019946932792664+0.36226820945739746j),(0.06437408179044724+0.05791449174284935j),5237000000
(0.314212828874588+0.35804545879364014j),(0.06490057706832886+0.057587362825870514j),5237500000
(0.3147335350513458+0.3558301031589508j),(0.06438548117876053+0.05775836482644081j),5238000000
(0.31947362422943115+0.3505324125289917j),(0.06558375060558319+0.056518323719501495j),5238500000
(0.3228771984577179+0.34728965163230896j),(0.06578030437231064+0.05610018968582153j),5239000000
(0.3244164288043976+0.3446233570575714j),(0.06622766703367233+0.05530281364917755j),5239500000
(0.32435598969459534+0.34280920028686523j),(0.06588754802942276+0.05552557483315468j),5240000000
(0.3294861316680908+0.339006632566452j),(0.06666091084480286+0.05458248779177666j),5240500000
(0.33142322301864624+0.33373698592185974j),(0.06682988256216049+0.05413176864385605j),5241000000
(0.33625733852386475+0.32914286851882935j),(0.06766930222511292+0.05290349945425987j),5241500000
(0.33539465069770813+0.3266391158103943j),(0.06732364743947983+0.053030531853437424j),5242000000
(0.33934298157691956+0.32130804657936096j),(0.06806729733943939+0.052041392773389816j),5242500000
(0.33909904956817627+0.3214491009712219j),(0.06775759160518646+0.05232091620564461j),5243000000
(0.34470218420028687+0.31504756212234497j),(0.06890340149402618+0.050830721855163574j),5243500000
(0.3455673158168793+0.313231885433197j),(0.06874081492424011+0.0509650856256485j),5244000000
(0.3496758043766022+0.30666041374206543j),(0.06941520422697067+0.04971304163336754j),5244500000
(0.3496471047401428+0.3051567077636719j),(0.06986748427152634+0.049156635999679565j),5245000000
(0.3516034781932831+0.3017808198928833j),(0.06991977244615555+0.04879159852862358j),5245500000
(0.35384687781333923+0.2974139451980591j),(0.06999941915273666+0.0487067811191082j),5246000000
(0.35761821269989014+0.2920531928539276j),(0.07081830501556396+0.04735732823610306j),5246500000
(0.35652562975883484+0.29077327251434326j),(0.07061636447906494+0.04739744961261749j),5247000000
(0.3612985610961914+0.2844129204750061j),(0.07102315127849579+0.04644935205578804j),5247500000
(0.36034104228019714+0.28416332602500916j),(0.07087161391973495+0.04651752486824989j),5248000000
