S11,S21,freq
(0.49603578448295593+0.8576133251190186j),(-2.6069581508636475e-05+8.164159953594208e-05j),500000000
(0.5065649151802063+0.8503060340881348j),(-1.4624558389186859e-05+3.688223659992218e-05j),501100000
(0.5167391300201416+0.8424540162086487j),(-1.5459954738616943e-06+4.842691123485565e-05j),502200000
(0.5264734029769897+0.8362079858779907j),(-2.6549212634563446e-05+7.212720811367035e-05j),503300000
(0.5354043841362+0.828378438949585j),(-8.473172783851624e-06-1.4736317098140717e-05j),504400000
(0.5458952784538269+0.8203610181808472j),(2.6242807507514954e-05+6.732530891895294e-05j),505500000
(0.55430668592453+0.814025342464447j),(-1.0356307029724121e-05+2.2123567759990692e-05j),506600000
(0.5644996762275696+0.8053478598594666j),(3.7923455238342285e-06+2.3012980818748474e-05j),507700000
(0.5739238858222961+0.7978119254112244j),(-1.2712553143501282e-05+4.793517291545868e-06j),508800000
(0.5828723311424255+0.7907490730285645j),(3.3843331038951874e-05+2.3446977138519287e-05j),509900000
(0.5922449231147766+0.7824960350990295j),(1.9962899386882782e-05+2.3443251848220825e-05j),511000000
(0.6016303896903992+0.7743628621101379j),(2.03670933842659e-05+3.2053329050540924e-05j),512100000
(0.6101340055465698+0.7662221193313599j),(4.476867616176605e-06+3.129616379737854e-05j),513200000
(0.6187440752983093+0.7578938603401184j),(5.54695725440979e-06+5.4615549743175507e-05j),514300000
(0.6268659830093384+0.7494233846664429j),(-2.4597160518169403e-05+3.060232847929001e-05j),515400000
(0.6361806988716125+0.7415611147880554j),(2.104043960571289e-05+3.0975788831710815e-06j),516500000
(0.6439741849899292+0.7330979108810425j),(2.798624336719513e-06-4.404596984386444e-05j),517600000
(0.6530108451843262+0.7240415215492249j),(-1.6351230442523956e-05+2.78521329164505e-05j),518700000
(0.6604837775230408+0.7163608074188232j),(2.099759876728058e-05-7.97118991613388e-06j),519800000
(0.668728232383728+0.7072125673294067j),(-1.9881874322891235e-05+1.883041113615036e-05j),520900000
(0.6774629950523376+0.6980125904083252j),(8.718110620975494e-06-5.453824996948242e-06j),522000000
(0.6848723888397217+0.6903855800628662j),(1.1777505278587341e-05+3.7797726690769196e-05j),523100000
(0.6930599808692932+0.680600106716156j),(1.9866041839122772e-05+5.185604095458984e-06j),524200000
(0.700032114982605+0.6720154285430908j),(3.56622040271759e-05+1.1121854186058044e-05j),525300000
(0.7083050608634949+0.6619490385055542j),(5.515292286872864e-06-2.8582289814949036e-05j),526400000
(0.7162333726882935+0.6530637145042419j),(5.418248474597931e-05-4.75030392408371e-05j),527500000
(0.7229030132293701+0.6442667841911316j),(1.2654811143875122e-05+5.1534734666347504e-05j),528600000
(0.7302606701850891+0.6349714994430542j),(2.255011349916458e-05+5.037989467382431e-05j),529700000
(0.7372094392776489+0.6255033016204834j),(3.036949783563614e-05-6.844289600849152e-06j),530800000
(0.7450800538063049+0.6163685321807861j),(3.070756793022156e-05+4.0271319448947906e-05j),531900000
(0.7518405318260193+0.6063991189002991j),(2.3749656975269318e-05+9.652785956859589e-05j),533000000
(0.7587679028511047+0.5967304706573486j),(2.7271918952465057e-05+4.30205836892128e-05j),534100000
(0.7650865316390991+0.587591826915741j),(9.295530617237091e-06+1.3178214430809021e-05j),535200000
(0.7717171907424927+0.5777677297592163j),(3.430899232625961e-05-4.980713129043579e-06j),536300000
(0.7788929343223572+0.5671941041946411j),(-5.820766091346741e-07-9.949319064617157e-06j),537400000
(0.7846438884735107+0.559148371219635j),(8.485279977321625e-06+3.0510127544403076e-05j),538500000
(0.7911016941070557+0.5479105710983276j),(2.7165748178958893e-05+1.2010335922241211e-05j),539600000
(0.7971884608268738+0.5379952192306519j),(5.4185278713703156e-05+2.04574316740036e-05j),540700000
(0.802710235118866+0.5280990600585938j),(2.569146454334259e-05+3.5393983125686646e-05j),541800000
(0.8097668290138245+0.518222451210022j),(5.795340985059738e-05+1.1595897376537323e-05j),542900000
(0.815074622631073+0.5079354047775269j),(2.873595803976059e-05+3.0444934964179993e-05j),544000000
(0.821256160736084+0.49778231978416443j),(1.8476508557796478e-05-5.815178155899048e-06j),545100000
(0.8265159726142883+0.4887242019176483j),(1.912470906972885e-05+1.2113712728023529e-05j),546200000
(0.8314128518104553+0.47843044996261597j),(1.1175870895385742e-06+5.2265822887420654e-06j),547300000
(0.8376907706260681+0.4677504897117615j),(4.026107490062714e-06+1.606810837984085e-05j),548400000
(0.8422223925590515+0.45779314637184143j),(7.518846541643143e-05+6.711576133966446e-05j),549500000
(0.8477616310119629+0.44626033306121826j),(5.8317556977272034e-05-6.048474460840225e-05j),550600000
(0.8531950116157532+0.4368646442890167j),(2.8129667043685913e-05-2.308189868927002e-05j),551700000
(0.8577141165733337+0.42561405897140503j),(5.3081661462783813e-05+1.0269694030284882e-05j),552800000
(0.8628072142601013+0.4145553708076477j),(5.2708201110363007e-05+3.037974238395691e-06j),553900000
(0.8665732145309448+0.40497899055480957j),(2.2143125534057617e-05-1.8477439880371094e-06j),555000000
(0.8719624280929565+0.3949022591114044j),(2.4536624550819397e-05-4.430301487445831e-06j),556100000
(0.876161515712738+0.3835451602935791j),(2.447608858346939e-05+1.832377165555954e-05j),557200000
(0.8797876238822937+0.37393561005592346j),(4.6642497181892395e-05+4.8004090785980225e-05j),558300000
(0.8848040699958801+0.3623470067977905j),(6.258860230445862e-05+1.3987533748149872e-05j),559400000
(0.888605535030365+0.3522135019302368j),(1.834426075220108e-05+5.645584315061569e-05j),560500000
(0.893547534942627+0.3408961594104767j),(4.260241985321045e-05+7.47358426451683e-05j),561600000
(0.8968750834465027+0.3307653069496155j),(-2.72504985332489e-06+1.0579824447631836e-05j),562700000
(0.9002683758735657+0.3205675482749939j),(2.05235555768013e-05+9.67457890510559e-06j),563800000
(0.9045326709747314+0.30881643295288086j),(-6.076879799365997e-06+3.627315163612366e-05j),564900000
(0.9076116681098938+0.29795020818710327j),(1.566018909215927e-05-7.0426613092422485e-06j),566000000
(0.9116950631141663+0.28726691007614136j),(2.621859312057495e-05+6.859004497528076e-05j),567100000
(0.9145559668540955+0.2762511372566223j),(4.623085260391235e-06+3.27378511428833e-05j),568200000
(0.9174631834030151+0.26567232608795166j),(2.272333949804306e-05+1.3641081750392914e-05j),569300000
(0.9212518334388733+0.2553357779979706j),(8.35023820400238e-06+1.8366612493991852e-05j),570400000
