S11,S21,freq
(0.17761187687953103+0.12501939114600807j),(0.37429246380668546+0.10690756081658412j),1400000000
(0.17924539626294422+0.12161825741835285j),(0.3759525276296378+0.09875934316134197j),1400150000
(0.18078633784178147+0.11819445821531546j),(0.379280095016772+0.0886514949647912j),1400300000
(0.18252045402834477+0.11424350634724095j),(0.38117427164881257+0.0792802394700661j),1400450000
(0.18447202136272592+0.11060817832538572j),(0.38288492606732316+0.0689391881570536j),1400600000
(0.18538745564545409+0.1071922101254084j),(0.38490477224637937+0.06075879957477172j),1400750000
(0.18700772339576355+0.10310322764805403j),(0.38559972668341985+0.05056210075176231j),1400900000
(0.18832364988052122+0.09933236818418402j),(0.38683169627116654+0.040152529479746485j),1401050000
(0.18928120466601736+0.09543355403470104j),(0.387332017669375+0.03155625381081318j),1401200000
(0.19063184791588758+0.09143986690055912j),(0.3879356210310249+0.019774091569801647j),1401350000
(0.19143231061230595+0.08749714132458332j),(0.3883249214371835+0.011138917498022621j),1401500000
(0.1924187605816687+0.08344738498863592j),(0.3881440653279206+0.001434996786275186j),1401650000
(0.1929606518758781+0.07958271950375494j),(0.3881694890622441-0.008242558096871758j),1401800000
(0.19387966963994968+0.07538963038188856j),(0.3875920177954968-0.018839653916506518j),1401950000
(0.1944185701753027+0.07124238127501094j),(0.3866096387377781-0.02875111322077858j),1402100000
(0.1945356615287982+0.06724056333067156j),(0.3858528673610445-0.037038793422961805j),1402250000
(0.19506817268611837+0.06292597243153078j),(0.3841755103838743-0.04733792921703733j),1402400000
(0.19540984447174042+0.05870506597922327j),(0.3832093852031878-0.05734220912010763j),1402550000
(0.19541655699541002+0.05435127366257123j),(0.38146609252599845-0.06735287310202168j),1402700000
(0.19527761364280424+0.05012443392872377j),(0.3797141171215955-0.0761861223084545j),1402850000
(0.1950006089477789+0.04595229904585809j),(0.3769989637900501-0.08469653315176219j),1403000000
(0.1948601831978346+0.041665881340337656j),(0.37482915412824147-0.09556689999131011j),1403150000
(0.19440100210690298+0.03742398939609842j),(0.3725745362527296-0.10422222598281336j),1403300000
(0.19402191057612042+0.03314327985554091j),(0.36969875625812393-0.11392998788231129j),1403450000
(0.193430492418054+0.0289574244768227j),(0.36656429137088664-0.12251507592499543j),1403600000
(0.19293514149428193+0.024570124426058798j),(0.36297523236203466-0.132287946469417j),1403750000
(0.1918672389205329+0.020453448359059764j),(0.35966552615663666-0.14113470193752728j),1403900000
(0.19102450853266478+0.016349894480460567j),(0.35546751060384485-0.14959448995127966j),1404050000
(0.1898538232670932+0.011962051838604375j),(0.3516284093313353-0.1595632157295148j),1404200000
(0.1888161218061503+0.008129925469658789j),(0.3473489694520588-0.167291118230341j),1404350000
(0.18744666755874081+0.0037349336845295057j),(0.3433192361769073-0.1770440172858587j),1404500000
(0.18599097553587216-0.0004656844847511336j),(0.3384987482346802-0.18497132110542855j),1404650000
(0.18446282763442434-0.004348525973782073j),(0.33320853848577453-0.19419856221091908j),1404800000
(0.18278854898655994-0.008222743194001594j),(0.3280486858746057-0.20275276695237046j),1404950000
(0.18101090506460235-0.012205691926545057j),(0.3224035900602824-0.21027380880214444j),1405100000
(0.17919833125917062-0.015989746257191125j),(0.3171034177262028-0.2188462329355634j),1405250000
(0.17709813894093518-0.02009008043487293j),(0.3117777344386691-0.22648127730189327j),1405400000
(0.1752192733830991-0.02385681661540852j),(0.30564988207848376-0.2349537577461042j),1405550000
(0.1727506584480418-0.02733664318716052j),(0.29908598674142234-0.24191022707106147j),1405700000
(0.17054765122432852-0.03140952725481602j),(0.292615557781441-0.25005159373678226j),1405850000
(0.16819666231746816-0.03478828311553587j),(0.2863668882309356-0.2570602888172825j),1406000000
(0.16549521316931395-0.038391905783581606j),(0.2791966049173517-0.26448187791112526j),1406150000
(0.1629455293212803-0.0419092356208407j),(0.2732483888656468-0.27090973879500413j),1406300000
(0.16033391572575423-0.045337968998816466j),(0.26609943673369657-0.2774028505601984j),1406450000
(0.15738418208468982-0.04866187261313241j),(0.25818963312973886-0.28512154705053516j),1406600000
(0.15442237698258646-0.05197188420741456j),(0.2513989318652659-0.29119199359159337j),1406750000
(0.1512856696092375-0.05515993422447165j),(0.24345978560822562-0.29771372325523376j),1406900000
(0.14829273683388167-0.05838134654205962j),(0.23658256989403872-0.3028856470093907j),1407050000
(0.144787640259718-0.06126126470875596j),(0.2280821423063351-0.3093366548448039j),1407200000
(0.14171988050615467-0.06415338874790492j),(0.22001216744664526-0.31473891325888464j),1407350000
(0.13815940730876197-0.06707042665426263j),(0.21238262049016532-0.32003416844212657j),1407500000
(0.1348831931884697-0.06985912031084396j),(0.20366105307420834-0.325743060427591j),1407650000
(0.13128461268681388-0.07229344483104518j),(0.19562996597456006-0.33025345121402816j),1407800000
(0.1275710262564204-0.07496410245621374j),(0.186462639609073-0.33553390316521237j),1407950000
(0.1241433138276345-0.07741801708453201j),(0.17845842591049507-0.3396880453168896j),1408100000
(0.12028659947646071-0.07956325929967063j),(0.16917527233893195-0.34441504437839887j),1408250000
(0.11643698664337859-0.08204722075034292j),(0.1610266856678244-0.34854263973557137j),1408400000
(0.11251985599739042-0.08389747391846979j),(0.15156959270216347-0.3523652410562287j),1408550000
(0.10873333265344247-0.08602132745065483j),(0.14281746514539315-0.3558908614891374j),1408700000
(0.10452472087274034-0.08786594966965798j),(0.13356223815817606-0.35928732131524155j),1408850000
(0.10061881310151016-0.08967252829859057j),(0.12358904109745363-0.3628022358141413j),1409000000
(0.09653289494971957-0.0912803239385659j),(0.11526776822173614-0.36560549602182574j),1409150000
(0.09231430820026154-0.09265045461605785j),(0.10490243715673543-0.36863612113878097j),1409300000
(0.08809164836402962-0.09401888176561023j),(0.09571518302594383-0.3706899864847425j),1409450000
(0.08401102313923396-0.09555524372011732j),(0.08601027687792094-0.37324572819375235j),1409600000
(0.07976661092332717-0.0964773542741533j),(0.07642861771450146-0.375178004557331j),1409750000
(0.07550617185522708-0.09761106225796923j),(0.06645011080187771-0.3769788662179832j),1409900000
(0.07134525852443403-0.09859748595998757j),(0.0571790469609048-0.3781721131185067j),1410050000
(0.06693798885241763-0.09928567441296131j),(0.047006769093809325-0.37966577421870834j),1410200000
(0.06258865374674172-0.10016505947498819j),(0.03682454739078715-0.3807715717702261j),1410350000
(0.058106051223146625-0.10059175743693052j),(0.027366330907045173-0.38169503162698654j),1410500000
(0.05370100294777949-0.10071232288078825j),(0.01731841689199458-0.3820395623337495j),1410650000
(0.04989102496116242-0.10118997186407613j),(0.007470230819067746-0.38222788535933966j),1410800000
(0.04548282048876614-0.10153266731577613j),(-0.003015349742339534-0.38236909731767554j),1410950000
(0.041176325817272506-0.1016940865953932j),(-0.01191673860822749-0.3819902389300724j),1411100000
(0.036524048226669714-0.10147537886993402j),(-0.022853736953424245-0.38145452457664786j),1411250000
(0.032547893293894695-0.10126610812854796j),(-0.033504412012563635-0.3807342265646406j),1411400000
(0.027836768055767853-0.10091980047137496j),(-0.042549886918610884-0.37955430340138235j),1411550000
(0.023578203602260768-0.100474767578921j),(-0.05276644540646282-0.37823328177279414j),1411700000
(0.01957056618250348-0.09977762396581552j),(-0.06223474931014422-0.3767199160333373j),1411850000
(0.01524767113674587-0.09915524151148358j),(-0.07252397940571212-0.374920774643196j),1412000000
(0.010874459892650406-0.0985413529675218j),(-0.0818172042329147-0.37314766422383605j),1412150000
(0.006919982206736046-0.09751991127589542j),(-0.09094566260148496-0.3706372309429402j),1412300000
(0.002495523971181364-0.09636514714811041j),(-0.10061550081514321-0.3680612246653135j),1412450000
(-0.0016591668076419296-0.09519908497624197j),(-0.11032046485098275-0.36505566293492975j),1412600000
(-0.005870427058235051-0.09349221380299169j),(-0.12041719842654774-0.36112459841848904j),1412750000
(-0.00978912259242286-0.09235453418965948j),(-0.12882263489534448-0.3586153592886628j),1412900000
(-0.014223377609740415-0.09032546484679299j),(-0.13926731322165198-0.35466051745122307j),1413050000
(-0.01782731542383656-0.08902598715267394j),(-0.14711708281884203-0.351270949309593j),1413200000
(-0.022258234927014637-0.08738875922367248j),(-0.15759182669912905-0.34722153988621657j),1413350000
(-0.02566746204946196-0.08551258210156312j),(-0.16543748885360926-0.3425935157900357j),1413500000
(-0.029188213423891766-0.08381374219326608j),(-0.1735861240360739-0.3384253398835109j),1413650000
(-0.03323394863037762-0.08110757411662627j),(-0.18368830158426167-0.33274104598140514j),1413800000
(-0.03730997604791616-0.07896202963071622j),(-0.1916888260676203-0.3281642295966521j),1413950000
(-0.04053515240402565-0.07711613436526242j),(-0.19970266627871217-0.3229995803814106j),1414100000
(-0.04409251050258943-0.07475173478644603j),(-0.2078350409709571-0.31746040990377605j),1414250000
(-0.047842931398709834-0.07178683349926294j),(-0.21737406225522587-0.3107750643378922j),1414400000
(-0.051029833919090974-0.06999120072979984j),(-0.2238737579213723-0.3068401370889905j),1414550000
(-0.05422487955511905-0.06667241474404577j),(-0.23299727885131277-0.29886297049374283j),1414700000
(-0.057272038565352845-0.06475249153852199j),(-0.23889892372802318-0.29382430235242485j),1414850000
(-0.060764362131698925-0.061465260962236756j),(-0.24749479916724923-0.2858038943125562j),1415000000
(-0.06049650787701592-0.06139626936173781j),(-0.2474507520225465-0.28609393614211054j),1415000000
(-0.06326009567748886-0.05906428532078646j),(-0.25356360095767333-0.28010013481499574j),1415150000
(-0.06655345795916906-0.055613159503130276j),(-0.26177136027834197-0.27213223262821074j),1415300000
(-0.06917345687553064-0.05257417790984473j),(-0.2686882593304106-0.26526279410457354j),1415450000
(-0.0722514509716699-0.049253434413835624j),(-0.27528604461616724-0.2582016818860336j),1415600000
(-0.0755452279231782-0.045966861358544574j),(-0.2834224075952182-0.25038179495992685j),1415750000
(-0.07762291190490461-0.04325216681863254j),(-0.2879543690268444-0.24328122810674893j),1415900000
(-0.08001971926250454-0.03945537885824803j),(-0.294672480316592-0.23453228841175183j),1416050000
(-0.08287503850508601-0.03620092866131685j),(-0.3015632319895214-0.22679283991664834j),1416200000
(-0.08475522260050203-0.03246612226048742j),(-0.3067654186548883-0.2176893326492395j),1416350000
(-0.08653014446752912-0.02967004380459168j),(-0.3109757220807526-0.21012817300439296j),1416500000
(-0.08894000348831624-0.025598566706434008j),(-0.3170641028131069-0.20183150328189903j),1416650000
(-0.0911550227133218-0.021762661716925917j),(-0.32263707862695856-0.19267716601488855j),1416800000
(-0.0927415710298029-0.017972712409800955j),(-0.327204401795098-0.18392283370668044j),1416950000
(-0.09493136731912444-0.014321781410663146j),(-0.33188898647161413-0.17587130931180114j),1417100000
(-0.09643249338465848-0.010939791806328689j),(-0.3362462568886498-0.16663116346947196j),1417250000
(-0.09771679333465598-0.006850185331403835j),(-0.34013089580771694-0.157123430702688j),1417400000
(-0.09917410227101107-0.0024595974315590103j),(-0.344625585391282-0.14721613086413043j),1417550000
(-0.10062072067816179+0.0006612239382139657j),(-0.34779529363143513-0.13891280516858642j),1417700000
(-0.10187158900590201+0.0050002452056049j),(-0.3514569776229058-0.12890625919653279j),1417850000
(-0.10263804145255241+0.008640074898114913j),(-0.3538647057806603-0.12003700700851115j),1418000000
(-0.10378515851216823+0.013150240229143413j),(-0.35676284022279-0.10924720953018263j),1418150000
(-0.10481096143751702+0.0168715932198485j),(-0.35924299158607836-0.09995334601724847j),1418300000
(-0.1054454618894279+0.020737513403574357j),(-0.36071740654346496-0.09136475545888395j),1418450000
(-0.10618545386428054+0.024990860825907766j),(-0.36323263697870395-0.0806358521746447j),1418600000
(-0.10684695384676604+0.02850915733529079j),(-0.36432064126300107-0.07172920663588782j),1418750000
(-0.10721882582696786+0.03294467410087563j),(-0.3655187845720026-0.06166781503615094j),1418900000
(-0.10757445223201183+0.037159116420167615j),(-0.3669147756425892-0.05124875673659712j),1419050000
(-0.1075572107771194+0.04160782103296554j),(-0.36763021220039416-0.04199527628261905j),1419200000
(-0.10705390705632617+0.045234452043174375j),(-0.36721969743354055-0.03174671293946327j),1419350000
(-0.10791251623409003+0.04941435556794689j),(-0.36898212343842873-0.02231833021764115j),1419500000
(-0.10753964023223525+0.054288518852653615j),(-0.36833184506997246-0.011310653392533546j),1419650000
(-0.10714009950239659+0.05754042704051255j),(-0.36781998975972574-0.002905471818965596j),1419800000
(-0.1067026073697584+0.06156319236105879j),(-0.3667528077862244+0.0072030006973544825j),1419950000
(-0.10620475510989141+0.06559899386205746j),(-0.3663303049432406+0.017389482524424557j),1420100000
(-0.10564553178032611+0.06959174362581556j),(-0.36532161319056117+0.026497886114272735j),1420250000
(-0.10470718218163212+0.07330168807095296j),(-0.3637705902020399+0.036271969573522175j),1420400000
(-0.1039701041250561+0.07796977205149956j),(-0.36251255423591205+0.04640671379660471j),1420550000
(-0.10257080187005023+0.08211906995293267j),(-0.36031574652280407+0.0559328707313429j),1420700000
(-0.1015050604529809+0.08613803836050307j),(-0.3580831213157193+0.06648931054203706j),1420850000
(-0.10031688073679168+0.08965653359572506j),(-0.35617169000401766+0.0744582740505547j),1421000000
(-0.09972121781650606+0.09461175273475772j),(-0.3541471679051974+0.08487195226280565j),1421150000
(-0.0976235663892833+0.09753629213005806j),(-0.35040480895019493+0.0934573155740191j),1421300000
(-0.09627917470864969+0.10158369606602317j),(-0.3470014149202762+0.10312804305863617j),1421450000
(-0.09474774250154928+0.105325643761392j),(-0.34396302239883625+0.11266787488288568j),1421600000
(-0.09329727301265713+0.10901755093594072j),(-0.34063855921580966+0.12080007973975762j),1421750000
(-0.09107304437870861+0.11303404456252843j),(-0.3361445583792099+0.13089238597860897j),1421900000
(-0.0891107427172104+0.11653487480821151j),(-0.33248469044709233+0.13860973446123517j),1422050000
(-0.08680199358548721+0.12018400572336888j),(-0.3276849271671304+0.14774913070381077j),1422200000
(-0.08493118909584281+0.12301229097603049j),(-0.3231501426543525+0.15496061582605852j),1422350000
(-0.08222288971255265+0.12729829537164794j),(-0.31810940744271193+0.1639306808555586j),1422500000
(-0.08008770590861164+0.1303641976066786j),(-0.3130748332985171+0.17221892154512547j),1422650000
(-0.07720899512882806+0.13387210732311233j),(-0.30781980247479884+0.17989131022238777j),1422800000
(-0.07508783567100617+0.13724191113231038j),(-0.30223103558199926+0.1880251373740353j),1422950000
(-0.07233629356799336+0.13996379430867179j),(-0.29665262336576553+0.19516511540239098j),1423100000
(-0.06936821170949102+0.14359743980996179j),(-0.2906964194366224+0.20278007024194422j),1423250000
(-0.06653502208848425+0.14626366371896166j),(-0.2845804705974638+0.20987488888514744j),1423400000
(-0.06353526193015527+0.14911529450976566j),(-0.27822599663456615+0.21678760785138176j),1423550000
(-0.06021721353640579+0.15225252111353108j),(-0.27144003396662814+0.22392410218370062j),1423700000
(-0.05707822565726095+0.15481343454302765j),(-0.2653367688356883+0.2298257880821177j),1423850000
(-0.05403273795753917+0.15769246968581616j),(-0.25797841354275486+0.23691720709953504j),1424000000
(-0.05087959045930995+0.16075658669872195j),(-0.251916064597144+0.24341935751660634j),1424150000
(-0.046955606564093706+0.16280389644900342j),(-0.24374430746548878+0.24945200079431004j),1424300000
(-0.043875995556418565+0.1649481463285737j),(-0.23665071155107473+0.25528761349972345j),1424450000
(-0.04013871020577367+0.1672710100851628j),(-0.22878185388004768+0.260866182454698j),1424600000
(-0.036629885814770405+0.16967925680016774j),(-0.22100627007011453+0.26692461415981j),1424750000
(-0.033008822894471664+0.17126845931092374j),(-0.2141117585405538+0.271359673236789j),1424900000
(-0.02883744716682135+0.1739164047296875j),(-0.20519741932684887+0.27724415018738496j),1425050000
(-0.02531521398600684+0.1752667695450038j),(-0.1976330228307322+0.2816387497409956j),1425200000
(-0.021046483074909896+0.17679374971105785j),(-0.1898166250688988+0.28584441064512717j),1425350000
(-0.01644847707193318+0.1793267041695018j),(-0.17993372657659945+0.2914727940565737j),1425500000
(-0.013119664497041423+0.18026015700781287j),(-0.17264170415339636+0.294700957745782j),1425650000
(-0.009225773540622853+0.18163359133603543j),(-0.16458177713200278+0.2983419487802855j),1425800000
(-0.00425998036351494+0.18354051658386913j),(-0.1551337699865208+0.30249859277239044j),1425950000
(-0.00015943262553717508+0.18439817767225364j),(-0.14667169605797792+0.30549046036145777j),1426100000
(0.003780363876004839+0.1854967169959958j),(-0.13878326985585246+0.3084857164030666j),1426250000
(0.008280828704892907+0.18606803039849837j),(-0.1305955102724593+0.3107883681257962j),1426400000
(0.012814530990811755+0.18701030038441743j),(-0.12093437728343272+0.3138367341443782j),1426550000
(0.0174452030612938+0.18792856978895578j),(-0.1128518574781444+0.3159327191997679j),1426700000
(0.02169259060164379+0.18829238858285996j),(-0.10442383629048985+0.3177762447650693j),1426850000
(0.025799445199586955+0.1884588035872733j),(-0.09595613008880498+0.31968029444283785j),1427000000
(0.030936395388681568+0.18888807318873063j),(-0.08702370971875106+0.3208999422389059j),1427150000
(0.03538125365678259+0.188894655209235j),(-0.07795755135988724+0.3225859160453931j),1427300000
(0.03990350643019941+0.18879370006997276j),(-0.06932388012598444+0.32340539591318623j),1427450000
(0.044612797010547135+0.18862112034103545j),(-0.06071043368058182+0.32415060485060726j),1427600000
(0.048984503174739916+0.188212222063873j),(-0.052478328022267394+0.3245599937974583j),1427750000
(0.05409376489939454+0.18785068947799266j),(-0.04297018078901719+0.3251219677921773j),1427900000
(0.058672681681803084+0.18702041773014508j),(-0.0348082493273798+0.3248292128637831j),1428050000
(0.06305108424927384+0.1865543681813412j),(-0.026908488885487965+0.3246932120871106j),1428200000
(0.06753299158515118+0.18546553908180763j),(-0.01757842472707722+0.3244785665829517j),1428350000
(0.07246615012247654+0.18456484431404957j),(-0.00911543026372389+0.3237996912537836j),1428500000
(0.07729269444708356+0.18309345158324894j),(0.0008884071882297262+0.32304472713469073j),1428650000
(0.08139857593384313+0.18157653678456745j),(0.007633117210605607+0.3217931614947458j),1428800000
(0.08598216226799636+0.18023126224638794j),(0.016572234671492155+0.32045591353524044j),1428950000
(0.09080924026415536+0.17875040005798898j),(0.02512762597840269+0.3190670415999935j),1429100000
(0.09504017483551512+0.17678512034196905j),(0.03287578250377305+0.3169853648728897j),1429250000
(0.09957072168926014+0.17491706124408532j),(0.042082109985520456+0.31496003059605887j),1429400000
(0.10384219804614453+0.17260964035284404j),(0.04912135852402397+0.31273785623516537j),1429550000
(0.10831356301683429+0.17014165826890282j),(0.05814214010478234+0.31025805234121434j),1429700000
(0.1122077266315194+0.16769964969289852j),(0.06558702741238281+0.30788352393002705j),1429850000
(0.11684118533191175+0.16526424182780972j),(0.07396014597955888+0.30459900548705265j),1430000000
(0.11676345138894122+0.16519660488179524j),(0.07359895703553272+0.30476366918588366j),1430000000
(0.12068632702630179+0.16220378071444544j),(0.0811024170003325+0.3020829340632483j),1430150000
(0.12476179294985439+0.15926218178118332j),(0.08825986966334665+0.2985899406880648j),1430300000
(0.1288881520843426+0.15639546557294204j),(0.09639676111257457+0.2951509550752565j),1430450000
(0.13283563501350892+0.15284275087530172j),(0.10322308666105545+0.29172625640251065j),1430600000
(0.1364732846788542+0.14946011420823038j),(0.11047175905124526+0.2878357011945319j),1430750000
(0.14021536460402517+0.14600856922514713j),(0.11762399709567879+0.2836694990412418j),1430900000
(0.14377276984680343+0.1422537006707295j),(0.12431695513445867+0.2798316694450815j),1431050000
(0.14754573551368455+0.13830071085106752j),(0.1313847940900117+0.2753927697532373j),1431200000
(0.15054148441042997+0.13426412933605847j),(0.13781084101884192+0.2709668821656692j),1431350000
(0.15378733753521448+0.13014944602093612j),(0.1441991080593229+0.26633236845633323j),1431500000
(0.15703174069040204+0.1259750733527763j),(0.1504315041070799+0.2617788674956169j),1431650000
(0.16024811186245758+0.12153961976024887j),(0.156794153505258+0.2564931258235016j),1431800000
(0.16281870502180054+0.11708799771430736j),(0.1626126507828058+0.2514672559552316j),1431950000
(0.1659155993356349+0.11247808351938084j),(0.16814716785204595+0.24601310964714782j),1432100000
(0.16831575734118237+0.10770156879684592j),(0.17406636131860095+0.24088137131626264j),1432250000
(0.17077179289535188+0.10276987336369073j),(0.1797595068645546+0.23495003218651356j),1432400000
(0.17286536716415835+0.09792745693233501j),(0.18451212718496737+0.22935641933999534j),1432550000
(0.1750068153061114+0.09291340635772256j),(0.18980746215873526+0.22454192513585258j),1432700000
