S11,S21,freq
(0.31610267109590506+0.04499976731384509j),(0.035346381565159915-0.9255454431561079j),1000000000
(0.3145829410272434+0.04386202389744296j),(0.03329678778982347-0.9257151303583478j),1002000000
(0.3146887588019911+0.042164808896098686j),(0.030520454020777965-0.9262924865886509j),1004000000
(0.31372525534448215+0.04133495869007429j),(0.029530679969979063-0.9267597716116537j),1006000000
(0.31329147427971743+0.04006669712315597j),(0.025066517349666938-0.9256535939877278j),1008000000
(0.31263644696085235+0.03785571590406894j),(0.023291209949210297-0.9277443528148398j),1010000000
(0.311801054074183+0.03682174331411571j),(0.02001484308912096-0.9271570083183682j),1012000000
(0.3109024990975501+0.035150774801230224j),(0.016495143926085958-0.9274413554041295j),1014000000
(0.31086137289517496+0.033821714749969534j),(0.016117537939761187-0.9290419540742456j),1016000000
(0.310206830637473+0.033005318706180585j),(0.01028923760678398-0.9286645078222492j),1018000000
(0.3089831466892345+0.03186501167346685j),(0.006824132006661877-0.9293256932968207j),1020000000
(0.30853277906028787+0.030388907810078535j),(0.0048836150528901385-0.9295644532179455j),1022000000
(0.30766444345804006+0.029510659682247937j),(0.0022331741123873443-0.9303678616773973j),1024000000
(0.3071875472212328+0.028180738518466045j),(-0.00010095260477282087-0.9310035063813523j),1026000000
(0.3061259708186959+0.027223517127349942j),(-0.002396888652605006-0.9307622437404939j),1028000000
(0.3053287443868375+0.025746393049275822j),(-0.00718805783472834-0.931769770111625j),1030000000
(0.3042887162930286+0.025097999757732265j),(-0.010760969134118076-0.9331866577146566j),1032000000
(0.3038201146126537+0.02463137755834703j),(-0.01097258754173468-0.9332939943542077j),1034000000
(0.3035966772161845+0.02300076338796249j),(-0.01674346134114956-0.9317518000604295j),1036000000
(0.3022372897009867+0.022760066741067547j),(-0.017030110033145487-0.9349673114071805j),1038000000
(0.3016500590403657+0.021934214925045454j),(-0.0233206987691071-0.9327281684870559j),1040000000
(0.3010046548664817+0.020955684620109733j),(-0.024714668655216133-0.9334016166270043j),1042000000
