S11,S21,freq
(-0.0040784310331550095+0.011270833471654829j),(1.9393642802203275+0.4011852654707204j),1200000000
(-0.0035631838658348918+0.011277605655015338j),(1.9647339721175927+0.2274622154881166j),1200500000
(-0.0036044873932601024+0.011281967567592295j),(1.9838651186321608+0.028812687529765377j),1201000000
(-0.0035147516233690304+0.011232131452474687j),(1.987585350905633-0.11690886905694345j),1201500000
(-0.003201344477672703+0.011224245057718909j),(1.9502829865942557-0.333019153446455j),1202000000
(-0.0028892325321931782+0.011172049537936228j),(1.9376564024835925-0.4861367535446558j),1202500000
(-0.002756556406234409+0.011097328465637615j),(1.8504386732669733-0.6986446179993545j),1203000000
(-0.0026462492934317327+0.011104569433613706j),(1.7855329965755997-0.8637536007102976j),1203500000
(-0.0021883190929837338+0.011193672951026086j),(1.7135072684321089-1.0215380780581225j),1204000000
(-0.0023153586962751404+0.010875858915579198j),(1.5740110543477503-1.2060881185172054j),1204500000
(-0.002059808333753418+0.010712893666959244j),(1.4789587186010142-1.3303938486110352j),1205000000
(-0.002002065723409402+0.010569420412766874j),(1.3180328015479923-1.4797090529856192j),1205500000
(-0.001827417761865294+0.010256252392436039j),(1.1732997418350042-1.5985640326728299j),1206000000
(-0.001889690517712085+0.010234650152393263j),(1.0356306661439998-1.6956247936399245j),1206500000
(-0.0017536561118254347+0.009954332721337346j),(0.8592922534864338-1.7892700135128339j),1207000000
(-0.0017631952398594578+0.00959870811239544j),(0.6650174615321424-1.8640326634774476j),1207500000
(-0.0016719105292022423+0.009389036142816517j),(0.5229346274513046-1.9286648593791964j),1208000000
(-0.001793469619566687+0.00909832367655682j),(0.30815595228039666-1.9577977295573683j),1208500000
(-0.0016502565508021432+0.008936882458940174j),(0.11355091122478729-1.9775510942064507j),1209000000
(-0.001966343489380145+0.008845816447646414j),(-0.06320318439186896-1.9907218890104827j),1209500000
(-0.0018623233613393848+0.008352069193445739j),(-0.26775275676247495-1.9685179431387916j),1210000000
(-0.0017778156819995903+0.008335242934344417j),(-0.45239918521768124-1.9318127119267183j),1210500000
(-0.002160318061208671+0.008271373635194978j),(-0.6452849946637649-1.877878803288189j),1211000000
(-0.0023073146837114776+0.007916411372662352j),(-0.8165930138526297-1.8157468823435563j),1211500000
(-0.002348173624722324+0.007905130114218532j),(-1.0147076028325752-1.7066011997322377j),1212000000
(-0.0028262900130540656+0.007699149565812737j),(-1.1580431814778807-1.6189752543379041j),1212500000
(-0.0032906214267450717+0.007524228128607249j),(-1.3311682438320356-1.473108519571936j),1213000000
(-0.0034102077509439123+0.007329084432637901j),(-1.4515900070771615-1.3585064475402726j),1213500000
(-0.003770897958578184+0.007216159178814656j),(-1.579150439494363-1.2105171906444208j),1214000000
(-0.0037400936764524734+0.007316299001557365j),(-1.7004898613868975-1.0265854695645196j),1214500000
(-0.004414799672823155+0.007123096050221116j),(-1.7848483039244294-0.8624457047418407j),1215000000
(-0.004463055405217488+0.006832057805602767j),(-1.8622619322244147-0.6783841150833758j),1215500000
(-0.004787303860668638+0.0071043847622015805j),(-1.927593747659056-0.5264857341058212j),1216000000
(-0.0050680787394605745+0.0070631174964523435j),(-1.9577021767350784-0.3013523078277592j),1216500000
(-0.0054219652697640695+0.00717523411018735j),(-1.9858579059172194-0.09786411011656589j),1217000000
(-0.005704840389267483+0.007108000105348059j),(-1.9933004445884024+0.06491317961795019j),1217500000
(-0.005933494641646262+0.00717222672027822j),(-1.9610456246787193+0.27947218710392097j),1218000000
(-0.0061546209850398634+0.007424053871470831j),(-1.9419996235476031+0.4494895019180848j),1218500000
(-0.006509957502837366+0.007538746257428299j),(-1.8719054404354845+0.6679322982563397j),1219000000
(-0.006617784828090978+0.007756090593135873j),(-1.8224382830616723+0.8172738109083917j),1219500000
(-0.006863844619303113+0.008136704076082909j),(-1.7265069119847745+0.9961453589550068j),1220000000
(-0.0072517074639789824+0.008279002054579014j),(-1.6048574529208732+1.1659470829519505j),1220500000
(-0.007367678602402881+0.008474798559752023j),(-1.4756755948317617+1.3232008708659997j),1221000000
(-0.007596897523194466+0.008590476845712567j),(-1.3399608685274076+1.464897622715123j),1221500000
(-0.00791466745863662+0.009027233625273547j),(-1.2206872653013932+1.581054713918271j),1222000000
(-0.008033650404637355+0.009169882447183236j),(-1.0205812036378556+1.7041376882164778j),1222500000
(-0.008007486474909078+0.009399837319380294j),(-0.847166897274552+1.797789661565033j),1223000000
(-0.008136211553272965+0.009767927451575505j),(-0.6802394517608734+1.8619507688340813j),1223500000
(-0.008024154462942804+0.010120162675756859j),(-0.530179995731969+1.9279241241673233j),1224000000
(-0.00811486102704506+0.010594277211533736j),(-0.3403706531079999+1.970570327771097j),1224500000
(-0.00807737725152972+0.010692940249726772j),(-0.09798820362140619+1.986755005980727j),1225000000
(-0.008200638639834631+0.010973365111361152j),(0.10081331902672942+1.9853960509242483j),1225500000
