S11,S21,freq
(-0.009376038633388309+0.004108934894976086j),(1.8342281202869963+0.7336965591780182j),1200000000
(-0.009049631554489112+0.004280356879619105j),(1.8869098226669505+0.54122169291124j),1200500000
(-0.008746868801431181+0.004230277717715466j),(1.909612684632859+0.3931247913293557j),1201000000
(-0.00875562004616566+0.004026163166241735j),(1.9613725870668042+0.21941707032029031j),1201500000
(-0.008563695407884028+0.004111230909063786j),(1.9509025982591608+0.023863076372886323j),1202000000
(-0.00848496774208509+0.004087799042690362j),(1.9360135718729146-0.18432558652331207j),1202500000
(-0.007806759704738017+0.00407525378181267j),(1.945419973951559-0.3382163088409038j),1203000000
(-0.008105807851514301+0.004129993153207013j),(1.8877958955069234-0.5551448666368757j),1203500000
(-0.00766950630620793+0.0037433578115034834j),(1.8328184812463546-0.7240433397071587j),1204000000
(-0.007478557677700828+0.003972461126496967j),(1.7259065295422724-0.918917706471542j),1204500000
(-0.007458136113718778+0.0036589983544105414j),(1.6720510765785705-1.0499925564709385j),1205000000
(-0.0074196517909860355+0.0034237378671860687j),(1.5400042436593198-1.2218728389464664j),1205500000
(-0.007205783523970589+0.0034083683322812205j),(1.4304815990826218-1.35279476967546j),1206000000
(-0.007066744479881031+0.0032249647405532627j),(1.2922935070204633-1.4650761362230265j),1206500000
(-0.0071051869768591755+0.0029783290899432426j),(1.1637293419481367-1.592180217837094j),1207000000
(-0.00676097320876769+0.002796617017569956j),(0.9573568642577859-1.7143000384248892j),1207500000
(-0.006984362546433831+0.0027297489457994324j),(0.8346575125843607-1.7890547700187855j),1208000000
(-0.006550821942912075+0.0026332342197820146j),(0.6139697142215319-1.8606811151088913j),1208500000
(-0.00675321718468432+0.002337505313204149j),(0.4481180945561851-1.9174051864661823j),1209000000
(-0.006501763876633219+0.0022400448450166817j),(0.28571415211974804-1.933409096483486j),1209500000
(-0.006652091444512135+0.0019506244139536801j),(0.1073286602509198-1.971899634402446j),1210000000
(-0.006607198657180504+0.0018728040972923435j),(-0.09659439976447955-1.9510277438979815j),1210500000
(-0.006548406109913918+0.001772493015093495j),(-0.2706266901732475-1.9560549688548095j),1211000000
(-0.006446660316071692+0.0017226891233939252j),(-0.4606600236851379-1.9052367052544272j),1211500000
(-0.006472264867031082+0.001702908912777521j),(-0.6412250262163218-1.8640511709648706j),1212000000
(-0.006512175089824738+0.0014389984261141743j),(-0.8488581221888402-1.7536043393345684j),1212500000
(-0.006623707664201439+0.0012532625656124336j),(-1.0002627763587995-1.6709746612185068j),1213000000
(-0.006894520043561824+0.0011214090242623108j),(-1.1952938712455385-1.5639283918696156j),1213500000
(-0.007093478518935449+0.0009255550558269093j),(-1.325605820690864-1.4381867768415977j),1214000000
(-0.007122268381455485+0.0008194607932143403j),(-1.4673472718547722-1.316240507005525j),1214500000
(-0.007226877931024488+0.0008301011940503479j),(-1.56442257485891-1.1702132265376821j),1215000000
(-0.007491389366948422+0.00043055823684367786j),(-1.6743906962158048-1.0339052788481962j),1215500000
(-0.007376719737660012+0.0005154231676351595j),(-1.7812005003758915-0.8180084359346459j),1216000000
(-0.007576381045685452+0.0004915833233577582j),(-1.859158612093994-0.6533656983955297j),1216500000
(-0.007827132450427796+0.0005556751311647979j),(-1.8914385745914855-0.4717838215491325j),1217000000
(-0.007917961248445047+0.0004234456391699525j),(-1.9396741706838556-0.2629075925817578j),1217500000
(-0.007698391985536721+0.0004889615975165242j),(-1.9610388667559417-0.12342994742613977j),1218000000
(-0.008228677835514005+0.0003778150835988362j),(-1.9698625026440357+0.093607413332059j),1218500000
(-0.008104232556723852+0.0006306362182165088j),(-1.943542672265917+0.30967848563880157j),1219000000
(-0.008321952731323305+0.0004949071727644971j),(-1.8925318909757118+0.4960736856497879j),1219500000
(-0.00826417002976841+0.0008603660996515646j),(-1.8435069055374536+0.6816863529250593j),1220000000
(-0.008558473271913527+0.0009764565419448761j),(-1.7660696359792165+0.8277882265043482j),1220500000
(-0.008707687009251144+0.0009331687122430367j),(-1.7065925239827717+0.9905377000407213j),1221000000
(-0.008903903173173959+0.0009784789667117762j),(-1.5735550740116708+1.1844592138859522j),1221500000
(-0.008992453564526307+0.0010489103251830807j),(-1.4367394675116278+1.3254564009033134j),1222000000
(-0.009183687974624544+0.0012548426807747104j),(-1.298066367269866+1.4592443493076475j),1222500000
(-0.009189567537496229+0.001434463361459188j),(-1.158185366807863+1.5683792841093336j),1223000000
(-0.009202980585218287+0.0018838304687701921j),(-0.9931806415436475+1.6875064521835614j),1223500000
(-0.009389853004037562+0.0018442298585295124j),(-0.8701287929521431+1.7734943948512643j),1224000000
(-0.009057031504636565+0.0019445432429034148j),(-0.6503030051777728+1.8569781603005953j),1224500000
(-0.00923590680133852+0.0022891836932081387j),(-0.5041393581953684+1.891237326388167j),1225000000
(-0.009063187222483312+0.0027713978115249194j),(-0.28957980197943606+1.9224816682601424j),1225500000
(-0.009131212072749834+0.002889622280746567j),(-0.09375710185152951+1.9682369818210759j),1226000000
(-0.009140485768140447+0.0028015596605943513j),(0.1006569122848765+1.962956219996933j),1226500000
(-0.008982187750747286+0.0033272022117017594j),(0.28985604375686985+1.9492080770603055j),1227000000
(-0.00896413412643515+0.0034041637175818568j),(0.4425199144966601+1.897316565346735j),1227500000
(-0.008611826708490953+0.0034652460060463556j),(0.608184009394943+1.8748743354694537j),1228000000
(-0.008860415871489436+0.0036436268940751968j),(0.8149979515338196+1.770030316700411j),1228500000
(-0.008775935821024431+0.003976813743918318j),(0.9671545496031101+1.6909897186205243j),1229000000
(-0.008698666681243692+0.003853105815043241j),(1.1165376315938185+1.6303193985558284j),1229500000
(-0.008776366851396695+0.003706196571426272j),(1.2739232199773705+1.4726290972845137j),1230000000
(-0.008482322619534827+0.0042301861488893335j),(1.432859130365895+1.3529569211843362j),1230500000
(-0.008091886765359683+0.004114865432504763j),(1.529450873049809+1.2035343455532799j),1231000000
(-0.007839394092020351+0.004440717869804151j),(1.6407080325356806+1.0792387064717592j),1231500000
(-0.00755017573772623+0.004462791234262543j),(1.7552678322957955+0.8972202146880727j),1232000000
(-0.007509712187206153+0.004847578216706597j),(1.8204648939883425+0.698315340472845j),1232500000
(-0.007275862220951277+0.004482001147549256j),(1.868729646342435+0.541347623971185j),1233000000
