S11,S21,freq
(0.2726057831896621+0.7903782961261331j),(0.0009318156558588047-0.0028724400485462304j),1000000000
(0.2770016498165958+0.7913363050419456j),(0.0009509012236123665-0.002874446768199802j),1002000000
(0.27776878794158916+0.7922204058697128j),(0.0009303347808719541-0.002956990746902403j),1004000000
(0.27961491948721295+0.791135250673276j),(0.000930421444362207-0.002865015119738875j),1006000000
(0.2822233980257918+0.7891086879530351j),(0.0009354423806640659-0.002912255573961891j),1008000000
(0.2824855314920241+0.7859000785481343j),(0.0009382313609289383-0.0029205723244600757j),1010000000
(0.28651031274312055+0.7873727074810143j),(0.0008921442425229261-0.0029071185710397166j),1012000000
(0.28926590588219436+0.7869743760230536j),(0.0009230025509281392-0.0028807965867834106j),1014000000
(0.2917672033738599+0.7869745514809043j),(0.0008838828848806419-0.002864824451602154j),1016000000
(0.294694781307023+0.7845903988499299j),(0.0009061580534043314-0.002866981569388829j),1018000000
(0.29555213941096625+0.7813042014151621j),(0.0009079059360831943-0.002841585354907538j),1020000000
(0.29806539583816233+0.7830829092185033j),(0.000850711890332609-0.002876666540077332j),1022000000
(0.30105818724485206+0.7839330043182233j),(0.0008382783083748748-0.0028563237384454914j),1024000000
(0.3030397670978183+0.7830482435396734j),(0.0008630329375082369-0.0029148839786000123j),1026000000
(0.3047571543656624+0.7805699904981309j),(0.0008598713415017967-0.002897768724214977j),1028000000
(0.3057328356000088+0.7768217109857628j),(0.0008187003073936995-0.0028863219195424754j),1030000000
(0.30919265062286955+0.7777271259347261j),(0.0008181000701922392-0.002880886305754747j),1032000000
(0.3119222644342526+0.778969837889028j),(0.0007883265300098314-0.002894391847246496j),1034000000
(0.3134222697960431+0.7769351145494922j),(0.0008228134780110875-0.002883908569533721j),1036000000
(0.3157457620084447+0.7744494921035588j),(0.0008098870693320688-0.0029084567342371726j),1038000000
(0.3172910090777572+0.7700035324975403j),(0.0007542392778387836-0.0028421643846831633j),1040000000
(0.3210455942284483+0.772272750173921j),(0.0008070106356491974-0.0029150739512057594j),1042000000
(0.32461951741532763+0.7737866225629383j),(0.0007043979793988492-0.0028665141112379196j),1044000000
(0.32519721113043276+0.7718218885364106j),(0.0007362947151858437-0.0029172066005663864j),1046000000
(0.32656074557387504+0.7697317264616877j),(0.0007593315591030754-0.002866533218687636j),1048000000
(0.3289841797727924+0.7667737737761879j),(0.0007177095109155882-0.0028929280751916154j),1050000000
(0.33093741174194924+0.7687317188100197j),(0.0007503641031467863-0.0029140113869155384j),1052000000
(0.3330496766346713+0.7689048924761462j),(0.0007607234770535344-0.0029320629269419187j),1054000000
(0.33524316726048325+0.76817162568663j),(0.0007082791058637155-0.002903954735473589j),1056000000
(0.33600660685049666+0.7653505906321254j),(0.0006948897637068445-0.002902275818994244j),1058000000
(0.33762474299319667+0.7614561255902821j),(0.0006814525033097669-0.0028973315851898583j),1060000000
(0.3401128319901325+0.7641005739021284j),(0.0006572877890744229-0.0029331111911991468j),1062000000
(0.34322181717249084+0.7627916015994576j),(0.0006550818596925714-0.002854082328882764j),1064000000
(0.3448287990704781+0.7609421182398501j),(0.0006669842251614579-0.0028955926998560934j),1066000000
(0.34564244935059013+0.7590959319729592j),(0.0006604570986708026-0.002940416477126263j),1068000000
(0.3477349652821218+0.7559216334028538j),(0.0006791415837506186-0.002918910525110984j),1070000000
(0.34926452932495217+0.756291508522548j),(0.0006336801931066214-0.00291507091521068j),1072000000
(0.3529226268443333+0.7575327045991309j),(0.0006185208212774292-0.0029051457495673136j),1074000000
(0.35399414141250174+0.7560677950427083j),(0.0006257722273790375-0.002901483257155476j),1076000000
(0.35599692849136344+0.753564896810957j),(0.0006096526306254135-0.0028999920409653332j),1078000000
(0.35825391578348814+0.750431628545782j),(0.0005689434434599156-0.0029366036110636652j),1080000000
(0.35921273779277524+0.7501886727458926j),(0.0005955160898230579-0.0028919712841549987j),1082000000
(0.36131259067893895+0.751051798070849j),(0.0005859723809484831-0.0029136765740714805j),1084000000
(0.3639796808148822+0.751102939128645j),(0.0005672185973776252-0.002944885689925517j),1086000000
(0.36527633557878364+0.7485772387100318j),(0.0005526587036123401-0.0028960595848993857j),1088000000
(0.3667727060768548+0.7454705571456168j),(0.0005932655129298989-0.0029123329337813085j),1090000000
(0.36964517550150344+0.7460867793174369j),(0.0005808991328269376-0.0029515050668600467j),1092000000
(0.37118597827057925+0.7465499555516257j),(0.0005207329043621585-0.0029132538217995856j),1094000000
(0.3721573052835482+0.7455014377226238j),(0.0006074983700414356-0.0029565710990462637j),1096000000
(0.37375264210425563+0.7423537628909067j),(0.0006074661967771759-0.002925473483216309j),1098000000
(0.374935397030529+0.738805611500309j),(0.0005822089579043074-0.002937003718387514j),1100000000
(0.3790517715630684+0.7399212307768251j),(0.0005417966604707018-0.0029445053027389177j),1102000000
(0.38242480630761533+0.7392847120922802j),(0.0006033933720858406-0.0029321941485183473j),1104000000
(0.38375695858787445+0.7386366262832277j),(0.0005736020999573479-0.002954945803635413j),1106000000
(0.3846567914774723+0.7360323988309846j),(0.0005427247308893557-0.0029617917129552327j),1108000000
(0.38592460518765825+0.73268552064542j),(0.0005001798342850707-0.0029656395365625903j),1110000000
(0.38788157027415204+0.734456810811282j),(0.0005238356035259146-0.0029672749139682993j),1112000000
(0.3903495493148493+0.7339622280713073j),(0.0005634961554182928-0.002932703579860256j),1114000000
(0.3926229611840916+0.7325884218285686j),(0.0005274989177937958-0.0029495092232620936j),1116000000
(0.3935642633053845+0.7309608083361397j),(0.0005136700769572137-0.0029503002433624204j),1118000000
(0.3949924014973273+0.7270426448597245j),(0.0005051574150087048-0.0029653721341487875j),1120000000
(0.39671352294063517+0.728177976724104j),(0.00046892584626150757-0.0030122991750094652j),1122000000
(0.4003075669256159+0.728260771535659j),(0.0005619335046925444-0.002929856124849384j),1124000000
(0.40326803539111095+0.7265351096644674j),(0.00047057692256499375-0.002998751671379084j),1126000000
(0.40203499894597144+0.7249964894370631j),(0.0004556548840014826-0.0029800777152523147j),1128000000
(0.4045527987743954+0.7204807702643984j),(0.0004818448490046518-0.003001121525009656j),1130000000
(0.40827681510357294+0.7215280576903628j),(0.0004507189355093844-0.002962984782657211j),1132000000
(0.4100694866734912+0.7212116785760472j),(0.00046792548558480246-0.0029700535431965956j),1134000000
(0.41236135169019794+0.719924921979198j),(0.00044347563025281536-0.00295145107338819j),1136000000
(0.413628478896725+0.7177674496766514j),(0.00048726431275173147-0.0029734321631232283j),1138000000
(0.41461499470350355+0.7143254216524412j),(0.0004890352693108298-0.002949849616860874j),1140000000
(0.41737843906800465+0.7156279350781874j),(0.000485619200179728-0.0029852551632916914j),1142000000
(0.41946120611658666+0.7154935217567335j),(0.0004773782169826184-0.0029641520943651063j),1144000000
(0.42266660941477796+0.7141647785990463j),(0.0004074928717269986-0.0029993764303297616j),1146000000
(0.42257445260121657+0.7127189014302471j),(0.0004732987020230878-0.0030501232868049896j),1148000000
(0.4230102773214997+0.7093086850572577j),(0.0004758815489926012-0.003046001782752312j),1150000000
(0.4258169998512414+0.7101728827464077j),(0.0004654178240931745-0.0030315638325736j),1152000000
(0.4285908358648704+0.7100013449854531j),(0.00041572361107987095-0.003017251440844369j),1154000000
(0.4319372409336474+0.7086371071505753j),(0.00039669897537790726-0.003018357534513084j),1156000000
(0.4312763925117095+0.706847894059415j),(0.00036381881243500503-0.0029904521989941773j),1158000000
(0.4318387142021459+0.7032629869422806j),(0.00034511514852677183-0.0029890720268261448j),1160000000
(0.43575571011301456+0.7039965965794754j),(0.0003181647890763261-0.003033300976493045j),1162000000
(0.4390527551692672+0.7028510682931771j),(0.00038389391243907986-0.0030388107363808264j),1164000000
(0.44157329455245986+0.7022993305295678j),(0.00042365499847107305-0.0030107053457154595j),1166000000
(0.4432407252500086+0.6998172486049554j),(0.00039562080779421976-0.0030396533451646987j),1168000000
(0.44410546216061425+0.6959059778086318j),(0.0004217357103174445-0.003043798219485019j),1170000000
(0.4470618999445045+0.6968686776746857j),(0.00040528789580115835-0.0030301350723708335j),1172000000
(0.448708726830157+0.6967206307983006j),(0.0003924689558346092-0.0030430952763217493j),1174000000
(0.4503910031140217+0.6952685643085356j),(0.00038790719468271114-0.003004604921072223j),1176000000
(0.45207006760465607+0.6928264100682849j),(0.0002680957176177609-0.0030283926059587658j),1178000000
(0.4519061946075824+0.6896147304074203j),(0.00028636861857532937-0.0030255814714286243j),1180000000
(0.45627104735073604+0.6899540851618571j),(0.00031186763758792567-0.0030279858085945207j),1182000000
(0.45818944295125136+0.6895518698532006j),(0.00033931803861192043-0.0030402741936976737j),1184000000
(0.46038326683233455+0.68736270030644j),(0.00032839050197863706-0.0030755877095449873j),1186000000
(0.4623419827819079+0.6846299128550883j),(0.0002675678703536402-0.0030733668060435463j),1188000000
(0.4619039821350582+0.6822282777898098j),(0.0003389474913797513-0.00311599485141981j),1190000000
(0.46639259736433275+0.6813120316860607j),(0.00023015095392109303-0.0031099026292310712j),1192000000
(0.4687875099744829+0.6814732333620844j),(0.00028072293710767316-0.003139591458365843j),1194000000
(0.4708721397545297+0.6798950502910496j),(0.000353170157474231-0.003145829526519885j),1196000000
(0.4725641539260384+0.6772100076798634j),(0.0002757765555663193-0.0031449702193947276j),1198000000
(0.4740456618321285+0.674325067376515j),(0.00027916199936267296-0.003204547377241398j),1200000000
(0.4732742831857224+0.6739834746672879j),(0.00028529564727506956-0.003123111284257049j),1200000000
(0.4769127862384819+0.6740274480503722j),(0.0002606161010119497-0.003146610258233734j),1202000000
(0.4781803797703997+0.673806072037387j),(0.0002574070757535525-0.003145543266588673j),1204000000
(0.481039840161301+0.672041230781487j),(0.00023939295732614831-0.0031756617387722723j),1206000000
(0.4829924579762064+0.6689741847501063j),(0.00024012887593284057-0.0031520327654314946j),1208000000
(0.48286693870786523+0.6659113462912652j),(0.00021391248890309763-0.003124761837362904j),1210000000
(0.4879220073667812+0.6651512958371154j),(0.0002680095315204616-0.003161644042878718j),1212000000
(0.48935941846185843+0.6654984225187647j),(0.00023528242142574366-0.0032069207196162627j),1214000000
(0.49158055570361003+0.6637102771905768j),(0.00023183302910185832-0.003165992803862758j),1216000000
(0.49301799404714397+0.6605614356401293j),(0.00023051878433457437-0.0032088605573009805j),1218000000
(0.4939671701082087+0.6574888046281894j),(0.00022183523961872117-0.00319185973636071j),1220000000
(0.4965715466653511+0.6586640036851504j),(0.00021928438953812648-0.003224797892567687j),1222000000
(0.4999053200855254+0.6566755552516612j),(0.0001738207332522193-0.003192412458362858j),1224000000
(0.5012524430737716+0.6558167005525101j),(0.00020801028664541238-0.0032055362949937826j),1226000000
(0.5037692397845057+0.6525747217832985j),(0.00018308866099190504-0.003203769846923098j),1228000000
(0.5048213464480406+0.6491196274352928j),(0.00020168730986956613-0.0032008214692839424j),1230000000
(0.5073800790890787+0.6495518056122804j),(0.0002079269413875965-0.0031670404731853332j),1232000000
(0.509639368649638+0.6491151257563935j),(0.00017851272201452946-0.0032295439133262598j),1234000000
(0.5109426379131891+0.6484595531006822j),(0.00015707868166543582-0.0032438048968370806j),1236000000
(0.5111627124711889+0.6454788251896676j),(0.00016932338772513987-0.0032528985541327364j),1238000000
(0.5124592162921524+0.6415341022933178j),(0.00019384773954045993-0.0032405537215418586j),1240000000
(0.5164265028033048+0.6414822385092662j),(0.00014011181462898547-0.0032518308677289983j),1242000000
(0.5195369249794662+0.6408520762321482j),(0.00011832063776579913-0.0032884973208740327j),1244000000
(0.5210832406255739+0.6391134578923074j),(0.00016578140976336955-0.0033318630070091368j),1246000000
(0.5219871870305076+0.6372059638717669j),(0.00017297845473341724-0.0032943638038206986j),1248000000
(0.5238625739332734+0.6327161744709897j),(9.950590325787837e-05-0.0033531395978788274j),1250000000
(0.5272307876712953+0.6332380679080855j),(0.00013544557116608002-0.0033258806989330965j),1252000000
(0.5290150545096053+0.6336966151212193j),(6.4323482798446e-05-0.00336130250765047j),1254000000
(0.5314663650352657+0.631507347683213j),(7.540300433878401e-05-0.003367340631783921j),1256000000
(0.532329575241989+0.6290464422602519j),(4.662604514528399e-05-0.003319520174848341j),1258000000
(0.5328554058947901+0.6251701405882232j),(4.824007586118651e-05-0.0033788237332857546j),1260000000
(0.5367504312759067+0.6247398403421442j),(7.018703839584756e-05-0.0034185393192712244j),1262000000
(0.5384828970419852+0.6240903702155094j),(3.147738549226006e-05-0.003399654305435334j),1264000000
(0.5419027223615739+0.622412687080558j),(2.6671410199092713e-06-0.0034784737090690627j),1266000000
(0.5420579759669755+0.6194343689614937j),(4.803600667906076e-05-0.0034313955287355396j),1268000000
(0.5436547943213789+0.6145945815097305j),(1.5392377974759514e-05-0.0034868497543013846j),1270000000
(0.5470529011925113+0.6153572963435988j),(-4.737166365940737e-06-0.003483278049410576j),1272000000
(0.5488782977805181+0.6150170760966919j),(-2.2967550430161464e-05-0.0035263235237152184j),1274000000
(0.5520469482886362+0.6124088233103077j),(-2.873403090427854e-05-0.003486741626111163j),1276000000
(0.5522002438687157+0.610176489157527j),(2.6284298736159394e-05-0.0035151628335471276j),1278000000
(0.5523930713159747+0.6070382470678443j),(2.7542653874050975e-05-0.0035111303347491376j),1280000000
(0.5560667209206804+0.6066834468748765j),(-1.726308297764224e-05-0.0035500291833314894j),1282000000
(0.5583195126599075+0.6067428220286897j),(-4.322692685484436e-05-0.003498173942302402j),1284000000
(0.5604651691570699+0.6043041881505675j),(-1.3932960880507528e-05-0.0035914537066300475j),1286000000
(0.5611312262819125+0.6017974851320141j),(-0.00011695895440138216-0.0035634122522946246j),1288000000
(0.561171701865535+0.5983240394367616j),(-6.289327795222906e-05-0.003644769562154383j),1290000000
(0.5651078095579316+0.598551274034293j),(-0.00011783376550893778-0.003652371034159436j),1292000000
(0.5671481501260937+0.5976461720930342j),(-0.00014106525887331596-0.0037120718836461913j),1294000000
(0.5699059069239526+0.5957901038904246j),(-8.016719782079599e-05-0.0036937181797697598j),1296000000
(0.5715472427339634+0.5917977331339487j),(-0.00017280266969779928-0.003730905036802564j),1298000000
(0.5718890600162874+0.587719998194399j),(-0.00014450596961185826-0.003703915542821658j),1300000000
(0.5765717724334519+0.5868096331342706j),(-0.0001093317864046763-0.003707928241490327j),1302000000
(0.5785099762611797+0.5875491612555633j),(-0.00018285891215695098-0.0037473420532042087j),1304000000
(0.5804454640911847+0.5841912231213499j),(-0.000174496084669674-0.003794369107189037j),1306000000
(0.5818824450526963+0.5822120130728381j),(-0.00028424769735331485-0.00382857552806381j),1308000000
(0.5798655149421926+0.5807555807534305j),(-0.00025526009361254566-0.0038013424400476386j),1310000000
(0.5838728486737652+0.5788344454039186j),(-0.0002974305379605116-0.0038530756822020124j),1312000000
(0.5867101134307878+0.5784063324645631j),(-0.0002854366705108856-0.00391344370620852j),1314000000
(0.5867526050987439+0.577206519794392j),(-0.0003260388163560564-0.003870764192993207j),1316000000
(0.587832908653366+0.5738236885167781j),(-0.00033370957615388644-0.0038959556678226323j),1318000000
(0.585583221908936+0.5721589714225601j),(-0.0004051740189362698-0.003939388047591054j),1320000000
(0.59073257801739+0.5706261423620885j),(-0.0003944601478800499-0.003928290267249273j),1322000000
(0.5932163638219219+0.568920984173482j),(-0.00040118852088920706-0.003964243221499065j),1324000000
(0.5949605373995825+0.5680159710899794j),(-0.00045827228621561243-0.003977002711412576j),1326000000
(0.5951001811516784+0.5649368521143187j),(-0.00046796312544098725-0.003962234002248817j),1328000000
(0.5959089012674732+0.5613204239016393j),(-0.00045372453434159795-0.003981960548897925j),1330000000
(0.5998432122345058+0.5622586664051025j),(-0.0005148402894980603-0.004015200464604978j),1332000000
(0.6013551547635355+0.5609398017336428j),(-0.0004969685733759563-0.00401976302376361j),1334000000
(0.6019970391306502+0.5600662922037778j),(-0.00047266087946977805-0.004094872857659749j),1336000000
(0.6038243502514422+0.5564656223416684j),(-0.0005100351268169372-0.004072119149759904j),1338000000
(0.6017206326829077+0.5552288586468016j),(-0.0005253785569115469-0.004149064630758771j),1340000000
(0.6040560497334458+0.5544244902548482j),(-0.00048782181550211315-0.0041386673901011055j),1342000000
(0.6076046980062165+0.5533961760601062j),(-0.0005661551340551211-0.004185211521179417j),1344000000
(0.6085171524862343+0.5520388884696352j),(-0.0005912525403843226-0.004204103165347275j),1346000000
(0.6085455368400732+0.5489751224451143j),(-0.0005937696774071688-0.004206361458746045j),1348000000
(0.6094598698373608+0.544666005272329j),(-0.0006214680332471867-0.004254871254999365j),1350000000
(0.6123330264044415+0.5438961295529029j),(-0.0006748740487125707-0.004349337211979821j),1352000000
(0.6138925667467475+0.542875228498251j),(-0.0007360013253074626-0.0044106642056662235j),1354000000
(0.6156022287341587+0.5416931335710411j),(-0.0008081044164990515-0.004499290352523141j),1356000000
(0.6150865458421132+0.5400931765106409j),(-0.0009109365648766444-0.0045523685468977j),1358000000
(0.6129492769691928+0.5378810123303287j),(-0.0009700562712935158-0.004575757008841398j),1360000000
(0.6176031424930538+0.5357807950550363j),(-0.0011330880319790372-0.004672505353725016j),1362000000
(0.6199481660690209+0.5344711510667013j),(-0.001228156242713843-0.004686189108386732j),1364000000
(0.6219530785934654+0.5320768883076432j),(-0.0013880257368190621-0.004692441277917535j),1366000000
(0.622558419456319+0.5283764368360148j),(-0.0014921285754412779-0.004645950560189892j),1368000000
(0.6214452658889422+0.5238409416699598j),(-0.0016034980266485162-0.00462302331097181j),1370000000
(0.6244406134099066+0.5249470302673827j),(-0.001796633102682194-0.004572338940482069j),1372000000
(0.6246866929302104+0.5256488581869101j),(-0.0018931556133892286-0.004474083226215642j),1374000000
(0.6260965941888369+0.5227591848668214j),(-0.0020271134247703292-0.004311715462473317j),1376000000
(0.6262032604088286+0.5226597090680246j),(-0.0020693089039954715-0.0041930938770793555j),1378000000
(0.623523180995245+0.52039812676728j),(-0.0021233160561787063-0.004018360432337683j),1380000000
(0.6271386255095664+0.519286396693972j),(-0.0021682085565538443-0.00388977948955143j),1382000000
(0.6286558380220195+0.5199657479564035j),(-0.0021315703739247494-0.003831767825445123j),1384000000
(0.6297240232977073+0.5186366478345832j),(-0.002096555376718082-0.0036929028842640735j),1386000000
(0.6307782749251273+0.5153085792956497j),(-0.0020221576475767523-0.0035693663231188633j),1388000000
(0.6291214811690988+0.513005931090013j),(-0.0019977945784053707-0.0035277382174260987j),1390000000
(0.6336918364614047+0.5124147406495954j),(-0.0019113176473030651-0.0035204402075811455j),1392000000
(0.6338685241400966+0.5124427084273615j),(-0.0018322256954934474-0.0034871050082511215j),1394000000
(0.6359765500381038+0.5106253125706143j),(-0.0018769793823428212-0.0034259362565895223j),1396000000
(0.6358820422665975+0.5089967878416568j),(-0.0017484769481660037-0.003473310569582922j),1398000000
(0.6337427255785716+0.5061579397522663j),(-0.0017188592844208086-0.0034220255791137725j),1400000000
(0.6339088128376453+0.5053968874953163j),(-0.0017963944016088007-0.0034424719836473145j),1400000000
(0.6352928411548519+0.5071235876237636j),(-0.0017396112664096366-0.0034595874699562407j),1402000000
(0.6395154752424588+0.5031399068644284j),(-0.001712505431383608-0.0034303240350197356j),1404000000
(0.6403243156076664+0.5029078829411258j),(-0.0017436679022281077-0.0034429883737667516j),1406000000
