S11,S21,freq
(0.9938862877398249-0.10695598811158229j),(4.332477851398418e-06-2.0391101699542886e-05j),150000000
(0.9944608829432735-0.10638933490785334j),(1.2532114879640598e-05+1.2218426638891192e-06j),150100000
(0.9946430547252557-0.10642989995197649j),(1.7350021417672596e-05-1.0965670713909048e-05j),150200000
(0.9939136262121216-0.1070287002601798j),(-4.847403504768803e-05-5.457301064994351e-05j),150300000
(0.9945663973443002-0.10709471411892814j),(2.836960688955956e-05+1.0156489937177436e-05j),150400000
(0.9950182062380963-0.10683010381128097j),(-2.2291735988488494e-05-3.198715320322898e-05j),150500000
(0.9939515396264336-0.10712521324510041j),(-2.0782994715289726e-05-1.825517023175959e-05j),150600000
(0.9951613157436363-0.10766833158960744j),(-1.092160195283061e-05+1.5520571480435318e-05j),150700000
(0.9940595357138744-0.10751448312207011j),(-1.5283656935954034e-06+2.6603509732235505e-06j),150800000
(0.9939353208625917-0.10757655016254165j),(-6.8634274265033845e-06+3.0033619835588e-05j),150900000
(0.9938792347558589-0.10776997842782297j),(1.2990180938022895e-05-8.112073656088754e-05j),151000000
(0.9944961028266224-0.10748045686835363j),(-9.188936765996568e-06+2.6069605499889263e-05j),151100000
(0.994686616226338-0.10725082067972924j),(-1.7098810821016673e-05-6.795670502214062e-06j),151200000
(0.9945891679754508-0.1079225452014565j),(1.1392752969287964e-05-3.2225011215770246e-05j),151300000
(0.9945671344547354-0.10776384043084349j),(-8.31730001564331e-06-1.8108689116956424e-05j),151400000
(0.9941887500127629-0.1072871491095592j),(3.0310857280066156e-05-5.6667794779264775e-06j),151500000
(0.9936566057350551-0.10790511281278611j),(4.396754125035464e-06+1.0758128481247654e-05j),151600000
(0.9953720299105189-0.10816561716879039j),(3.453189268406651e-05-1.2153942145038289e-05j),151700000
(0.9938390981679358-0.10796650407267076j),(-1.9092614730634905e-05-3.3949611790967356e-05j),151800000
(0.9941648415349156-0.10808302672421428j),(1.021780192228204e-05+7.135285169236199e-06j),151900000
(0.9948130482028704-0.10806073477062125j),(-4.485337448206153e-05-1.2805333033307356e-05j),152000000
(0.994028386602097-0.10844754951939498j),(-4.517825165295892e-05-7.738822804045791e-06j),152100000
(0.9944112599421068-0.10852191776642095j),(-1.1675215733479242e-05-3.740543084912573e-05j),152200000
(0.9940965824834005-0.10817593200687368j),(-6.428150186721493e-05+4.238028477494684e-05j),152300000
(0.9940824336186335-0.10887609383602616j),(2.6063342934379957e-05+1.7437643585734157e-05j),152400000
(0.9943508996413667-0.10867284014585828j),(-4.625822537798059e-05-5.2462927616467377e-05j),152500000
(0.9941254972656678-0.1088028422157525j),(3.554449903688275e-05+1.599489860119898e-05j),152600000
(0.9942826364468708-0.10895356282009579j),(-1.0925373750986424e-05-1.9342352532919563e-05j),152700000
(0.9936646855181105-0.1084236445443602j),(1.963148019576354e-05+3.497072896275305e-05j),152800000
(0.9944523083764499-0.10917062535740002j),(1.8418728719947692e-05-2.883157406810128e-05j),152900000
(0.9936039251986478-0.10878233776070267j),(4.458966454672614e-05-2.7338594141888505e-05j),153000000
(0.993874163236064-0.10915503847554395j),(-2.158079647542313e-06-5.671034641471481e-05j),153100000
(0.9942196177568184-0.10937839660448656j),(-2.027731048056202e-05+4.257469605406738e-05j),153200000
(0.9940434454234021-0.10852460828063244j),(-1.116630624392125e-05-2.426406578503783e-05j),153300000
(0.994271371516292-0.10983755252195815j),(-2.3839608607322935e-05+6.922817908625923e-06j),153400000
(0.9942287724875147-0.11003460703912019j),(7.865580430463867e-06-1.7381452426410875e-05j),153500000
(0.9940933140388853-0.10928517029990249j),(-2.908274166952137e-05-1.717418388366712e-05j),153600000
(0.9947458707177068-0.10956888355235021j),(4.290362998843754e-05-1.6004044334905225e-05j),153700000
(0.9940429654712059-0.11002696079460339j),(-6.126322333425892e-05-4.590097114760682e-06j),153800000
(0.9941125763251862-0.11009144003015615j),(-3.1021037070359776e-05-5.0715742679165994e-05j),153900000
(0.9940026629939092-0.11003246893906732j),(-1.7874799055400794e-05-1.4938039173852042e-05j),154000000
(0.9941840141486402-0.10998720360174016j),(5.980137745512765e-05-3.5731743218907784e-05j),154100000
(0.9939557889301086-0.10994037449584201j),(-2.4988114956582297e-05-3.591548290953119e-05j),154200000
(0.9935988669487055-0.110129042254668j),(-1.167560325457535e-05+1.7437206433577e-05j),154300000
(0.9941000592073881-0.1100496262679791j),(5.4779655121058664e-05-3.031232043778327e-05j),154400000
(0.9942505703250227-0.11002486533283036j),(3.8988183046514185e-05+2.1218664845811204e-06j),154500000
(0.9940120510956062-0.11012834123152884j),(-3.216139173347355e-05-3.147626569111689e-05j),154600000
(0.9941686053025469-0.11094815606395467j),(1.4761684643190055e-05-4.74242880384149e-05j),154700000
(0.9937196260552742-0.10982604807147904j),(-1.4031595333131977e-05-1.2074639720557426e-05j),154800000
(0.9939995790386965-0.11121829860218084j),(1.810377545351603e-05+4.60770507025371e-05j),154900000
(0.9939584008378491-0.11031612751703096j),(4.106474684168274e-06+5.3633572959509605e-06j),155000000
(0.9939001917211743-0.110678351944005j),(-6.203818065820352e-05-1.87258013546899e-05j),155100000
(0.994404618578334-0.11144933818518955j),(-2.6560880293351525e-05+8.666275989257908e-06j),155200000
(0.9943560481580035-0.11128359012460803j),(-3.0841413940297104e-06+2.107285562589849e-05j),155300000
(0.9942304722625959-0.11080872873386792j),(-1.7131492175591316e-06+1.7480999692946715e-05j),155400000
(0.994013457404395-0.11128451856796268j),(9.243695780436314e-06-1.8302830538447138e-05j),155500000
(0.9943782294286614-0.11087231313858768j),(1.2713439153507736e-05+1.613875578093097e-05j),155600000
(0.9938843605953838-0.11070488054417187j),(-1.7184799272700586e-05-2.4521032756837042e-05j),155700000
(0.9938795921049391-0.11123541304152013j),(1.7337046993730247e-05-3.274029468715752e-07j),155800000
(0.9938605728869984-0.11144439077921704j),(3.446440300918185e-05+3.663306515151844e-05j),155900000
(0.9941368149418747-0.11173254874883272j),(1.4689754052774298e-05+8.447194652460932e-06j),156000000
(0.9936427569744845-0.11139528830954613j),(-2.946016995091676e-07+9.005737000751986e-06j),156100000
(0.9939962037103643-0.11230310701593635j),(2.6587625387672988e-05-1.478776713002229e-05j),156200000
(0.9936208103981375-0.111552108878214j),(-1.870997042242413e-05+6.205165773140646e-06j),156300000
(0.9932499172206242-0.1119401991973615j),(-3.0136500663131844e-05+7.030502411155005e-05j),156400000
(0.9934852496900703-0.1120419999016154j),(1.5213779897682957e-05+1.9299228866440142e-05j),156500000
(0.9939305937190149-0.11152950042142445j),(1.098271702311262e-05+1.3566948709801514e-05j),156600000
(0.9936648540104172-0.11242846325551963j),(2.061673290762141e-06-3.212697669270229e-05j),156700000
(0.993831635140003-0.11286303766461864j),(1.5990108060987838e-06+1.1604501521716103e-05j),156800000
(0.9932313144624129-0.11188652743177623j),(-5.928031051546206e-06+1.339981526295789e-05j),156900000
(0.9938945827566785-0.11212591149151133j),(-1.8694499974009267e-05+2.490829281321488e-05j),157000000
(0.9942918534836359-0.11252121783539547j),(6.132600554023006e-05+2.6966872555851122e-05j),157100000
(0.9928745072996203-0.11231974793129464j),(-4.1268859512578815e-06-3.498740191474877e-05j),157200000
(0.993708581360074-0.11203581648234233j),(1.7433004054763233e-05-3.224739466107259e-05j),157300000
(0.9934024517340106-0.11238119799389314j),(-5.37803143691181e-06-3.1291265435403254e-05j),157400000
(0.9939951688356766-0.11317603015038138j),(3.0285364204558356e-05+9.210272259434644e-06j),157500000
(0.9934570241404456-0.11306561779168905j),(-3.0001252329396563e-07-3.724635053610814e-05j),157600000
(0.9934214518557277-0.11253739409869672j),(-2.332266982541948e-05+1.7078001597845207e-06j),157700000
(0.9936503022716359-0.11312966288098497j),(-9.04499424076112e-06+5.851470753022024e-06j),157800000
(0.9938141184423488-0.11310164222952462j),(-1.597421941961282e-05-1.1815852974488594e-05j),157900000
