S11,S21,freq
(0.9932776408264185-0.11156123716108073j),(-2.9851438632951127e-05-2.207321129850782e-05j),150000000
(0.9940944769016661-0.1117149617154098j),(2.254221218558637e-05-1.3740483035750916e-05j),150100000
(0.9938614078792213-0.11155982382348106j),(1.7754541787477996e-05-3.331399420955263e-05j),150200000
(0.9931833465241431-0.11148546441812601j),(-8.303752420479894e-05-1.6104570547150757e-05j),150300000
(0.9938127926490697-0.11254995392053836j),(2.909510336891646e-05+2.0076143334571777e-05j),150400000
(0.9942139283018944-0.11164183898228724j),(-2.0342255938931702e-05-5.4890341927068695e-05j),150500000
(0.9936858914081337-0.11209176374772506j),(-3.353221269663742e-05-2.3781424127283073e-05j),150600000
(0.9941451382793351-0.11237767303933316j),(-1.6153130334512635e-05-8.295193086342353e-06j),150700000
(0.993156592392258-0.1125537498044177j),(-3.3371630084692256e-05-1.8401887101126595e-05j),150800000
(0.9933415442351676-0.1127878534124129j),(-1.1023653361194709e-05+3.3789799113252124e-05j),150900000
(0.9934007655025664-0.11243916385357614j),(-2.679121985347101e-05+3.2755856844397996e-06j),151000000
(0.9934349245569186-0.11260661388146834j),(-4.158873947530319e-05+1.5588094517278414e-05j),151100000
(0.9938710904275587-0.11296192904646239j),(1.0724106475668505e-05-1.2239430105867018e-06j),151200000
(0.9938513449416436-0.11260416083512806j),(4.662993331512985e-05+1.8014669330931972e-05j),151300000
(0.993545501364663-0.11306252335600493j),(-2.282817061838737e-05-6.901009362383292e-06j),151400000
(0.9941184504490527-0.11269043891646263j),(3.0459805054199012e-05+1.1175657548447817e-06j),151500000
(0.9935083720190531-0.11319001817756563j),(2.336239687955933e-05+4.8003442075196546e-05j),151600000
(0.9942402905119888-0.11352571908607771j),(4.626671443115745e-05+1.928921078000286e-05j),151700000
(0.9931818304283071-0.11331375775405716j),(-1.752116062894805e-05-2.2231431005632972e-06j),151800000
(0.9935991476135063-0.11360272711566238j),(3.741992917226569e-05+1.317865438315236e-05j),151900000
(0.9939768218337459-0.11353540403874515j),(6.052362388282434e-06+3.2460817868079533e-06j),152000000
(0.9938434581010618-0.11417399037737061j),(-5.1989691354772455e-05-3.300962700979411e-05j),152100000
(0.9938756323647644-0.11391105821072287j),(-8.98641535937427e-06-4.3627818166069116e-05j),152200000
(0.9937067374060904-0.11395770883832103j),(-2.332027862724757e-05+4.60478797783319e-05j),152300000
(0.9936980767847213-0.11385625427636903j),(7.799388945815326e-06+1.512423637581954e-05j),152400000
(0.9933253343007546-0.11402275252035439j),(-7.686083161788291e-06+2.4022854485837573e-06j),152500000
(0.9932910328102901-0.1142082541225948j),(2.6852654069002955e-05+6.185308516539545e-05j),152600000
(0.9935297067166471-0.11440210225088j),(-2.20009594406075e-05+1.015862507957692e-05j),152700000
(0.9927045664732225-0.11396458873593582j),(-1.4934877404276286e-06+5.31069748856475e-05j),152800000
(0.993574944193468-0.11501747229333459j),(6.062890595645006e-06-2.3939604473103972e-05j),152900000
(0.9933317036767707-0.11440704847184922j),(6.0188969044940456e-05+8.159521328739582e-06j),153000000
(0.9930428663152686-0.11547197321922044j),(3.5467053921123295e-05-6.409428421450569e-05j),153100000
(0.9929875542723737-0.11522579033479834j),(1.5394162458082108e-05+2.6193940707645276e-05j),153200000
(0.9928130343878718-0.11430135896519152j),(-2.6331629466945242e-05-2.9575249040802755e-05j),153300000
(0.9937098006940928-0.1153575296003243j),(-6.478871682486767e-05+4.273433003187403e-06j),153400000
(0.9937070895374553-0.11538516490240687j),(-2.1813940336369845e-05+3.122846949629275e-05j),153500000
