S11,S21,freq
(0.993682628149398-0.10636432439940753j),(3.869034054796596e-06-4.340201714971904e-06j),150000000
(0.9947099343461276-0.10570342336330181j),(3.368112977153996e-05+1.0931146055950641e-05j),150100000
(0.9946673360889073-0.10600444244742159j),(3.26969674316827e-05-4.0800153538462105e-06j),150200000
(0.993742783072189-0.10621557020603266j),(-5.428516785629306e-05-1.3100096517426856e-05j),150300000
(0.9946860136298943-0.10678074938678904j),(5.5959889899307216e-05+3.736362977910831e-05j),150400000
(0.9948226104560293-0.10611259791181481j),(-2.4984406992722198e-05+6.814955315856034e-07j),150500000
(0.99425418986261-0.10674004210773254j),(-9.354055549230862e-06-5.1916689530875095e-05j),150600000
(0.9947231528629287-0.10671186916397156j),(-1.251151471136224e-05-2.3246688022320076e-05j),150700000
(0.9936267010418164-0.10674411923695683j),(-3.6012723551498684e-05-3.311733583920337e-05j),150800000
(0.9940984358339875-0.10724484852803581j),(4.098192257650213e-06+4.984584247086737e-05j),150900000
(0.9940657833682474-0.10687453654797568j),(2.0532727858657727e-05-2.2612930967375594e-05j),151000000
(0.9944445670076457-0.10664704669887541j),(-2.2952007645414954e-05-1.7856374823449052e-05j),151100000
(0.9949253061656065-0.1069481935864352j),(-7.622363434003423e-06-1.7360346767002824e-05j),151200000
(0.9942239448247893-0.10703929409060148j),(-1.009738553554777e-05-6.982733844353462e-06j),151300000
(0.9944920699154275-0.10706162684734219j),(-2.8215763585300008e-05-1.1126539819700806e-05j),151400000
(0.99436809933673-0.10714904624724242j),(4.998168856853673e-05+4.0035455490801806e-05j),151500000
(0.9942462241169443-0.10742753271876998j),(6.993424561524392e-05-7.125808455896802e-07j),151600000
(0.9951001984339377-0.10728776302835827j),(1.0692245057193981e-05+2.005891404277105e-05j),151700000
(0.9940903314827937-0.10749709360297921j),(-1.0380421226304862e-06+1.1980063583372302e-05j),151800000
(0.9944256817124-0.1077934230193522j),(1.4078902596059127e-05+1.3818002975888911e-05j),151900000
(0.9949052562662051-0.10784606226647064j),(-2.0211139282559753e-05-3.718608179812267e-05j),152000000
(0.9941752088311959-0.1080583824439008j),(-5.1554245209445686e-05+2.0232865834635385e-05j),152100000
(0.9941990599423797-0.10794748454128347j),(-4.37116741767459e-05-4.34978272450383e-05j),152200000
(0.9944407431801703-0.1074042445650078j),(-3.692656638490112e-05+2.9886512236435853e-05j),152300000
(0.9944089545399539-0.10833907599365322j),(-4.356413530527627e-06+3.48642646751606e-05j),152400000
(0.9942868403964444-0.10790102867223657j),(-6.061864416298827e-05-1.3418773044007114e-06j),152500000
(0.9937760004984432-0.10846997093862995j),(4.5195975565834045e-05+5.5378169617539785e-06j),152600000
(0.9945068689254447-0.10841242823438457j),(-3.652091370622125e-05-3.1838064715553075e-05j),152700000
(0.99365515164895-0.10816257024450787j),(1.4911413160361882e-05+6.520198011038783e-05j),152800000
